market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-1INCH,2023-10-10T00:00:00,2023-10-10T09:00:00,335.0,337.0,323.0,327.0,1696982360194,2276310350.0168877,6903326.08435407,335.0,-8.0,-0.023880597
KRW-1INCH,2023-10-09T00:00:00,2023-10-09T09:00:00,354.0,358.0,332.0,335.0,1696895961533,3803369971.6799936,11060938.22723413,354.0,-19.0,-0.0536723164
KRW-1INCH,2023-10-08T00:00:00,2023-10-08T09:00:00,348.0,354.0,342.0,354.0,1696809583470,1819619267.4401968,5237168.64578041,348.0,6.0,0.0172413793
KRW-1INCH,2023-10-07T00:00:00,2023-10-07T09:00:00,350.0,351.0,346.0,348.0,1696723183035,1459450623.2558482,4192781.62445106,349.0,-1.0,-0.0028653295
KRW-1INCH,2023-10-06T00:00:00,2023-10-06T09:00:00,341.0,350.0,340.0,349.0,1696636780649,1603616887.7796328,4640707.68685538,341.0,8.0,0.0234604106
KRW-1INCH,2023-10-05T00:00:00,2023-10-05T09:00:00,346.0,348.0,340.0,341.0,1696550115514,2134007008.7605858,6217792.73447956,347.0,-6.0,-0.0172910663
KRW-1INCH,2023-10-04T00:00:00,2023-10-04T09:00:00,352.0,352.0,339.0,347.0,1696463929516,2273628823.0255275,6574604.65641426,352.0,-5.0,-0.0142045455
KRW-1INCH,2023-10-03T00:00:00,2023-10-03T09:00:00,364.0,373.0,349.0,352.0,1696377597549,4098577503.3685412,11308538.45444119,364.0,-12.0,-0.032967033
KRW-1INCH,2023-10-02T00:00:00,2023-10-02T09:00:00,374.0,382.0,359.0,364.0,1696291192346,4726546074.554872,12677229.44546786,374.0,-10.0,-0.0267379679
KRW-1INCH,2023-10-01T00:00:00,2023-10-01T09:00:00,366.0,375.0,362.0,374.0,1696204796426,2270181707.213539,6155453.95216936,366.0,8.0,0.0218579235
KRW-1INCH,2023-09-30T00:00:00,2023-09-30T09:00:00,361.0,369.0,359.0,366.0,1696118346470,1704587599.233852,4696051.00410617,361.0,5.0,0.0138504155
KRW-1INCH,2023-09-29T00:00:00,2023-09-29T09:00:00,365.0,365.0,353.0,361.0,1696031985669,2329694331.85134,6478624.93244264,365.0,-4.0,-0.0109589041
KRW-1INCH,2023-09-28T00:00:00,2023-09-28T09:00:00,358.0,365.0,355.0,365.0,1695945571351,3055405127.4373302,8488683.64730273,359.0,6.0,0.0167130919
