market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-ADA,2023-10-10T00:00:00,2023-10-10T09:00:00,342.0,346.0,337.0,339.0,1696982344524,2615872564.413569,7681563.46109395,342.0,-3.0,-0.0087719298
KRW-ADA,2023-10-09T00:00:00,2023-10-09T09:00:00,347.0,353.0,339.0,342.0,1696895990644,6582545713.800171,19083502.93162586,349.0,-7.0,-0.0200573066
KRW-ADA,2023-10-08T00:00:00,2023-10-08T09:00:00,350.0,352.0,347.0,349.0,1696809593298,2486577807.3468018,7124691.21016431,350.0,-1.0,-0.0028571429
KRW-ADA,2023-10-07T00:00:00,2023-10-07T09:00:00,358.0,360.0,347.0,350.0,1696723197594,4784995363.892424,13595253.9305541,358.0,-8.0,-0.0223463687
KRW-ADA,2023-10-06T00:00:00,2023-10-06T09:00:00,353.0,361.0,353.0,358.0,1696636798497,3766517028.9023547,10533551.10503166,353.0,5.0,0.0141643059
KRW-ADA,2023-10-05T00:00:00,2023-10-05T09:00:00,350.0,359.0,347.0,353.0,1696550397652,4403124746.308021,12454727.73732053,351.0,2.0,0.0056980057
KRW-ADA,2023-10-04T00:00:00,2023-10-04T09:00:00,355.0,355.0,344.0,351.0,1696463985200,3973419513.706409,11394923.23426985,354.0,-3.0,-0.0084745763
KRW-ADA,2023-10-03T00:00:00,2023-10-03T09:00:00,353.0,361.0,349.0,354.0,1696377597664,5998398791.923581,16821242.66518555,352.0,2.0,0.0056818182
KRW-ADA,2023-10-02T00:00:00,2023-10-02T09:00:00,358.0,365.0,350.0,352.0,1696291172093,6420872528.247803,17957056.03483728,358.0,-6.0,-0.0167597765
KRW-ADA,2023-10-01T00:00:00,2023-10-01T09:00:00,344.0,361.0,344.0,358.0,1696204793764,6133830123.15272,17409929.06825609,344.0,14.0,0.0406976744
KRW-ADA,2023-09-30T00:00:00,2023-09-30T09:00:00,338.0,345.0,337.0,344.0,1696118399651,2711814253.9887366,7948656.04196526,338.0,6.0,0.0177514793
KRW-ADA,2023-09-29T00:00:00,2023-09-29T09:00:00,337.0,346.0,336.0,338.0,1696031991699,4899202897.553786,14378293.96750816,337.0,1.0,0.0029673591
KRW-ADA,2023-09-28T00:00:00,2023-09-28T09:00:00,333.0,340.0,332.0,337.0,1695945593867,2753532268.804979,8176984.65345395,333.0,4.0,0.012012012
KRW-ADA,2023-09-27T00:00:00,2023-09-27T09:00:00,332.0,338.0,331.0,333.0,1695859193600,3151473302.5981283,9425143.46486453,332.0,1.0,0.0030120482
KRW-ADA,2023-09-26T00:00:00,2023-09-26T09:00:00,331.0,336.0,331.0,332.0,1695772791483,2248917089.2001863,6752629.93384964,332.0,,0.0
KRW-ADA,2023-09-25T00:00:00,2023-09-25T09:00:00,328.0,333.0,326.0,332.0,1695686393285,2802372016.6235366,8494336.77684324,328.0,4.0,0.012195122
KRW-ADA,2023-09-24T00:00:00,2023-09-24T09:00:00,332.0,333.0,326.0,328.0,1695599999385,3424711950.7725983,10347640.7022052,333.0,-5.0,-0.015015015
KRW-ADA,2023-09-23T00:00:00,2023-09-23T09:00:00,331.0,334.0,330.0,333.0,1695513598420,2785996061.4474077,8390458.94096557,332.0,1.0,0.0030120482
KRW-ADA,2023-09-22T00:00:00,2023-09-22T09:00:00,332.0,335.0,329.0,332.0,1695427142156,6202269643.114524,18708776.84628673,333.0,-1.0,-0.003003003
