market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-AERGO,2023-10-10T00:00:00,2023-10-10T09:00:00,137.0,139.0,135.0,137.0,1696982369465,942234561.2199074,6884400.39638762,138.0,-1.0,-0.0072463768
KRW-AERGO,2023-10-09T00:00:00,2023-10-09T09:00:00,142.0,144.0,135.0,138.0,1696895964080,2511254965.307478,18101877.43027112,143.0,-5.0,-0.034965035
KRW-AERGO,2023-10-08T00:00:00,2023-10-08T09:00:00,141.0,144.0,139.0,143.0,1696809482564,2316853655.7308307,16374280.78954905,141.0,2.0,0.0141843972
KRW-AERGO,2023-10-07T00:00:00,2023-10-07T09:00:00,140.0,144.0,139.0,141.0,1696723153951,2209101956.801298,15691811.43148076,140.0,1.0,0.0071428571
KRW-AERGO,2023-10-06T00:00:00,2023-10-06T09:00:00,136.0,141.0,136.0,140.0,1696636768911,1669103972.2155669,12086271.70070712,136.0,4.0,0.0294117647
KRW-AERGO,2023-10-05T00:00:00,2023-10-05T09:00:00,137.0,139.0,136.0,136.0,1696550367417,791439579.059533,5765129.5167397,138.0,-2.0,-0.0144927536
KRW-AERGO,2023-10-04T00:00:00,2023-10-04T09:00:00,139.0,140.0,136.0,138.0,1696463967413,997412406.6853548,7212655.61977463,140.0,-2.0,-0.0142857143
KRW-AERGO,2023-10-03T00:00:00,2023-10-03T09:00:00,141.0,145.0,136.0,140.0,1696377555495,2941349371.0067053,20891230.85197085,141.0,-1.0,-0.0070921986
KRW-AERGO,2023-10-02T00:00:00,2023-10-02T09:00:00,144.0,144.0,140.0,141.0,1696291146348,1381630475.379447,9755521.45659847,144.0,-3.0,-0.0208333333
KRW-AERGO,2023-10-01T00:00:00,2023-10-01T09:00:00,140.0,145.0,139.0,144.0,1696204791346,2724620466.628953,19065865.03847253,140.0,4.0,0.0285714286
KRW-AERGO,2023-09-30T00:00:00,2023-09-30T09:00:00,139.0,142.0,138.0,140.0,1696118191776,1246478874.0506067,8924455.7616223,139.0,1.0,0.0071942446
KRW-AERGO,2023-09-29T00:00:00,2023-09-29T09:00:00,140.0,141.0,138.0,139.0,1696031999794,876958451.447567,6297097.05840217,139.0,,0.0
KRW-AERGO,2023-09-28T00:00:00,2023-09-28T09:00:00,138.0,141.0,137.0,139.0,1695945574484,1060021573.7219326,7637103.63837683,138.0,1.0,0.0072463768
KRW-AERGO,2023-09-27T00:00:00,2023-09-27T09:00:00,137.0,140.0,135.0,138.0,1695859163649,1399951546.1979938,10198715.79086825,137.0,1.0,0.0072992701
KRW-AERGO,2023-09-26T00:00:00,2023-09-26T09:00:00,136.0,138.0,135.0,137.0,1695772629273,761812413.1934668,5567213.49049433,136.0,1.0,0.0073529412
KRW-AERGO,2023-09-25T00:00:00,2023-09-25T09:00:00,136.0,137.0,132.0,136.0,1695686360619,1372396016.2478073,10217700.9916633,137.0,-1.0,-0.0072992701
KRW-AERGO,2023-09-24T00:00:00,2023-09-24T09:00:00,142.0,142.0,135.0,137.0,1695599965100,1525253472.7585804,11007285.85761906,142.0,-5.0,-0.0352112676
KRW-AERGO,2023-09-23T00:00:00,2023-09-23T09:00:00,142.0,143.0,138.0,142.0,1695513520700,1994749281.880982,14187607.63683711,143.0,-1.0,-0.006993007
KRW-AERGO,2023-09-22T00:00:00,2023-09-22T09:00:00,135.0,143.0,133.0,143.0,1695427161321,2851467516.1004457,20613951.13186147,135.0,8.0,0.0592592593
KRW-AERGO,2023-09-21T00:00:00,2023-09-21T09:00:00,137.0,139.0,132.0,135.0,1695340764992,2462955773.6448426,18215669.76603707,137.0,-2.0,-0.0145985401
KRW-AERGO,2023-09-20T00:00:00,2023-09-20T09:00:00,131.0,142.0,130.0,137.0,1695254388751,4726560561.523523,34649518.35802394,132.0,5.0,0.0378787879
KRW-AERGO,2023-09-19T00:00:00,2023-09-19T09:00:00,130.0,132.0,129.0,132.0,1695167970945,1350090580.6395674,10363679.51842804,130.0,2.0,0.0153846154
KRW-AERGO,2023-09-18T00:00:00,2023-09-18T09:00:00,134.0,134.0,129.0,130.0,1695081511138,2180911893.360833,16697836.34252661,134.0,-4.0,-0.0298507463
KRW-AERGO,2023-09-17T00:00:00,2023-09-17T09:00:00,129.0,134.0,126.0,134.0,1694995198486,3596310865.5267954,27603551.04905935,129.0,5.0,0.0387596899
KRW-AERGO,2023-09-16T00:00:00,2023-09-16T09:00:00,128.0,131.0,127.0,129.0,1694908775606,3056233124.274663,23675700.14892138,128.0,1.0,0.0078125
KRW-AERGO,2023-09-15T00:00:00,2023-09-15T09:00:00,125.0,133.0,124.0,128.0,1694822351685,5101656531.840962,39809019.41362064,124.0,4.0,0.0322580645
KRW-AERGO,2023-09-14T00:00:00,2023-09-14T09:00:00,121.0,125.0,120.0,124.0,1694735999662,1333609892.4565852,10840445.0162987,121.0,3.0,0.0247933884
KRW-AERGO,2023-09-13T00:00:00,2023-09-13T09:00:00,118.0,122.0,116.0,121.0,1694649533565,1057643341.1887462,8866552.91678647,117.0,4.0,0.0341880342
KRW-AERGO,2023-09-12T00:00:00,2023-09-12T09:00:00,117.0,120.0,116.0,117.0,1694562644771,1019143976.3367889,8637464.81869738,116.0,1.0,0.0086206897
KRW-AERGO,2023-09-11T00:00:00,2023-09-11T09:00:00,122.0,122.0,115.0,116.0,1694476740947,1692385744.988337,14341242.20621214,122.0,-6.0,-0.0491803279
KRW-AERGO,2023-09-10T00:00:00,2023-09-10T09:00:00,123.0,124.0,119.0,122.0,1694390373133,837717885.894521,6921187.65377116,123.0,-1.0,-0.0081300813
KRW-AERGO,2023-09-09T00:00:00,2023-09-09T09:00:00,123.0,124.0,122.0,123.0,1694303912694,444244834.34340346,3620300.85959952,123.0,,0.0
KRW-AERGO,2023-09-08T00:00:00,2023-09-08T09:00:00,124.0,125.0,121.0,123.0,1694217538417,797552391.4700335,6499736.51512217,124.0,-1.0,-0.0080645161
KRW-AERGO,2023-09-07T00:00:00,2023-09-07T09:00:00,124.0,125.0,122.0,124.0,1694131159880,880415922.721559,7146498.62759076,125.0,-1.0,-0.008
KRW-AERGO,2023-09-06T00:00:00,2023-09-06T09:00:00,123.0,131.0,121.0,125.0,1694044772699,7146805213.898106,56472763.63034242,122.0,3.0,0.0245901639
KRW-AERGO,2023-09-05T00:00:00,2023-09-05T09:00:00,121.0,123.0,120.0,122.0,1693958366060,646070866.4010928,5332591.96477045,121.0,1.0,0.0082644628
KRW-AERGO,2023-09-04T00:00:00,2023-09-04T09:00:00,122.0,124.0,119.0,121.0,1693871899092,644388294.3711331,5301879.68310048,122.0,-1.0,-0.0081967213
KRW-AERGO,2023-09-03T00:00:00,2023-09-03T09:00:00,123.0,126.0,121.0,122.0,1693785309434,798930671.8470173,6464135.83919766,123.0,-1.0,-0.0081300813
KRW-AERGO,2023-09-02T00:00:00,2023-09-02T09:00:00,119.0,124.0,118.0,123.0,1693699198899,886083808.8552661,7364611.35513087,119.0,4.0,0.0336134454
KRW-AERGO,2023-09-01T00:00:00,2023-09-01T09:00:00,120.0,122.0,118.0,119.0,1693612502319,769826618.9108877,6391676.30388022,121.0,-2.0,-0.0165289256
KRW-AERGO,2023-08-31T00:00:00,2023-08-31T09:00:00,125.0,126.0,120.0,121.0,1693526246181,931452547.4105697,7543474.27628564,125.0,-4.0,-0.032
KRW-AERGO,2023-08-30T00:00:00,2023-08-30T09:00:00,126.0,127.0,124.0,125.0,1693439849921,676952662.1424905,5411754.57458015,127.0,-2.0,-0.0157480315
KRW-AERGO,2023-08-29T00:00:00,2023-08-29T09:00:00,123.0,128.0,119.0,127.0,1693353572750,1208641279.4974778,9765740.57858248,123.0,4.0,0.0325203252
KRW-AERGO,2023-08-28T00:00:00,2023-08-28T09:00:00,126.0,128.0,121.0,123.0,1693267172705,961948601.4658302,7771571.788949,126.0,-3.0,-0.0238095238
KRW-AERGO,2023-08-27T00:00:00,2023-08-27T09:00:00,129.0,131.0,126.0,126.0,1693180799345,699033431.0799713,5459249.58648956,129.0,-3.0,-0.023255814
KRW-AERGO,2023-08-26T00:00:00,2023-08-26T09:00:00,130.0,131.0,127.0,129.0,1693094306448,1016737949.6917913,7889110.06828162,130.0,-1.0,-0.0076923077
KRW-AERGO,2023-08-25T00:00:00,2023-08-25T09:00:00,125.0,130.0,125.0,130.0,1693007997836,1919001928.0213516,15091067.46539298,126.0,4.0,0.0317460317
KRW-AERGO,2023-08-24T00:00:00,2023-08-24T09:00:00,126.0,130.0,124.0,126.0,1692921553247,1057975932.8522983,8347790.06515027,125.0,1.0,0.008
