market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-AHT,2023-10-10T00:00:00,2023-10-10T09:00:00,9.14,9.16,8.97,9.06,1696982363227,1295649597.7370667,143233040.8105629,9.16,-0.1,-0.0109170306
KRW-AHT,2023-10-09T00:00:00,2023-10-09T09:00:00,9.47,9.68,8.89,9.16,1696895968015,3212570437.946804,346607798.04886615,9.48,-0.32,-0.0337552743
KRW-AHT,2023-10-08T00:00:00,2023-10-08T09:00:00,9.66,9.72,9.4,9.48,1696809594125,2515349715.0191116,264719417.9895849,9.66,-0.18,-0.0186335404
KRW-AHT,2023-10-07T00:00:00,2023-10-07T09:00:00,9.78,9.79,9.63,9.66,1696723175399,1759748045.1764667,181799375.21006805,9.79,-0.13,-0.013278856
KRW-AHT,2023-10-06T00:00:00,2023-10-06T09:00:00,9.62,9.79,9.36,9.79,1696636797959,3410579544.7409067,357669125.66253024,9.62,0.17,0.0176715177
KRW-AHT,2023-10-05T00:00:00,2023-10-05T09:00:00,9.34,9.78,9.22,9.62,1696550378614,5876074082.573998,616253111.6584847,9.3,0.32,0.0344086022
KRW-AHT,2023-10-04T00:00:00,2023-10-04T09:00:00,9.35,9.38,9.1,9.3,1696463991648,1623650152.2634642,176077645.20056382,9.35,-0.05,-0.0053475936
KRW-AHT,2023-10-03T00:00:00,2023-10-03T09:00:00,9.53,9.6,9.23,9.35,1696377598317,2882100062.0716877,307083462.6142141,9.55,-0.2,-0.0209424084
KRW-AHT,2023-10-02T00:00:00,2023-10-02T09:00:00,9.74,9.75,9.48,9.55,1696291195143,2320638036.6681843,241774798.82884747,9.75,-0.2,-0.0205128205
KRW-AHT,2023-10-01T00:00:00,2023-10-01T09:00:00,9.56,9.85,9.43,9.75,1696204778032,4015523913.035325,416731667.99655646,9.55,0.2,0.0209424084
KRW-AHT,2023-09-30T00:00:00,2023-09-30T09:00:00,9.73,10.0,9.41,9.55,1696118394985,4660511188.686822,483016821.249973,9.72,-0.17,-0.0174897119
KRW-AHT,2023-09-29T00:00:00,2023-09-29T09:00:00,9.88,10.3,9.43,9.72,1696031998732,10621618059.211504,1082660784.3959057,9.87,-0.15,-0.0151975684
KRW-AHT,2023-09-28T00:00:00,2023-09-28T09:00:00,9.33,10.2,9.25,9.87,1695945598555,22828251847.92733,2330465224.0362825,9.33,0.54,0.0578778135
KRW-AHT,2023-09-27T00:00:00,2023-09-27T09:00:00,9.14,9.45,9.12,9.33,1695859198313,5699345658.590596,612726549.1642339,9.14,0.19,0.0207877462
KRW-AHT,2023-09-26T00:00:00,2023-09-26T09:00:00,9.08,9.43,8.96,9.14,1695772797991,3770010339.931935,409598054.39621735,9.08,0.06,0.0066079295
KRW-AHT,2023-09-25T00:00:00,2023-09-25T09:00:00,9.08,9.19,8.7,9.08,1695686397699,2454952617.442424,274156014.47945505,9.08,,0.0
KRW-AHT,2023-09-24T00:00:00,2023-09-24T09:00:00,9.92,9.92,9.05,9.08,1695599998200,6261800551.718161,668918918.8859625,9.92,-0.84,-0.0846774194
KRW-AHT,2023-09-23T00:00:00,2023-09-23T09:00:00,9.44,10.1,9.3,9.92,1695513598032,15905998660.46545,1625577059.3877368,9.43,0.49,0.051961824
