market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-ALGO,2023-10-10T00:00:00,2023-10-10T09:00:00,132.0,132.0,129.0,129.0,1696982227672,1352922353.8071146,10370852.67017335,131.0,-2.0,-0.0152671756
KRW-ALGO,2023-10-09T00:00:00,2023-10-09T09:00:00,138.0,138.0,130.0,131.0,1696895973533,2889129224.636018,21708776.01490785,138.0,-7.0,-0.0507246377
KRW-ALGO,2023-10-08T00:00:00,2023-10-08T09:00:00,135.0,140.0,135.0,138.0,1696809588200,1932920215.7903862,14047576.89973756,135.0,3.0,0.0222222222
KRW-ALGO,2023-10-07T00:00:00,2023-10-07T09:00:00,136.0,137.0,135.0,135.0,1696723166317,832525157.3039614,6117808.98049248,136.0,-1.0,-0.0073529412
KRW-ALGO,2023-10-06T00:00:00,2023-10-06T09:00:00,137.0,138.0,133.0,136.0,1696636718608,1390660926.0671375,10259746.27430755,136.0,,0.0
KRW-ALGO,2023-10-05T00:00:00,2023-10-05T09:00:00,134.0,137.0,132.0,136.0,1696550377344,1731468100.4099581,12891228.39827782,134.0,2.0,0.0149253731
KRW-ALGO,2023-10-04T00:00:00,2023-10-04T09:00:00,137.0,138.0,132.0,134.0,1696463949660,1725997159.7842,12842921.58515368,137.0,-3.0,-0.0218978102
KRW-ALGO,2023-10-03T00:00:00,2023-10-03T09:00:00,137.0,141.0,136.0,137.0,1696377598827,1986469774.8790905,14339380.85124676,137.0,,0.0
KRW-ALGO,2023-10-02T00:00:00,2023-10-02T09:00:00,144.0,144.0,136.0,137.0,1696291172806,2868316541.8993015,20425963.43649583,144.0,-7.0,-0.0486111111
KRW-ALGO,2023-10-01T00:00:00,2023-10-01T09:00:00,141.0,145.0,139.0,144.0,1696204797536,1936449150.779278,13681556.72064253,141.0,3.0,0.0212765957
KRW-ALGO,2023-09-30T00:00:00,2023-09-30T09:00:00,138.0,143.0,136.0,141.0,1696118384675,2102305575.506407,15095576.38393126,137.0,4.0,0.0291970803
KRW-ALGO,2023-09-29T00:00:00,2023-09-29T09:00:00,133.0,139.0,132.0,137.0,1696031975871,2205120813.405505,16265029.44497011,133.0,4.0,0.030075188
KRW-ALGO,2023-09-28T00:00:00,2023-09-28T09:00:00,131.0,134.0,130.0,133.0,1695945583777,1267198311.1088855,9627851.43666338,131.0,2.0,0.0152671756
KRW-ALGO,2023-09-27T00:00:00,2023-09-27T09:00:00,129.0,132.0,128.0,131.0,1695859198679,1819472797.4080799,14009896.17877506,130.0,1.0,0.0076923077
KRW-ALGO,2023-09-26T00:00:00,2023-09-26T09:00:00,131.0,134.0,128.0,130.0,1695772758717,1900262322.2834206,14413215.13366389,132.0,-2.0,-0.0151515152
KRW-ALGO,2023-09-25T00:00:00,2023-09-25T09:00:00,137.0,138.0,131.0,132.0,1695686396475,2196238749.8031635,16293077.42220665,137.0,-5.0,-0.0364963504
KRW-ALGO,2023-09-24T00:00:00,2023-09-24T09:00:00,136.0,139.0,135.0,137.0,1695599999089,1959059264.7239313,14273889.64101466,136.0,1.0,0.0073529412
KRW-ALGO,2023-09-23T00:00:00,2023-09-23T09:00:00,138.0,139.0,135.0,136.0,1695513507375,1205659976.0883653,8794890.33769951,138.0,-2.0,-0.0144927536
KRW-ALGO,2023-09-22T00:00:00,2023-09-22T09:00:00,132.0,139.0,130.0,138.0,1695427165447,2142939157.2442272,15880233.66679081,132.0,6.0,0.0454545455
KRW-ALGO,2023-09-21T00:00:00,2023-09-21T09:00:00,135.0,139.0,131.0,132.0,1695340775895,3352548154.415285,24904373.62064924,134.0,-2.0,-0.0149253731
KRW-ALGO,2023-09-20T00:00:00,2023-09-20T09:00:00,131.0,135.0,126.0,134.0,1695254373355,4543126883.841273,35076855.33463232,131.0,3.0,0.0229007634
KRW-ALGO,2023-09-19T00:00:00,2023-09-19T09:00:00,130.0,132.0,128.0,131.0,1695167990359,1449342409.5722494,11180878.61309202,130.0,1.0,0.0076923077
KRW-ALGO,2023-09-18T00:00:00,2023-09-18T09:00:00,128.0,132.0,126.0,130.0,1695081490784,1711639470.4662347,13238783.13707127,127.0,3.0,0.0236220472
KRW-ALGO,2023-09-17T00:00:00,2023-09-17T09:00:00,132.0,132.0,126.0,127.0,1694995190710,2417008626.9592924,18712427.40859757,132.0,-5.0,-0.0378787879
KRW-ALGO,2023-09-16T00:00:00,2023-09-16T09:00:00,130.0,132.0,129.0,132.0,1694908778186,1708910537.1704233,13082262.97459708,129.0,3.0,0.023255814
KRW-ALGO,2023-09-15T00:00:00,2023-09-15T09:00:00,127.0,131.0,125.0,129.0,1694822360177,2101094552.171226,16527427.43663557,127.0,2.0,0.0157480315
KRW-ALGO,2023-09-14T00:00:00,2023-09-14T09:00:00,124.0,127.0,122.0,127.0,1694735976672,2400457728.661479,19252931.29347032,124.0,3.0,0.0241935484
KRW-ALGO,2023-09-13T00:00:00,2023-09-13T09:00:00,122.0,125.0,121.0,124.0,1694649598255,2448751644.7866764,19995379.76590437,122.0,2.0,0.0163934426
KRW-ALGO,2023-09-12T00:00:00,2023-09-12T09:00:00,121.0,125.0,120.0,122.0,1694563194465,2401191776.5889964,19608774.06443983,121.0,1.0,0.0082644628
KRW-ALGO,2023-09-11T00:00:00,2023-09-11T09:00:00,126.0,126.0,119.0,121.0,1694476795731,4593486743.6331005,37514403.66581255,125.0,-4.0,-0.032
KRW-ALGO,2023-09-10T00:00:00,2023-09-10T09:00:00,128.0,129.0,123.0,125.0,1694390325303,4979202662.716923,39745809.36905037,129.0,-4.0,-0.0310077519
KRW-ALGO,2023-09-09T00:00:00,2023-09-09T09:00:00,131.0,132.0,128.0,129.0,1694303996494,1161080171.827171,8939217.91743834,130.0,-1.0,-0.0076923077
KRW-ALGO,2023-09-08T00:00:00,2023-09-08T09:00:00,133.0,134.0,128.0,130.0,1694217527897,1563166676.979911,11935356.96849625,133.0,-3.0,-0.022556391
KRW-ALGO,2023-09-07T00:00:00,2023-09-07T09:00:00,127.0,133.0,127.0,133.0,1694131185356,2827416309.858666,21846312.57536455,127.0,6.0,0.0472440945
KRW-ALGO,2023-09-06T00:00:00,2023-09-06T09:00:00,128.0,129.0,125.0,127.0,1694044781412,2484387864.9310393,19569600.3898483,128.0,-1.0,-0.0078125
KRW-ALGO,2023-09-05T00:00:00,2023-09-05T09:00:00,127.0,129.0,126.0,128.0,1693958362309,2050014915.2969599,16092860.44141688,128.0,,0.0
KRW-ALGO,2023-09-04T00:00:00,2023-09-04T09:00:00,129.0,131.0,126.0,128.0,1693871838364,1847370690.9165442,14470122.40979901,128.0,,0.0
KRW-ALGO,2023-09-03T00:00:00,2023-09-03T09:00:00,129.0,129.0,127.0,128.0,1693785574696,1017249393.3932147,7945008.13962213,129.0,-1.0,-0.007751938
KRW-ALGO,2023-09-02T00:00:00,2023-09-02T09:00:00,127.0,129.0,125.0,129.0,1693699017528,2014243133.3291106,15926623.55555444,126.0,3.0,0.0238095238
KRW-ALGO,2023-09-01T00:00:00,2023-09-01T09:00:00,128.0,129.0,125.0,126.0,1693612679289,2650015155.7647915,20828054.19081046,128.0,-2.0,-0.015625
KRW-ALGO,2023-08-31T00:00:00,2023-08-31T09:00:00,132.0,132.0,127.0,128.0,1693526283626,3207442067.4431896,24724847.5975725,131.0,-3.0,-0.0229007634
KRW-ALGO,2023-08-30T00:00:00,2023-08-30T09:00:00,136.0,137.0,130.0,131.0,1693439972542,2967283640.1689568,22366135.21040781,136.0,-5.0,-0.0367647059
KRW-ALGO,2023-08-29T00:00:00,2023-08-29T09:00:00,132.0,138.0,128.0,136.0,1693353567186,4784151480.602555,35939372.34919209,132.0,4.0,0.0303030303
KRW-ALGO,2023-08-28T00:00:00,2023-08-28T09:00:00,129.0,133.0,125.0,132.0,1693267171216,3124946219.2528443,24407093.57902165,129.0,3.0,0.023255814
KRW-ALGO,2023-08-27T00:00:00,2023-08-27T09:00:00,130.0,131.0,128.0,129.0,1693180704911,1194285816.304046,9236531.5255244,130.0,-1.0,-0.0076923077
KRW-ALGO,2023-08-26T00:00:00,2023-08-26T09:00:00,132.0,132.0,130.0,130.0,1693094395371,1035764597.5829586,7916650.98654069,132.0,-2.0,-0.0151515152
KRW-ALGO,2023-08-25T00:00:00,2023-08-25T09:00:00,132.0,133.0,129.0,132.0,1693007780125,2349742572.0745645,17940277.81704497,132.0,,0.0
KRW-ALGO,2023-08-24T00:00:00,2023-08-24T09:00:00,134.0,135.0,130.0,132.0,1692921533921,2245687927.558429,16999975.57128314,134.0,-2.0,-0.0149253731
