market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-ANKR,2023-10-10T00:00:00,2023-10-10T09:00:00,26.1,26.2,25.6,26.0,1696982368337,2101887321.1665664,81195844.85707723,26.0,,0.0
KRW-ANKR,2023-10-09T00:00:00,2023-10-09T09:00:00,27.6,27.7,25.6,26.0,1696895998247,5378186242.884318,203043897.4846098,27.6,-1.6,-0.0579710145
KRW-ANKR,2023-10-08T00:00:00,2023-10-08T09:00:00,27.2,27.6,26.5,27.6,1696809589433,3638920546.074651,134695111.77071622,27.3,0.3,0.010989011
KRW-ANKR,2023-10-07T00:00:00,2023-10-07T09:00:00,27.1,27.7,26.6,27.3,1696723184233,5210290100.10502,192447606.35085532,27.0,0.3,0.0111111111
KRW-ANKR,2023-10-06T00:00:00,2023-10-06T09:00:00,25.8,28.1,25.6,27.0,1696636791636,16535273335.706999,609002613.9136531,25.7,1.3,0.0505836576
KRW-ANKR,2023-10-05T00:00:00,2023-10-05T09:00:00,26.1,26.2,25.5,25.7,1696550365247,1642800780.1434438,63552667.71329508,25.9,-0.2,-0.0077220077
KRW-ANKR,2023-10-04T00:00:00,2023-10-04T09:00:00,26.3,26.4,25.4,25.9,1696463968916,2206185870.054645,85558057.96095917,26.3,-0.4,-0.0152091255
KRW-ANKR,2023-10-03T00:00:00,2023-10-03T09:00:00,27.1,27.7,26.3,26.3,1696377594736,2843065495.064378,104843187.56879757,27.1,-0.8,-0.0295202952
KRW-ANKR,2023-10-02T00:00:00,2023-10-02T09:00:00,27.9,28.4,26.7,27.1,1696291166088,5302947709.0519705,191891046.12327346,27.9,-0.8,-0.0286738351
KRW-ANKR,2023-10-01T00:00:00,2023-10-01T09:00:00,27.1,28.0,27.0,27.9,1696204756941,4323925384.1726465,157335917.64137977,27.1,0.8,0.0295202952
KRW-ANKR,2023-09-30T00:00:00,2023-09-30T09:00:00,26.6,27.2,26.4,27.1,1696118361895,3062082214.7547193,114260368.98577815,26.6,0.5,0.0187969925
KRW-ANKR,2023-09-29T00:00:00,2023-09-29T09:00:00,26.4,26.9,26.1,26.6,1696031941352,3892810221.062009,147139025.92473972,26.4,0.2,0.0075757576
KRW-ANKR,2023-09-28T00:00:00,2023-09-28T09:00:00,26.1,26.4,25.8,26.4,1695945599116,2282336462.1294737,87245229.2513772,26.0,0.4,0.0153846154
KRW-ANKR,2023-09-27T00:00:00,2023-09-27T09:00:00,26.1,26.3,25.6,26.0,1695859178202,2211928984.942778,85122787.0741755,26.1,-0.1,-0.0038314176
KRW-ANKR,2023-09-26T00:00:00,2023-09-26T09:00:00,26.4,26.7,25.6,26.1,1695772788332,1570880879.4207807,59857581.5196271,26.3,-0.2,-0.0076045627
KRW-ANKR,2023-09-25T00:00:00,2023-09-25T09:00:00,26.3,26.5,25.6,26.3,1695686388386,2928148916.3436275,112556633.81528941,26.3,,0.0
KRW-ANKR,2023-09-24T00:00:00,2023-09-24T09:00:00,27.4,27.4,26.0,26.3,1695599969666,3039352645.3270726,113116412.33307658,27.4,-1.1,-0.0401459854
KRW-ANKR,2023-09-23T00:00:00,2023-09-23T09:00:00,26.4,27.7,26.2,27.4,1695513591606,4897138985.124947,181973547.58311665,26.4,1.0,0.0378787879
KRW-ANKR,2023-09-22T00:00:00,2023-09-22T09:00:00,25.8,26.4,25.5,26.4,1695427199709,2248475874.509392,86596639.85870296,25.6,0.8,0.03125
KRW-ANKR,2023-09-21T00:00:00,2023-09-21T09:00:00,26.4,26.5,25.4,25.6,1695340762780,2577171656.108081,99374678.40479773,26.4,-0.8,-0.0303030303
KRW-ANKR,2023-09-20T00:00:00,2023-09-20T09:00:00,25.6,26.5,25.4,26.4,1695254380220,4130162305.2789226,158906594.73790696,25.6,0.8,0.03125
KRW-ANKR,2023-09-19T00:00:00,2023-09-19T09:00:00,25.0,25.6,24.6,25.6,1695167996604,1512886358.093144,60146034.22767756,24.9,0.7,0.0281124498
KRW-ANKR,2023-09-18T00:00:00,2023-09-18T09:00:00,24.9,25.7,24.5,24.9,1695081566238,1736479478.5916219,69060862.7051211,24.8,0.1,0.0040322581
KRW-ANKR,2023-09-17T00:00:00,2023-09-17T09:00:00,26.1,26.1,24.6,24.8,1694995177330,2406329048.5698295,94931105.05590525,26.1,-1.3,-0.0498084291
KRW-ANKR,2023-09-16T00:00:00,2023-09-16T09:00:00,25.7,26.5,25.6,26.1,1694908762749,2891967273.7554445,110681337.99804765,25.6,0.5,0.01953125
KRW-ANKR,2023-09-15T00:00:00,2023-09-15T09:00:00,25.3,25.9,25.0,25.6,1694822361189,2085189880.2503493,82319603.76010521,25.3,0.3,0.0118577075
KRW-ANKR,2023-09-14T00:00:00,2023-09-14T09:00:00,24.6,25.5,24.5,25.3,1694735973148,2205789960.8100204,88433594.25737374,24.6,0.7,0.0284552846
KRW-ANKR,2023-09-13T00:00:00,2023-09-13T09:00:00,23.9,24.8,23.7,24.6,1694649581491,2885005008.3565426,118502325.25792094,23.8,0.8,0.0336134454
KRW-ANKR,2023-09-12T00:00:00,2023-09-12T09:00:00,23.5,25.4,23.4,23.8,1694563199450,4743048734.893139,194814180.57282558,23.5,0.3,0.0127659574
KRW-ANKR,2023-09-11T00:00:00,2023-09-11T09:00:00,24.9,25.0,23.2,23.5,1694476777697,2093961357.2757392,87057250.56201749,24.8,-1.3,-0.0524193548
KRW-ANKR,2023-09-10T00:00:00,2023-09-10T09:00:00,25.7,25.7,24.6,24.8,1694390378399,1451210064.1459172,58071776.16220132,25.6,-0.8,-0.03125
KRW-ANKR,2023-09-09T00:00:00,2023-09-09T09:00:00,25.8,25.9,25.2,25.6,1694303969728,601271730.9823986,23447974.93155909,25.8,-0.2,-0.007751938
KRW-ANKR,2023-09-08T00:00:00,2023-09-08T09:00:00,25.8,26.0,25.4,25.8,1694216802169,1187516641.679918,46170501.50752428,25.8,,0.0
KRW-ANKR,2023-09-07T00:00:00,2023-09-07T09:00:00,25.4,25.8,25.0,25.8,1694131173011,652554770.1079532,25743391.24841566,25.2,0.6,0.0238095238
KRW-ANKR,2023-09-06T00:00:00,2023-09-06T09:00:00,25.3,25.4,24.6,25.2,1694044770364,954433596.2007421,38026291.6505674,25.3,-0.1,-0.0039525692
KRW-ANKR,2023-09-05T00:00:00,2023-09-05T09:00:00,24.7,25.4,24.4,25.3,1693958395382,1102555957.6984794,44347938.80028316,24.7,0.6,0.024291498
KRW-ANKR,2023-09-04T00:00:00,2023-09-04T09:00:00,24.8,25.3,24.4,24.7,1693871956720,827460474.6835908,33328529.67095475,24.8,-0.1,-0.0040322581
KRW-ANKR,2023-09-03T00:00:00,2023-09-03T09:00:00,24.9,25.3,24.5,24.8,1693785419483,1546219305.745374,62364512.39690831,24.9,-0.1,-0.0040160643
KRW-ANKR,2023-09-02T00:00:00,2023-09-02T09:00:00,25.1,25.3,24.4,24.9,1693699178154,2771672137.261579,112488255.00186719,25.1,-0.2,-0.0079681275
KRW-ANKR,2023-09-01T00:00:00,2023-09-01T09:00:00,25.5,25.6,25.0,25.1,1693612752626,745580200.0728278,29516202.52033355,25.5,-0.4,-0.0156862745
KRW-ANKR,2023-08-31T00:00:00,2023-08-31T09:00:00,26.8,26.8,25.0,25.5,1693526359483,2208573544.753587,85254534.8947011,26.6,-1.1,-0.0413533835
KRW-ANKR,2023-08-30T00:00:00,2023-08-30T09:00:00,27.5,27.6,26.4,26.6,1693439978363,1465736679.7914262,54373238.89631392,27.5,-0.9,-0.0327272727
