market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-BLUR,2023-10-10T00:00:00,2023-10-10T09:00:00,223.0,225.0,218.0,220.0,1696982388010,1724799433.6562223,7781813.6570172,223.0,-3.0,-0.0134529148
KRW-BLUR,2023-10-09T00:00:00,2023-10-09T09:00:00,234.0,236.0,217.0,223.0,1696895986779,3985546929.092193,17512997.16876495,235.0,-12.0,-0.0510638298
KRW-BLUR,2023-10-08T00:00:00,2023-10-08T09:00:00,236.0,238.0,231.0,235.0,1696809472172,1739156262.7086606,7429817.44615546,236.0,-1.0,-0.0042372881
KRW-BLUR,2023-10-07T00:00:00,2023-10-07T09:00:00,239.0,241.0,234.0,236.0,1696723019045,1758864601.5950124,7399871.43485424,239.0,-3.0,-0.0125523013
KRW-BLUR,2023-10-06T00:00:00,2023-10-06T09:00:00,233.0,245.0,233.0,239.0,1696636777145,2392803792.1167965,10125198.30600776,233.0,6.0,0.025751073
KRW-BLUR,2023-10-05T00:00:00,2023-10-05T09:00:00,235.0,239.0,231.0,233.0,1696550360295,2244229608.326721,9601956.2187519,235.0,-2.0,-0.0085106383
KRW-BLUR,2023-10-04T00:00:00,2023-10-04T09:00:00,234.0,237.0,230.0,235.0,1696463961344,3369960007.1857595,14459842.42329982,234.0,1.0,0.0042735043
KRW-BLUR,2023-10-03T00:00:00,2023-10-03T09:00:00,249.0,250.0,233.0,234.0,1696377585832,6237406221.896742,25904031.69824942,249.0,-15.0,-0.0602409639
KRW-BLUR,2023-10-02T00:00:00,2023-10-02T09:00:00,254.0,272.0,244.0,249.0,1696291169190,9861667797.834822,38006722.51948663,254.0,-5.0,-0.0196850394
KRW-BLUR,2023-10-01T00:00:00,2023-10-01T09:00:00,243.0,254.0,240.0,254.0,1696204798423,2564499353.340883,10334090.47685399,243.0,11.0,0.0452674897
KRW-BLUR,2023-09-30T00:00:00,2023-09-30T09:00:00,243.0,245.0,238.0,243.0,1696118299305,1316532861.3219187,5452917.60045097,243.0,,0.0
KRW-BLUR,2023-09-29T00:00:00,2023-09-29T09:00:00,233.0,248.0,232.0,243.0,1696031988777,5638077541.785732,23363273.86742664,234.0,9.0,0.0384615385
KRW-BLUR,2023-09-28T00:00:00,2023-09-28T09:00:00,231.0,239.0,229.0,234.0,1695945446417,2563272853.183208,10991450.44829931,231.0,3.0,0.012987013
KRW-BLUR,2023-09-27T00:00:00,2023-09-27T09:00:00,232.0,235.0,228.0,231.0,1695859188314,2988547978.2670455,12965524.04927376,232.0,-1.0,-0.0043103448
KRW-BLUR,2023-09-26T00:00:00,2023-09-26T09:00:00,235.0,237.0,230.0,232.0,1695772746371,2457370124.443163,10574918.62370489,236.0,-4.0,-0.0169491525
KRW-BLUR,2023-09-25T00:00:00,2023-09-25T09:00:00,235.0,236.0,228.0,236.0,1695686386998,3749625694.7689366,16165897.02220719,235.0,1.0,0.0042553191
KRW-BLUR,2023-09-24T00:00:00,2023-09-24T09:00:00,244.0,244.0,233.0,235.0,1695599988809,4974009346.83966,20923401.73659196,243.0,-8.0,-0.0329218107
KRW-BLUR,2023-09-23T00:00:00,2023-09-23T09:00:00,250.0,251.0,241.0,243.0,1695513512860,3308853878.1040287,13552417.57308123,250.0,-7.0,-0.028
KRW-BLUR,2023-09-22T00:00:00,2023-09-22T09:00:00,248.0,250.0,238.0,250.0,1695427199614,5749867366.09628,23645836.37781454,249.0,1.0,0.0040160643
KRW-BLUR,2023-09-21T00:00:00,2023-09-21T09:00:00,237.0,278.0,236.0,249.0,1695340797844,33251421426.119007,131164744.49225225,238.0,11.0,0.0462184874
KRW-BLUR,2023-09-20T00:00:00,2023-09-20T09:00:00,237.0,240.0,231.0,238.0,1695254346033,3901540749.3148913,16588315.68153139,238.0,,0.0
KRW-BLUR,2023-09-19T00:00:00,2023-09-19T09:00:00,233.0,239.0,231.0,238.0,1695167659887,2498320152.2125993,10654445.53956844,234.0,4.0,0.0170940171
KRW-BLUR,2023-09-18T00:00:00,2023-09-18T09:00:00,236.0,240.0,230.0,234.0,1695081585869,3004306727.939181,12786548.42399113,236.0,-2.0,-0.0084745763
KRW-BLUR,2023-09-17T00:00:00,2023-09-17T09:00:00,251.0,252.0,232.0,236.0,1694995192086,2783000203.6084723,11461891.96996223,251.0,-15.0,-0.0597609562
KRW-BLUR,2023-09-16T00:00:00,2023-09-16T09:00:00,244.0,261.0,243.0,251.0,1694908781058,9371305492.65612,37180969.06252409,243.0,8.0,0.0329218107
