market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-CELO,2023-10-10T00:00:00,2023-10-10T09:00:00,572.0,581.0,565.0,572.0,1696982361307,1486657617.5076191,2592338.9040063,572.0,,0.0
KRW-CELO,2023-10-09T00:00:00,2023-10-09T09:00:00,593.0,594.0,561.0,572.0,1696895991599,2503930212.966872,4335583.71158253,593.0,-21.0,-0.0354131535
KRW-CELO,2023-10-08T00:00:00,2023-10-08T09:00:00,602.0,602.0,587.0,593.0,1696809585966,1757227308.5460813,2965620.11513044,602.0,-9.0,-0.0149501661
KRW-CELO,2023-10-07T00:00:00,2023-10-07T09:00:00,600.0,605.0,596.0,602.0,1696723171012,1598044861.321813,2661489.99699634,600.0,2.0,0.0033333333
KRW-CELO,2023-10-06T00:00:00,2023-10-06T09:00:00,584.0,603.0,582.0,600.0,1696636768888,2131720546.4900842,3599562.53033348,584.0,16.0,0.0273972603
KRW-CELO,2023-10-05T00:00:00,2023-10-05T09:00:00,585.0,592.0,578.0,584.0,1696550365375,1789965611.5646362,3064924.13442403,585.0,-1.0,-0.0017094017
KRW-CELO,2023-10-04T00:00:00,2023-10-04T09:00:00,592.0,592.0,570.0,585.0,1696463976370,3820184581.7685614,6570101.8686037,591.0,-6.0,-0.0101522843
KRW-CELO,2023-10-03T00:00:00,2023-10-03T09:00:00,608.0,617.0,591.0,591.0,1696377588897,3928918917.13169,6491259.54688415,608.0,-17.0,-0.0279605263
KRW-CELO,2023-10-02T00:00:00,2023-10-02T09:00:00,628.0,634.0,602.0,608.0,1696291161119,4359982860.298702,7030554.92514837,628.0,-20.0,-0.0318471338
KRW-CELO,2023-10-01T00:00:00,2023-10-01T09:00:00,613.0,634.0,609.0,628.0,1696204797899,3832415940.4001236,6171713.79798883,612.0,16.0,0.0261437908
KRW-CELO,2023-09-30T00:00:00,2023-09-30T09:00:00,608.0,625.0,606.0,612.0,1696118396780,4728673807.969402,7700531.99353573,608.0,4.0,0.0065789474
KRW-CELO,2023-09-29T00:00:00,2023-09-29T09:00:00,611.0,613.0,600.0,608.0,1696031891916,3373034702.348619,5564615.58519849,611.0,-3.0,-0.0049099836
KRW-CELO,2023-09-28T00:00:00,2023-09-28T09:00:00,611.0,619.0,602.0,611.0,1695945577108,3947510116.2011724,6484952.51075349,611.0,,0.0
KRW-CELO,2023-09-27T00:00:00,2023-09-27T09:00:00,615.0,624.0,600.0,611.0,1695859199403,7903816124.607519,12961934.94702828,615.0,-4.0,-0.006504065
KRW-CELO,2023-09-26T00:00:00,2023-09-26T09:00:00,627.0,674.0,605.0,615.0,1695772759008,17333844964.82149,27392083.32902097,627.0,-12.0,-0.019138756
KRW-CELO,2023-09-25T00:00:00,2023-09-25T09:00:00,600.0,663.0,590.0,627.0,1695686399383,28832746006.91789,45329492.53131891,599.0,28.0,0.0467445743
KRW-CELO,2023-09-24T00:00:00,2023-09-24T09:00:00,618.0,675.0,597.0,599.0,1695599974547,15910287092.712057,25097325.71241407,618.0,-19.0,-0.0307443366
KRW-CELO,2023-09-23T00:00:00,2023-09-23T09:00:00,608.0,620.0,604.0,618.0,1695513597428,2721812475.868242,4454422.74733337,609.0,9.0,0.0147783251
KRW-CELO,2023-09-22T00:00:00,2023-09-22T09:00:00,598.0,613.0,594.0,609.0,1695427168082,2972325291.7688336,4921239.52609953,598.0,11.0,0.0183946488
KRW-CELO,2023-09-21T00:00:00,2023-09-21T09:00:00,616.0,648.0,593.0,598.0,1695340778125,7965760431.611282,12849966.63435279,616.0,-18.0,-0.0292207792
KRW-CELO,2023-09-20T00:00:00,2023-09-20T09:00:00,614.0,622.0,602.0,616.0,1695254331598,4268964442.737498,6972706.89249739,615.0,1.0,0.0016260163
KRW-CELO,2023-09-19T00:00:00,2023-09-19T09:00:00,596.0,627.0,588.0,615.0,1695167991342,5924088671.357709,9712253.97144213,596.0,19.0,0.0318791946
KRW-CELO,2023-09-18T00:00:00,2023-09-18T09:00:00,570.0,618.0,562.0,596.0,1695081574314,9354721106.846823,15685006.7186871,570.0,26.0,0.0456140351
KRW-CELO,2023-09-17T00:00:00,2023-09-17T09:00:00,612.0,612.0,566.0,570.0,1694995181786,3654636313.0800776,6244761.17362807,612.0,-42.0,-0.068627451
KRW-CELO,2023-09-16T00:00:00,2023-09-16T09:00:00,581.0,617.0,580.0,612.0,1694908790904,10005939370.397615,16697476.89772816,581.0,31.0,0.0533562823
KRW-CELO,2023-09-15T00:00:00,2023-09-15T09:00:00,576.0,584.0,569.0,581.0,1694822395376,3406369353.662709,5927656.20776944,576.0,5.0,0.0086805556
KRW-CELO,2023-09-14T00:00:00,2023-09-14T09:00:00,573.0,585.0,567.0,576.0,1694735992050,5143793646.888297,8933057.15439601,574.0,2.0,0.0034843206
KRW-CELO,2023-09-13T00:00:00,2023-09-13T09:00:00,563.0,607.0,559.0,574.0,1694649577467,11855234500.263262,20442530.95934114,562.0,12.0,0.0213523132
KRW-CELO,2023-09-12T00:00:00,2023-09-12T09:00:00,549.0,589.0,546.0,562.0,1694563166847,6468391848.028362,11274374.26692054,548.0,14.0,0.0255474453
KRW-CELO,2023-09-11T00:00:00,2023-09-11T09:00:00,563.0,565.0,532.0,548.0,1694476760795,2082223502.7215457,3790941.5088713,563.0,-15.0,-0.026642984
