market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-CRO,2023-10-10T00:00:00,2023-10-10T09:00:00,67.7,72.1,66.5,67.0,1696982303370,4873519377.62458,71045035.21728496,67.7,-0.7,-0.0103397341
KRW-CRO,2023-10-09T00:00:00,2023-10-09T09:00:00,68.5,68.6,67.0,67.7,1696895940140,1757480460.020108,25955241.19153761,68.6,-0.9,-0.0131195335
KRW-CRO,2023-10-08T00:00:00,2023-10-08T09:00:00,68.7,68.8,68.0,68.6,1696809592668,920122217.0667006,13455995.10662331,68.6,,0.0
KRW-CRO,2023-10-07T00:00:00,2023-10-07T09:00:00,68.8,68.8,68.2,68.6,1696723041751,667743255.1223474,9751901.75612753,68.8,-0.2,-0.0029069767
KRW-CRO,2023-10-06T00:00:00,2023-10-06T09:00:00,68.2,68.9,68.0,68.8,1696636784501,555404849.1228014,8125228.60647063,67.9,0.9,0.0132547865
KRW-CRO,2023-10-05T00:00:00,2023-10-05T09:00:00,68.2,69.4,67.8,67.9,1696550366320,1410775626.29385,20625562.44806069,68.0,-0.1,-0.0014705882
KRW-CRO,2023-10-04T00:00:00,2023-10-04T09:00:00,68.3,68.6,67.4,68.0,1696463970028,1061380103.8740951,15615855.92408201,68.3,-0.3,-0.0043923865
KRW-CRO,2023-10-03T00:00:00,2023-10-03T09:00:00,69.0,69.4,68.1,68.3,1696377598070,1417046371.437051,20614617.69643527,69.0,-0.7,-0.0101449275
KRW-CRO,2023-10-02T00:00:00,2023-10-02T09:00:00,70.2,70.5,68.7,69.0,1696291199257,1629218274.4584968,23343304.0151191,70.2,-1.2,-0.0170940171
KRW-CRO,2023-10-01T00:00:00,2023-10-01T09:00:00,69.2,70.2,68.7,70.2,1696204782542,1273863222.7530599,18374642.96035019,69.2,1.0,0.0144508671
KRW-CRO,2023-09-30T00:00:00,2023-09-30T09:00:00,69.0,69.6,68.4,69.2,1696118399512,1302875824.734296,18924489.69700125,68.9,0.3,0.0043541364
KRW-CRO,2023-09-29T00:00:00,2023-09-29T09:00:00,68.5,69.1,68.3,68.9,1696031988469,1094467901.9529917,15944947.33316254,68.8,0.1,0.0014534884
KRW-CRO,2023-09-28T00:00:00,2023-09-28T09:00:00,68.2,68.9,68.0,68.8,1695945577168,1025713340.2786287,15001464.77110732,68.2,0.6,0.008797654
KRW-CRO,2023-09-27T00:00:00,2023-09-27T09:00:00,68.0,69.4,67.8,68.2,1695859181174,1370954383.0177355,20039299.88399936,68.0,0.2,0.0029411765
KRW-CRO,2023-09-26T00:00:00,2023-09-26T09:00:00,68.1,68.5,67.7,68.0,1695772764608,975181151.9515973,14342036.51371732,68.1,-0.1,-0.0014684288
KRW-CRO,2023-09-25T00:00:00,2023-09-25T09:00:00,68.6,68.7,67.8,68.1,1695686384267,1879892396.2345014,27580764.0064733,68.6,-0.5,-0.0072886297
KRW-CRO,2023-09-24T00:00:00,2023-09-24T09:00:00,68.5,74.6,68.4,68.6,1695599990905,9702518222.190258,137431708.2848891,68.4,0.2,0.0029239766
KRW-CRO,2023-09-23T00:00:00,2023-09-23T09:00:00,68.3,69.0,68.1,68.4,1695513587795,1785497350.3025568,26084295.51300745,68.3,0.1,0.0014641288
KRW-CRO,2023-09-22T00:00:00,2023-09-22T09:00:00,68.3,68.5,67.6,68.3,1695427175748,1307082125.5598273,19215046.08185838,68.2,0.1,0.0014662757
KRW-CRO,2023-09-21T00:00:00,2023-09-21T09:00:00,69.0,69.8,67.8,68.2,1695340799804,1838503836.8247905,26714423.15810586,69.0,-0.8,-0.0115942029
KRW-CRO,2023-09-20T00:00:00,2023-09-20T09:00:00,68.9,69.2,68.4,69.0,1695254348964,1241045538.07971,18051368.00559834,69.0,,0.0
KRW-CRO,2023-09-19T00:00:00,2023-09-19T09:00:00,68.8,69.1,68.3,69.0,1695167969039,1369844992.4493365,19956074.00944487,68.8,0.2,0.0029069767
KRW-CRO,2023-09-18T00:00:00,2023-09-18T09:00:00,69.1,70.0,68.5,68.8,1695081578930,1424235718.5480316,20640570.12517017,69.1,-0.3,-0.004341534
KRW-CRO,2023-09-17T00:00:00,2023-09-17T09:00:00,69.2,71.7,68.5,69.1,1694995178015,4095845068.8964167,58706680.48776379,69.2,-0.1,-0.0014450867
