market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-CVC,2023-10-10T00:00:00,2023-10-10T09:00:00,100.0,101.0,99.7,100.0,1696982303320,514705990.993331,5143081.49753224,100.0,,0.0
KRW-CVC,2023-10-09T00:00:00,2023-10-09T09:00:00,104.0,104.0,99.1,100.0,1696895920593,1655654313.6920984,16396520.0435469,104.0,-4.0,-0.0384615385
KRW-CVC,2023-10-08T00:00:00,2023-10-08T09:00:00,104.0,105.0,102.0,104.0,1696809569038,878997925.7697413,8501638.23736846,105.0,-1.0,-0.0095238095
KRW-CVC,2023-10-07T00:00:00,2023-10-07T09:00:00,104.0,107.0,103.0,105.0,1696723167457,1443620343.7799566,13718883.86170846,104.0,1.0,0.0096153846
KRW-CVC,2023-10-06T00:00:00,2023-10-06T09:00:00,103.0,105.0,101.0,104.0,1696636563283,1430071631.914752,13934062.78635132,103.0,1.0,0.0097087379
KRW-CVC,2023-10-05T00:00:00,2023-10-05T09:00:00,106.0,107.0,102.0,103.0,1696550389636,1596858315.059862,15352845.45608442,107.0,-4.0,-0.0373831776
KRW-CVC,2023-10-04T00:00:00,2023-10-04T09:00:00,109.0,110.0,104.0,107.0,1696463972728,4089219518.595536,38750498.81974398,110.0,-3.0,-0.0272727273
KRW-CVC,2023-10-03T00:00:00,2023-10-03T09:00:00,103.0,115.0,102.0,110.0,1696377599536,12411761612.947468,113108199.54395252,103.0,7.0,0.067961165
KRW-CVC,2023-10-02T00:00:00,2023-10-02T09:00:00,108.0,108.0,102.0,103.0,1696291153053,1007861252.8310581,9571393.10266204,107.0,-4.0,-0.0373831776
KRW-CVC,2023-10-01T00:00:00,2023-10-01T09:00:00,107.0,107.0,105.0,107.0,1696204757339,734028523.7993902,6902028.21813767,106.0,1.0,0.0094339623
KRW-CVC,2023-09-30T00:00:00,2023-09-30T09:00:00,105.0,107.0,105.0,106.0,1696118123244,310650701.7571501,2937330.53507671,106.0,,0.0
KRW-CVC,2023-09-29T00:00:00,2023-09-29T09:00:00,107.0,108.0,104.0,106.0,1696031929983,716506388.1048273,6766348.79490343,107.0,-1.0,-0.0093457944
KRW-CVC,2023-09-28T00:00:00,2023-09-28T09:00:00,104.0,108.0,103.0,107.0,1695945567597,1058170877.263734,10015266.75416569,103.0,4.0,0.0388349515
KRW-CVC,2023-09-27T00:00:00,2023-09-27T09:00:00,102.0,104.0,102.0,103.0,1695858988965,434782319.05433655,4249673.09806358,103.0,,0.0
KRW-CVC,2023-09-26T00:00:00,2023-09-26T09:00:00,103.0,104.0,101.0,103.0,1695772797299,543322610.2913243,5315323.01774619,103.0,,0.0
KRW-CVC,2023-09-25T00:00:00,2023-09-25T09:00:00,101.0,104.0,100.0,103.0,1695686398277,564800656.9944066,5538815.99420952,101.0,2.0,0.0198019802
KRW-CVC,2023-09-24T00:00:00,2023-09-24T09:00:00,105.0,105.0,101.0,101.0,1695599956326,447976356.50776106,4348046.7753503,105.0,-4.0,-0.0380952381
KRW-CVC,2023-09-23T00:00:00,2023-09-23T09:00:00,107.0,107.0,103.0,105.0,1695513553833,1332998389.0193522,12632695.75882655,107.0,-2.0,-0.0186915888
KRW-CVC,2023-09-22T00:00:00,2023-09-22T09:00:00,102.0,109.0,100.0,107.0,1695427186474,2812254326.296377,26595914.82792992,102.0,5.0,0.0490196078
KRW-CVC,2023-09-21T00:00:00,2023-09-21T09:00:00,104.0,105.0,99.0,102.0,1695340796485,1029247606.3928734,10161869.75547007,104.0,-2.0,-0.0192307692
KRW-CVC,2023-09-20T00:00:00,2023-09-20T09:00:00,98.5,105.0,98.2,104.0,1695254355289,1812289526.069055,17809105.98045343,98.6,5.4,0.0547667343
