market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-DKA,2023-10-10T00:00:00,2023-10-10T09:00:00,35.7,35.8,34.8,35.7,1696982398710,1539679787.4069126,43752638.5133126,35.8,-0.1,-0.0027932961
KRW-DKA,2023-10-09T00:00:00,2023-10-09T09:00:00,37.7,37.7,34.8,35.8,1696895967724,4135650593.77509,115028714.83780542,37.7,-1.9,-0.050397878
KRW-DKA,2023-10-08T00:00:00,2023-10-08T09:00:00,35.7,38.6,35.4,37.7,1696809597517,14449518419.370832,390658473.83629024,35.8,1.9,0.0530726257
KRW-DKA,2023-10-07T00:00:00,2023-10-07T09:00:00,35.7,36.2,35.5,35.8,1696723196948,877713523.0860579,24538691.58632849,35.8,,0.0
KRW-DKA,2023-10-06T00:00:00,2023-10-06T09:00:00,35.1,36.0,35.1,35.8,1696636791736,1333615805.2991204,37623160.28532105,35.1,0.7,0.0199430199
KRW-DKA,2023-10-05T00:00:00,2023-10-05T09:00:00,35.4,35.5,34.9,35.1,1696550361458,845799742.1927162,24052457.40761457,35.4,-0.3,-0.0084745763
KRW-DKA,2023-10-04T00:00:00,2023-10-04T09:00:00,35.8,35.8,34.6,35.4,1696463975569,1113998600.5661845,31744489.39471997,35.8,-0.4,-0.0111731844
KRW-DKA,2023-10-03T00:00:00,2023-10-03T09:00:00,35.7,36.7,35.3,35.8,1696377582433,2901115671.3919754,80645127.1359971,35.7,0.1,0.0028011204
KRW-DKA,2023-10-02T00:00:00,2023-10-02T09:00:00,36.8,37.2,35.2,35.7,1696291193839,2670206785.4086623,73407025.23146708,36.9,-1.2,-0.0325203252
KRW-DKA,2023-10-01T00:00:00,2023-10-01T09:00:00,36.2,39.5,35.8,36.9,1696204774792,18185421513.128147,484262823.9059209,36.2,0.7,0.0193370166
KRW-DKA,2023-09-30T00:00:00,2023-09-30T09:00:00,35.6,36.6,35.1,36.2,1696118391974,1534820346.6057024,43091116.58351616,35.6,0.6,0.0168539326
KRW-DKA,2023-09-29T00:00:00,2023-09-29T09:00:00,35.3,36.8,34.6,35.6,1696031997322,4568663812.173763,127606243.5108881,35.3,0.3,0.0084985836
KRW-DKA,2023-09-28T00:00:00,2023-09-28T09:00:00,34.4,35.4,33.6,35.3,1695945587937,1162911597.768931,33353566.96346292,34.4,0.9,0.0261627907
KRW-DKA,2023-09-27T00:00:00,2023-09-27T09:00:00,34.1,34.5,33.9,34.4,1695859171402,657511560.1591829,19224018.49939075,34.1,0.3,0.008797654
KRW-DKA,2023-09-26T00:00:00,2023-09-26T09:00:00,34.2,34.6,33.9,34.1,1695772782522,942658593.9628042,27543466.80832583,34.3,-0.2,-0.0058309038
KRW-DKA,2023-09-25T00:00:00,2023-09-25T09:00:00,34.2,34.4,33.3,34.3,1695686345193,1238666792.032757,36796790.06416014,34.0,0.3,0.0088235294
KRW-DKA,2023-09-24T00:00:00,2023-09-24T09:00:00,35.7,35.7,33.9,34.0,1695599997456,1651135523.8088744,47630830.46133194,35.7,-1.7,-0.0476190476
KRW-DKA,2023-09-23T00:00:00,2023-09-23T09:00:00,35.2,36.1,35.0,35.7,1695513590372,1795896303.4573615,50443374.53138323,35.2,0.5,0.0142045455
KRW-DKA,2023-09-22T00:00:00,2023-09-22T09:00:00,34.1,35.2,33.6,35.2,1695427195332,1353513241.3933754,39294605.30802939,33.9,1.3,0.0383480826
KRW-DKA,2023-09-21T00:00:00,2023-09-21T09:00:00,35.0,35.0,33.4,33.9,1695340772685,1602538820.177358,46875042.221358,35.0,-1.1,-0.0314285714
KRW-DKA,2023-09-20T00:00:00,2023-09-20T09:00:00,33.8,35.3,33.3,35.0,1695254399352,2441712518.499431,71536587.6004601,33.9,1.1,0.0324483776
KRW-DKA,2023-09-19T00:00:00,2023-09-19T09:00:00,33.3,34.3,33.0,33.9,1695167985962,2571155475.1992345,76483541.05909204,33.2,0.7,0.0210843373
KRW-DKA,2023-09-18T00:00:00,2023-09-18T09:00:00,33.0,33.7,32.3,33.2,1695081534043,982301593.1561333,29871454.1146344,33.0,0.2,0.0060606061
KRW-DKA,2023-09-17T00:00:00,2023-09-17T09:00:00,34.2,34.7,32.8,33.0,1694995177147,1762558668.3326802,52327426.50534233,34.1,-1.1,-0.0322580645
KRW-DKA,2023-09-16T00:00:00,2023-09-16T09:00:00,33.6,34.4,33.4,34.1,1694908775646,1814822605.0891044,53635176.80245746,33.6,0.5,0.0148809524
KRW-DKA,2023-09-15T00:00:00,2023-09-15T09:00:00,33.1,33.7,32.5,33.6,1694822396657,1366796942.3271935,41376986.94129177,33.2,0.4,0.0120481928
KRW-DKA,2023-09-14T00:00:00,2023-09-14T09:00:00,32.3,34.0,31.8,33.2,1694735997892,4588278083.936347,140373113.84693876,32.5,0.7,0.0215384615
KRW-DKA,2023-09-13T00:00:00,2023-09-13T09:00:00,31.2,32.6,31.0,32.5,1694649580655,1073427336.5897053,33571176.67323984,31.3,1.2,0.0383386581
KRW-DKA,2023-09-12T00:00:00,2023-09-12T09:00:00,31.0,31.8,30.5,31.3,1694563179993,629971464.8830703,20208688.90275606,31.0,0.3,0.0096774194
KRW-DKA,2023-09-11T00:00:00,2023-09-11T09:00:00,32.5,32.6,30.7,31.0,1694476607763,1214206957.6744993,38459324.51391285,32.5,-1.5,-0.0461538462
KRW-DKA,2023-09-10T00:00:00,2023-09-10T09:00:00,33.1,33.2,32.2,32.5,1694390310790,535383053.78519315,16443326.8681919,33.1,-0.6,-0.0181268882
KRW-DKA,2023-09-09T00:00:00,2023-09-09T09:00:00,33.1,33.3,32.7,33.1,1694303840195,423599065.8322658,12813360.52331705,33.2,-0.1,-0.0030120482
KRW-DKA,2023-09-08T00:00:00,2023-09-08T09:00:00,33.0,33.6,32.9,33.2,1694217590339,1037107253.5279152,31193960.7696842,32.9,0.3,0.009118541
KRW-DKA,2023-09-07T00:00:00,2023-09-07T09:00:00,32.6,33.3,32.5,32.9,1694131169134,794291075.3624623,24216109.70696482,32.6,0.3,0.009202454
KRW-DKA,2023-09-06T00:00:00,2023-09-06T09:00:00,32.6,33.5,32.5,32.6,1694044767209,912585935.0150712,27698720.94346703,32.6,,0.0
KRW-DKA,2023-09-05T00:00:00,2023-09-05T09:00:00,32.5,32.8,32.1,32.6,1693958373695,680590533.0899026,20973765.71832947,32.6,,0.0
KRW-DKA,2023-09-04T00:00:00,2023-09-04T09:00:00,32.8,33.2,32.2,32.6,1693871922501,488675633.1893478,14970105.9847317,32.8,-0.2,-0.006097561
KRW-DKA,2023-09-03T00:00:00,2023-09-03T09:00:00,32.8,33.4,32.4,32.8,1693785576747,541459522.3704054,16429305.92625246,32.9,-0.1,-0.0030395137
KRW-DKA,2023-09-02T00:00:00,2023-09-02T09:00:00,32.9,33.2,31.5,32.9,1693699191347,1258838189.6884458,38745088.01645439,32.9,,0.0
KRW-DKA,2023-09-01T00:00:00,2023-09-01T09:00:00,33.2,33.4,32.4,32.9,1693612748442,693917890.0762001,21093376.36422848,33.1,-0.2,-0.0060422961
KRW-DKA,2023-08-31T00:00:00,2023-08-31T09:00:00,34.0,34.2,33.0,33.1,1693526215520,831814489.4419298,24741427.21761228,34.1,-1.0,-0.0293255132
KRW-DKA,2023-08-30T00:00:00,2023-08-30T09:00:00,34.7,34.8,33.7,34.1,1693439988719,1012946475.4849479,29659341.38014158,34.7,-0.6,-0.0172910663
KRW-DKA,2023-08-29T00:00:00,2023-08-29T09:00:00,34.0,35.0,33.1,34.7,1693353564797,1472707773.7237167,43289756.24600827,34.0,0.7,0.0205882353
KRW-DKA,2023-08-28T00:00:00,2023-08-28T09:00:00,34.7,34.7,33.6,34.0,1693267197966,1278806386.9756095,37715826.30704787,34.6,-0.6,-0.0173410405
KRW-DKA,2023-08-27T00:00:00,2023-08-27T09:00:00,35.4,35.5,34.3,34.6,1693180798925,1625631535.5251515,46693477.27336317,35.5,-0.9,-0.0253521127
