market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-FCT2,2023-10-10T00:00:00,2023-10-10T09:00:00,76.8,77.3,73.4,74.2,1696982382630,5775057818.159156,77369156.99886791,76.9,-2.7,-0.0351105332
KRW-FCT2,2023-10-09T00:00:00,2023-10-09T09:00:00,74.8,81.3,71.9,76.9,1696895993024,49036385665.62471,634513192.0470386,74.7,2.2,0.0294511379
KRW-FCT2,2023-10-08T00:00:00,2023-10-08T09:00:00,76.8,78.0,74.5,74.7,1696809564135,3962773056.6119356,51973799.57609675,76.8,-2.1,-0.02734375
KRW-FCT2,2023-10-07T00:00:00,2023-10-07T09:00:00,78.2,78.3,75.9,76.8,1696723192995,2434899626.437013,31687833.41530145,78.1,-1.3,-0.0166453265
KRW-FCT2,2023-10-06T00:00:00,2023-10-06T09:00:00,77.3,79.0,74.2,78.1,1696636799235,7811267679.629896,101120288.31311068,77.5,0.6,0.0077419355
KRW-FCT2,2023-10-05T00:00:00,2023-10-05T09:00:00,74.5,77.8,73.2,77.5,1696550397841,6905717198.937142,90958698.64936836,74.4,3.1,0.0416666667
KRW-FCT2,2023-10-04T00:00:00,2023-10-04T09:00:00,73.2,74.6,70.8,74.4,1696463990524,3652218201.5496325,50377242.44217863,73.1,1.3,0.0177838577
KRW-FCT2,2023-10-03T00:00:00,2023-10-03T09:00:00,75.4,76.1,72.8,73.1,1696377597516,3584540560.5342507,48214969.39583955,75.6,-2.5,-0.0330687831
KRW-FCT2,2023-10-02T00:00:00,2023-10-02T09:00:00,77.6,77.9,74.9,75.6,1696291181783,2642436918.382269,34507979.47372006,77.7,-2.1,-0.027027027
KRW-FCT2,2023-10-01T00:00:00,2023-10-01T09:00:00,77.0,79.3,75.3,77.7,1696204792027,4885685539.649341,63334653.77638218,77.2,0.5,0.0064766839
KRW-FCT2,2023-09-30T00:00:00,2023-09-30T09:00:00,78.1,80.1,76.2,77.2,1696118399946,4373271650.184483,56070868.1033934,78.1,-0.9,-0.0115236876
KRW-FCT2,2023-09-29T00:00:00,2023-09-29T09:00:00,82.0,83.3,75.8,78.1,1696031995877,7342724457.456185,92037610.1764787,81.9,-3.8,-0.0463980464
KRW-FCT2,2023-09-28T00:00:00,2023-09-28T09:00:00,81.5,83.0,79.6,81.9,1695945599708,12330073508.612854,152144288.6496218,81.6,0.3,0.0036764706
KRW-FCT2,2023-09-27T00:00:00,2023-09-27T09:00:00,81.1,83.7,77.1,81.6,1695859198323,17243117130.31785,214109906.92304146,81.1,0.5,0.0061652281
KRW-FCT2,2023-09-26T00:00:00,2023-09-26T09:00:00,77.4,84.4,76.9,81.1,1695772797273,37112930167.414276,459704781.2589788,77.2,3.9,0.0505181347
KRW-FCT2,2023-09-25T00:00:00,2023-09-25T09:00:00,75.6,80.4,70.5,77.2,1695686399023,28827766882.122353,381778530.97277975,75.6,1.6,0.0211640212
KRW-FCT2,2023-09-24T00:00:00,2023-09-24T09:00:00,86.0,93.5,74.0,75.6,1695599999723,57521120393.17341,684922815.8174716,86.0,-10.4,-0.1209302326
KRW-FCT2,2023-09-23T00:00:00,2023-09-23T09:00:00,77.9,97.4,77.2,86.0,1695513598855,134357477742.20375,1511913646.2501307,78.0,8.0,0.1025641026
KRW-FCT2,2023-09-22T00:00:00,2023-09-22T09:00:00,73.2,78.9,72.7,78.0,1695427198960,12196558346.340542,159840146.06987876,73.5,4.5,0.0612244898
KRW-FCT2,2023-09-21T00:00:00,2023-09-21T09:00:00,77.7,78.4,70.1,73.5,1695340792995,8348593176.684403,113354531.15439582,77.7,-4.2,-0.0540540541
KRW-FCT2,2023-09-20T00:00:00,2023-09-20T09:00:00,72.4,79.4,70.9,77.7,1695254399708,25941730929.320515,340823738.6734016,72.5,5.2,0.0717241379
KRW-FCT2,2023-09-19T00:00:00,2023-09-19T09:00:00,71.9,72.8,69.2,72.5,1695167999546,4069554207.154868,57613742.76861404,71.9,0.6,0.0083449235
KRW-FCT2,2023-09-18T00:00:00,2023-09-18T09:00:00,74.2,74.2,67.8,71.9,1695081599866,8104555792.218477,114664264.89190552,74.2,-2.3,-0.0309973046
KRW-FCT2,2023-09-17T00:00:00,2023-09-17T09:00:00,70.6,74.4,68.2,74.2,1694995199753,15424529048.24887,216019066.52039704,70.6,3.6,0.0509915014
KRW-FCT2,2023-09-16T00:00:00,2023-09-16T09:00:00,67.5,74.4,67.5,70.6,1694908797919,30087572516.165283,423628536.8995313,67.6,3.0,0.0443786982
KRW-FCT2,2023-09-15T00:00:00,2023-09-15T09:00:00,66.4,68.1,64.5,67.6,1694822399994,3448411796.36604,51841357.43214753,66.4,1.2,0.0180722892
KRW-FCT2,2023-09-14T00:00:00,2023-09-14T09:00:00,61.9,66.5,61.9,66.4,1694735988001,5258040631.15243,82099673.42895116,61.9,4.5,0.0726978998
KRW-FCT2,2023-09-13T00:00:00,2023-09-13T09:00:00,60.1,62.4,59.8,61.9,1694649597074,1088626239.8039622,17872855.21460366,60.1,1.8,0.0299500832
KRW-FCT2,2023-09-12T00:00:00,2023-09-12T09:00:00,59.6,60.6,58.9,60.1,1694563190331,919177276.8976283,15355609.79942249,59.7,0.4,0.0067001675
KRW-FCT2,2023-09-11T00:00:00,2023-09-11T09:00:00,61.5,62.5,58.6,59.7,1694476797987,1629183036.0681899,26922401.15257554,61.7,-2.0,-0.0324149109
KRW-FCT2,2023-09-10T00:00:00,2023-09-10T09:00:00,62.9,63.2,61.3,61.7,1694390399820,863508827.8046014,13918157.60405296,62.9,-1.2,-0.0190779014
