market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-FLOW,2023-10-10T00:00:00,2023-10-10T09:00:00,573.0,596.0,566.0,581.0,1696982397432,7122932688.622164,12265274.11403571,572.0,9.0,0.0157342657
KRW-FLOW,2023-10-09T00:00:00,2023-10-09T09:00:00,600.0,610.0,560.0,572.0,1696895988275,7984317974.546854,13728873.43870935,598.0,-26.0,-0.0434782609
KRW-FLOW,2023-10-08T00:00:00,2023-10-08T09:00:00,606.0,607.0,590.0,598.0,1696809583688,3816848831.2543883,6379636.23679328,607.0,-9.0,-0.0148270181
KRW-FLOW,2023-10-07T00:00:00,2023-10-07T09:00:00,596.0,619.0,594.0,607.0,1696723197668,8717731341.064814,14376238.51283924,596.0,11.0,0.0184563758
KRW-FLOW,2023-10-06T00:00:00,2023-10-06T09:00:00,585.0,598.0,584.0,596.0,1696636754386,3545607716.5903206,6005775.30211988,585.0,11.0,0.0188034188
KRW-FLOW,2023-10-05T00:00:00,2023-10-05T09:00:00,593.0,593.0,580.0,585.0,1696550398520,4076063027.2907014,6959932.83464536,591.0,-6.0,-0.0101522843
KRW-FLOW,2023-10-04T00:00:00,2023-10-04T09:00:00,600.0,603.0,576.0,591.0,1696463999131,6209372500.139432,10582663.07698897,603.0,-12.0,-0.0199004975
KRW-FLOW,2023-10-03T00:00:00,2023-10-03T09:00:00,612.0,621.0,599.0,603.0,1696377597335,6900133143.510382,11290399.19780774,612.0,-9.0,-0.0147058824
KRW-FLOW,2023-10-02T00:00:00,2023-10-02T09:00:00,635.0,644.0,605.0,612.0,1696291195879,8388813728.7910595,13356126.04728421,635.0,-23.0,-0.0362204724
KRW-FLOW,2023-10-01T00:00:00,2023-10-01T09:00:00,621.0,636.0,617.0,635.0,1696204795783,5468019071.143266,8734012.35671081,622.0,13.0,0.0209003215
KRW-FLOW,2023-09-30T00:00:00,2023-09-30T09:00:00,618.0,625.0,612.0,622.0,1696118397395,4578635492.959418,7408265.67712599,617.0,5.0,0.0081037277
KRW-FLOW,2023-09-29T00:00:00,2023-09-29T09:00:00,608.0,623.0,603.0,617.0,1696031999226,5289046056.94566,8663547.96689758,608.0,9.0,0.0148026316
KRW-FLOW,2023-09-28T00:00:00,2023-09-28T09:00:00,603.0,611.0,599.0,608.0,1695945542262,3124058564.2601857,5165679.61392501,603.0,5.0,0.008291874
KRW-FLOW,2023-09-27T00:00:00,2023-09-27T09:00:00,602.0,608.0,596.0,603.0,1695859183869,4326719577.802737,7196858.32559507,602.0,1.0,0.0016611296
KRW-FLOW,2023-09-26T00:00:00,2023-09-26T09:00:00,604.0,608.0,596.0,602.0,1695772795431,4837000217.640216,8028369.14921815,603.0,-1.0,-0.0016583748
KRW-FLOW,2023-09-25T00:00:00,2023-09-25T09:00:00,597.0,628.0,592.0,603.0,1695686397097,15481781106.362638,25456943.55038901,597.0,6.0,0.0100502513
KRW-FLOW,2023-09-24T00:00:00,2023-09-24T09:00:00,611.0,614.0,594.0,597.0,1695599968716,5665988057.245191,9384723.05611362,610.0,-13.0,-0.0213114754
KRW-FLOW,2023-09-23T00:00:00,2023-09-23T09:00:00,602.0,618.0,594.0,610.0,1695513597797,6468551206.43106,10683452.6789641,602.0,8.0,0.0132890365
KRW-FLOW,2023-09-22T00:00:00,2023-09-22T09:00:00,601.0,603.0,588.0,602.0,1695427197179,4473321567.873084,7515081.10294014,600.0,2.0,0.0033333333
KRW-FLOW,2023-09-21T00:00:00,2023-09-21T09:00:00,603.0,644.0,589.0,600.0,1695340799802,19324248654.3749,31332688.97392493,604.0,-4.0,-0.0066225166
KRW-FLOW,2023-09-20T00:00:00,2023-09-20T09:00:00,604.0,607.0,588.0,604.0,1695254364385,5462058609.362552,9147900.5184809,604.0,,0.0
KRW-FLOW,2023-09-19T00:00:00,2023-09-19T09:00:00,602.0,610.0,589.0,604.0,1695167985014,6629244296.571522,11052074.41242635,603.0,1.0,0.0016583748
KRW-FLOW,2023-09-18T00:00:00,2023-09-18T09:00:00,587.0,616.0,587.0,603.0,1695081582271,17425965422.477245,28820955.33904248,588.0,15.0,0.0255102041
KRW-FLOW,2023-09-17T00:00:00,2023-09-17T09:00:00,637.0,650.0,584.0,588.0,1694995164618,14293475643.839956,23362169.48194554,637.0,-49.0,-0.0769230769
KRW-FLOW,2023-09-16T00:00:00,2023-09-16T09:00:00,584.0,670.0,582.0,637.0,1694908797743,52722970311.349785,84098059.53878433,583.0,54.0,0.0926243568
KRW-FLOW,2023-09-15T00:00:00,2023-09-15T09:00:00,577.0,586.0,565.0,583.0,1694822398001,4695873630.250786,8175372.259422,576.0,7.0,0.0121527778
KRW-FLOW,2023-09-14T00:00:00,2023-09-14T09:00:00,566.0,586.0,562.0,576.0,1694735967503,5650467168.754698,9833366.53470377,566.0,10.0,0.0176678445
KRW-FLOW,2023-09-13T00:00:00,2023-09-13T09:00:00,555.0,570.0,551.0,566.0,1694649574592,2894184936.4976673,5178065.08323177,555.0,11.0,0.0198198198
KRW-FLOW,2023-09-12T00:00:00,2023-09-12T09:00:00,546.0,567.0,543.0,555.0,1694563195498,4346191259.063342,7811809.9154819,546.0,9.0,0.0164835165
KRW-FLOW,2023-09-11T00:00:00,2023-09-11T09:00:00,570.0,571.0,535.0,546.0,1694476782939,8292663580.485903,15032141.45862946,570.0,-24.0,-0.0421052632
KRW-FLOW,2023-09-10T00:00:00,2023-09-10T09:00:00,589.0,590.0,562.0,570.0,1694390396003,6196895712.837297,10783399.91454049,590.0,-20.0,-0.0338983051
KRW-FLOW,2023-09-09T00:00:00,2023-09-09T09:00:00,592.0,593.0,586.0,590.0,1694303938894,1890516349.2645752,3207703.09981947,592.0,-2.0,-0.0033783784
KRW-FLOW,2023-09-08T00:00:00,2023-09-08T09:00:00,598.0,599.0,584.0,592.0,1694217590355,2927305927.2954283,4943971.67354378,598.0,-6.0,-0.0100334448
KRW-FLOW,2023-09-07T00:00:00,2023-09-07T09:00:00,594.0,600.0,586.0,598.0,1694131182273,2972049463.3460584,5020647.87406434,594.0,4.0,0.0067340067
KRW-FLOW,2023-09-06T00:00:00,2023-09-06T09:00:00,595.0,605.0,581.0,594.0,1694044709987,4687293775.259033,7910308.39393229,595.0,-1.0,-0.0016806723
KRW-FLOW,2023-09-05T00:00:00,2023-09-05T09:00:00,594.0,599.0,582.0,595.0,1693958383650,4443933848.580791,7523069.62842926,594.0,1.0,0.0016835017
KRW-FLOW,2023-09-04T00:00:00,2023-09-04T09:00:00,585.0,600.0,579.0,594.0,1693871989028,6575177433.266633,11160232.22536037,585.0,9.0,0.0153846154
KRW-FLOW,2023-09-03T00:00:00,2023-09-03T09:00:00,586.0,589.0,577.0,585.0,1693785572733,3754211959.5560565,6442044.93094043,585.0,,0.0
KRW-FLOW,2023-09-02T00:00:00,2023-09-02T09:00:00,590.0,592.0,577.0,585.0,1693699199233,5309194253.590909,9103904.52994869,590.0,-5.0,-0.0084745763
KRW-FLOW,2023-09-01T00:00:00,2023-09-01T09:00:00,600.0,603.0,583.0,590.0,1693612789699,5686958957.540802,9573326.4845172,600.0,-10.0,-0.0166666667
KRW-FLOW,2023-08-31T00:00:00,2023-08-31T09:00:00,629.0,629.0,597.0,600.0,1693526382530,6074723099.838796,9896385.07773289,629.0,-29.0,-0.0461049285
KRW-FLOW,2023-08-30T00:00:00,2023-08-30T09:00:00,644.0,669.0,623.0,629.0,1693439909839,11370665427.818377,17602502.09257897,643.0,-14.0,-0.0217729393
KRW-FLOW,2023-08-29T00:00:00,2023-08-29T09:00:00,616.0,648.0,596.0,643.0,1693353584772,8367774622.302983,13373848.60842432,616.0,27.0,0.0438311688
KRW-FLOW,2023-08-28T00:00:00,2023-08-28T09:00:00,616.0,618.0,596.0,616.0,1693267087335,4284652800.4617724,7079251.01709267,616.0,,0.0
KRW-FLOW,2023-08-27T00:00:00,2023-08-27T09:00:00,613.0,619.0,608.0,616.0,1693180772730,1899972891.0859025,3100298.2688642,613.0,3.0,0.0048939641
KRW-FLOW,2023-08-26T00:00:00,2023-08-26T09:00:00,615.0,618.0,609.0,613.0,1693094328486,1624000492.5144525,2645335.311913,615.0,-2.0,-0.0032520325
KRW-FLOW,2023-08-25T00:00:00,2023-08-25T09:00:00,621.0,621.0,602.0,615.0,1693007985202,4787969905.235249,7858449.47530456,621.0,-6.0,-0.0096618357
KRW-FLOW,2023-08-24T00:00:00,2023-08-24T09:00:00,635.0,635.0,613.0,621.0,1692921591056,3826073117.002479,6143945.05004217,634.0,-13.0,-0.0205047319
KRW-FLOW,2023-08-23T00:00:00,2023-08-23T09:00:00,625.0,643.0,617.0,634.0,1692835188687,4367460920.309875,6945248.13475323,625.0,9.0,0.0144
KRW-FLOW,2023-08-22T00:00:00,2023-08-22T09:00:00,630.0,633.0,606.0,625.0,1692748788295,4495253565.281231,7240371.9772965,630.0,-5.0,-0.0079365079
KRW-FLOW,2023-08-21T00:00:00,2023-08-21T09:00:00,643.0,644.0,615.0,630.0,1692662392823,5473480991.439457,8724681.3789572,644.0,-14.0,-0.0217391304
KRW-FLOW,2023-08-20T00:00:00,2023-08-20T09:00:00,641.0,672.0,632.0,644.0,1692575996165,10829701682.920977,16603135.63447,640.0,4.0,0.00625
KRW-FLOW,2023-08-19T00:00:00,2023-08-19T09:00:00,627.0,642.0,620.0,640.0,1692489591587,3610984777.2451034,5737826.3765156,627.0,13.0,0.0207336523
KRW-FLOW,2023-08-18T00:00:00,2023-08-18T09:00:00,614.0,631.0,602.0,627.0,1692403178194,6956497763.10706,11282258.71569857,613.0,14.0,0.0228384992
KRW-FLOW,2023-08-17T00:00:00,2023-08-17T09:00:00,660.0,676.0,593.0,613.0,1692316788591,11542767816.142506,18046233.11777016,660.0,-47.0,-0.0712121212
KRW-FLOW,2023-08-16T00:00:00,2023-08-16T09:00:00,704.0,707.0,651.0,660.0,1692230398345,10429507904.618591,15299888.22202427,704.0,-44.0,-0.0625
KRW-FLOW,2023-08-15T00:00:00,2023-08-15T09:00:00,740.0,741.0,684.0,704.0,1692143991177,6789324655.569237,9407111.0797208,740.0,-36.0,-0.0486486486
KRW-FLOW,2023-08-14T00:00:00,2023-08-14T09:00:00,743.0,746.0,730.0,740.0,1692057582114,4401642946.031266,5955781.72635253,743.0,-3.0,-0.0040376851
KRW-FLOW,2023-08-13T00:00:00,2023-08-13T09:00:00,746.0,755.0,741.0,743.0,1691971135920,4878501250.339988,6528499.17269448,746.0,-3.0,-0.0040214477
KRW-FLOW,2023-08-12T00:00:00,2023-08-12T09:00:00,744.0,748.0,738.0,746.0,1691884702749,2787299417.340673,3748416.08211174,743.0,3.0,0.0040376851
