market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-GLM,2023-10-10T00:00:00,2023-10-10T09:00:00,248.0,248.0,243.0,246.0,1696982390178,976038495.527485,3981977.55336717,248.0,-2.0,-0.0080645161
KRW-GLM,2023-10-09T00:00:00,2023-10-09T09:00:00,256.0,261.0,243.0,248.0,1696895971145,2941542794.462575,11722284.72482738,256.0,-8.0,-0.03125
KRW-GLM,2023-10-08T00:00:00,2023-10-08T09:00:00,253.0,260.0,248.0,256.0,1696809580118,2916276708.9738536,11475776.4203564,253.0,3.0,0.0118577075
KRW-GLM,2023-10-07T00:00:00,2023-10-07T09:00:00,252.0,253.0,248.0,253.0,1696723188023,1283926146.4128306,5119590.05488747,252.0,1.0,0.003968254
KRW-GLM,2023-10-06T00:00:00,2023-10-06T09:00:00,247.0,254.0,241.0,252.0,1696636798139,2533816317.5656877,10303433.93087753,247.0,5.0,0.020242915
KRW-GLM,2023-10-05T00:00:00,2023-10-05T09:00:00,245.0,263.0,244.0,247.0,1696550383175,7723853026.451967,30600764.43319202,245.0,2.0,0.0081632653
KRW-GLM,2023-10-04T00:00:00,2023-10-04T09:00:00,248.0,250.0,241.0,245.0,1696463810850,1321531661.2071135,5395073.4383023,249.0,-4.0,-0.016064257
KRW-GLM,2023-10-03T00:00:00,2023-10-03T09:00:00,244.0,258.0,242.0,249.0,1696377575034,3891715935.6108785,15513584.72680985,244.0,5.0,0.0204918033
KRW-GLM,2023-10-02T00:00:00,2023-10-02T09:00:00,253.0,254.0,243.0,244.0,1696291176697,1504963971.9894512,6030423.49262453,252.0,-8.0,-0.0317460317
KRW-GLM,2023-10-01T00:00:00,2023-10-01T09:00:00,253.0,254.0,247.0,252.0,1696204799828,1639869223.7049413,6550954.29986817,254.0,-2.0,-0.0078740157
KRW-GLM,2023-09-30T00:00:00,2023-09-30T09:00:00,243.0,254.0,240.0,254.0,1696118399852,3139890537.7335434,12687231.6791552,243.0,11.0,0.0452674897
KRW-GLM,2023-09-29T00:00:00,2023-09-29T09:00:00,240.0,248.0,239.0,243.0,1696031990163,1343113801.5542948,5518830.14245986,241.0,2.0,0.0082987552
KRW-GLM,2023-09-28T00:00:00,2023-09-28T09:00:00,238.0,242.0,236.0,241.0,1695945584484,1045622465.4598833,4377021.17498502,238.0,3.0,0.012605042
KRW-GLM,2023-09-27T00:00:00,2023-09-27T09:00:00,235.0,240.0,234.0,238.0,1695859036140,846730274.0965893,3571449.51282366,236.0,2.0,0.0084745763
KRW-GLM,2023-09-26T00:00:00,2023-09-26T09:00:00,237.0,243.0,234.0,236.0,1695772767566,970950710.6321343,4093261.65141482,237.0,-1.0,-0.0042194093
KRW-GLM,2023-09-25T00:00:00,2023-09-25T09:00:00,234.0,246.0,229.0,237.0,1695686387643,2617429544.1266284,11074675.39790689,236.0,1.0,0.0042372881
KRW-GLM,2023-09-24T00:00:00,2023-09-24T09:00:00,245.0,260.0,234.0,236.0,1695599979179,6022798167.540467,24316165.01213527,245.0,-9.0,-0.0367346939
KRW-GLM,2023-09-23T00:00:00,2023-09-23T09:00:00,245.0,247.0,242.0,245.0,1695513592312,1343311820.0060093,5505530.37501418,246.0,-1.0,-0.0040650407
KRW-GLM,2023-09-22T00:00:00,2023-09-22T09:00:00,240.0,246.0,236.0,246.0,1695427198248,1520375962.6274254,6295202.97528813,240.0,6.0,0.025
KRW-GLM,2023-09-21T00:00:00,2023-09-21T09:00:00,240.0,242.0,234.0,240.0,1695340750353,1441273343.9303865,6049755.49357723,240.0,,0.0
KRW-GLM,2023-09-20T00:00:00,2023-09-20T09:00:00,236.0,241.0,232.0,240.0,1695254356052,1873722881.739469,7932544.18714034,236.0,4.0,0.0169491525
KRW-GLM,2023-09-19T00:00:00,2023-09-19T09:00:00,233.0,238.0,232.0,236.0,1695167998334,1075194202.617314,4586172.28145055,233.0,3.0,0.0128755365
KRW-GLM,2023-09-18T00:00:00,2023-09-18T09:00:00,237.0,238.0,227.0,233.0,1695081524285,1591240869.855488,6848670.30901388,236.0,-3.0,-0.0127118644
KRW-GLM,2023-09-17T00:00:00,2023-09-17T09:00:00,238.0,240.0,230.0,236.0,1694995196139,2092523230.6426678,8891556.74867781,239.0,-3.0,-0.0125523013
KRW-GLM,2023-09-16T00:00:00,2023-09-16T09:00:00,236.0,240.0,235.0,239.0,1694908755041,1401789427.5197055,5904268.06914299,236.0,3.0,0.0127118644
KRW-GLM,2023-09-15T00:00:00,2023-09-15T09:00:00,232.0,239.0,226.0,236.0,1694822368731,1955843620.6434617,8364268.34413712,232.0,4.0,0.0172413793
KRW-GLM,2023-09-14T00:00:00,2023-09-14T09:00:00,225.0,233.0,225.0,232.0,1694735996090,1960036245.6468375,8546868.84268546,226.0,6.0,0.0265486726
KRW-GLM,2023-09-13T00:00:00,2023-09-13T09:00:00,219.0,227.0,218.0,226.0,1694649518107,2036517212.25656,9113490.30358334,219.0,7.0,0.0319634703
