market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-GMT,2023-10-10T00:00:00,2023-10-10T09:00:00,197.0,198.0,193.0,195.0,1696982388383,2872716164.434146,14736079.41473841,197.0,-2.0,-0.0101522843
KRW-GMT,2023-10-09T00:00:00,2023-10-09T09:00:00,207.0,209.0,194.0,197.0,1696895993112,3985869038.4948854,19897865.18201678,208.0,-11.0,-0.0528846154
KRW-GMT,2023-10-08T00:00:00,2023-10-08T09:00:00,209.0,209.0,204.0,208.0,1696809478868,1408535276.774729,6813818.13151209,209.0,-1.0,-0.004784689
KRW-GMT,2023-10-07T00:00:00,2023-10-07T09:00:00,208.0,209.0,207.0,209.0,1696723166141,1342732541.5882516,6454986.18426051,208.0,1.0,0.0048076923
KRW-GMT,2023-10-06T00:00:00,2023-10-06T09:00:00,204.0,208.0,203.0,208.0,1696636795472,2288917057.3612304,11171567.58283521,204.0,4.0,0.0196078431
KRW-GMT,2023-10-05T00:00:00,2023-10-05T09:00:00,206.0,208.0,202.0,204.0,1696550373027,1637964650.2594633,8020568.58868694,206.0,-2.0,-0.0097087379
KRW-GMT,2023-10-04T00:00:00,2023-10-04T09:00:00,208.0,209.0,201.0,206.0,1696463953918,2912650622.713857,14211546.76815279,209.0,-3.0,-0.014354067
KRW-GMT,2023-10-03T00:00:00,2023-10-03T09:00:00,214.0,222.0,207.0,209.0,1696377592438,5039693305.197318,23376906.55913293,214.0,-5.0,-0.023364486
KRW-GMT,2023-10-02T00:00:00,2023-10-02T09:00:00,223.0,224.0,211.0,214.0,1696291169361,3257771530.9109626,14899819.99517966,223.0,-9.0,-0.0403587444
KRW-GMT,2023-10-01T00:00:00,2023-10-01T09:00:00,217.0,224.0,214.0,223.0,1696204790685,3082271755.94551,14102309.55173701,217.0,6.0,0.0276497696
KRW-GMT,2023-09-30T00:00:00,2023-09-30T09:00:00,215.0,218.0,211.0,217.0,1696118360113,2088502146.7921417,9747757.16687536,215.0,2.0,0.0093023256
KRW-GMT,2023-09-29T00:00:00,2023-09-29T09:00:00,210.0,216.0,207.0,215.0,1696031999587,2257589795.7103415,10667032.34062209,210.0,5.0,0.0238095238
KRW-GMT,2023-09-28T00:00:00,2023-09-28T09:00:00,205.0,211.0,204.0,210.0,1695945514223,1972033539.034075,9507238.57261071,206.0,4.0,0.0194174757
KRW-GMT,2023-09-27T00:00:00,2023-09-27T09:00:00,207.0,209.0,204.0,206.0,1695859186458,2251466514.2968755,10916971.6095153,207.0,-1.0,-0.0048309179
KRW-GMT,2023-09-26T00:00:00,2023-09-26T09:00:00,206.0,210.0,205.0,207.0,1695772680232,3275299084.6543555,15777901.94416275,206.0,1.0,0.0048543689
KRW-GMT,2023-09-25T00:00:00,2023-09-25T09:00:00,202.0,207.0,200.0,206.0,1695686380357,2883130625.2591376,14147412.61785571,202.0,4.0,0.0198019802
KRW-GMT,2023-09-24T00:00:00,2023-09-24T09:00:00,208.0,217.0,201.0,202.0,1695599993603,8844379667.387085,42325772.27607468,208.0,-6.0,-0.0288461538
KRW-GMT,2023-09-23T00:00:00,2023-09-23T09:00:00,205.0,208.0,204.0,208.0,1695513518038,2446554783.3697386,11889928.89115463,205.0,3.0,0.0146341463
KRW-GMT,2023-09-22T00:00:00,2023-09-22T09:00:00,203.0,206.0,202.0,205.0,1695427199187,3350428026.1127276,16428587.7577645,204.0,1.0,0.0049019608
KRW-GMT,2023-09-21T00:00:00,2023-09-21T09:00:00,209.0,216.0,202.0,204.0,1695340792150,6010181867.7899685,28790943.53261915,209.0,-5.0,-0.023923445
KRW-GMT,2023-09-20T00:00:00,2023-09-20T09:00:00,211.0,213.0,204.0,209.0,1695254383878,2295501041.9884205,11034672.55409886,211.0,-2.0,-0.009478673
KRW-GMT,2023-09-19T00:00:00,2023-09-19T09:00:00,209.0,212.0,206.0,211.0,1695167983850,1968982474.763418,9421423.65029309,208.0,3.0,0.0144230769
KRW-GMT,2023-09-18T00:00:00,2023-09-18T09:00:00,206.0,213.0,202.0,208.0,1695081581648,1698184095.943883,8154646.62237193,206.0,2.0,0.0097087379
KRW-GMT,2023-09-17T00:00:00,2023-09-17T09:00:00,214.0,214.0,204.0,206.0,1694995138651,1973410252.375981,9479020.40100494,214.0,-8.0,-0.0373831776
KRW-GMT,2023-09-16T00:00:00,2023-09-16T09:00:00,209.0,214.0,208.0,214.0,1694908776865,3153307138.972772,14963489.10406165,209.0,5.0,0.023923445
KRW-GMT,2023-09-15T00:00:00,2023-09-15T09:00:00,205.0,210.0,203.0,209.0,1694822332952,2694432795.681633,13077397.73360397,204.0,5.0,0.0245098039
KRW-GMT,2023-09-14T00:00:00,2023-09-14T09:00:00,198.0,208.0,196.0,204.0,1694735986389,4765256916.3799,23559815.74161168,198.0,6.0,0.0303030303
KRW-GMT,2023-09-13T00:00:00,2023-09-13T09:00:00,196.0,202.0,195.0,198.0,1694649589965,2619379103.1571965,13250710.08355623,196.0,2.0,0.0102040816
KRW-GMT,2023-09-12T00:00:00,2023-09-12T09:00:00,196.0,201.0,194.0,196.0,1694563119670,3584293766.6505504,18101476.69054583,196.0,,0.0
KRW-GMT,2023-09-11T00:00:00,2023-09-11T09:00:00,206.0,208.0,194.0,196.0,1694476760754,4529760092.639165,22737857.25006135,207.0,-11.0,-0.0531400966
KRW-GMT,2023-09-10T00:00:00,2023-09-10T09:00:00,218.0,218.0,205.0,207.0,1694390355300,2504613945.6779704,11987390.5610578,218.0,-11.0,-0.0504587156
KRW-GMT,2023-09-09T00:00:00,2023-09-09T09:00:00,221.0,221.0,216.0,218.0,1694303983897,628792695.6294004,2876048.1108284,220.0,-2.0,-0.0090909091
