market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-GRS,2023-10-10T00:00:00,2023-10-10T09:00:00,649.0,683.0,631.0,644.0,1696982373359,14467202422.540806,22033819.47260453,650.0,-6.0,-0.0092307692
KRW-GRS,2023-10-09T00:00:00,2023-10-09T09:00:00,675.0,686.0,629.0,650.0,1696895999783,11737625903.240591,18032093.36965447,676.0,-26.0,-0.0384615385
KRW-GRS,2023-10-08T00:00:00,2023-10-08T09:00:00,742.0,756.0,669.0,676.0,1696809599187,35708144393.69983,50504624.77723156,743.0,-67.0,-0.0901749664
KRW-GRS,2023-10-07T00:00:00,2023-10-07T09:00:00,649.0,792.0,647.0,743.0,1696723199370,167000461594.81854,224031483.65857562,650.0,93.0,0.1430769231
KRW-GRS,2023-10-06T00:00:00,2023-10-06T09:00:00,648.0,657.0,636.0,650.0,1696636794116,4911834676.578461,7628371.1298468,648.0,2.0,0.0030864198
KRW-GRS,2023-10-05T00:00:00,2023-10-05T09:00:00,635.0,657.0,635.0,648.0,1696550397510,7227840553.277319,11228044.78672221,635.0,13.0,0.0204724409
KRW-GRS,2023-10-04T00:00:00,2023-10-04T09:00:00,646.0,658.0,622.0,635.0,1696463992919,3800610435.4901047,6007539.10824478,646.0,-11.0,-0.0170278638
KRW-GRS,2023-10-03T00:00:00,2023-10-03T09:00:00,671.0,672.0,644.0,646.0,1696377595181,4214978171.216523,6447688.01444644,671.0,-25.0,-0.0372578241
KRW-GRS,2023-10-02T00:00:00,2023-10-02T09:00:00,687.0,688.0,670.0,671.0,1696291188110,4425468548.626515,6539701.50278177,688.0,-17.0,-0.0247093023
KRW-GRS,2023-10-01T00:00:00,2023-10-01T09:00:00,669.0,702.0,669.0,688.0,1696204786359,16597864971.214426,24160218.30110841,670.0,18.0,0.0268656716
KRW-GRS,2023-09-30T00:00:00,2023-09-30T09:00:00,663.0,683.0,658.0,670.0,1696118379131,8064760118.648184,11993038.56982636,663.0,7.0,0.0105580694
KRW-GRS,2023-09-29T00:00:00,2023-09-29T09:00:00,672.0,673.0,651.0,663.0,1696031997287,3353006071.5588446,5058060.53943696,673.0,-10.0,-0.014858841
KRW-GRS,2023-09-28T00:00:00,2023-09-28T09:00:00,674.0,676.0,665.0,673.0,1695945578416,3660645823.691908,5467636.81322469,674.0,-1.0,-0.0014836795
KRW-GRS,2023-09-27T00:00:00,2023-09-27T09:00:00,670.0,693.0,663.0,674.0,1695859188680,10165018778.288757,15033527.82107099,671.0,3.0,0.0044709389
KRW-GRS,2023-09-26T00:00:00,2023-09-26T09:00:00,676.0,681.0,662.0,671.0,1695772792723,5682036724.560141,8481256.41785503,677.0,-6.0,-0.0088626292
KRW-GRS,2023-09-25T00:00:00,2023-09-25T09:00:00,701.0,714.0,650.0,677.0,1695686399623,10405497693.41748,15435666.01067025,702.0,-25.0,-0.0356125356
KRW-GRS,2023-09-24T00:00:00,2023-09-24T09:00:00,699.0,759.0,692.0,702.0,1695599998298,42172324325.06514,58333195.71690502,699.0,3.0,0.0042918455
KRW-GRS,2023-09-23T00:00:00,2023-09-23T09:00:00,718.0,720.0,691.0,699.0,1695513583094,6774857046.606609,9674382.59091788,719.0,-20.0,-0.0278164117
KRW-GRS,2023-09-22T00:00:00,2023-09-22T09:00:00,714.0,725.0,693.0,719.0,1695427199140,8309756332.6796665,11745132.07308532,715.0,4.0,0.0055944056
KRW-GRS,2023-09-21T00:00:00,2023-09-21T09:00:00,764.0,784.0,697.0,715.0,1695340793895,17668996218.907616,24388446.40314586,765.0,-50.0,-0.0653594771
KRW-GRS,2023-09-20T00:00:00,2023-09-20T09:00:00,820.0,840.0,743.0,765.0,1695254393327,40047904214.17891,50197747.47006716,822.0,-57.0,-0.0693430657
KRW-GRS,2023-09-19T00:00:00,2023-09-19T09:00:00,807.0,852.0,767.0,822.0,1695167998592,94122800151.93283,116112685.16870052,807.0,15.0,0.0185873606
KRW-GRS,2023-09-18T00:00:00,2023-09-18T09:00:00,729.0,838.0,716.0,807.0,1695081599232,155835041523.18985,198208873.6525169,729.0,78.0,0.1069958848
