market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-HBAR,2023-10-10T00:00:00,2023-10-10T09:00:00,63.4,65.2,62.9,64.0,1696982373852,2676440589.733682,41656689.80824741,63.3,0.7,0.0110584518
KRW-HBAR,2023-10-09T00:00:00,2023-10-09T09:00:00,65.4,65.6,62.5,63.3,1696895970265,3144085776.5841956,49118928.98366482,65.5,-2.2,-0.0335877863
KRW-HBAR,2023-10-08T00:00:00,2023-10-08T09:00:00,65.5,65.6,64.9,65.5,1696809566259,2274714995.160055,34836007.28436953,65.6,-0.1,-0.0015243902
KRW-HBAR,2023-10-07T00:00:00,2023-10-07T09:00:00,65.7,66.0,65.3,65.6,1696723189194,2322355829.287652,35374860.38098975,65.7,-0.1,-0.00152207
KRW-HBAR,2023-10-06T00:00:00,2023-10-06T09:00:00,65.3,65.9,65.1,65.7,1696636799092,2568662972.3458595,39230773.92419452,65.3,0.4,0.0061255743
KRW-HBAR,2023-10-05T00:00:00,2023-10-05T09:00:00,66.2,66.3,65.1,65.3,1696550372968,2575473372.298214,39220237.09132274,66.3,-1.0,-0.0150829563
KRW-HBAR,2023-10-04T00:00:00,2023-10-04T09:00:00,67.2,67.4,65.4,66.3,1696463996279,2877727448.4294167,43560528.98568546,67.2,-0.9,-0.0133928571
KRW-HBAR,2023-10-03T00:00:00,2023-10-03T09:00:00,67.9,72.4,66.9,67.2,1696377590383,14398246406.402397,207099637.80922434,67.9,-0.7,-0.0103092784
KRW-HBAR,2023-10-02T00:00:00,2023-10-02T09:00:00,68.8,70.7,67.6,67.9,1696291184304,5918551314.354253,85592961.15279791,68.8,-0.9,-0.0130813953
KRW-HBAR,2023-10-01T00:00:00,2023-10-01T09:00:00,67.5,68.8,67.3,68.8,1696204798825,2555077962.0999513,37586810.70014024,67.6,1.2,0.0177514793
