market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-HIFI,2023-10-10T00:00:00,2023-10-10T09:00:00,851.0,868.0,825.0,839.0,1696982399597.0,12306813559.23307,14592674.73075133,851.0,-12.0,-0.0141010576
KRW-HIFI,2023-10-09T00:00:00,2023-10-09T09:00:00,899.0,900.0,809.0,851.0,1696895998799.0,15976096934.367453,18631148.21868461,899.0,-48.0,-0.0533926585
KRW-HIFI,2023-10-08T00:00:00,2023-10-08T09:00:00,942.0,943.0,891.0,899.0,1696809573350.0,19060771372.85689,20963228.14075579,942.0,-43.0,-0.0456475584
KRW-HIFI,2023-10-07T00:00:00,2023-10-07T09:00:00,906.0,976.0,906.0,942.0,1696723199812.0,83918422250.75067,88779076.48132059,907.0,35.0,0.0385887541
KRW-HIFI,2023-10-06T00:00:00,2023-10-06T09:00:00,902.0,938.0,882.0,907.0,1696636800004.0,38978190587.40483,42951687.98678806,903.0,4.0,0.0044296788
KRW-HIFI,2023-10-05T00:00:00,2023-10-05T09:00:00,863.0,912.0,857.0,903.0,1696550400003.0,33630884651.733894,37841291.51419584,863.0,40.0,0.0463499421
KRW-HIFI,2023-10-04T00:00:00,2023-10-04T09:00:00,892.0,899.0,842.0,863.0,1696463998827.0,9795858852.404018,11412023.89760787,892.0,-29.0,-0.0325112108
KRW-HIFI,2023-10-03T00:00:00,2023-10-03T09:00:00,940.0,953.0,888.0,892.0,1696377597002.0,15946933411.552723,17418734.75928978,941.0,-49.0,-0.0520722635
KRW-HIFI,2023-10-02T00:00:00,2023-10-02T09:00:00,989.0,1005.0,922.0,941.0,1696291186093.0,35397486115.31032,36649807.45449497,989.0,-48.0,-0.0485338726
KRW-HIFI,2023-10-01T00:00:00,2023-10-01T09:00:00,937.0,1025.0,937.0,989.0,1696204799684.0,105284171685.71158,106966540.0120874,937.0,52.0,0.0554962647
KRW-HIFI,2023-09-30T00:00:00,2023-09-30T09:00:00,896.0,982.0,894.0,937.0,1696118399642.0,84825888703.7756,89564867.98373705,897.0,40.0,0.0445930881
KRW-HIFI,2023-09-29T00:00:00,2023-09-29T09:00:00,933.0,941.0,866.0,897.0,1696031996199.0,10169395325.98567,11179209.91894754,933.0,-36.0,-0.038585209
KRW-HIFI,2023-09-28T00:00:00,2023-09-28T09:00:00,941.0,951.0,917.0,933.0,1695945593187.0,16120699184.587877,17355106.57649692,941.0,-8.0,-0.008501594
KRW-HIFI,2023-09-27T00:00:00,2023-09-27T09:00:00,984.0,992.0,899.0,941.0,1695859193580.0,23574380021.31925,25015146.43684268,984.0,-43.0,-0.043699187
KRW-HIFI,2023-09-26T00:00:00,2023-09-26T09:00:00,982.0,995.0,968.0,984.0,1695772796088.0,21698970537.640446,22085566.49322779,982.0,2.0,0.0020366599
