market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-HIVE,2023-10-10T00:00:00,2023-10-10T09:00:00,408.0,410.0,402.0,407.0,1696982371843,1242542986.2557008,3068486.63865789,410.0,-3.0,-0.0073170732
KRW-HIVE,2023-10-09T00:00:00,2023-10-09T09:00:00,425.0,425.0,403.0,410.0,1696895988364,2758618991.5097704,6690358.72364571,425.0,-15.0,-0.0352941176
KRW-HIVE,2023-10-08T00:00:00,2023-10-08T09:00:00,425.0,427.0,414.0,425.0,1696809597913,2814845222.980086,6700240.51849218,425.0,,0.0
KRW-HIVE,2023-10-07T00:00:00,2023-10-07T09:00:00,421.0,427.0,416.0,425.0,1696723198669,2850897912.290525,6778468.50636886,422.0,3.0,0.0071090047
KRW-HIVE,2023-10-06T00:00:00,2023-10-06T09:00:00,412.0,424.0,404.0,422.0,1696636789166,3202291527.1202445,7789691.0581431,412.0,10.0,0.0242718447
KRW-HIVE,2023-10-05T00:00:00,2023-10-05T09:00:00,422.0,424.0,408.0,412.0,1696550388753,3015914861.228522,7294073.9538326,422.0,-10.0,-0.0236966825
KRW-HIVE,2023-10-04T00:00:00,2023-10-04T09:00:00,406.0,426.0,398.0,422.0,1696463999349,7262602980.591428,17535211.79310799,409.0,13.0,0.0317848411
KRW-HIVE,2023-10-03T00:00:00,2023-10-03T09:00:00,403.0,418.0,400.0,409.0,1696377585482,5180553642.852003,12621003.15944679,404.0,5.0,0.0123762376
KRW-HIVE,2023-10-02T00:00:00,2023-10-02T09:00:00,414.0,416.0,401.0,404.0,1696291199882,1602233769.491797,3904565.4279461,414.0,-10.0,-0.0241545894
KRW-HIVE,2023-10-01T00:00:00,2023-10-01T09:00:00,410.0,416.0,407.0,414.0,1696204794706,1267989811.6460433,3082388.41530989,411.0,3.0,0.0072992701
KRW-HIVE,2023-09-30T00:00:00,2023-09-30T09:00:00,408.0,413.0,403.0,411.0,1696118393474,1468049700.9232647,3592408.66153771,408.0,3.0,0.0073529412
KRW-HIVE,2023-09-29T00:00:00,2023-09-29T09:00:00,407.0,409.0,400.0,408.0,1696031995537,1658576663.8866186,4096650.75984167,407.0,1.0,0.0024570025
KRW-HIVE,2023-09-28T00:00:00,2023-09-28T09:00:00,398.0,407.0,394.0,407.0,1695945590802,1654553721.3380108,4149382.32596759,398.0,9.0,0.0226130653
KRW-HIVE,2023-09-27T00:00:00,2023-09-27T09:00:00,397.0,401.0,393.0,398.0,1695859188161,1559786937.4998906,3935941.73017337,397.0,1.0,0.0025188917
KRW-HIVE,2023-09-26T00:00:00,2023-09-26T09:00:00,401.0,402.0,394.0,397.0,1695772782421,1368183598.765974,3443308.77912943,401.0,-4.0,-0.0099750623
KRW-HIVE,2023-09-25T00:00:00,2023-09-25T09:00:00,403.0,406.0,390.0,401.0,1695686382367,2668332542.345258,6741794.14200392,402.0,-1.0,-0.0024875622
KRW-HIVE,2023-09-24T00:00:00,2023-09-24T09:00:00,404.0,420.0,397.0,402.0,1695599984758,4892373328.602532,12024697.16874804,404.0,-2.0,-0.004950495
