market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-HPO,2023-10-10T00:00:00,2023-10-10T09:00:00,87.4,87.8,86.2,86.5,1696982390435,652025032.8948483,7523396.29209079,87.4,-0.9,-0.0102974828
KRW-HPO,2023-10-09T00:00:00,2023-10-09T09:00:00,91.3,92.4,86.1,87.4,1696895735741,2316484438.063278,26155477.39976734,91.3,-3.9,-0.0427163198
KRW-HPO,2023-10-08T00:00:00,2023-10-08T09:00:00,92.8,97.5,90.6,91.3,1696809596110,5325924420.767111,56433251.72487636,92.8,-1.5,-0.0161637931
KRW-HPO,2023-10-07T00:00:00,2023-10-07T09:00:00,92.3,94.0,91.4,92.8,1696723177341,2237904995.5156446,24039102.00222089,92.3,0.5,0.0054171181
KRW-HPO,2023-10-06T00:00:00,2023-10-06T09:00:00,90.0,92.3,88.7,92.3,1696636790741,962601266.2264308,10650458.9203272,90.2,2.1,0.0232815965
KRW-HPO,2023-10-05T00:00:00,2023-10-05T09:00:00,89.9,92.3,88.2,90.2,1696550397175,1120632586.9783916,12487968.83214605,89.9,0.3,0.0033370412
KRW-HPO,2023-10-04T00:00:00,2023-10-04T09:00:00,90.8,91.0,87.3,89.9,1696463996205,1283047643.8329587,14420299.56271843,90.8,-0.9,-0.0099118943
KRW-HPO,2023-10-03T00:00:00,2023-10-03T09:00:00,93.6,95.6,90.0,90.8,1696377579657,2723755775.522652,29419715.67860802,93.6,-2.8,-0.0299145299
KRW-HPO,2023-10-02T00:00:00,2023-10-02T09:00:00,95.7,98.2,93.0,93.6,1696291187298,3954165416.735666,41176174.11587586,95.7,-2.1,-0.0219435737
KRW-HPO,2023-10-01T00:00:00,2023-10-01T09:00:00,95.3,95.8,92.6,95.7,1696204789541,1708284393.2873778,18121176.18029996,95.5,0.2,0.0020942408
KRW-HPO,2023-09-30T00:00:00,2023-09-30T09:00:00,95.5,96.1,94.6,95.5,1696118393954,1012303396.9433513,10635002.83997216,95.8,-0.3,-0.003131524
KRW-HPO,2023-09-29T00:00:00,2023-09-29T09:00:00,97.8,97.8,94.1,95.8,1696031994996,2353885729.882329,24540743.97856035,97.9,-2.1,-0.0214504597
KRW-HPO,2023-09-28T00:00:00,2023-09-28T09:00:00,96.7,98.0,95.4,97.9,1695945593874,2884189365.18188,29918921.06863951,97.1,0.8,0.0082389289
KRW-HPO,2023-09-27T00:00:00,2023-09-27T09:00:00,96.5,97.9,94.9,97.1,1695859198316,4127323341.9929004,42949912.05236946,96.6,0.5,0.0051759834
KRW-HPO,2023-09-26T00:00:00,2023-09-26T09:00:00,94.7,98.4,93.5,96.6,1695772796932,5158447069.920699,53554784.12085247,95.0,1.6,0.0168421053
KRW-HPO,2023-09-25T00:00:00,2023-09-25T09:00:00,94.9,99.5,90.6,95.0,1695686398969,4612877018.195772,49209490.77753527,94.9,0.1,0.0010537408
KRW-HPO,2023-09-24T00:00:00,2023-09-24T09:00:00,105.0,105.0,93.3,94.9,1695599998547,7661560132.124379,77926487.66066955,104.0,-9.1,-0.0875
KRW-HPO,2023-09-23T00:00:00,2023-09-23T09:00:00,100.0,108.0,98.7,104.0,1695513573241,8039498466.397225,77980348.31469938,101.0,3.0,0.0297029703
KRW-HPO,2023-09-22T00:00:00,2023-09-22T09:00:00,97.1,103.0,93.7,101.0,1695427190429,11532672174.242268,116430437.0940571,96.5,4.5,0.0466321244
KRW-HPO,2023-09-21T00:00:00,2023-09-21T09:00:00,99.7,101.0,92.2,96.5,1695340798760,6132747691.428988,63774678.59493386,100.0,-3.5,-0.035
KRW-HPO,2023-09-20T00:00:00,2023-09-20T09:00:00,99.0,102.0,96.3,100.0,1695254369364,9043423634.61137,91338738.91772227,98.9,1.1,0.0111223458
KRW-HPO,2023-09-19T00:00:00,2023-09-19T09:00:00,91.6,103.0,91.6,98.9,1695167996202,32772622639.07977,333350535.00859714,91.8,7.1,0.0773420479
