market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-HUNT,2023-10-10T00:00:00,2023-10-10T09:00:00,428.0,430.0,416.0,421.0,1696982364601,1752249528.6259556,4141067.06822867,429.0,-8.0,-0.0186480186
KRW-HUNT,2023-10-09T00:00:00,2023-10-09T09:00:00,445.0,445.0,419.0,429.0,1696895995580,4155247193.6780434,9660516.19886786,447.0,-18.0,-0.0402684564
KRW-HUNT,2023-10-08T00:00:00,2023-10-08T09:00:00,452.0,459.0,433.0,447.0,1696809596553,3725786611.090854,8370911.74581424,452.0,-5.0,-0.0110619469
KRW-HUNT,2023-10-07T00:00:00,2023-10-07T09:00:00,453.0,464.0,447.0,452.0,1696723198417,6927078585.910259,15250962.04505045,453.0,-1.0,-0.0022075055
KRW-HUNT,2023-10-06T00:00:00,2023-10-06T09:00:00,447.0,454.0,428.0,453.0,1696636797666,6976053968.626867,15921838.02925885,447.0,6.0,0.0134228188
KRW-HUNT,2023-10-05T00:00:00,2023-10-05T09:00:00,457.0,469.0,436.0,447.0,1696550398598,10718158610.340504,23862725.75125721,456.0,-9.0,-0.0197368421
KRW-HUNT,2023-10-04T00:00:00,2023-10-04T09:00:00,436.0,478.0,428.0,456.0,1696463996848,38119038464.74522,83945215.9705165,435.0,21.0,0.0482758621
KRW-HUNT,2023-10-03T00:00:00,2023-10-03T09:00:00,433.0,471.0,423.0,435.0,1696377580641,28217602645.378,62782256.93482767,433.0,2.0,0.0046189376
KRW-HUNT,2023-10-02T00:00:00,2023-10-02T09:00:00,448.0,448.0,430.0,433.0,1696291173969,2962487729.0791802,6754944.76897529,446.0,-13.0,-0.0291479821
KRW-HUNT,2023-10-01T00:00:00,2023-10-01T09:00:00,443.0,449.0,435.0,446.0,1696204799957,2776467006.0716767,6300921.97986118,443.0,3.0,0.006772009
KRW-HUNT,2023-09-30T00:00:00,2023-09-30T09:00:00,438.0,448.0,430.0,443.0,1696118391002,3240476845.5224166,7377315.65832538,438.0,5.0,0.0114155251
KRW-HUNT,2023-09-29T00:00:00,2023-09-29T09:00:00,442.0,445.0,426.0,438.0,1696031998889,3353684945.9428644,7692914.04453663,440.0,-2.0,-0.0045454545
KRW-HUNT,2023-09-28T00:00:00,2023-09-28T09:00:00,428.0,443.0,422.0,440.0,1695945599615,3263906698.140924,7572438.14086192,429.0,11.0,0.0256410256
KRW-HUNT,2023-09-27T00:00:00,2023-09-27T09:00:00,427.0,433.0,418.0,429.0,1695859197672,3750396208.49841,8839973.59402084,427.0,2.0,0.0046838407
