market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-ICX,2023-10-10T00:00:00,2023-10-10T09:00:00,231.0,235.0,225.0,228.0,1696982363334,2163062546.166748,9437008.36573999,230.0,-2.0,-0.0086956522
KRW-ICX,2023-10-09T00:00:00,2023-10-09T09:00:00,244.0,244.0,227.0,230.0,1696895998863,5970695384.0778265,25506338.90605996,244.0,-14.0,-0.0573770492
KRW-ICX,2023-10-08T00:00:00,2023-10-08T09:00:00,235.0,258.0,231.0,244.0,1696809596320,15202086613.447704,61521600.43239279,235.0,9.0,0.0382978723
KRW-ICX,2023-10-07T00:00:00,2023-10-07T09:00:00,235.0,236.0,233.0,235.0,1696723004043,866886027.3873752,3695041.03122888,234.0,1.0,0.0042735043
KRW-ICX,2023-10-06T00:00:00,2023-10-06T09:00:00,229.0,235.0,228.0,234.0,1696636791545,1507050462.1291053,6526885.34010538,228.0,6.0,0.0263157895
KRW-ICX,2023-10-05T00:00:00,2023-10-05T09:00:00,231.0,231.0,227.0,228.0,1696550234154,1257577502.9290533,5493944.36786205,230.0,-2.0,-0.0086956522
KRW-ICX,2023-10-04T00:00:00,2023-10-04T09:00:00,234.0,234.0,225.0,230.0,1696463884927,1922143659.834772,8388420.47860964,234.0,-4.0,-0.0170940171
KRW-ICX,2023-10-03T00:00:00,2023-10-03T09:00:00,238.0,244.0,232.0,234.0,1696377597347,2303843849.856824,9672523.06316747,238.0,-4.0,-0.0168067227
KRW-ICX,2023-10-02T00:00:00,2023-10-02T09:00:00,246.0,248.0,236.0,238.0,1696291074457,2303008681.1266837,9515393.22032913,246.0,-8.0,-0.0325203252
KRW-ICX,2023-10-01T00:00:00,2023-10-01T09:00:00,242.0,247.0,240.0,246.0,1696204796653,1501275913.070982,6179098.17493369,241.0,5.0,0.020746888
KRW-ICX,2023-09-30T00:00:00,2023-09-30T09:00:00,238.0,242.0,237.0,241.0,1696118359749,1665890117.8424952,6954759.50579954,238.0,3.0,0.012605042
KRW-ICX,2023-09-29T00:00:00,2023-09-29T09:00:00,238.0,241.0,234.0,238.0,1696031907910,1538427531.9405978,6488256.02090863,238.0,,0.0
KRW-ICX,2023-09-28T00:00:00,2023-09-28T09:00:00,234.0,238.0,232.0,238.0,1695945525969,1224716499.9917307,5218661.60720183,234.0,4.0,0.0170940171
KRW-ICX,2023-09-27T00:00:00,2023-09-27T09:00:00,233.0,236.0,230.0,234.0,1695859152112,1397142158.944448,5993123.02534089,232.0,2.0,0.0086206897
KRW-ICX,2023-09-26T00:00:00,2023-09-26T09:00:00,237.0,239.0,229.0,232.0,1695772732124,1248401131.991495,5346482.41885998,237.0,-5.0,-0.0210970464
KRW-ICX,2023-09-25T00:00:00,2023-09-25T09:00:00,237.0,237.0,229.0,237.0,1695686388703,1996265900.1043997,8584016.59942117,236.0,1.0,0.0042372881
KRW-ICX,2023-09-24T00:00:00,2023-09-24T09:00:00,243.0,251.0,235.0,236.0,1695599975851,3412394287.149249,14068859.13335756,243.0,-7.0,-0.0288065844
KRW-ICX,2023-09-23T00:00:00,2023-09-23T09:00:00,243.0,244.0,239.0,243.0,1695513600017,1704349188.8304098,7072292.55901175,243.0,,0.0
KRW-ICX,2023-09-22T00:00:00,2023-09-22T09:00:00,234.0,244.0,234.0,243.0,1695427154570,3746655666.5407987,15604761.9951235,234.0,9.0,0.0384615385
KRW-ICX,2023-09-21T00:00:00,2023-09-21T09:00:00,245.0,247.0,228.0,234.0,1695340740992,3376353991.138498,14277543.44712493,244.0,-10.0,-0.0409836066
KRW-ICX,2023-09-20T00:00:00,2023-09-20T09:00:00,231.0,246.0,226.0,244.0,1695254382917,2687783885.059711,11397423.9255451,231.0,13.0,0.0562770563
KRW-ICX,2023-09-19T00:00:00,2023-09-19T09:00:00,228.0,232.0,224.0,231.0,1695167967413,1010696209.8588609,4407323.31040319,227.0,4.0,0.0176211454
KRW-ICX,2023-09-18T00:00:00,2023-09-18T09:00:00,225.0,233.0,221.0,227.0,1695081585956,1071799960.0260954,4711466.16182281,224.0,3.0,0.0133928571
KRW-ICX,2023-09-17T00:00:00,2023-09-17T09:00:00,238.0,238.0,222.0,224.0,1694995153160,1752523370.7393577,7636485.73509621,238.0,-14.0,-0.0588235294
KRW-ICX,2023-09-16T00:00:00,2023-09-16T09:00:00,232.0,243.0,231.0,238.0,1694908783776,3730850550.431968,15746327.61481474,232.0,6.0,0.025862069
KRW-ICX,2023-09-15T00:00:00,2023-09-15T09:00:00,224.0,234.0,221.0,232.0,1694822398727,1659287235.0384336,7312724.05349145,223.0,9.0,0.0403587444
KRW-ICX,2023-09-14T00:00:00,2023-09-14T09:00:00,216.0,226.0,215.0,223.0,1694735414061,1407950672.5237894,6404429.57536687,215.0,8.0,0.0372093023
KRW-ICX,2023-09-13T00:00:00,2023-09-13T09:00:00,210.0,218.0,209.0,215.0,1694648392393,1013955024.1784297,4737137.55317402,210.0,5.0,0.0238095238
KRW-ICX,2023-09-12T00:00:00,2023-09-12T09:00:00,210.0,217.0,208.0,210.0,1694563086559,860420675.5213687,4061789.08982661,209.0,1.0,0.004784689
KRW-ICX,2023-09-11T00:00:00,2023-09-11T09:00:00,223.0,224.0,206.0,209.0,1694476652760,1234587207.755429,5791031.5584251,222.0,-13.0,-0.0585585586
KRW-ICX,2023-09-10T00:00:00,2023-09-10T09:00:00,230.0,230.0,218.0,222.0,1694390389716,879532197.3317944,3945110.13332738,229.0,-7.0,-0.0305676856
KRW-ICX,2023-09-09T00:00:00,2023-09-09T09:00:00,226.0,232.0,223.0,229.0,1694303986149,646499479.6176444,2840955.82444577,225.0,4.0,0.0177777778
KRW-ICX,2023-09-08T00:00:00,2023-09-08T09:00:00,227.0,229.0,223.0,225.0,1694217489986,635825210.8080094,2811843.58795924,226.0,-1.0,-0.0044247788
KRW-ICX,2023-09-07T00:00:00,2023-09-07T09:00:00,226.0,228.0,222.0,226.0,1694131156050,471215399.22640294,2099815.50792829,225.0,1.0,0.0044444444
KRW-ICX,2023-09-06T00:00:00,2023-09-06T09:00:00,222.0,227.0,219.0,225.0,1694044768345,806446880.0056546,3612633.20166126,221.0,4.0,0.0180995475
KRW-ICX,2023-09-05T00:00:00,2023-09-05T09:00:00,218.0,224.0,215.0,221.0,1693958355104,834447107.506004,3824192.03987028,217.0,4.0,0.0184331797
KRW-ICX,2023-09-04T00:00:00,2023-09-04T09:00:00,219.0,222.0,215.0,217.0,1693871347525,1009516340.9455318,4627014.20213123,219.0,-2.0,-0.0091324201
KRW-ICX,2023-09-03T00:00:00,2023-09-03T09:00:00,218.0,222.0,216.0,219.0,1693785538891,788024876.4160789,3605626.39266827,218.0,1.0,0.004587156
KRW-ICX,2023-09-02T00:00:00,2023-09-02T09:00:00,218.0,219.0,214.0,218.0,1693698854110,894323400.2237418,4138864.99479583,218.0,,0.0
KRW-ICX,2023-09-01T00:00:00,2023-09-01T09:00:00,224.0,226.0,216.0,218.0,1693612781605,936913611.4537741,4249741.555339,224.0,-6.0,-0.0267857143
KRW-ICX,2023-08-31T00:00:00,2023-08-31T09:00:00,234.0,236.0,223.0,224.0,1693526373958,875819596.1459327,3815680.51548451,234.0,-10.0,-0.0427350427
KRW-ICX,2023-08-30T00:00:00,2023-08-30T09:00:00,237.0,238.0,230.0,234.0,1693439988920,506951339.18813205,2165783.3303374,237.0,-3.0,-0.0126582278
KRW-ICX,2023-08-29T00:00:00,2023-08-29T09:00:00,228.0,239.0,221.0,237.0,1693353512280,1528061727.4425213,6631188.36261612,227.0,10.0,0.0440528634
KRW-ICX,2023-08-28T00:00:00,2023-08-28T09:00:00,231.0,231.0,224.0,227.0,1693266845755,794325182.5952004,3506344.03236441,230.0,-3.0,-0.0130434783
KRW-ICX,2023-08-27T00:00:00,2023-08-27T09:00:00,230.0,233.0,228.0,230.0,1693180372961,268364369.75943568,1167887.26760945,230.0,,0.0
KRW-ICX,2023-08-26T00:00:00,2023-08-26T09:00:00,231.0,233.0,228.0,230.0,1693094388251,524605092.53334063,2281647.53821214,231.0,-1.0,-0.0043290043
KRW-ICX,2023-08-25T00:00:00,2023-08-25T09:00:00,231.0,232.0,225.0,231.0,1693007993805,1216001184.69027,5325177.25513569,231.0,,0.0
KRW-ICX,2023-08-24T00:00:00,2023-08-24T09:00:00,235.0,235.0,228.0,231.0,1692921437157,707254996.2578574,3051771.25798597,234.0,-3.0,-0.0128205128
KRW-ICX,2023-08-23T00:00:00,2023-08-23T09:00:00,231.0,237.0,228.0,234.0,1692834717304,863913546.6029782,3734796.32094292,231.0,3.0,0.012987013
KRW-ICX,2023-08-22T00:00:00,2023-08-22T09:00:00,232.0,235.0,222.0,231.0,1692748755759,1305938230.436596,5726626.48325577,232.0,-1.0,-0.0043103448
KRW-ICX,2023-08-21T00:00:00,2023-08-21T09:00:00,240.0,240.0,228.0,232.0,1692662266899,1443712569.3185275,6194076.32450229,239.0,-7.0,-0.0292887029
KRW-ICX,2023-08-20T00:00:00,2023-08-20T09:00:00,239.0,246.0,236.0,239.0,1692575556917,2184222969.1428394,9090045.6075841,238.0,1.0,0.0042016807
KRW-ICX,2023-08-19T00:00:00,2023-08-19T09:00:00,236.0,241.0,233.0,238.0,1692489410183,1015008265.2951945,4295724.04454161,235.0,3.0,0.0127659574
KRW-ICX,2023-08-18T00:00:00,2023-08-18T09:00:00,229.0,237.0,227.0,235.0,1692403126864,2327013250.9668093,10033267.10256797,229.0,6.0,0.0262008734
KRW-ICX,2023-08-17T00:00:00,2023-08-17T09:00:00,250.0,256.0,223.0,229.0,1692316797454,2861298054.8345942,12010566.53230887,251.0,-22.0,-0.0876494024
