market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-IMX,2023-10-10T00:00:00,2023-10-10T09:00:00,729.0,783.0,715.0,737.0,1696982392779,3864506151.3099456,5183150.17160214,729.0,8.0,0.0109739369
KRW-IMX,2023-10-09T00:00:00,2023-10-09T09:00:00,758.0,762.0,710.0,729.0,1696895983779,2242693613.2988725,3034032.99535838,758.0,-29.0,-0.0382585752
KRW-IMX,2023-10-08T00:00:00,2023-10-08T09:00:00,759.0,760.0,746.0,758.0,1696809565304,991194136.2119968,1315090.15577028,761.0,-3.0,-0.0039421813
KRW-IMX,2023-10-07T00:00:00,2023-10-07T09:00:00,756.0,768.0,748.0,761.0,1696723103190,793232816.7474034,1048330.66105728,757.0,4.0,0.0052840159
KRW-IMX,2023-10-06T00:00:00,2023-10-06T09:00:00,751.0,765.0,746.0,757.0,1696636746724,939000341.9951272,1245957.18886421,751.0,6.0,0.0079893475
KRW-IMX,2023-10-05T00:00:00,2023-10-05T09:00:00,772.0,774.0,750.0,751.0,1696550395224,928015227.8480184,1213658.23459232,773.0,-22.0,-0.0284605433
KRW-IMX,2023-10-04T00:00:00,2023-10-04T09:00:00,771.0,781.0,740.0,773.0,1696463966784,1614257610.913634,2114013.34178048,772.0,1.0,0.0012953368
KRW-IMX,2023-10-03T00:00:00,2023-10-03T09:00:00,785.0,791.0,766.0,772.0,1696377580375,1613407118.2592015,2069778.7739807,785.0,-13.0,-0.0165605096
KRW-IMX,2023-10-02T00:00:00,2023-10-02T09:00:00,830.0,833.0,773.0,785.0,1696291198306,2336339544.6000633,2877301.14754307,829.0,-44.0,-0.0530759952
KRW-IMX,2023-10-01T00:00:00,2023-10-01T09:00:00,800.0,836.0,794.0,829.0,1696204790985,2654693882.0902853,3252595.15150566,801.0,28.0,0.0349563046
KRW-IMX,2023-09-30T00:00:00,2023-09-30T09:00:00,787.0,804.0,780.0,801.0,1696118377145,4559268858.134426,5737288.91408151,786.0,15.0,0.0190839695
KRW-IMX,2023-09-29T00:00:00,2023-09-29T09:00:00,785.0,793.0,759.0,786.0,1696031990117,2871763285.7086124,3703565.82772084,786.0,,0.0
KRW-IMX,2023-09-28T00:00:00,2023-09-28T09:00:00,773.0,788.0,761.0,786.0,1695945597896,3475412943.657073,4492181.5235109,774.0,12.0,0.015503876
KRW-IMX,2023-09-27T00:00:00,2023-09-27T09:00:00,797.0,799.0,755.0,774.0,1695859160907,6272765673.673126,8129730.42519229,797.0,-23.0,-0.0288582183
KRW-IMX,2023-09-26T00:00:00,2023-09-26T09:00:00,818.0,818.0,782.0,797.0,1695772793766,5743895072.958493,7164626.60933844,817.0,-20.0,-0.0244798042
KRW-IMX,2023-09-25T00:00:00,2023-09-25T09:00:00,798.0,841.0,788.0,817.0,1695686395553,13907635136.468204,16991918.83512986,799.0,18.0,0.0225281602
KRW-IMX,2023-09-24T00:00:00,2023-09-24T09:00:00,840.0,841.0,784.0,799.0,1695599997517,10335000026.318604,12798917.07340363,840.0,-41.0,-0.0488095238
KRW-IMX,2023-09-23T00:00:00,2023-09-23T09:00:00,885.0,886.0,819.0,840.0,1695513598420,36190214023.49603,43119817.23441924,885.0,-45.0,-0.0508474576
KRW-IMX,2023-09-22T00:00:00,2023-09-22T09:00:00,928.0,952.0,865.0,885.0,1695427198525,95793565617.54007,106903897.90234546,928.0,-43.0,-0.0463362069
KRW-IMX,2023-09-21T00:00:00,2023-09-21T09:00:00,744.0,1335.0,744.0,928.0,1695340800011,356864416158.3166,364759180.41444623,744.0,184.0,0.247311828
KRW-IMX,2023-09-20T00:00:00,2023-09-20T09:00:00,733.0,748.0,714.0,744.0,1695254398336,883335243.2537309,1205528.74571031,732.0,12.0,0.0163934426
KRW-IMX,2023-09-19T00:00:00,2023-09-19T09:00:00,714.0,734.0,706.0,732.0,1695167901553,384614775.81084424,533822.47365579,714.0,18.0,0.025210084
KRW-IMX,2023-09-18T00:00:00,2023-09-18T09:00:00,702.0,725.0,693.0,714.0,1695081519001,546171980.8794036,768884.85319198,702.0,12.0,0.0170940171
KRW-IMX,2023-09-17T00:00:00,2023-09-17T09:00:00,727.0,727.0,691.0,702.0,1694995138711,597668128.5233222,839383.66272663,727.0,-25.0,-0.0343878955
