market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-JST,2023-10-10T00:00:00,2023-10-10T09:00:00,30.1,30.7,29.7,30.3,1696982364258,1142842297.1531653,37930671.13147056,30.0,0.3,0.01
KRW-JST,2023-10-09T00:00:00,2023-10-09T09:00:00,31.4,31.5,29.8,30.0,1696895972408,1273457085.7931333,41835676.30508404,31.5,-1.5,-0.0476190476
KRW-JST,2023-10-08T00:00:00,2023-10-08T09:00:00,31.7,31.9,31.2,31.5,1696809589826,1114778647.744849,35408889.78478279,31.7,-0.2,-0.0063091483
KRW-JST,2023-10-07T00:00:00,2023-10-07T09:00:00,32.0,32.3,31.6,31.7,1696723092741,1057469490.4090717,33193994.58978192,32.0,-0.3,-0.009375
KRW-JST,2023-10-06T00:00:00,2023-10-06T09:00:00,31.9,32.2,30.9,32.0,1696636798720,2243526547.4333363,71381819.88172571,31.8,0.2,0.0062893082
KRW-JST,2023-10-05T00:00:00,2023-10-05T09:00:00,31.6,32.1,31.1,31.8,1696550367942,1126278030.3936682,35707350.5969252,31.5,0.3,0.0095238095
KRW-JST,2023-10-04T00:00:00,2023-10-04T09:00:00,32.0,32.0,30.9,31.5,1696463974467,1309417357.4955392,41839417.12516196,32.0,-0.5,-0.015625
KRW-JST,2023-10-03T00:00:00,2023-10-03T09:00:00,31.9,32.1,31.1,32.0,1696377597544,2317847557.5551457,73568200.1262723,31.9,0.1,0.0031347962
KRW-JST,2023-10-02T00:00:00,2023-10-02T09:00:00,33.4,33.6,31.7,31.9,1696291196412,2868271123.5318522,87717784.28823708,33.4,-1.5,-0.0449101796
KRW-JST,2023-10-01T00:00:00,2023-10-01T09:00:00,33.9,35.0,32.3,33.4,1696204796411,16875941952.718842,504839411.30995953,33.9,-0.5,-0.0147492625
KRW-JST,2023-09-30T00:00:00,2023-09-30T09:00:00,37.6,39.3,33.7,33.9,1696118395684,40141473393.55099,1100068462.5152757,37.6,-3.7,-0.0984042553
KRW-JST,2023-09-29T00:00:00,2023-09-29T09:00:00,30.8,40.4,30.7,37.6,1696031999973,149019007959.23828,4002248914.371226,30.7,6.9,0.2247557003
