market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-KAVA,2023-10-10T00:00:00,2023-10-10T09:00:00,803.0,847.0,800.0,815.0,1696982399531,17474270682.14694,21236618.51387166,803.0,12.0,0.0149439601
KRW-KAVA,2023-10-09T00:00:00,2023-10-09T09:00:00,841.0,842.0,790.0,803.0,1696895966421,5297339797.373558,6506336.19381831,842.0,-39.0,-0.0463182898
KRW-KAVA,2023-10-08T00:00:00,2023-10-08T09:00:00,849.0,849.0,833.0,842.0,1696809599323,2136907263.8888223,2544816.97749836,849.0,-7.0,-0.0082449941
KRW-KAVA,2023-10-07T00:00:00,2023-10-07T09:00:00,852.0,852.0,841.0,849.0,1696723185937,1760870562.959844,2080165.64037915,852.0,-3.0,-0.0035211268
KRW-KAVA,2023-10-06T00:00:00,2023-10-06T09:00:00,835.0,853.0,833.0,852.0,1696636744829,3267725088.21988,3874816.21480022,835.0,17.0,0.0203592814
KRW-KAVA,2023-10-05T00:00:00,2023-10-05T09:00:00,839.0,842.0,829.0,835.0,1696550396548,1902532484.8540502,2279786.75338596,839.0,-4.0,-0.0047675805
KRW-KAVA,2023-10-04T00:00:00,2023-10-04T09:00:00,840.0,843.0,826.0,839.0,1696463997102,3329233546.597988,3994422.95834593,841.0,-2.0,-0.0023781213
KRW-KAVA,2023-10-03T00:00:00,2023-10-03T09:00:00,860.0,867.0,840.0,841.0,1696377598027,3892838281.287711,4557509.33672994,859.0,-18.0,-0.0209545984
KRW-KAVA,2023-10-02T00:00:00,2023-10-02T09:00:00,880.0,890.0,853.0,859.0,1696291180864,5364293336.641597,6123054.69849178,880.0,-21.0,-0.0238636364
KRW-KAVA,2023-10-01T00:00:00,2023-10-01T09:00:00,861.0,881.0,854.0,880.0,1696204782203,5041178577.308217,5810281.23644853,860.0,20.0,0.023255814
KRW-KAVA,2023-09-30T00:00:00,2023-09-30T09:00:00,856.0,861.0,850.0,860.0,1696118327791,2422781258.122714,2834509.48880831,856.0,4.0,0.0046728972
KRW-KAVA,2023-09-29T00:00:00,2023-09-29T09:00:00,852.0,863.0,846.0,856.0,1696031987345,2952690370.5120077,3459953.15785604,852.0,4.0,0.0046948357
KRW-KAVA,2023-09-28T00:00:00,2023-09-28T09:00:00,839.0,858.0,835.0,852.0,1695945590276,2828710313.4585047,3344232.32681796,839.0,13.0,0.0154946365
KRW-KAVA,2023-09-27T00:00:00,2023-09-27T09:00:00,846.0,865.0,834.0,839.0,1695859186695,3726475982.9426384,4401262.0296507,846.0,-7.0,-0.0082742317
KRW-KAVA,2023-09-26T00:00:00,2023-09-26T09:00:00,847.0,857.0,838.0,846.0,1695772783133,2622336944.92131,3103108.69804087,847.0,-1.0,-0.0011806375
KRW-KAVA,2023-09-25T00:00:00,2023-09-25T09:00:00,836.0,858.0,826.0,847.0,1695686382325,4096869788.1897893,4874396.32861126,837.0,10.0,0.0119474313
KRW-KAVA,2023-09-24T00:00:00,2023-09-24T09:00:00,857.0,859.0,833.0,837.0,1695599997559,4725344211.671781,5597064.88296008,859.0,-22.0,-0.0256111758
KRW-KAVA,2023-09-23T00:00:00,2023-09-23T09:00:00,852.0,875.0,845.0,859.0,1695513582524,4502376317.861767,5264479.251451,852.0,7.0,0.0082159624
KRW-KAVA,2023-09-22T00:00:00,2023-09-22T09:00:00,845.0,864.0,837.0,852.0,1695427189849,3040831803.1912737,3602830.44906129,843.0,9.0,0.0106761566
KRW-KAVA,2023-09-21T00:00:00,2023-09-21T09:00:00,850.0,863.0,831.0,843.0,1695340754095,5827085260.15182,6868691.22894963,851.0,-8.0,-0.0094007051
KRW-KAVA,2023-09-20T00:00:00,2023-09-20T09:00:00,855.0,859.0,834.0,851.0,1695254389628,4947659204.979637,5855576.11474356,856.0,-5.0,-0.0058411215
KRW-KAVA,2023-09-19T00:00:00,2023-09-19T09:00:00,848.0,864.0,826.0,856.0,1695167829449,4973514357.071527,5867676.49482728,848.0,8.0,0.0094339623
KRW-KAVA,2023-09-18T00:00:00,2023-09-18T09:00:00,838.0,866.0,823.0,848.0,1695081585036,4837746880.550841,5728344.39712852,838.0,10.0,0.0119331742
KRW-KAVA,2023-09-17T00:00:00,2023-09-17T09:00:00,919.0,920.0,832.0,838.0,1694995190412,10627223669.54589,12147840.67343164,918.0,-80.0,-0.0871459695
KRW-KAVA,2023-09-16T00:00:00,2023-09-16T09:00:00,856.0,934.0,853.0,918.0,1694908797080,33181865781.439507,36765904.34675087,857.0,61.0,0.0711785298
KRW-KAVA,2023-09-15T00:00:00,2023-09-15T09:00:00,854.0,868.0,839.0,857.0,1694822370412,4040131873.328265,4752745.0286668,853.0,4.0,0.0046893318
KRW-KAVA,2023-09-14T00:00:00,2023-09-14T09:00:00,839.0,855.0,831.0,853.0,1694735941736,3028233280.2852964,3584349.94260426,838.0,15.0,0.0178997613
KRW-KAVA,2023-09-13T00:00:00,2023-09-13T09:00:00,826.0,844.0,822.0,838.0,1694649504402,2695197666.8491864,3241091.32035026,826.0,12.0,0.014527845
KRW-KAVA,2023-09-12T00:00:00,2023-09-12T09:00:00,827.0,848.0,823.0,826.0,1694563196428,3133787903.0487313,3760362.12104209,827.0,-1.0,-0.0012091898
KRW-KAVA,2023-09-11T00:00:00,2023-09-11T09:00:00,881.0,881.0,820.0,827.0,1694476749074,4823206659.544776,5707567.98339838,881.0,-54.0,-0.0612939841
KRW-KAVA,2023-09-10T00:00:00,2023-09-10T09:00:00,917.0,918.0,866.0,881.0,1694390380347,3480374763.0626774,3913821.93846279,917.0,-36.0,-0.0392584515
KRW-KAVA,2023-09-09T00:00:00,2023-09-09T09:00:00,910.0,921.0,905.0,917.0,1694303912431,1887185667.1021702,2066269.23886264,908.0,9.0,0.0099118943
KRW-KAVA,2023-09-08T00:00:00,2023-09-08T09:00:00,914.0,916.0,891.0,908.0,1694217511491,2612323620.4465632,2887262.52783503,913.0,-5.0,-0.0054764513
