market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-KNC,2023-10-10T00:00:00,2023-10-10T09:00:00,916.0,930.0,882.0,893.0,1696982365042,4963258502.759664,5508650.03612118,918.0,-25.0,-0.0272331155
KRW-KNC,2023-10-09T00:00:00,2023-10-09T09:00:00,951.0,987.0,893.0,918.0,1696895981470,18938186526.153133,20021688.6668551,951.0,-33.0,-0.0347003155
KRW-KNC,2023-10-08T00:00:00,2023-10-08T09:00:00,959.0,963.0,917.0,951.0,1696809582221,6825332423.88123,7281822.84910395,959.0,-8.0,-0.0083420229
KRW-KNC,2023-10-07T00:00:00,2023-10-07T09:00:00,979.0,999.0,939.0,959.0,1696723193496,14894830652.40972,15451474.49375566,979.0,-20.0,-0.0204290092
KRW-KNC,2023-10-06T00:00:00,2023-10-06T09:00:00,919.0,987.0,910.0,979.0,1696636794208,38365179932.82864,39953881.44585031,918.0,61.0,0.0664488017
KRW-KNC,2023-10-05T00:00:00,2023-10-05T09:00:00,871.0,931.0,857.0,918.0,1696550399784,16373072976.376644,18042160.01467251,871.0,47.0,0.0539609644
KRW-KNC,2023-10-04T00:00:00,2023-10-04T09:00:00,891.0,891.0,856.0,871.0,1696463990962,4576954035.722016,5259216.79430958,892.0,-21.0,-0.0235426009
KRW-KNC,2023-10-03T00:00:00,2023-10-03T09:00:00,916.0,916.0,883.0,892.0,1696377586437,5585662732.116833,6213491.47111036,917.0,-25.0,-0.0272628135
KRW-KNC,2023-10-02T00:00:00,2023-10-02T09:00:00,947.0,965.0,908.0,917.0,1696291188430,10935933591.752634,11593093.7156929,945.0,-28.0,-0.0296296296
KRW-KNC,2023-10-01T00:00:00,2023-10-01T09:00:00,931.0,956.0,900.0,945.0,1696204789480,9969494415.797585,10733887.02726696,932.0,13.0,0.0139484979
KRW-KNC,2023-09-30T00:00:00,2023-09-30T09:00:00,960.0,966.0,926.0,932.0,1696118393178,9131062651.126585,9685854.08477527,961.0,-29.0,-0.0301768991
KRW-KNC,2023-09-29T00:00:00,2023-09-29T09:00:00,990.0,999.0,923.0,961.0,1696031980620,16374245243.190578,17072496.68697945,991.0,-30.0,-0.0302724521
KRW-KNC,2023-09-28T00:00:00,2023-09-28T09:00:00,989.0,1005.0,949.0,991.0,1695945597394,36794618544.081635,37505036.99205195,990.0,1.0,0.001010101
KRW-KNC,2023-09-27T00:00:00,2023-09-27T09:00:00,979.0,1015.0,939.0,990.0,1695859198102,73455451900.66472,75370841.56728792,979.0,11.0,0.0112359551
KRW-KNC,2023-09-26T00:00:00,2023-09-26T09:00:00,894.0,1010.0,886.0,979.0,1695772799906,84908997896.105,88561497.33339202,894.0,85.0,0.0950782998
KRW-KNC,2023-09-25T00:00:00,2023-09-25T09:00:00,901.0,936.0,852.0,894.0,1695686395430,39278325469.594215,44184566.78883634,903.0,-9.0,-0.0099667774
KRW-KNC,2023-09-24T00:00:00,2023-09-24T09:00:00,974.0,1025.0,893.0,903.0,1695599996715,106132584937.2062,110354448.22419024,974.0,-71.0,-0.0728952772
KRW-KNC,2023-09-23T00:00:00,2023-09-23T09:00:00,843.0,987.0,841.0,974.0,1695513599884,83859032324.52771,90946917.92887834,841.0,133.0,0.1581450654
KRW-KNC,2023-09-22T00:00:00,2023-09-22T09:00:00,822.0,845.0,817.0,841.0,1695427174636,5893442111.782901,7104078.79299312,822.0,19.0,0.0231143552
KRW-KNC,2023-09-21T00:00:00,2023-09-21T09:00:00,861.0,865.0,792.0,822.0,1695340787734,12175922142.050943,14803011.76176257,860.0,-38.0,-0.0441860465
KRW-KNC,2023-09-20T00:00:00,2023-09-20T09:00:00,795.0,866.0,787.0,860.0,1695254399701,22590883404.83583,27332007.43666687,795.0,65.0,0.0817610063
KRW-KNC,2023-09-19T00:00:00,2023-09-19T09:00:00,789.0,803.0,770.0,795.0,1695167974393,5712743608.212645,7283245.6411262,789.0,6.0,0.0076045627
KRW-KNC,2023-09-18T00:00:00,2023-09-18T09:00:00,799.0,812.0,776.0,789.0,1695081542605,5886708225.541651,7388338.54922493,799.0,-10.0,-0.0125156446
KRW-KNC,2023-09-17T00:00:00,2023-09-17T09:00:00,826.0,836.0,774.0,799.0,1694995193936,16480871282.715698,20497891.08515009,827.0,-28.0,-0.0338573156
KRW-KNC,2023-09-16T00:00:00,2023-09-16T09:00:00,776.0,905.0,776.0,827.0,1694908792663,121295069236.77965,142552055.00026715,776.0,51.0,0.0657216495
KRW-KNC,2023-09-15T00:00:00,2023-09-15T09:00:00,715.0,791.0,715.0,776.0,1694822398263,29987449189.79305,39491979.18975209,716.0,60.0,0.0837988827
