market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-MATIC,2023-10-10T00:00:00,2023-10-10T09:00:00,721.0,730.0,699.0,706.0,1696982390279,3637239991.0239096,5093649.10466828,722.0,-16.0,-0.0221606648
KRW-MATIC,2023-10-09T00:00:00,2023-10-09T09:00:00,761.0,762.0,712.0,722.0,1696895938436,5510740713.654566,7495869.91786434,763.0,-41.0,-0.0537352556
KRW-MATIC,2023-10-08T00:00:00,2023-10-08T09:00:00,764.0,771.0,755.0,763.0,1696809583107,3579316220.8631163,4692102.82542413,765.0,-2.0,-0.0026143791
KRW-MATIC,2023-10-07T00:00:00,2023-10-07T09:00:00,763.0,802.0,762.0,765.0,1696723183709,10612600721.029274,13626960.16779848,762.0,3.0,0.0039370079
KRW-MATIC,2023-10-06T00:00:00,2023-10-06T09:00:00,740.0,772.0,739.0,762.0,1696636799602,4591894634.371431,6070016.68440827,739.0,23.0,0.0311231394
KRW-MATIC,2023-10-05T00:00:00,2023-10-05T09:00:00,761.0,768.0,739.0,739.0,1696550378309,6527859691.086279,8627612.34546625,762.0,-23.0,-0.030183727
KRW-MATIC,2023-10-04T00:00:00,2023-10-04T09:00:00,767.0,816.0,746.0,762.0,1696463965278,19448194322.727535,24813377.21047197,767.0,-5.0,-0.0065189048
KRW-MATIC,2023-10-03T00:00:00,2023-10-03T09:00:00,744.0,795.0,743.0,767.0,1696377592176,19856792002.890255,25692288.7957762,744.0,23.0,0.0309139785
KRW-MATIC,2023-10-02T00:00:00,2023-10-02T09:00:00,768.0,770.0,741.0,744.0,1696291173225,5608248210.385037,7381975.98438969,769.0,-25.0,-0.0325097529
KRW-MATIC,2023-10-01T00:00:00,2023-10-01T09:00:00,722.0,775.0,720.0,769.0,1696204793966,6948604020.10012,9281184.10305649,723.0,46.0,0.0636237898
KRW-MATIC,2023-09-30T00:00:00,2023-09-30T09:00:00,711.0,728.0,711.0,723.0,1696118386728,3028089334.997924,4210041.72276468,711.0,12.0,0.0168776371
KRW-MATIC,2023-09-29T00:00:00,2023-09-29T09:00:00,703.0,715.0,700.0,711.0,1696031974811,2912950397.142336,4116898.60427246,704.0,7.0,0.0099431818
KRW-MATIC,2023-09-28T00:00:00,2023-09-28T09:00:00,689.0,710.0,687.0,704.0,1695945595565,3348004314.711587,4794791.64873601,689.0,15.0,0.0217706821
KRW-MATIC,2023-09-27T00:00:00,2023-09-27T09:00:00,692.0,704.0,685.0,689.0,1695859199718,5477419251.0045,7905224.07664047,693.0,-4.0,-0.0057720058
KRW-MATIC,2023-09-26T00:00:00,2023-09-26T09:00:00,700.0,712.0,689.0,693.0,1695772733867,2143380976.0460083,3051915.48986484,701.0,-8.0,-0.0114122682
KRW-MATIC,2023-09-25T00:00:00,2023-09-25T09:00:00,695.0,703.0,687.0,701.0,1695686346068,2716726702.945741,3911446.27049276,694.0,7.0,0.0100864553
KRW-MATIC,2023-09-24T00:00:00,2023-09-24T09:00:00,705.0,711.0,693.0,694.0,1695599966130,2972304046.1636763,4223615.68752176,706.0,-12.0,-0.0169971671
KRW-MATIC,2023-09-23T00:00:00,2023-09-23T09:00:00,705.0,709.0,703.0,706.0,1695513479947,1459848479.2507434,2069324.25442401,705.0,1.0,0.0014184397
KRW-MATIC,2023-09-22T00:00:00,2023-09-22T09:00:00,704.0,710.0,698.0,705.0,1695427196341,1825616431.9425104,2591990.95245486,705.0,,0.0
KRW-MATIC,2023-09-21T00:00:00,2023-09-21T09:00:00,727.0,735.0,703.0,705.0,1695340794832,2906127593.0421886,4039126.96964812,727.0,-22.0,-0.030261348
KRW-MATIC,2023-09-20T00:00:00,2023-09-20T09:00:00,730.0,738.0,720.0,727.0,1695254355733,2599793316.975512,3567795.81320126,730.0,-3.0,-0.004109589
KRW-MATIC,2023-09-19T00:00:00,2023-09-19T09:00:00,707.0,732.0,701.0,730.0,1695167995761,3127926867.7917204,4347798.40764366,708.0,22.0,0.0310734463
KRW-MATIC,2023-09-18T00:00:00,2023-09-18T09:00:00,698.0,720.0,691.0,708.0,1695081567522,3384413331.1163135,4782774.30798936,698.0,10.0,0.0143266476
KRW-MATIC,2023-09-17T00:00:00,2023-09-17T09:00:00,717.0,717.0,694.0,698.0,1694995172316,2102561677.3765612,2992352.32833881,716.0,-18.0,-0.0251396648
KRW-MATIC,2023-09-16T00:00:00,2023-09-16T09:00:00,714.0,722.0,710.0,716.0,1694908773486,2711211976.16561,3790765.67706245,715.0,1.0,0.0013986014
