market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-MED,2023-10-10T00:00:00,2023-10-10T09:00:00,12.0,12.2,11.8,11.9,1696982292673,1405106877.7477045,116950259.98592047,12.0,-0.1,-0.0083333333
KRW-MED,2023-10-09T00:00:00,2023-10-09T09:00:00,12.7,12.7,11.9,12.0,1696895987023,2537619358.5142436,208787796.30815706,12.7,-0.7,-0.0551181102
KRW-MED,2023-10-08T00:00:00,2023-10-08T09:00:00,12.2,12.7,12.2,12.7,1696809592823,3485700666.142938,279468354.3084117,12.3,0.4,0.0325203252
KRW-MED,2023-10-07T00:00:00,2023-10-07T09:00:00,12.3,12.4,12.2,12.3,1696723155455,886313096.5068285,71942112.16175199,12.3,,0.0
KRW-MED,2023-10-06T00:00:00,2023-10-06T09:00:00,12.1,12.4,12.0,12.3,1696636765941,1232973076.2410486,101408868.34209023,12.1,0.2,0.0165289256
KRW-MED,2023-10-05T00:00:00,2023-10-05T09:00:00,12.2,12.3,12.0,12.1,1696550291801,762040119.043678,62826218.48524174,12.2,-0.1,-0.0081967213
KRW-MED,2023-10-04T00:00:00,2023-10-04T09:00:00,12.2,12.3,12.0,12.2,1696463961289,1202286708.0401719,98925319.05446777,12.2,,0.0
KRW-MED,2023-10-03T00:00:00,2023-10-03T09:00:00,12.4,12.6,12.1,12.2,1696377597044,1870183140.1579366,151746065.45059833,12.5,-0.3,-0.024
KRW-MED,2023-10-02T00:00:00,2023-10-02T09:00:00,12.6,13.0,12.3,12.5,1696291161271,3520497962.9848742,277186185.0961886,12.6,-0.1,-0.0079365079
KRW-MED,2023-10-01T00:00:00,2023-10-01T09:00:00,12.4,13.2,12.3,12.6,1696204799495,5508090730.486648,433035311.46029747,12.4,0.2,0.0161290323
KRW-MED,2023-09-30T00:00:00,2023-09-30T09:00:00,12.3,12.5,12.2,12.4,1696118397511,1110870011.6772363,90241936.63363445,12.3,0.1,0.0081300813
KRW-MED,2023-09-29T00:00:00,2023-09-29T09:00:00,12.1,12.7,12.0,12.3,1696031989580,4188859658.978781,339234508.08975583,12.1,0.2,0.0165289256
KRW-MED,2023-09-28T00:00:00,2023-09-28T09:00:00,12.0,12.2,11.9,12.1,1695945598815,1205253593.114191,100113008.46260045,12.0,0.1,0.0083333333
KRW-MED,2023-09-27T00:00:00,2023-09-27T09:00:00,12.0,12.1,11.9,12.0,1695859157091,1003258923.4678746,83868700.3348377,12.0,,0.0
KRW-MED,2023-09-26T00:00:00,2023-09-26T09:00:00,12.0,12.2,11.8,12.0,1695772798848,1340636725.5078573,111632690.90455297,11.9,0.1,0.0084033613
KRW-MED,2023-09-25T00:00:00,2023-09-25T09:00:00,12.1,12.2,11.8,11.9,1695686398903,1272747775.2951252,106374133.35909417,12.1,-0.2,-0.0165289256
KRW-MED,2023-09-24T00:00:00,2023-09-24T09:00:00,12.4,12.5,12.1,12.1,1695599998840,1234367421.4218612,101024937.74810259,12.4,-0.3,-0.0241935484
KRW-MED,2023-09-23T00:00:00,2023-09-23T09:00:00,12.2,12.5,12.1,12.4,1695513598833,2331271269.9609714,189067793.4514767,12.2,0.2,0.0163934426
KRW-MED,2023-09-22T00:00:00,2023-09-22T09:00:00,11.9,12.2,11.8,12.2,1695427198904,1976643359.2584696,164683187.76256764,12.0,0.2,0.0166666667
KRW-MED,2023-09-21T00:00:00,2023-09-21T09:00:00,12.2,12.4,11.8,12.0,1695340697126,1501011097.2811093,124246247.05147067,12.2,-0.2,-0.0163934426
KRW-MED,2023-09-20T00:00:00,2023-09-20T09:00:00,12.1,12.3,11.8,12.2,1695254365787,2359722697.851861,196356364.76470226,12.1,0.1,0.0082644628
KRW-MED,2023-09-19T00:00:00,2023-09-19T09:00:00,12.0,12.3,11.9,12.1,1695167998850,2135101618.566101,177126407.08009025,11.9,0.2,0.0168067227
KRW-MED,2023-09-18T00:00:00,2023-09-18T09:00:00,11.8,12.1,11.6,11.9,1695081523759,1492844410.1121771,126026256.39088656,11.8,0.1,0.0084745763
KRW-MED,2023-09-17T00:00:00,2023-09-17T09:00:00,12.2,12.3,11.8,11.8,1694995198865,1202759265.154008,100141413.70093267,12.3,-0.5,-0.0406504065
KRW-MED,2023-09-16T00:00:00,2023-09-16T09:00:00,12.1,12.5,12.0,12.3,1694908744322,1654213747.6392727,135022136.09767538,12.0,0.3,0.025
KRW-MED,2023-09-15T00:00:00,2023-09-15T09:00:00,11.9,12.1,11.7,12.0,1694822398806,1167782660.427951,98462713.55246724,11.9,0.1,0.0084033613
KRW-MED,2023-09-14T00:00:00,2023-09-14T09:00:00,11.7,12.0,11.6,11.9,1694735999387,1514183778.0884638,128438895.51035975,11.6,0.3,0.025862069
KRW-MED,2023-09-13T00:00:00,2023-09-13T09:00:00,11.5,11.7,11.3,11.6,1694649599349,898682512.5682452,78472083.1568423,11.4,0.2,0.0175438596
KRW-MED,2023-09-12T00:00:00,2023-09-12T09:00:00,11.3,11.6,11.1,11.4,1694563199933,1543536659.290963,135810257.05002528,11.3,0.1,0.0088495575
KRW-MED,2023-09-11T00:00:00,2023-09-11T09:00:00,11.9,12.0,11.1,11.3,1694476698475,2227673847.7768993,194314836.79700574,12.0,-0.7,-0.0583333333
KRW-MED,2023-09-10T00:00:00,2023-09-10T09:00:00,12.1,12.2,11.7,12.0,1694390399980,1083185351.8597565,90848337.49631722,12.1,-0.1,-0.0082644628
KRW-MED,2023-09-09T00:00:00,2023-09-09T09:00:00,12.2,12.2,12.0,12.1,1694303999868,479120365.5345698,39555662.96324371,12.1,,0.0
KRW-MED,2023-09-08T00:00:00,2023-09-08T09:00:00,12.1,12.4,12.0,12.1,1694217593533,1081064796.0194638,88581992.92584217,12.1,,0.0
KRW-MED,2023-09-07T00:00:00,2023-09-07T09:00:00,12.2,12.3,12.0,12.1,1694131198955,820858974.3405395,67783060.34875733,12.1,,0.0
KRW-MED,2023-09-06T00:00:00,2023-09-06T09:00:00,12.2,12.3,12.0,12.1,1694044799447,581146646.0264821,47929802.528381,12.1,,0.0
KRW-MED,2023-09-05T00:00:00,2023-09-05T09:00:00,12.1,12.2,11.9,12.1,1693958399457,743172365.5128732,61558763.7644098,12.1,,0.0
KRW-MED,2023-09-04T00:00:00,2023-09-04T09:00:00,12.2,12.4,12.1,12.1,1693871998898,1456817198.6380963,119109891.79629305,12.3,-0.2,-0.0162601626
KRW-MED,2023-09-03T00:00:00,2023-09-03T09:00:00,12.4,12.5,12.2,12.3,1693785551283,629393425.7899954,51084350.96440301,12.4,-0.1,-0.0080645161
KRW-MED,2023-09-02T00:00:00,2023-09-02T09:00:00,12.3,12.4,12.0,12.4,1693699178437,812162784.0861068,66560397.88372215,12.2,0.2,0.0163934426
KRW-MED,2023-09-01T00:00:00,2023-09-01T09:00:00,12.1,12.4,12.1,12.2,1693612799138,960959840.9246429,78605653.86310247,12.2,,0.0
KRW-MED,2023-08-31T00:00:00,2023-08-31T09:00:00,12.8,12.9,12.1,12.2,1693526394449,1396031144.0348365,111054534.19516288,12.8,-0.6,-0.046875
KRW-MED,2023-08-30T00:00:00,2023-08-30T09:00:00,13.1,13.1,12.7,12.8,1693439998765,962961438.6201268,74917188.26553556,13.1,-0.3,-0.0229007634
KRW-MED,2023-08-29T00:00:00,2023-08-29T09:00:00,12.8,13.2,12.4,13.1,1693353600022,2227552219.203514,174667476.80869523,12.8,0.3,0.0234375
KRW-MED,2023-08-28T00:00:00,2023-08-28T09:00:00,13.2,13.2,12.6,12.8,1693267198949,1349997102.3471816,105085730.72481816,13.2,-0.4,-0.0303030303
KRW-MED,2023-08-27T00:00:00,2023-08-27T09:00:00,13.4,13.4,13.1,13.2,1693180762511,1074553575.416099,81367294.84712526,13.4,-0.2,-0.0149253731
KRW-MED,2023-08-26T00:00:00,2023-08-26T09:00:00,13.2,13.6,13.1,13.4,1693094387912,2038364266.1635737,152545070.1621005,13.2,0.2,0.0151515152
KRW-MED,2023-08-25T00:00:00,2023-08-25T09:00:00,13.0,13.5,12.8,13.2,1693007840034,2279822216.9658217,174918050.60611573,13.0,0.2,0.0153846154
KRW-MED,2023-08-24T00:00:00,2023-08-24T09:00:00,13.2,13.2,12.8,13.0,1692921588387,878874146.0166376,67656753.52104294,13.1,-0.1,-0.0076335878
KRW-MED,2023-08-23T00:00:00,2023-08-23T09:00:00,13.0,13.2,12.8,13.1,1692835198818,789537436.750133,60742609.06314334,13.0,0.1,0.0076923077
KRW-MED,2023-08-22T00:00:00,2023-08-22T09:00:00,13.1,13.2,12.7,13.0,1692748799649,660399057.6948197,50989383.2564698,13.1,-0.1,-0.0076335878
KRW-MED,2023-08-21T00:00:00,2023-08-21T09:00:00,13.5,13.5,12.9,13.1,1692662398727,1102063174.3016322,83903343.01772256,13.4,-0.3,-0.0223880597
KRW-MED,2023-08-20T00:00:00,2023-08-20T09:00:00,13.5,14.1,13.3,13.4,1692575999204,1939731538.6008098,142618288.5379615,13.4,,0.0
