market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-META,2023-10-10T00:00:00,2023-10-10T09:00:00,32.3,32.3,31.6,31.7,1696982367239,792112682.7031235,24856532.53898934,32.3,-0.6,-0.0185758514
KRW-META,2023-10-09T00:00:00,2023-10-09T09:00:00,33.6,33.7,31.3,32.3,1696895987420,3644766647.542314,112323664.46888033,33.7,-1.4,-0.0415430267
KRW-META,2023-10-08T00:00:00,2023-10-08T09:00:00,32.5,35.8,32.5,33.7,1696809588471,19693759854.618553,578027478.0462369,32.6,1.1,0.0337423313
KRW-META,2023-10-07T00:00:00,2023-10-07T09:00:00,32.8,32.9,32.2,32.6,1696723187831,1044241562.9628264,32137749.98605552,32.8,-0.2,-0.006097561
KRW-META,2023-10-06T00:00:00,2023-10-06T09:00:00,31.7,32.9,31.7,32.8,1696636789720,1801156542.1335485,55791625.02687314,31.8,1.0,0.0314465409
KRW-META,2023-10-05T00:00:00,2023-10-05T09:00:00,32.2,32.2,31.5,31.8,1696550385297,1078101783.0115926,33915897.66576724,32.1,-0.3,-0.0093457944
KRW-META,2023-10-04T00:00:00,2023-10-04T09:00:00,31.5,32.6,31.5,32.1,1696463970099,2271150320.2700143,71027161.01376387,31.5,0.6,0.019047619
KRW-META,2023-10-03T00:00:00,2023-10-03T09:00:00,32.5,32.6,31.5,31.5,1696377597891,2393416971.667787,74715181.1737944,32.6,-1.1,-0.0337423313
KRW-META,2023-10-02T00:00:00,2023-10-02T09:00:00,34.0,34.1,32.5,32.6,1696291198327,5172964019.796684,155994431.11102003,34.1,-1.5,-0.0439882698
KRW-META,2023-10-01T00:00:00,2023-10-01T09:00:00,32.8,37.6,32.8,34.1,1696204796465,48240482558.82522,1354760275.9297247,32.8,1.3,0.0396341463
KRW-META,2023-09-30T00:00:00,2023-09-30T09:00:00,34.7,34.8,32.6,32.8,1696118392267,3904461298.158096,117073309.99612302,34.8,-2.0,-0.0574712644
KRW-META,2023-09-29T00:00:00,2023-09-29T09:00:00,31.3,34.8,31.3,34.8,1696031999734,13148031470.311722,400099408.7705815,31.3,3.5,0.1118210863
KRW-META,2023-09-28T00:00:00,2023-09-28T09:00:00,30.8,31.7,30.5,31.3,1695945521553,1585736651.0453954,51219594.1675021,30.8,0.5,0.0162337662
KRW-META,2023-09-27T00:00:00,2023-09-27T09:00:00,30.7,31.1,30.4,30.8,1695859166821,1214589426.3655143,39553271.65772423,30.8,,0.0
KRW-META,2023-09-26T00:00:00,2023-09-26T09:00:00,30.2,31.0,30.2,30.8,1695772786363,1420146163.1247265,46244965.49526166,30.2,0.6,0.0198675497
KRW-META,2023-09-25T00:00:00,2023-09-25T09:00:00,30.5,30.7,29.5,30.2,1695686385388,1238986286.177465,41325378.72542634,30.5,-0.3,-0.0098360656
KRW-META,2023-09-24T00:00:00,2023-09-24T09:00:00,32.0,32.0,30.4,30.5,1695599916625,1673677454.0696497,53914046.61293048,31.9,-1.4,-0.0438871473
KRW-META,2023-09-23T00:00:00,2023-09-23T09:00:00,30.8,32.2,30.7,31.9,1695513573157,2674400661.2777095,84705844.35481787,30.8,1.1,0.0357142857
KRW-META,2023-09-22T00:00:00,2023-09-22T09:00:00,30.0,31.1,29.7,30.8,1695427186874,2073016552.7966516,68127967.62543435,30.0,0.8,0.0266666667
KRW-META,2023-09-21T00:00:00,2023-09-21T09:00:00,31.2,31.3,29.7,30.0,1695340793375,2540602982.759867,83743868.25624253,31.3,-1.3,-0.0415335463
KRW-META,2023-09-20T00:00:00,2023-09-20T09:00:00,31.0,31.4,30.0,31.3,1695254389232,4932061413.682559,161152405.08947682,31.0,0.3,0.0096774194
KRW-META,2023-09-19T00:00:00,2023-09-19T09:00:00,29.2,33.1,29.1,31.0,1695167995259,32091816105.385433,1024888923.9723098,29.1,1.9,0.0652920962
KRW-META,2023-09-18T00:00:00,2023-09-18T09:00:00,28.7,29.3,28.2,29.1,1695081597906,716146759.4236523,24825201.88532797,28.7,0.4,0.0139372822
KRW-META,2023-09-17T00:00:00,2023-09-17T09:00:00,30.0,30.6,28.5,28.7,1694995178075,1746101297.3476887,58815999.95739871,30.0,-1.3,-0.0433333333
KRW-META,2023-09-16T00:00:00,2023-09-16T09:00:00,29.8,30.4,29.5,30.0,1694908776671,1420013398.1626892,47449825.75178649,29.7,0.3,0.0101010101
KRW-META,2023-09-15T00:00:00,2023-09-15T09:00:00,29.3,29.7,28.7,29.7,1694822355558,1275362966.0187633,43813150.52597185,29.3,0.4,0.0136518771
KRW-META,2023-09-14T00:00:00,2023-09-14T09:00:00,28.3,29.3,28.2,29.3,1694735987942,1418072227.0340443,49375449.95056487,28.2,1.1,0.0390070922
KRW-META,2023-09-13T00:00:00,2023-09-13T09:00:00,27.6,28.4,27.3,28.2,1694649593462,753961053.3402745,27101177.77254043,27.6,0.6,0.0217391304
KRW-META,2023-09-12T00:00:00,2023-09-12T09:00:00,27.4,27.9,27.2,27.6,1694563166571,544762585.3951563,19745804.02994784,27.4,0.2,0.0072992701
KRW-META,2023-09-11T00:00:00,2023-09-11T09:00:00,28.4,28.5,27.2,27.4,1694476786873,792130429.417999,28332364.34911823,28.5,-1.1,-0.0385964912
KRW-META,2023-09-10T00:00:00,2023-09-10T09:00:00,28.7,28.8,28.1,28.5,1694390321108,576095290.4038746,20304863.13766524,28.8,-0.3,-0.0104166667
KRW-META,2023-09-09T00:00:00,2023-09-09T09:00:00,28.6,28.8,28.3,28.8,1694303987835,549744885.401868,19297682.53157448,28.7,0.1,0.0034843206
KRW-META,2023-09-08T00:00:00,2023-09-08T09:00:00,28.3,29.3,28.2,28.7,1694217587754,2126349342.8938406,73988311.31855042,28.3,0.4,0.0141342756
KRW-META,2023-09-07T00:00:00,2023-09-07T09:00:00,28.2,28.6,27.9,28.3,1694131167525,470845515.68936783,16727921.67470678,28.1,0.2,0.0071174377
KRW-META,2023-09-06T00:00:00,2023-09-06T09:00:00,28.1,28.6,27.9,28.1,1694044769270,711336285.8693454,25229481.35647764,28.3,-0.2,-0.0070671378
KRW-META,2023-09-05T00:00:00,2023-09-05T09:00:00,28.2,28.8,27.5,28.3,1693958392042,1355855249.0932984,48330112.08568121,28.2,0.1,0.0035460993
KRW-META,2023-09-04T00:00:00,2023-09-04T09:00:00,27.8,29.1,27.7,28.2,1693871966323,3095875484.9666204,109082071.80745558,27.8,0.4,0.0143884892
KRW-META,2023-09-03T00:00:00,2023-09-03T09:00:00,28.0,28.4,27.6,27.8,1693785568696,750554596.5310409,26878725.04382062,28.1,-0.3,-0.0106761566
KRW-META,2023-09-02T00:00:00,2023-09-02T09:00:00,28.0,28.2,27.3,28.1,1693699199420,576604768.8216693,20765450.88685437,28.1,,0.0
KRW-META,2023-09-01T00:00:00,2023-09-01T09:00:00,28.1,28.5,27.5,28.1,1693612766802,727005216.9163246,25921545.12556596,28.2,-0.1,-0.0035460993
KRW-META,2023-08-31T00:00:00,2023-08-31T09:00:00,28.9,29.2,28.1,28.2,1693526394467,971958101.7192137,33924598.45534815,28.9,-0.7,-0.0242214533
KRW-META,2023-08-30T00:00:00,2023-08-30T09:00:00,29.8,29.8,28.8,28.9,1693439966976,1230068655.59396,42128992.29601509,29.8,-0.9,-0.0302013423
KRW-META,2023-08-29T00:00:00,2023-08-29T09:00:00,29.6,30.6,28.2,29.8,1693353561549,4525149776.54541,153605541.12908015,29.6,0.2,0.0067567568
KRW-META,2023-08-28T00:00:00,2023-08-28T09:00:00,31.1,31.1,29.0,29.6,1693267187136,3688179848.833239,124143394.0919072,31.0,-1.4,-0.0451612903
KRW-META,2023-08-27T00:00:00,2023-08-27T09:00:00,33.9,33.9,30.6,31.0,1693180795793,15148018934.13466,474909862.7014165,33.9,-2.9,-0.0855457227
KRW-META,2023-08-26T00:00:00,2023-08-26T09:00:00,30.0,36.2,29.9,33.9,1693094392897,60011565483.81991,1777193834.8580604,29.8,4.1,0.1375838926
KRW-META,2023-08-25T00:00:00,2023-08-25T09:00:00,28.7,32.7,28.7,29.8,1693007991370,16366693004.0794,538662257.3067915,28.8,1.0,0.0347222222
KRW-META,2023-08-24T00:00:00,2023-08-24T09:00:00,28.9,29.0,28.5,28.8,1692921595737,418716174.1482783,14568093.0382282,28.9,-0.1,-0.0034602076
KRW-META,2023-08-23T00:00:00,2023-08-23T09:00:00,28.7,29.2,28.3,28.9,1692835198435,409635930.03244036,14271542.21796017,28.7,0.2,0.0069686411
KRW-META,2023-08-22T00:00:00,2023-08-22T09:00:00,29.1,29.2,28.4,28.7,1692748770268,502324745.3200617,17463581.18266082,29.2,-0.5,-0.0171232877
KRW-META,2023-08-21T00:00:00,2023-08-21T09:00:00,29.8,29.8,28.7,29.2,1692662379428,561092485.1497086,19249673.12588835,29.6,-0.4,-0.0135135135
KRW-META,2023-08-20T00:00:00,2023-08-20T09:00:00,29.4,30.7,29.2,29.6,1692575999629,2491662006.6604767,82859085.49689797,29.4,0.2,0.0068027211
KRW-META,2023-08-19T00:00:00,2023-08-19T09:00:00,28.7,30.7,28.6,29.4,1692489562457,3076819474.880803,103336149.07578257,28.7,0.7,0.0243902439
KRW-META,2023-08-18T00:00:00,2023-08-18T09:00:00,28.1,29.2,27.3,28.7,1692403199523,1445051636.3720195,51092612.99536085,28.1,0.6,0.0213523132
KRW-META,2023-08-17T00:00:00,2023-08-17T09:00:00,30.6,30.9,26.5,28.1,1692316778072,2112717692.0120609,72109133.9703993,30.5,-2.4,-0.0786885246
KRW-META,2023-08-16T00:00:00,2023-08-16T09:00:00,33.6,33.7,30.1,30.5,1692230398778,3980657560.0587716,125429798.67207243,33.7,-3.2,-0.0949554896
KRW-META,2023-08-15T00:00:00,2023-08-15T09:00:00,35.0,35.2,33.3,33.7,1692143991811,2280109679.6692853,66197041.44580669,35.0,-1.3,-0.0371428571
KRW-META,2023-08-14T00:00:00,2023-08-14T09:00:00,35.4,35.4,34.6,35.0,1692057599805,1937320236.2650826,55529443.90983793,35.5,-0.5,-0.014084507
KRW-META,2023-08-13T00:00:00,2023-08-13T09:00:00,35.8,35.9,35.3,35.5,1691971078793,1225182743.2253578,34447627.25856538,35.9,-0.4,-0.0111420613
KRW-META,2023-08-12T00:00:00,2023-08-12T09:00:00,35.8,36.4,35.3,35.9,1691884760944,2127686620.4144094,59428513.05271216,35.7,0.2,0.0056022409
KRW-META,2023-08-11T00:00:00,2023-08-11T09:00:00,35.7,36.1,35.1,35.7,1691798389484,1695443531.6726692,47625385.99614678,35.8,-0.1,-0.0027932961
KRW-META,2023-08-10T00:00:00,2023-08-10T09:00:00,35.6,35.8,34.6,35.8,1691711980141,2911369182.4121575,83001782.10790832,35.6,0.2,0.0056179775
KRW-META,2023-08-09T00:00:00,2023-08-09T09:00:00,36.3,36.4,35.3,35.6,1691625599206,3892169450.915371,108877940.33970621,36.4,-0.8,-0.021978022
KRW-META,2023-08-08T00:00:00,2023-08-08T09:00:00,38.3,38.4,35.8,36.4,1691539198048,11724925365.38002,317152562.23559797,38.3,-1.9,-0.0496083551
KRW-META,2023-08-07T00:00:00,2023-08-07T09:00:00,37.0,45.2,36.6,38.3,1691452799609,99715194683.17546,2422375000.976657,37.0,1.3,0.0351351351
KRW-META,2023-08-06T00:00:00,2023-08-06T09:00:00,36.8,37.0,36.2,37.0,1691366387529,1951165780.3299248,53356730.41617222,36.8,0.2,0.0054347826
KRW-META,2023-08-05T00:00:00,2023-08-05T09:00:00,37.4,37.5,36.1,36.8,1691279997521,2337631802.1933823,63841357.87489025,37.4,-0.6,-0.0160427807
KRW-META,2023-08-04T00:00:00,2023-08-04T09:00:00,37.9,38.3,35.7,37.4,1691193599804,7088991059.29573,192394136.2634041,37.9,-0.5,-0.0131926121
KRW-META,2023-08-03T00:00:00,2023-08-03T09:00:00,35.4,39.4,35.4,37.9,1691107199334,34139190737.505707,913002941.9850739,35.5,2.4,0.0676056338
KRW-META,2023-08-02T00:00:00,2023-08-02T09:00:00,35.4,39.4,35.0,35.5,1691020790844,23047201377.81225,620889142.9942526,35.4,0.1,0.0028248588
KRW-META,2023-08-01T00:00:00,2023-08-01T09:00:00,34.6,36.8,34.2,35.4,1690934395075,10297673820.871748,289699099.27385277,34.7,0.7,0.0201729107
KRW-META,2023-07-31T00:00:00,2023-07-31T09:00:00,34.8,35.8,33.8,34.7,1690847978920,2973214404.5573,85204614.81296189,34.6,0.1,0.0028901734
KRW-META,2023-07-30T00:00:00,2023-07-30T09:00:00,38.0,38.0,34.1,34.6,1690761589182,5409898848.859574,150749059.955394,38.0,-3.4,-0.0894736842
KRW-META,2023-07-29T00:00:00,2023-07-29T09:00:00,36.9,38.1,35.7,38.0,1690675174302,5995821070.015061,163110658.60160682,36.9,1.1,0.0298102981
