market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-MLK,2023-10-10T00:00:00,2023-10-10T09:00:00,346.0,346.0,337.0,341.0,1696982298169,3407776089.8469768,9993079.63790371,345.0,-4.0,-0.0115942029
KRW-MLK,2023-10-09T00:00:00,2023-10-09T09:00:00,364.0,364.0,341.0,345.0,1696895987872,10592603046.48432,30321624.35973707,364.0,-19.0,-0.0521978022
KRW-MLK,2023-10-08T00:00:00,2023-10-08T09:00:00,346.0,388.0,345.0,364.0,1696809598802,32881214203.27509,89711213.09922346,346.0,18.0,0.0520231214
KRW-MLK,2023-10-07T00:00:00,2023-10-07T09:00:00,350.0,350.0,346.0,346.0,1696723188259,1901396326.0915568,5468521.59610104,350.0,-4.0,-0.0114285714
KRW-MLK,2023-10-06T00:00:00,2023-10-06T09:00:00,344.0,351.0,343.0,350.0,1696636798459,1947738459.5505345,5632464.44882329,345.0,5.0,0.0144927536
KRW-MLK,2023-10-05T00:00:00,2023-10-05T09:00:00,347.0,348.0,342.0,345.0,1696550390186,2158228341.308423,6256869.89826241,348.0,-3.0,-0.0086206897
KRW-MLK,2023-10-04T00:00:00,2023-10-04T09:00:00,355.0,356.0,344.0,348.0,1696463993227,4082537594.212944,11766581.59122114,355.0,-7.0,-0.0197183099
KRW-MLK,2023-10-03T00:00:00,2023-10-03T09:00:00,363.0,364.0,352.0,355.0,1696377599954,5661499749.001472,15767856.68413047,363.0,-8.0,-0.0220385675
KRW-MLK,2023-10-02T00:00:00,2023-10-02T09:00:00,355.0,365.0,352.0,363.0,1696291195204,6710934836.190996,18758508.94124418,355.0,8.0,0.0225352113
KRW-MLK,2023-10-01T00:00:00,2023-10-01T09:00:00,348.0,358.0,347.0,355.0,1696204789510,5676771087.62292,16125929.27364342,348.0,7.0,0.0201149425
KRW-MLK,2023-09-30T00:00:00,2023-09-30T09:00:00,348.0,350.0,346.0,348.0,1696118364792,1874851509.0178049,5396536.16382822,348.0,,0.0
KRW-MLK,2023-09-29T00:00:00,2023-09-29T09:00:00,347.0,350.0,344.0,348.0,1696031995074,2386494451.047764,6878510.07552648,348.0,,0.0
KRW-MLK,2023-09-28T00:00:00,2023-09-28T09:00:00,344.0,351.0,343.0,348.0,1695945579688,2893863164.9684286,8357952.75861973,345.0,3.0,0.0086956522
KRW-MLK,2023-09-27T00:00:00,2023-09-27T09:00:00,345.0,348.0,342.0,345.0,1695859167629,2367099988.6173716,6863830.38400087,346.0,-1.0,-0.0028901734
KRW-MLK,2023-09-26T00:00:00,2023-09-26T09:00:00,352.0,352.0,343.0,346.0,1695772793604,3236826255.3562856,9316387.31332426,352.0,-6.0,-0.0170454545
KRW-MLK,2023-09-25T00:00:00,2023-09-25T09:00:00,353.0,374.0,342.0,352.0,1695686383071,13400240066.326994,37763472.45512302,353.0,-1.0,-0.0028328612
KRW-MLK,2023-09-24T00:00:00,2023-09-24T09:00:00,350.0,356.0,343.0,353.0,1695599995444,3630258391.6693306,10428156.25301123,350.0,3.0,0.0085714286
KRW-MLK,2023-09-23T00:00:00,2023-09-23T09:00:00,348.0,351.0,346.0,350.0,1695513546353,1847000539.4277105,5300085.38352373,348.0,2.0,0.0057471264
