market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-MOC,2023-10-10T00:00:00,2023-10-10T09:00:00,106.0,106.0,102.0,105.0,1696982396539,2775742065.0721703,26677046.2305886,106.0,-1.0,-0.0094339623
KRW-MOC,2023-10-09T00:00:00,2023-10-09T09:00:00,110.0,114.0,102.0,106.0,1696895996925,7935195193.873183,74101163.83608018,111.0,-5.0,-0.045045045
KRW-MOC,2023-10-08T00:00:00,2023-10-08T09:00:00,116.0,116.0,107.0,111.0,1696809590753,6939731812.734551,62026508.22304154,116.0,-5.0,-0.0431034483
KRW-MOC,2023-10-07T00:00:00,2023-10-07T09:00:00,118.0,119.0,114.0,116.0,1696723190852,5004242009.171611,43096464.52901381,119.0,-3.0,-0.025210084
KRW-MOC,2023-10-06T00:00:00,2023-10-06T09:00:00,121.0,125.0,116.0,119.0,1696636779490,19582267586.20042,163424010.86857945,121.0,-2.0,-0.0165289256
KRW-MOC,2023-10-05T00:00:00,2023-10-05T09:00:00,127.0,131.0,116.0,121.0,1696550399820,28826867355.083282,238158241.610945,127.0,-6.0,-0.0472440945
KRW-MOC,2023-10-04T00:00:00,2023-10-04T09:00:00,136.0,142.0,123.0,127.0,1696463998988,66895406326.11284,513178844.4260582,136.0,-9.0,-0.0661764706
KRW-MOC,2023-10-03T00:00:00,2023-10-03T09:00:00,104.0,139.0,104.0,136.0,1696377599772,96078811146.18631,750927617.2309452,104.0,32.0,0.3076923077
KRW-MOC,2023-10-02T00:00:00,2023-10-02T09:00:00,109.0,109.0,103.0,104.0,1696291189173,1257575196.1565557,11766937.18212448,109.0,-5.0,-0.0458715596
KRW-MOC,2023-10-01T00:00:00,2023-10-01T09:00:00,107.0,109.0,105.0,109.0,1696204793584,1240640459.2480931,11689301.78843252,107.0,2.0,0.0186915888
KRW-MOC,2023-09-30T00:00:00,2023-09-30T09:00:00,104.0,108.0,103.0,107.0,1696118388658,2658029946.5410213,25062728.47523377,104.0,3.0,0.0288461538
KRW-MOC,2023-09-29T00:00:00,2023-09-29T09:00:00,104.0,106.0,102.0,104.0,1696031780421,1070926344.1939832,10301490.14153048,104.0,,0.0
KRW-MOC,2023-09-28T00:00:00,2023-09-28T09:00:00,100.0,105.0,100.0,104.0,1695945139757,1100469458.7848585,10769512.83914055,101.0,3.0,0.0297029703
KRW-MOC,2023-09-27T00:00:00,2023-09-27T09:00:00,100.0,102.0,99.7,101.0,1695858962306,735858488.6200479,7315770.87902817,100.0,1.0,0.01
