market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-ONG,2023-10-10T00:00:00,2023-10-10T09:00:00,300.0,306.0,299.0,302.0,1696982363888,1550835283.4660897,5132307.37059964,301.0,1.0,0.0033222591
KRW-ONG,2023-10-09T00:00:00,2023-10-09T09:00:00,310.0,314.0,297.0,301.0,1696895998155,4548082054.365482,14896909.1685212,310.0,-9.0,-0.0290322581
KRW-ONG,2023-10-08T00:00:00,2023-10-08T09:00:00,318.0,318.0,306.0,310.0,1696809597916,6043309666.3157625,19457582.19241828,319.0,-9.0,-0.0282131661
KRW-ONG,2023-10-07T00:00:00,2023-10-07T09:00:00,311.0,370.0,308.0,319.0,1696723185494,21105987134.302513,62044917.03454892,311.0,8.0,0.0257234727
KRW-ONG,2023-10-06T00:00:00,2023-10-06T09:00:00,301.0,313.0,300.0,311.0,1696636797956,880128666.0161343,2878238.90982065,301.0,10.0,0.0332225914
KRW-ONG,2023-10-05T00:00:00,2023-10-05T09:00:00,301.0,304.0,298.0,301.0,1696550382030,692504689.4651637,2300808.98922747,301.0,,0.0
KRW-ONG,2023-10-04T00:00:00,2023-10-04T09:00:00,308.0,309.0,296.0,301.0,1696463987752,1459134834.1029341,4841472.5683653,307.0,-6.0,-0.0195439739
KRW-ONG,2023-10-03T00:00:00,2023-10-03T09:00:00,311.0,318.0,306.0,307.0,1696377560182,2159917806.8332667,6919696.31566222,312.0,-5.0,-0.016025641
KRW-ONG,2023-10-02T00:00:00,2023-10-02T09:00:00,314.0,315.0,308.0,312.0,1696291199335,1363202888.921602,4365581.17221765,314.0,-2.0,-0.0063694268
KRW-ONG,2023-10-01T00:00:00,2023-10-01T09:00:00,310.0,316.0,306.0,314.0,1696204795793,1876867380.2270985,6052829.57203458,310.0,4.0,0.0129032258
KRW-ONG,2023-09-30T00:00:00,2023-09-30T09:00:00,306.0,323.0,304.0,310.0,1696118398803,2891374578.86243,9285782.90525161,307.0,3.0,0.009771987
KRW-ONG,2023-09-29T00:00:00,2023-09-29T09:00:00,306.0,308.0,300.0,307.0,1696031973484,1240007687.864727,4071151.32129041,305.0,2.0,0.006557377
KRW-ONG,2023-09-28T00:00:00,2023-09-28T09:00:00,300.0,306.0,298.0,305.0,1695945593839,918104591.3080256,3043634.18492745,300.0,5.0,0.0166666667
KRW-ONG,2023-09-27T00:00:00,2023-09-27T09:00:00,298.0,303.0,295.0,300.0,1695859189719,1124184512.2147434,3765115.3106637,298.0,2.0,0.0067114094
KRW-ONG,2023-09-26T00:00:00,2023-09-26T09:00:00,301.0,302.0,294.0,298.0,1695772787835,923857066.6975256,3097290.14582436,300.0,-2.0,-0.0066666667
KRW-ONG,2023-09-25T00:00:00,2023-09-25T09:00:00,305.0,305.0,292.0,300.0,1695686220194,1492109626.6819735,5010499.90699642,306.0,-6.0,-0.0196078431
KRW-ONG,2023-09-24T00:00:00,2023-09-24T09:00:00,320.0,320.0,303.0,306.0,1695599937523,2160363218.3960896,6946146.0568722,320.0,-14.0,-0.04375
KRW-ONG,2023-09-23T00:00:00,2023-09-23T09:00:00,315.0,322.0,304.0,320.0,1695513595021,2861710754.2560945,9105505.82317914,315.0,5.0,0.0158730159
KRW-ONG,2023-09-22T00:00:00,2023-09-22T09:00:00,308.0,322.0,307.0,315.0,1695427195660,5857083413.464141,18663606.40960644,308.0,7.0,0.0227272727
KRW-ONG,2023-09-21T00:00:00,2023-09-21T09:00:00,315.0,316.0,301.0,308.0,1695340796778,1165361373.3052833,3787371.83880254,315.0,-7.0,-0.0222222222
KRW-ONG,2023-09-20T00:00:00,2023-09-20T09:00:00,312.0,319.0,303.0,315.0,1695254396586,2647364909.5612903,8499741.14322826,312.0,3.0,0.0096153846
KRW-ONG,2023-09-19T00:00:00,2023-09-19T09:00:00,305.0,320.0,294.0,312.0,1695167999676,4681611428.376161,15358056.6959816,306.0,6.0,0.0196078431
KRW-ONG,2023-09-18T00:00:00,2023-09-18T09:00:00,293.0,307.0,289.0,306.0,1695081596850,1573146598.2993314,5277288.62825786,293.0,13.0,0.0443686007
KRW-ONG,2023-09-17T00:00:00,2023-09-17T09:00:00,299.0,299.0,289.0,293.0,1694995197484,1307249307.940801,4448432.04974946,299.0,-6.0,-0.0200668896
KRW-ONG,2023-09-16T00:00:00,2023-09-16T09:00:00,296.0,300.0,294.0,299.0,1694908769637,1372618180.6413305,4623327.02087099,295.0,4.0,0.013559322
KRW-ONG,2023-09-15T00:00:00,2023-09-15T09:00:00,293.0,298.0,286.0,295.0,1694822383261,1381208839.0323763,4725368.35803876,293.0,2.0,0.0068259386
KRW-ONG,2023-09-14T00:00:00,2023-09-14T09:00:00,286.0,296.0,284.0,293.0,1694735990190,1740521604.9052656,6008930.63772753,287.0,6.0,0.0209059233
KRW-ONG,2023-09-13T00:00:00,2023-09-13T09:00:00,279.0,290.0,277.0,287.0,1694649575104,2058598546.7813244,7296946.85395176,278.0,9.0,0.0323741007
KRW-ONG,2023-09-12T00:00:00,2023-09-12T09:00:00,271.0,282.0,269.0,278.0,1694563179278,474955430.09962773,1723057.0889371,271.0,7.0,0.0258302583
KRW-ONG,2023-09-11T00:00:00,2023-09-11T09:00:00,284.0,285.0,270.0,271.0,1694476779423,906671863.0336736,3269644.99368789,284.0,-13.0,-0.0457746479
KRW-ONG,2023-09-10T00:00:00,2023-09-10T09:00:00,288.0,289.0,281.0,284.0,1694390389995,672418181.5387939,2363825.10602373,289.0,-5.0,-0.0173010381
KRW-ONG,2023-09-09T00:00:00,2023-09-09T09:00:00,287.0,293.0,286.0,289.0,1694303989792,831779653.646863,2878983.5747241,286.0,3.0,0.0104895105
KRW-ONG,2023-09-08T00:00:00,2023-09-08T09:00:00,287.0,289.0,285.0,286.0,1694217596539,466220579.04350114,1624023.05919569,288.0,-2.0,-0.0069444444
KRW-ONG,2023-09-07T00:00:00,2023-09-07T09:00:00,287.0,289.0,283.0,288.0,1694131189434,354760641.6261814,1240618.05381404,287.0,1.0,0.0034843206
KRW-ONG,2023-09-06T00:00:00,2023-09-06T09:00:00,291.0,291.0,285.0,287.0,1694044795985,825328860.6840434,2868153.82976954,291.0,-4.0,-0.0137457045
KRW-ONG,2023-09-05T00:00:00,2023-09-05T09:00:00,282.0,294.0,280.0,291.0,1693958387601,1233915550.1554937,4289813.6297821,283.0,8.0,0.0282685512
KRW-ONG,2023-09-04T00:00:00,2023-09-04T09:00:00,287.0,287.0,281.0,283.0,1693871990914,494259540.1897626,1742200.37345252,287.0,-4.0,-0.0139372822
KRW-ONG,2023-09-03T00:00:00,2023-09-03T09:00:00,289.0,294.0,285.0,287.0,1693785596019,1167191429.0980556,4043268.64032387,289.0,-2.0,-0.0069204152
KRW-ONG,2023-09-02T00:00:00,2023-09-02T09:00:00,283.0,292.0,279.0,289.0,1693699176052,845903721.6215593,2951994.85808541,282.0,7.0,0.024822695
KRW-ONG,2023-09-01T00:00:00,2023-09-01T09:00:00,282.0,287.0,281.0,282.0,1693612758146,405179160.48125947,1430455.49966731,283.0,-1.0,-0.0035335689
KRW-ONG,2023-08-31T00:00:00,2023-08-31T09:00:00,292.0,292.0,282.0,283.0,1693526369756,620663541.3304453,2160446.83881676,291.0,-8.0,-0.0274914089
KRW-ONG,2023-08-30T00:00:00,2023-08-30T09:00:00,295.0,296.0,291.0,291.0,1693439944318,457090217.93746215,1564168.39291055,295.0,-4.0,-0.013559322
