market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-ONT,2023-10-10T00:00:00,2023-10-10T09:00:00,222.0,227.0,220.0,221.0,1696982326281,1537090010.7457094,6875843.81514446,221.0,,0.0
KRW-ONT,2023-10-09T00:00:00,2023-10-09T09:00:00,233.0,234.0,217.0,221.0,1696895961419,2986318040.893383,13293071.36190965,232.0,-11.0,-0.0474137931
KRW-ONT,2023-10-08T00:00:00,2023-10-08T09:00:00,229.0,239.0,223.0,232.0,1696809599402,3199017516.5543747,13898228.72543512,229.0,3.0,0.0131004367
KRW-ONT,2023-10-07T00:00:00,2023-10-07T09:00:00,228.0,233.0,226.0,229.0,1696723152019,2402290252.5543714,10489341.95976598,227.0,2.0,0.0088105727
KRW-ONT,2023-10-06T00:00:00,2023-10-06T09:00:00,224.0,228.0,222.0,227.0,1696636578792,1046949879.2564418,4648795.68306519,224.0,3.0,0.0133928571
KRW-ONT,2023-10-05T00:00:00,2023-10-05T09:00:00,226.0,227.0,222.0,224.0,1696550320307,438086093.244336,1952740.23072016,225.0,-1.0,-0.0044444444
KRW-ONT,2023-10-04T00:00:00,2023-10-04T09:00:00,227.0,228.0,219.0,225.0,1696463959084,1299109927.7267597,5810390.21945641,227.0,-2.0,-0.0088105727
KRW-ONT,2023-10-03T00:00:00,2023-10-03T09:00:00,230.0,234.0,226.0,227.0,1696377544253,1459639805.0801926,6315865.6940719,230.0,-3.0,-0.0130434783
KRW-ONT,2023-10-02T00:00:00,2023-10-02T09:00:00,239.0,239.0,228.0,230.0,1696291192986,1668895034.1215093,7126696.65995627,239.0,-9.0,-0.0376569038
KRW-ONT,2023-10-01T00:00:00,2023-10-01T09:00:00,234.0,240.0,232.0,239.0,1696204740570,1331345608.5969179,5660884.72633575,235.0,4.0,0.0170212766
KRW-ONT,2023-09-30T00:00:00,2023-09-30T09:00:00,230.0,235.0,228.0,235.0,1696118384016,1070862030.7968583,4649548.96092263,230.0,5.0,0.0217391304
KRW-ONT,2023-09-29T00:00:00,2023-09-29T09:00:00,226.0,230.0,224.0,230.0,1696031979115,1421494711.5516906,6271575.0427918,226.0,4.0,0.017699115
KRW-ONT,2023-09-28T00:00:00,2023-09-28T09:00:00,223.0,227.0,221.0,226.0,1695945557383,1381594488.7884955,6170664.52591018,223.0,3.0,0.0134529148
KRW-ONT,2023-09-27T00:00:00,2023-09-27T09:00:00,226.0,229.0,219.0,223.0,1695859169713,2088730520.5746472,9310717.50588125,226.0,-3.0,-0.0132743363
KRW-ONT,2023-09-26T00:00:00,2023-09-26T09:00:00,225.0,230.0,224.0,226.0,1695772629724,1742046525.9751697,7702439.13175815,225.0,1.0,0.0044444444
KRW-ONT,2023-09-25T00:00:00,2023-09-25T09:00:00,225.0,227.0,220.0,225.0,1695686307760,1573152333.1984086,7028150.97491317,224.0,1.0,0.0044642857
KRW-ONT,2023-09-24T00:00:00,2023-09-24T09:00:00,239.0,240.0,223.0,224.0,1695599988547,3053788110.2326107,13172532.34492281,239.0,-15.0,-0.0627615063
KRW-ONT,2023-09-23T00:00:00,2023-09-23T09:00:00,242.0,247.0,236.0,239.0,1695513599509,5702199554.624222,23630029.4572622,242.0,-3.0,-0.0123966942
KRW-ONT,2023-09-22T00:00:00,2023-09-22T09:00:00,235.0,275.0,233.0,242.0,1695427198762,50700305477.59313,199492577.4152232,235.0,7.0,0.029787234
KRW-ONT,2023-09-21T00:00:00,2023-09-21T09:00:00,229.0,237.0,221.0,235.0,1695340798552,2420687751.0475593,10568512.18859755,229.0,6.0,0.0262008734
KRW-ONT,2023-09-20T00:00:00,2023-09-20T09:00:00,227.0,230.0,222.0,229.0,1695254294546,996844953.4920887,4411074.79993666,228.0,1.0,0.0043859649
KRW-ONT,2023-09-19T00:00:00,2023-09-19T09:00:00,221.0,231.0,219.0,228.0,1695167986644,1419187398.6753633,6260393.95631139,221.0,7.0,0.0316742081
KRW-ONT,2023-09-18T00:00:00,2023-09-18T09:00:00,221.0,226.0,218.0,221.0,1695081558607,1410556500.2032511,6345991.98078187,221.0,,0.0
KRW-ONT,2023-09-17T00:00:00,2023-09-17T09:00:00,227.0,229.0,218.0,221.0,1694995198561,2208512384.760737,9953623.11485064,228.0,-7.0,-0.0307017544
KRW-ONT,2023-09-16T00:00:00,2023-09-16T09:00:00,223.0,234.0,222.0,228.0,1694908746556,2465954136.0327215,10834307.57709421,223.0,5.0,0.0224215247
KRW-ONT,2023-09-15T00:00:00,2023-09-15T09:00:00,219.0,223.0,214.0,223.0,1694822322035,962878444.4315424,4410408.49937715,219.0,4.0,0.0182648402
KRW-ONT,2023-09-14T00:00:00,2023-09-14T09:00:00,214.0,220.0,212.0,219.0,1694735906367,993355126.0516864,4585998.20764356,214.0,5.0,0.023364486
KRW-ONT,2023-09-13T00:00:00,2023-09-13T09:00:00,208.0,215.0,207.0,214.0,1694649535970,746871285.5538751,3537278.721048,207.0,7.0,0.0338164251
