market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-PLA,2023-10-10T00:00:00,2023-10-10T09:00:00,206.0,208.0,200.0,203.0,1696982314131,3890808003.0202923,19041856.3736128,206.0,-3.0,-0.0145631068
KRW-PLA,2023-10-09T00:00:00,2023-10-09T09:00:00,215.0,219.0,203.0,206.0,1696895989497,6299157514.036255,29890515.33503053,215.0,-9.0,-0.0418604651
KRW-PLA,2023-10-08T00:00:00,2023-10-08T09:00:00,210.0,216.0,205.0,215.0,1696809595265,5412280141.244738,25662056.34889331,209.0,6.0,0.028708134
KRW-PLA,2023-10-07T00:00:00,2023-10-07T09:00:00,207.0,216.0,206.0,209.0,1696723161986,2983332008.974002,14208296.60194409,208.0,1.0,0.0048076923
KRW-PLA,2023-10-06T00:00:00,2023-10-06T09:00:00,205.0,209.0,202.0,208.0,1696636788115,2980874979.1600094,14593925.98660375,205.0,3.0,0.0146341463
KRW-PLA,2023-10-05T00:00:00,2023-10-05T09:00:00,207.0,208.0,204.0,205.0,1696550378692,2844569487.6580367,13839760.68891125,208.0,-3.0,-0.0144230769
KRW-PLA,2023-10-04T00:00:00,2023-10-04T09:00:00,211.0,212.0,202.0,208.0,1696463979706,4286377388.719753,20754441.7571936,212.0,-4.0,-0.0188679245
KRW-PLA,2023-10-03T00:00:00,2023-10-03T09:00:00,205.0,224.0,204.0,212.0,1696377596453,18616482836.39862,86590700.7770641,206.0,6.0,0.0291262136
KRW-PLA,2023-10-02T00:00:00,2023-10-02T09:00:00,212.0,214.0,204.0,206.0,1696291195295,3484247688.294366,16556727.87743175,212.0,-6.0,-0.0283018868
KRW-PLA,2023-10-01T00:00:00,2023-10-01T09:00:00,208.0,213.0,207.0,212.0,1696204740858,2526010101.2671638,12012058.62040637,209.0,3.0,0.014354067
KRW-PLA,2023-09-30T00:00:00,2023-09-30T09:00:00,205.0,212.0,204.0,209.0,1696118399463,4020415230.862539,19345363.36987096,205.0,4.0,0.0195121951
KRW-PLA,2023-09-29T00:00:00,2023-09-29T09:00:00,205.0,206.0,201.0,205.0,1696031994731,2947315090.041166,14461713.80405553,205.0,,0.0
KRW-PLA,2023-09-28T00:00:00,2023-09-28T09:00:00,202.0,206.0,200.0,205.0,1695945585452,2134200480.3342073,10509159.39940746,202.0,3.0,0.0148514851
KRW-PLA,2023-09-27T00:00:00,2023-09-27T09:00:00,202.0,204.0,199.0,202.0,1695859172708,2484474941.9580274,12349577.1537891,202.0,,0.0
KRW-PLA,2023-09-26T00:00:00,2023-09-26T09:00:00,204.0,206.0,201.0,202.0,1695772787024,1666708653.2526364,8197400.38053246,205.0,-3.0,-0.0146341463
KRW-PLA,2023-09-25T00:00:00,2023-09-25T09:00:00,203.0,208.0,199.0,205.0,1695686389348,4038617899.572729,19891347.21614064,203.0,2.0,0.0098522167
KRW-PLA,2023-09-24T00:00:00,2023-09-24T09:00:00,208.0,211.0,203.0,203.0,1695599962110,4392238048.506749,21326786.7299534,208.0,-5.0,-0.0240384615
KRW-PLA,2023-09-23T00:00:00,2023-09-23T09:00:00,203.0,212.0,203.0,208.0,1695513586858,3587920299.7674227,17359267.58101317,203.0,5.0,0.0246305419
KRW-PLA,2023-09-22T00:00:00,2023-09-22T09:00:00,200.0,205.0,198.0,203.0,1695427199468,2739629328.906669,13637226.61337925,200.0,3.0,0.015
KRW-PLA,2023-09-21T00:00:00,2023-09-21T09:00:00,205.0,205.0,196.0,200.0,1695340798215,3933482035.610843,19512525.77506916,204.0,-4.0,-0.0196078431
KRW-PLA,2023-09-20T00:00:00,2023-09-20T09:00:00,202.0,208.0,198.0,204.0,1695254383218,3713972655.088548,18358352.30630088,203.0,1.0,0.0049261084
KRW-PLA,2023-09-19T00:00:00,2023-09-19T09:00:00,201.0,204.0,198.0,203.0,1695167999212,1993645874.67683,9939709.56565941,200.0,3.0,0.015
KRW-PLA,2023-09-18T00:00:00,2023-09-18T09:00:00,198.0,203.0,196.0,200.0,1695081596600,2035822459.3036938,10172780.17170777,198.0,2.0,0.0101010101
KRW-PLA,2023-09-17T00:00:00,2023-09-17T09:00:00,203.0,205.0,197.0,198.0,1694995164358,2835730612.5550704,14172096.85997973,204.0,-6.0,-0.0294117647
KRW-PLA,2023-09-16T00:00:00,2023-09-16T09:00:00,201.0,207.0,200.0,204.0,1694908774740,3849546923.2711687,18933258.1100449,201.0,3.0,0.0149253731
KRW-PLA,2023-09-15T00:00:00,2023-09-15T09:00:00,197.0,207.0,195.0,201.0,1694822361774,6168645873.313547,30721164.99376022,197.0,4.0,0.0203045685
KRW-PLA,2023-09-14T00:00:00,2023-09-14T09:00:00,193.0,199.0,192.0,197.0,1694735941226,3442142359.0593753,17607584.12870527,192.0,5.0,0.0260416667
KRW-PLA,2023-09-13T00:00:00,2023-09-13T09:00:00,190.0,194.0,186.0,192.0,1694649598996,3122070021.5407696,16445075.20616531,190.0,2.0,0.0105263158
KRW-PLA,2023-09-12T00:00:00,2023-09-12T09:00:00,186.0,192.0,184.0,190.0,1694563175065,2030935968.482191,10772288.66193408,186.0,4.0,0.0215053763
KRW-PLA,2023-09-11T00:00:00,2023-09-11T09:00:00,193.0,197.0,183.0,186.0,1694476526716,4210384054.3061056,22304779.16661559,193.0,-7.0,-0.0362694301
KRW-PLA,2023-09-10T00:00:00,2023-09-10T09:00:00,200.0,200.0,191.0,193.0,1694390390462,1875336066.0118766,9621025.07015999,200.0,-7.0,-0.035
KRW-PLA,2023-09-09T00:00:00,2023-09-09T09:00:00,200.0,201.0,197.0,200.0,1694303989159,664691135.120701,3338869.85597671,200.0,,0.0
KRW-PLA,2023-09-08T00:00:00,2023-09-08T09:00:00,201.0,203.0,198.0,200.0,1694217327820,1610817405.9466655,8036984.80132465,201.0,-1.0,-0.0049751244
KRW-PLA,2023-09-07T00:00:00,2023-09-07T09:00:00,199.0,205.0,197.0,201.0,1694131188439,2654396317.6070275,13206488.39587217,199.0,2.0,0.0100502513
KRW-PLA,2023-09-06T00:00:00,2023-09-06T09:00:00,196.0,207.0,194.0,199.0,1694044753288,7975002568.42182,39636583.55270145,195.0,4.0,0.0205128205
KRW-PLA,2023-09-05T00:00:00,2023-09-05T09:00:00,195.0,197.0,191.0,195.0,1693958368228,1540790160.0120802,7972936.53604865,194.0,1.0,0.0051546392
KRW-PLA,2023-09-04T00:00:00,2023-09-04T09:00:00,196.0,198.0,190.0,194.0,1693871965303,2438911928.313956,12570137.1451856,196.0,-2.0,-0.0102040816
KRW-PLA,2023-09-03T00:00:00,2023-09-03T09:00:00,195.0,197.0,193.0,196.0,1693785560309,1629531418.2283254,8362309.24272774,195.0,1.0,0.0051282051
KRW-PLA,2023-09-02T00:00:00,2023-09-02T09:00:00,194.0,195.0,189.0,195.0,1693699183192,2396382458.5298743,12486312.30778613,195.0,,0.0
KRW-PLA,2023-09-01T00:00:00,2023-09-01T09:00:00,197.0,202.0,192.0,195.0,1693612787893,3069799072.6307845,15615398.78848189,198.0,-3.0,-0.0151515152
KRW-PLA,2023-08-31T00:00:00,2023-08-31T09:00:00,208.0,209.0,197.0,198.0,1693526389416,3691602215.4529514,18123162.91172511,210.0,-12.0,-0.0571428571
KRW-PLA,2023-08-30T00:00:00,2023-08-30T09:00:00,210.0,216.0,206.0,210.0,1693439986357,4130860707.7262316,19659792.89107967,211.0,-1.0,-0.0047393365
KRW-PLA,2023-08-29T00:00:00,2023-08-29T09:00:00,204.0,211.0,195.0,211.0,1693353596410,4807969339.40251,23668952.65527989,204.0,7.0,0.0343137255
KRW-PLA,2023-08-28T00:00:00,2023-08-28T09:00:00,211.0,211.0,199.0,204.0,1693267176385,3220819339.6973963,15861784.12314425,211.0,-7.0,-0.0331753555
KRW-PLA,2023-08-27T00:00:00,2023-08-27T09:00:00,211.0,212.0,208.0,211.0,1693180779955,989304979.6269172,4712547.76728215,212.0,-1.0,-0.0047169811
KRW-PLA,2023-08-26T00:00:00,2023-08-26T09:00:00,211.0,214.0,209.0,212.0,1693094346789,1453169616.2144773,6874855.38876331,212.0,,0.0
KRW-PLA,2023-08-25T00:00:00,2023-08-25T09:00:00,216.0,218.0,204.0,212.0,1693007998608,4907259122.475168,23412540.90984766,216.0,-4.0,-0.0185185185
KRW-PLA,2023-08-24T00:00:00,2023-08-24T09:00:00,219.0,224.0,212.0,216.0,1692921574777,3659510933.8573327,16855837.697086,220.0,-4.0,-0.0181818182
KRW-PLA,2023-08-23T00:00:00,2023-08-23T09:00:00,218.0,221.0,212.0,220.0,1692835195250,3233194495.543609,14955514.67563042,219.0,1.0,0.00456621
KRW-PLA,2023-08-22T00:00:00,2023-08-22T09:00:00,227.0,227.0,211.0,219.0,1692748799455,6280411419.536263,28712504.96643481,227.0,-8.0,-0.0352422907
KRW-PLA,2023-08-21T00:00:00,2023-08-21T09:00:00,232.0,234.0,224.0,227.0,1692662357227,4699405084.413238,20667206.91710859,233.0,-6.0,-0.025751073
KRW-PLA,2023-08-20T00:00:00,2023-08-20T09:00:00,237.0,239.0,229.0,233.0,1692575997064,6354366874.576407,27327028.79488208,238.0,-5.0,-0.0210084034
KRW-PLA,2023-08-19T00:00:00,2023-08-19T09:00:00,236.0,239.0,231.0,238.0,1692489585585,7794608467.121153,33317014.5827361,236.0,2.0,0.0084745763
KRW-PLA,2023-08-18T00:00:00,2023-08-18T09:00:00,240.0,248.0,222.0,236.0,1692403176048,16956134068.390755,73013676.62128761,239.0,-3.0,-0.0125523013
KRW-PLA,2023-08-17T00:00:00,2023-08-17T09:00:00,248.0,267.0,227.0,239.0,1692316788533,49171379852.87794,195611328.30924895,248.0,-9.0,-0.0362903226
KRW-PLA,2023-08-16T00:00:00,2023-08-16T09:00:00,243.0,295.0,242.0,248.0,1692230399610,166943740007.60486,620284965.9914479,243.0,5.0,0.0205761317
KRW-PLA,2023-08-15T00:00:00,2023-08-15T09:00:00,252.0,267.0,242.0,243.0,1692143998025,27831530285.08847,108245050.53013678,251.0,-8.0,-0.03187251
KRW-PLA,2023-08-14T00:00:00,2023-08-14T09:00:00,240.0,261.0,236.0,251.0,1692057581210,24176398833.19157,95333323.72441009,240.0,11.0,0.0458333333
KRW-PLA,2023-08-13T00:00:00,2023-08-13T09:00:00,247.0,247.0,239.0,240.0,1691971198958,2655539508.753151,10942861.43455745,248.0,-8.0,-0.0322580645
KRW-PLA,2023-08-12T00:00:00,2023-08-12T09:00:00,249.0,250.0,243.0,248.0,1691884750914,3158662266.9043913,12801565.63658696,250.0,-2.0,-0.008
KRW-PLA,2023-08-11T00:00:00,2023-08-11T09:00:00,244.0,261.0,243.0,250.0,1691798362236,13510628898.27697,53467428.29880395,244.0,6.0,0.0245901639
KRW-PLA,2023-08-10T00:00:00,2023-08-10T09:00:00,237.0,248.0,233.0,244.0,1691711963696,7622551414.387513,31509745.29100138,237.0,7.0,0.029535865
KRW-PLA,2023-08-09T00:00:00,2023-08-09T09:00:00,235.0,245.0,230.0,237.0,1691625588456,5633451778.031142,23860810.06070182,235.0,2.0,0.0085106383
KRW-PLA,2023-08-08T00:00:00,2023-08-08T09:00:00,228.0,241.0,225.0,235.0,1691539188923,3432957800.5435452,14830236.61866903,228.0,7.0,0.0307017544
KRW-PLA,2023-08-07T00:00:00,2023-08-07T09:00:00,231.0,231.0,224.0,228.0,1691452798581,4707299509.259199,20696864.7034745,232.0,-4.0,-0.0172413793
KRW-PLA,2023-08-06T00:00:00,2023-08-06T09:00:00,247.0,248.0,230.0,232.0,1691366396424,8110237678.128427,34327469.32336752,247.0,-15.0,-0.0607287449
KRW-PLA,2023-08-05T00:00:00,2023-08-05T09:00:00,225.0,247.0,224.0,247.0,1691279999970,10887747765.910439,46841288.26670763,224.0,23.0,0.1026785714
KRW-PLA,2023-08-04T00:00:00,2023-08-04T09:00:00,224.0,226.0,221.0,224.0,1691193571378,2703645982.569739,12096496.62715777,224.0,,0.0
KRW-PLA,2023-08-03T00:00:00,2023-08-03T09:00:00,225.0,227.0,221.0,224.0,1691107188614,2033706806.4445539,9063396.53017423,226.0,-2.0,-0.0088495575
KRW-PLA,2023-08-02T00:00:00,2023-08-02T09:00:00,230.0,234.0,224.0,226.0,1691020793247,3466628589.300357,15212358.6742419,230.0,-4.0,-0.0173913043
KRW-PLA,2023-08-01T00:00:00,2023-08-01T09:00:00,233.0,238.0,223.0,230.0,1690934391120,6205864198.813467,27109599.28625878,233.0,-3.0,-0.0128755365
KRW-PLA,2023-07-31T00:00:00,2023-07-31T09:00:00,231.0,245.0,228.0,233.0,1690847967170,10547765098.603317,44835892.86082853,231.0,2.0,0.0086580087
KRW-PLA,2023-07-30T00:00:00,2023-07-30T09:00:00,233.0,267.0,225.0,231.0,1690761598264,40307905567.95266,164146759.85109723,233.0,-2.0,-0.008583691
KRW-PLA,2023-07-29T00:00:00,2023-07-29T09:00:00,224.0,238.0,222.0,233.0,1690675190079,6754915059.994902,29518086.45375705,224.0,9.0,0.0401785714
KRW-PLA,2023-07-28T00:00:00,2023-07-28T09:00:00,220.0,225.0,216.0,224.0,1690588776867,4371387349.95046,19891481.16328077,220.0,4.0,0.0181818182
KRW-PLA,2023-07-27T00:00:00,2023-07-27T09:00:00,223.0,225.0,219.0,220.0,1690502389445,3081753408.8757195,13874642.18917833,223.0,-3.0,-0.0134529148
KRW-PLA,2023-07-26T00:00:00,2023-07-26T09:00:00,224.0,226.0,218.0,223.0,1690415900871,3622070013.015497,16337176.48279543,225.0,-2.0,-0.0088888889
KRW-PLA,2023-07-25T00:00:00,2023-07-25T09:00:00,230.0,231.0,220.0,225.0,1690329595858,7351158613.526233,32825244.43999384,231.0,-6.0,-0.025974026
KRW-PLA,2023-07-24T00:00:00,2023-07-24T09:00:00,252.0,259.0,224.0,231.0,1690243198680,28957760717.065746,121084575.81634153,252.0,-21.0,-0.0833333333
KRW-PLA,2023-07-23T00:00:00,2023-07-23T09:00:00,223.0,270.0,222.0,252.0,1690156799746,43336465887.63328,174863180.60599846,223.0,29.0,0.130044843
KRW-PLA,2023-07-22T00:00:00,2023-07-22T09:00:00,222.0,226.0,221.0,223.0,1690070379020,2193785350.363643,9845893.00817102,222.0,1.0,0.0045045045
KRW-PLA,2023-07-21T00:00:00,2023-07-21T09:00:00,220.0,223.0,217.0,222.0,1689983957557,1362275110.8761957,6207547.32540227,220.0,2.0,0.0090909091
KRW-PLA,2023-07-20T00:00:00,2023-07-20T09:00:00,221.0,224.0,217.0,220.0,1689897593533,3173280512.8904166,14397290.27798194,221.0,-1.0,-0.0045248869
KRW-PLA,2023-07-19T00:00:00,2023-07-19T09:00:00,220.0,228.0,219.0,221.0,1689811189587,3121378603.4338865,14039934.77056441,220.0,1.0,0.0045454545
KRW-PLA,2023-07-18T00:00:00,2023-07-18T09:00:00,228.0,229.0,215.0,220.0,1689724797329,3595396046.41966,16237732.72801553,228.0,-8.0,-0.0350877193
KRW-PLA,2023-07-17T00:00:00,2023-07-17T09:00:00,235.0,236.0,221.0,228.0,1689638398602,5739979943.667342,25163128.58202741,235.0,-7.0,-0.029787234
KRW-PLA,2023-07-16T00:00:00,2023-07-16T09:00:00,226.0,236.0,222.0,235.0,1689551999987,4178299193.4639773,18364429.14459166,226.0,9.0,0.0398230088
KRW-PLA,2023-07-15T00:00:00,2023-07-15T09:00:00,223.0,232.0,217.0,226.0,1689465567688,6596734192.245306,29389798.32774174,223.0,3.0,0.0134529148
KRW-PLA,2023-07-14T00:00:00,2023-07-14T09:00:00,222.0,234.0,218.0,223.0,1689379174965,12222060093.968409,53912037.70658966,222.0,1.0,0.0045045045
KRW-PLA,2023-07-13T00:00:00,2023-07-13T09:00:00,225.0,243.0,216.0,222.0,1689292795011,29799482232.802746,129402981.35066818,226.0,-4.0,-0.017699115
KRW-PLA,2023-07-12T00:00:00,2023-07-12T09:00:00,227.0,257.0,218.0,226.0,1689206393892,34484804528.57915,145770935.4143592,227.0,-1.0,-0.0044052863
KRW-PLA,2023-07-11T00:00:00,2023-07-11T09:00:00,208.0,253.0,204.0,227.0,1689119999384,60880275590.91826,266405629.6492516,207.0,20.0,0.0966183575
KRW-PLA,2023-07-10T00:00:00,2023-07-10T09:00:00,201.0,216.0,197.0,207.0,1689033517513,8468940034.943246,41154896.63838019,200.0,7.0,0.035
KRW-PLA,2023-07-09T00:00:00,2023-07-09T09:00:00,199.0,205.0,199.0,200.0,1688947089279,1165783414.9760165,5766695.8415528,199.0,1.0,0.0050251256
KRW-PLA,2023-07-08T00:00:00,2023-07-08T09:00:00,204.0,204.0,198.0,199.0,1688860732853,1071621145.8199044,5342812.33777323,203.0,-4.0,-0.0197044335
KRW-PLA,2023-07-07T00:00:00,2023-07-07T09:00:00,201.0,204.0,198.0,203.0,1688774395096,1564859128.8389323,7787043.96781123,202.0,1.0,0.004950495
KRW-PLA,2023-07-06T00:00:00,2023-07-06T09:00:00,209.0,212.0,200.0,202.0,1688687999569,3164309556.720215,15411810.39927245,209.0,-7.0,-0.033492823
KRW-PLA,2023-07-05T00:00:00,2023-07-05T09:00:00,214.0,218.0,205.0,209.0,1688601598866,3468990378.272921,16349139.12348834,214.0,-5.0,-0.023364486
KRW-PLA,2023-07-04T00:00:00,2023-07-04T09:00:00,215.0,215.0,210.0,214.0,1688515139279,2464168291.2446423,11588570.1804772,215.0,-1.0,-0.0046511628
KRW-PLA,2023-07-03T00:00:00,2023-07-03T09:00:00,214.0,216.0,210.0,215.0,1688428793073,2630703128.438568,12342111.18046099,214.0,1.0,0.0046728972
KRW-PLA,2023-07-02T00:00:00,2023-07-02T09:00:00,222.0,223.0,209.0,214.0,1688342371919,4580860924.91821,21408274.76209629,222.0,-8.0,-0.036036036
KRW-PLA,2023-07-01T00:00:00,2023-07-01T09:00:00,204.0,227.0,202.0,222.0,1688255994589,8979570475.99749,41470219.07371208,204.0,18.0,0.0882352941
KRW-PLA,2023-06-30T00:00:00,2023-06-30T09:00:00,200.0,208.0,194.0,204.0,1688169582101,4365018810.099976,21661066.19940588,200.0,4.0,0.02
KRW-PLA,2023-06-29T00:00:00,2023-06-29T09:00:00,197.0,203.0,195.0,200.0,1688083199900,2011561058.2039998,10076935.61463838,197.0,3.0,0.0152284264
KRW-PLA,2023-06-28T00:00:00,2023-06-28T09:00:00,210.0,211.0,195.0,197.0,1687996795200,2150869840.48371,10725060.55715738,210.0,-13.0,-0.0619047619
KRW-PLA,2023-06-27T00:00:00,2023-06-27T09:00:00,208.0,211.0,204.0,210.0,1687910380955,1510431850.1784852,7271597.01246243,208.0,2.0,0.0096153846
KRW-PLA,2023-06-26T00:00:00,2023-06-26T09:00:00,212.0,218.0,203.0,208.0,1687823902103,4220343470.1627674,20232606.60317801,212.0,-4.0,-0.0188679245
KRW-PLA,2023-06-25T00:00:00,2023-06-25T09:00:00,216.0,222.0,210.0,212.0,1687737583426,2874312551.1524434,13262183.41143531,216.0,-4.0,-0.0185185185
KRW-PLA,2023-06-24T00:00:00,2023-06-24T09:00:00,209.0,220.0,207.0,216.0,1687651193466,4916707190.721724,23092509.74083854,208.0,8.0,0.0384615385
KRW-PLA,2023-06-23T00:00:00,2023-06-23T09:00:00,195.0,209.0,195.0,208.0,1687564753222,2450089870.058454,12080033.10418863,195.0,13.0,0.0666666667
KRW-PLA,2023-06-22T00:00:00,2023-06-22T09:00:00,195.0,206.0,193.0,195.0,1687478396862,3172931770.9581575,15930942.30958039,195.0,,0.0
KRW-PLA,2023-06-21T00:00:00,2023-06-21T09:00:00,186.0,197.0,185.0,195.0,1687391986718,2244328586.3451095,11759435.56481312,185.0,10.0,0.0540540541
KRW-PLA,2023-06-20T00:00:00,2023-06-20T09:00:00,180.0,187.0,177.0,185.0,1687305571076,1191466380.3173664,6590906.18518121,181.0,4.0,0.0220994475
KRW-PLA,2023-06-19T00:00:00,2023-06-19T09:00:00,177.0,181.0,175.0,181.0,1687219178337,682487686.2363632,3833266.39497537,177.0,4.0,0.0225988701
KRW-PLA,2023-06-18T00:00:00,2023-06-18T09:00:00,181.0,182.0,176.0,177.0,1687132752880,743604339.5406612,4148415.74339953,181.0,-4.0,-0.0220994475
KRW-PLA,2023-06-17T00:00:00,2023-06-17T09:00:00,176.0,185.0,176.0,181.0,1687046384513,899764339.4813297,5002843.54820835,177.0,4.0,0.0225988701
KRW-PLA,2023-06-16T00:00:00,2023-06-16T09:00:00,174.0,178.0,171.0,177.0,1686959920879,849082537.0434316,4893660.58680678,173.0,4.0,0.0231213873
KRW-PLA,2023-06-15T00:00:00,2023-06-15T09:00:00,171.0,175.0,167.0,173.0,1686873591320,1810515765.3476064,10639439.94769969,172.0,1.0,0.0058139535
