market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-POWR,2023-10-10T00:00:00,2023-10-10T09:00:00,215.0,227.0,207.0,211.0,1696982399635,13482753386.482222,62676763.87126804,214.0,-3.0,-0.0140186916
KRW-POWR,2023-10-09T00:00:00,2023-10-09T09:00:00,213.0,232.0,203.0,214.0,1696895996902,27199815235.42234,125435445.60646695,213.0,1.0,0.0046948357
KRW-POWR,2023-10-08T00:00:00,2023-10-08T09:00:00,212.0,217.0,206.0,213.0,1696809599164,5385279698.472114,25482513.66274777,212.0,1.0,0.0047169811
KRW-POWR,2023-10-07T00:00:00,2023-10-07T09:00:00,207.0,213.0,206.0,212.0,1696723197110,3120425266.0087523,14900907.5179887,208.0,4.0,0.0192307692
KRW-POWR,2023-10-06T00:00:00,2023-10-06T09:00:00,202.0,208.0,201.0,208.0,1696636799061,3603886379.870881,17711226.42954263,202.0,6.0,0.0297029703
KRW-POWR,2023-10-05T00:00:00,2023-10-05T09:00:00,205.0,206.0,201.0,202.0,1696550392397,3727932142.4613905,18370478.06894895,205.0,-3.0,-0.0146341463
KRW-POWR,2023-10-04T00:00:00,2023-10-04T09:00:00,205.0,210.0,199.0,205.0,1696463999489,5717619117.365118,27954428.44496173,205.0,,0.0
KRW-POWR,2023-10-03T00:00:00,2023-10-03T09:00:00,210.0,228.0,203.0,205.0,1696377593251,18983390995.0499,87999709.2023106,209.0,-4.0,-0.019138756
KRW-POWR,2023-10-02T00:00:00,2023-10-02T09:00:00,216.0,216.0,208.0,209.0,1696291154135,4167692785.111804,19578540.35135596,217.0,-8.0,-0.0368663594
KRW-POWR,2023-10-01T00:00:00,2023-10-01T09:00:00,214.0,220.0,210.0,217.0,1696204794548,7507705901.029166,34890420.32340032,214.0,3.0,0.0140186916
KRW-POWR,2023-09-30T00:00:00,2023-09-30T09:00:00,209.0,241.0,207.0,214.0,1696118384823,30810899957.524918,137878333.3061038,210.0,4.0,0.019047619
KRW-POWR,2023-09-29T00:00:00,2023-09-29T09:00:00,215.0,217.0,206.0,210.0,1696031996260,3825498371.109453,18174025.32306884,215.0,-5.0,-0.023255814
KRW-POWR,2023-09-28T00:00:00,2023-09-28T09:00:00,206.0,216.0,206.0,215.0,1695945593918,3984622587.363784,18876452.37862435,207.0,8.0,0.038647343
KRW-POWR,2023-09-27T00:00:00,2023-09-27T09:00:00,200.0,211.0,199.0,207.0,1695859198543,5587437155.880642,27111569.2524731,200.0,7.0,0.035
KRW-POWR,2023-09-26T00:00:00,2023-09-26T09:00:00,199.0,203.0,198.0,200.0,1695772624656,1969553466.6751633,9847399.50113728,199.0,1.0,0.0050251256
KRW-POWR,2023-09-25T00:00:00,2023-09-25T09:00:00,199.0,203.0,194.0,199.0,1695686353143,3148325853.8410845,15960232.54585503,199.0,,0.0
KRW-POWR,2023-09-24T00:00:00,2023-09-24T09:00:00,216.0,216.0,198.0,199.0,1695599999196,5078701157.568692,24761084.00877094,216.0,-17.0,-0.0787037037
KRW-POWR,2023-09-23T00:00:00,2023-09-23T09:00:00,209.0,217.0,205.0,216.0,1695513564296,4352586483.221211,20676195.63240011,209.0,7.0,0.033492823
KRW-POWR,2023-09-22T00:00:00,2023-09-22T09:00:00,194.0,212.0,193.0,209.0,1695427197984,6277061616.949748,30958623.51539586,193.0,16.0,0.0829015544
KRW-POWR,2023-09-21T00:00:00,2023-09-21T09:00:00,201.0,202.0,191.0,193.0,1695340767388,4579946728.787881,23318545.31302675,201.0,-8.0,-0.039800995
KRW-POWR,2023-09-20T00:00:00,2023-09-20T09:00:00,190.0,204.0,190.0,201.0,1695254397648,8910313418.892315,45371686.68905211,190.0,11.0,0.0578947368
KRW-POWR,2023-09-19T00:00:00,2023-09-19T09:00:00,189.0,192.0,187.0,190.0,1695167961089,2121651177.919906,11209531.42879789,189.0,1.0,0.0052910053
