market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-PUNDIX,2023-10-10T00:00:00,2023-10-10T09:00:00,478.0,481.0,468.0,470.0,1696982389553,1670789720.8219593,3522238.39241892,479.0,-9.0,-0.0187891441
KRW-PUNDIX,2023-10-09T00:00:00,2023-10-09T09:00:00,489.0,511.0,472.0,479.0,1696895976434,9578057299.494379,19427233.67172678,489.0,-10.0,-0.0204498978
KRW-PUNDIX,2023-10-08T00:00:00,2023-10-08T09:00:00,493.0,497.0,484.0,489.0,1696809584753,2833406295.6198363,5787718.47355445,493.0,-4.0,-0.0081135903
KRW-PUNDIX,2023-10-07T00:00:00,2023-10-07T09:00:00,500.0,501.0,490.0,493.0,1696723169735,3010301800.5095887,6100614.41515334,500.0,-7.0,-0.014
KRW-PUNDIX,2023-10-06T00:00:00,2023-10-06T09:00:00,506.0,507.0,484.0,500.0,1696636799190,8599291902.429941,17396598.88166506,507.0,-7.0,-0.0138067061
KRW-PUNDIX,2023-10-05T00:00:00,2023-10-05T09:00:00,522.0,528.0,492.0,507.0,1696550393276,19387965246.31607,38220974.13863832,522.0,-15.0,-0.0287356322
KRW-PUNDIX,2023-10-04T00:00:00,2023-10-04T09:00:00,495.0,578.0,489.0,522.0,1696463999819,92776783603.91118,174146586.53556818,492.0,30.0,0.0609756098
KRW-PUNDIX,2023-10-03T00:00:00,2023-10-03T09:00:00,505.0,532.0,484.0,492.0,1696377599947,12736406192.015978,25129461.79260636,505.0,-13.0,-0.0257425743
KRW-PUNDIX,2023-10-02T00:00:00,2023-10-02T09:00:00,498.0,510.0,491.0,505.0,1696291199487,2115473454.8532789,4222042.06139924,499.0,6.0,0.0120240481
KRW-PUNDIX,2023-10-01T00:00:00,2023-10-01T09:00:00,494.0,501.0,491.0,499.0,1696204715369,1098239220.0975363,2220222.6500522,493.0,6.0,0.0121703854
KRW-PUNDIX,2023-09-30T00:00:00,2023-09-30T09:00:00,484.0,498.0,480.0,493.0,1696118389376,1370375692.0060487,2801863.03902424,484.0,9.0,0.0185950413
KRW-PUNDIX,2023-09-29T00:00:00,2023-09-29T09:00:00,491.0,494.0,477.0,484.0,1696031967262,1804063791.9908543,3703033.58980927,492.0,-8.0,-0.0162601626
KRW-PUNDIX,2023-09-28T00:00:00,2023-09-28T09:00:00,485.0,498.0,480.0,492.0,1695945583712,3127503508.995151,6383586.37911064,485.0,7.0,0.0144329897
KRW-PUNDIX,2023-09-27T00:00:00,2023-09-27T09:00:00,484.0,508.0,476.0,485.0,1695859185962,8872125227.659496,17983014.59956208,485.0,,0.0
KRW-PUNDIX,2023-09-26T00:00:00,2023-09-26T09:00:00,485.0,492.0,476.0,485.0,1695772797536,1680418312.1091626,3470909.50997698,485.0,,0.0
KRW-PUNDIX,2023-09-25T00:00:00,2023-09-25T09:00:00,475.0,493.0,465.0,485.0,1695686396100,1764396863.8161387,3709212.80709757,474.0,11.0,0.0232067511
KRW-PUNDIX,2023-09-24T00:00:00,2023-09-24T09:00:00,492.0,507.0,470.0,474.0,1695599932162,3692761352.827208,7554348.71692325,492.0,-18.0,-0.0365853659
KRW-PUNDIX,2023-09-23T00:00:00,2023-09-23T09:00:00,480.0,493.0,476.0,492.0,1695513598631,1557819358.3376594,3211250.62516714,480.0,12.0,0.025
KRW-PUNDIX,2023-09-22T00:00:00,2023-09-22T09:00:00,463.0,484.0,461.0,480.0,1695427172800,1313429149.6520474,2783000.02227314,464.0,16.0,0.0344827586
KRW-PUNDIX,2023-09-21T00:00:00,2023-09-21T09:00:00,472.0,479.0,456.0,464.0,1695340782060,2380576356.632614,5070922.95663888,472.0,-8.0,-0.0169491525
KRW-PUNDIX,2023-09-20T00:00:00,2023-09-20T09:00:00,464.0,474.0,455.0,472.0,1695254391490,1914532486.175364,4146618.04097577,463.0,9.0,0.0194384449
KRW-PUNDIX,2023-09-19T00:00:00,2023-09-19T09:00:00,457.0,465.0,451.0,463.0,1695167999596,1830601460.9381013,3993145.44863771,457.0,6.0,0.0131291028
KRW-PUNDIX,2023-09-18T00:00:00,2023-09-18T09:00:00,456.0,482.0,438.0,457.0,1695081543788,3918060639.972205,8598976.51904719,456.0,1.0,0.0021929825
KRW-PUNDIX,2023-09-17T00:00:00,2023-09-17T09:00:00,474.0,475.0,450.0,456.0,1694995125013,1965158319.1511607,4287069.38560271,473.0,-17.0,-0.0359408034
KRW-PUNDIX,2023-09-16T00:00:00,2023-09-16T09:00:00,473.0,481.0,464.0,473.0,1694908701987,2961489929.185269,6261411.39203359,472.0,1.0,0.0021186441
KRW-PUNDIX,2023-09-15T00:00:00,2023-09-15T09:00:00,456.0,486.0,448.0,472.0,1694822387523,8902440020.45863,18889928.6717139,457.0,15.0,0.0328227571
KRW-PUNDIX,2023-09-14T00:00:00,2023-09-14T09:00:00,442.0,460.0,438.0,457.0,1694735902493,2060045223.1124618,4576079.49892998,441.0,16.0,0.0362811791
