market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-SAND,2023-10-10T00:00:00,2023-10-10T09:00:00,387.0,391.0,383.0,386.0,1696982399775,5091193304.921041,13176330.25073409,388.0,-2.0,-0.0051546392
KRW-SAND,2023-10-09T00:00:00,2023-10-09T09:00:00,406.0,409.0,383.0,388.0,1696895990040,7579607764.770011,19247053.26730107,406.0,-18.0,-0.0443349754
KRW-SAND,2023-10-08T00:00:00,2023-10-08T09:00:00,407.0,409.0,402.0,406.0,1696809587866,2322411431.023157,5729781.8430213,408.0,-2.0,-0.0049019608
KRW-SAND,2023-10-07T00:00:00,2023-10-07T09:00:00,407.0,410.0,405.0,408.0,1696723170862,1853647949.7366958,4550396.62481028,407.0,1.0,0.0024570025
KRW-SAND,2023-10-06T00:00:00,2023-10-06T09:00:00,400.0,411.0,399.0,407.0,1696636782383,3245489137.6712313,8041981.24327579,400.0,7.0,0.0175
KRW-SAND,2023-10-05T00:00:00,2023-10-05T09:00:00,404.0,405.0,398.0,400.0,1696550382611,3295046888.412594,8215292.93058576,404.0,-4.0,-0.0099009901
KRW-SAND,2023-10-04T00:00:00,2023-10-04T09:00:00,405.0,407.0,392.0,404.0,1696463995435,6159676191.088329,15363574.77307658,405.0,-1.0,-0.0024691358
KRW-SAND,2023-10-03T00:00:00,2023-10-03T09:00:00,415.0,422.0,400.0,405.0,1696377594377,8539846214.604078,20632540.16799623,415.0,-10.0,-0.0240963855
KRW-SAND,2023-10-02T00:00:00,2023-10-02T09:00:00,436.0,437.0,412.0,415.0,1696291174649,8442761181.531249,19788698.77093378,436.0,-21.0,-0.0481651376
KRW-SAND,2023-10-01T00:00:00,2023-10-01T09:00:00,422.0,437.0,420.0,436.0,1696204778788,5388903889.878099,12549793.8247894,422.0,14.0,0.0331753555
KRW-SAND,2023-09-30T00:00:00,2023-09-30T09:00:00,427.0,427.0,417.0,422.0,1696118378936,3804614696.4794173,9018025.05446406,426.0,-4.0,-0.0093896714
KRW-SAND,2023-09-29T00:00:00,2023-09-29T09:00:00,414.0,433.0,412.0,426.0,1696031998988,7546771641.582481,17895340.84349589,414.0,12.0,0.0289855072
KRW-SAND,2023-09-28T00:00:00,2023-09-28T09:00:00,410.0,418.0,409.0,414.0,1695945553395,2606944381.566147,6320293.40203219,410.0,4.0,0.0097560976
KRW-SAND,2023-09-27T00:00:00,2023-09-27T09:00:00,411.0,419.0,407.0,410.0,1695859199626,5272164346.361256,12767489.21204244,411.0,-1.0,-0.00243309
KRW-SAND,2023-09-26T00:00:00,2023-09-26T09:00:00,406.0,411.0,403.0,411.0,1695772795329,3335817180.1474013,8200827.77353095,405.0,6.0,0.0148148148
KRW-SAND,2023-09-25T00:00:00,2023-09-25T09:00:00,401.0,407.0,398.0,405.0,1695686394571,4423395223.315995,11005441.03650886,400.0,5.0,0.0125
KRW-SAND,2023-09-24T00:00:00,2023-09-24T09:00:00,407.0,420.0,399.0,400.0,1695599988961,10812502054.50471,26304560.71246792,407.0,-7.0,-0.0171990172
KRW-SAND,2023-09-23T00:00:00,2023-09-23T09:00:00,406.0,410.0,404.0,407.0,1695513561365,2984995861.5561566,7338126.6978131,406.0,1.0,0.0024630542
KRW-SAND,2023-09-22T00:00:00,2023-09-22T09:00:00,398.0,406.0,395.0,406.0,1695427196757,3237651216.954006,8079066.91355357,397.0,9.0,0.0226700252
KRW-SAND,2023-09-21T00:00:00,2023-09-21T09:00:00,404.0,411.0,395.0,397.0,1695340799079,7371490342.739083,18270745.12982229,404.0,-7.0,-0.0173267327
KRW-SAND,2023-09-20T00:00:00,2023-09-20T09:00:00,407.0,411.0,399.0,404.0,1695254376849,5859707917.618263,14527074.59010153,407.0,-3.0,-0.0073710074
KRW-SAND,2023-09-19T00:00:00,2023-09-19T09:00:00,406.0,410.0,401.0,407.0,1695167927646,3921199316.2048974,9666916.19785769,404.0,3.0,0.0074257426
