market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-SNT,2023-10-10T00:00:00,2023-10-10T09:00:00,32.1,32.2,31.6,31.9,1696982398145,599384444.2718544,18814169.05143234,32.1,-0.2,-0.0062305296
KRW-SNT,2023-10-09T00:00:00,2023-10-09T09:00:00,32.9,32.9,31.7,32.1,1696895991132,1013537040.8744559,31553670.10735416,32.9,-0.8,-0.0243161094
KRW-SNT,2023-10-08T00:00:00,2023-10-08T09:00:00,33.0,33.9,32.3,32.9,1696809596939,1962639306.8466434,59370641.08604028,32.9,,0.0
KRW-SNT,2023-10-07T00:00:00,2023-10-07T09:00:00,33.4,33.5,32.5,32.9,1696723196198,908485186.5005792,27641428.21902091,33.5,-0.6,-0.0179104478
KRW-SNT,2023-10-06T00:00:00,2023-10-06T09:00:00,31.4,33.5,31.3,33.5,1696636799313,2614674774.813549,80562024.92566943,31.4,2.1,0.0668789809
KRW-SNT,2023-10-05T00:00:00,2023-10-05T09:00:00,31.7,31.8,31.1,31.4,1696550101669,391011346.12169063,12467000.09128968,31.6,-0.2,-0.0063291139
KRW-SNT,2023-10-04T00:00:00,2023-10-04T09:00:00,32.2,32.2,31.2,31.6,1696463989288,695913630.4952846,22023119.09474303,32.2,-0.6,-0.0186335404
KRW-SNT,2023-10-03T00:00:00,2023-10-03T09:00:00,31.8,32.3,31.3,32.2,1696377599396,991468864.1173846,31172569.40273663,31.8,0.4,0.0125786164
KRW-SNT,2023-10-02T00:00:00,2023-10-02T09:00:00,32.9,32.9,31.3,31.8,1696291166625,1531584491.7999768,47393535.44887009,32.9,-1.1,-0.0334346505
KRW-SNT,2023-10-01T00:00:00,2023-10-01T09:00:00,32.0,34.8,32.0,32.9,1696204769142,14354559188.02581,427159828.45503736,32.0,0.9,0.028125
KRW-SNT,2023-09-30T00:00:00,2023-09-30T09:00:00,32.4,32.5,31.8,32.0,1696118353720,720804260.6106409,22427655.27852335,32.4,-0.4,-0.012345679
KRW-SNT,2023-09-29T00:00:00,2023-09-29T09:00:00,31.8,33.4,31.6,32.4,1696031994838,4695570273.47977,144525371.1623559,31.8,0.6,0.0188679245
KRW-SNT,2023-09-28T00:00:00,2023-09-28T09:00:00,31.3,32.0,31.0,31.8,1695945571913,820590250.3559836,26095449.68115821,31.3,0.5,0.0159744409
KRW-SNT,2023-09-27T00:00:00,2023-09-27T09:00:00,30.6,31.5,30.4,31.3,1695859168847,898546990.8612269,29101840.05973465,30.5,0.8,0.0262295082
KRW-SNT,2023-09-26T00:00:00,2023-09-26T09:00:00,30.7,30.8,30.2,30.5,1695772754469,366071168.53816485,11985387.19786313,30.7,-0.2,-0.006514658
KRW-SNT,2023-09-25T00:00:00,2023-09-25T09:00:00,30.3,30.7,29.8,30.7,1695686388060,872091692.2268373,28981323.81309168,30.3,0.4,0.0132013201
