market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-SSX,2023-10-10T00:00:00,2023-10-10T09:00:00,20.1,20.2,19.8,19.8,1696982379323,688446410.2924786,34469477.218372,20.1,-0.3,-0.0149253731
KRW-SSX,2023-10-09T00:00:00,2023-10-09T09:00:00,21.2,21.4,19.9,20.1,1696895991765,2379085900.4092765,116024725.39543703,21.2,-1.1,-0.0518867925
KRW-SSX,2023-10-08T00:00:00,2023-10-08T09:00:00,20.6,22.0,20.6,21.2,1696809591379,9123792303.065763,425392248.32438254,20.7,0.5,0.0241545894
KRW-SSX,2023-10-07T00:00:00,2023-10-07T09:00:00,20.6,21.0,20.3,20.7,1696723191108,640878017.3776017,31074235.34446071,20.6,0.1,0.0048543689
KRW-SSX,2023-10-06T00:00:00,2023-10-06T09:00:00,20.0,20.8,19.9,20.6,1696636789991,1511634754.6928818,74360618.75713202,20.0,0.6,0.03
KRW-SSX,2023-10-05T00:00:00,2023-10-05T09:00:00,20.2,20.4,19.9,20.0,1696550388640,438987671.14274335,21832223.55636786,20.2,-0.2,-0.0099009901
KRW-SSX,2023-10-04T00:00:00,2023-10-04T09:00:00,20.6,20.6,20.0,20.2,1696463979944,634048031.742431,31320197.22812388,20.7,-0.5,-0.0241545894
KRW-SSX,2023-10-03T00:00:00,2023-10-03T09:00:00,20.1,21.1,19.9,20.7,1696377599874,1429396178.7873664,69830193.38661908,20.1,0.6,0.0298507463
KRW-SSX,2023-10-02T00:00:00,2023-10-02T09:00:00,20.9,21.0,20.1,20.1,1696291170795,918842229.4409155,44584511.96906111,20.9,-0.8,-0.038277512
KRW-SSX,2023-10-01T00:00:00,2023-10-01T09:00:00,20.4,20.9,20.1,20.9,1696204798363,1179539492.8895988,57412806.14169837,20.5,0.4,0.0195121951
KRW-SSX,2023-09-30T00:00:00,2023-09-30T09:00:00,20.5,20.5,20.1,20.5,1696118317586,814559646.3672626,40185182.31342891,20.5,,0.0
KRW-SSX,2023-09-29T00:00:00,2023-09-29T09:00:00,20.1,21.5,20.0,20.5,1696031996680,6057692735.936945,290652636.0886263,20.0,0.5,0.025
KRW-SSX,2023-09-28T00:00:00,2023-09-28T09:00:00,19.8,20.2,19.6,20.0,1695945576396,623869177.2228935,31360386.2940903,19.8,0.2,0.0101010101
KRW-SSX,2023-09-27T00:00:00,2023-09-27T09:00:00,19.7,19.9,19.4,19.8,1695859186376,590520088.9002357,30062526.92291831,19.6,0.2,0.0102040816
KRW-SSX,2023-09-26T00:00:00,2023-09-26T09:00:00,19.6,20.3,19.4,19.6,1695772794464,954812932.5614891,48189311.95283343,19.6,,0.0
KRW-SSX,2023-09-25T00:00:00,2023-09-25T09:00:00,19.7,19.7,19.2,19.6,1695686320631,619389564.9856349,31822670.99017147,19.7,-0.1,-0.0050761421
KRW-SSX,2023-09-24T00:00:00,2023-09-24T09:00:00,20.5,20.5,19.6,19.7,1695599995783,660626850.0845554,33001082.29075587,20.4,-0.7,-0.0343137255
KRW-SSX,2023-09-23T00:00:00,2023-09-23T09:00:00,20.1,20.6,19.9,20.4,1695513590146,634131379.1397891,31313316.02052777,20.2,0.2,0.0099009901
KRW-SSX,2023-09-22T00:00:00,2023-09-22T09:00:00,19.3,20.2,19.2,20.2,1695427198787,606843365.1652976,30709218.83687772,19.3,0.9,0.0466321244
