market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-SUI,2023-10-10T00:00:00,2023-10-10T09:00:00,567.0,571.0,560.0,569.0,1696982397754,5801690544.7515,10258116.69053881,567.0,2.0,0.0035273369
KRW-SUI,2023-10-09T00:00:00,2023-10-09T09:00:00,595.0,597.0,555.0,567.0,1696895998428,13457334142.896212,23537276.65995333,595.0,-28.0,-0.0470588235
KRW-SUI,2023-10-08T00:00:00,2023-10-08T09:00:00,601.0,603.0,592.0,595.0,1696809594865,5745215608.748272,9628925.22318397,601.0,-6.0,-0.0099833611
KRW-SUI,2023-10-07T00:00:00,2023-10-07T09:00:00,601.0,624.0,596.0,601.0,1696723193776,16142765878.16706,26463121.53799888,600.0,1.0,0.0016666667
KRW-SUI,2023-10-06T00:00:00,2023-10-06T09:00:00,591.0,605.0,589.0,600.0,1696636785859,8562171163.25157,14363471.60675882,591.0,9.0,0.0152284264
KRW-SUI,2023-10-05T00:00:00,2023-10-05T09:00:00,599.0,609.0,590.0,591.0,1696550396972,9148449812.003748,15308586.66486199,599.0,-8.0,-0.0133555927
KRW-SUI,2023-10-04T00:00:00,2023-10-04T09:00:00,604.0,609.0,580.0,599.0,1696463999292,13463973716.8407,22555413.70012032,604.0,-5.0,-0.0082781457
KRW-SUI,2023-10-03T00:00:00,2023-10-03T09:00:00,634.0,643.0,600.0,604.0,1696377594988,18411252880.63921,29607090.75638249,634.0,-30.0,-0.047318612
KRW-SUI,2023-10-02T00:00:00,2023-10-02T09:00:00,685.0,686.0,628.0,634.0,1696291196843,18009087914.077003,27364593.23760049,685.0,-51.0,-0.0744525547
KRW-SUI,2023-10-01T00:00:00,2023-10-01T09:00:00,637.0,687.0,627.0,685.0,1696204799841,17222424401.07041,26334252.55237174,638.0,47.0,0.0736677116
KRW-SUI,2023-09-30T00:00:00,2023-09-30T09:00:00,648.0,659.0,627.0,638.0,1696118389762,20837137184.774662,32542874.25648824,649.0,-11.0,-0.0169491525
