market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-SXP,2023-10-10T00:00:00,2023-10-10T09:00:00,371.0,377.0,367.0,372.0,1696982384048,2692380186.709836,7256475.70712177,371.0,1.0,0.0026954178
KRW-SXP,2023-10-09T00:00:00,2023-10-09T09:00:00,386.0,387.0,365.0,371.0,1696895984982,4744451606.9216175,12634415.94269471,387.0,-16.0,-0.0413436693
KRW-SXP,2023-10-08T00:00:00,2023-10-08T09:00:00,392.0,396.0,380.0,387.0,1696809581479,5786879693.427054,14961034.63020037,392.0,-5.0,-0.012755102
KRW-SXP,2023-10-07T00:00:00,2023-10-07T09:00:00,382.0,409.0,382.0,392.0,1696723183080,23404702892.343006,59124134.21351962,382.0,10.0,0.0261780105
KRW-SXP,2023-10-06T00:00:00,2023-10-06T09:00:00,375.0,383.0,372.0,382.0,1696636787585,2530005030.915878,6707355.78924976,375.0,7.0,0.0186666667
KRW-SXP,2023-10-05T00:00:00,2023-10-05T09:00:00,373.0,376.0,369.0,375.0,1696550383573,2244770134.3404546,6015027.86249036,373.0,2.0,0.0053619303
KRW-SXP,2023-10-04T00:00:00,2023-10-04T09:00:00,375.0,376.0,363.0,373.0,1696463975553,3307393724.9610014,8953220.57988822,376.0,-3.0,-0.0079787234
KRW-SXP,2023-10-03T00:00:00,2023-10-03T09:00:00,387.0,393.0,374.0,376.0,1696377573592,4642924229.583855,12088276.71828874,388.0,-12.0,-0.0309278351
KRW-SXP,2023-10-02T00:00:00,2023-10-02T09:00:00,403.0,404.0,376.0,388.0,1696291156675,5557311506.286102,14065809.61716819,402.0,-14.0,-0.0348258706
KRW-SXP,2023-10-01T00:00:00,2023-10-01T09:00:00,393.0,404.0,390.0,402.0,1696204792992,4775685795.225158,12061246.37219207,393.0,9.0,0.0229007634
KRW-SXP,2023-09-30T00:00:00,2023-09-30T09:00:00,394.0,396.0,389.0,393.0,1696118396070,2987968729.309597,7625700.41041689,395.0,-2.0,-0.0050632911
KRW-SXP,2023-09-29T00:00:00,2023-09-29T09:00:00,400.0,402.0,385.0,395.0,1696031994871,6563249750.6373625,16666654.08682559,400.0,-5.0,-0.0125
KRW-SXP,2023-09-28T00:00:00,2023-09-28T09:00:00,394.0,403.0,391.0,400.0,1695945595409,10531639907.810982,26496638.36781288,394.0,6.0,0.0152284264
KRW-SXP,2023-09-27T00:00:00,2023-09-27T09:00:00,377.0,409.0,375.0,394.0,1695859184974,19724398952.808804,49928388.3377134,376.0,18.0,0.0478723404
KRW-SXP,2023-09-26T00:00:00,2023-09-26T09:00:00,381.0,385.0,372.0,376.0,1695772784334,4798145540.33643,12683429.85183084,381.0,-5.0,-0.0131233596
KRW-SXP,2023-09-25T00:00:00,2023-09-25T09:00:00,386.0,387.0,373.0,381.0,1695686309122,6208903534.884872,16404480.6031413,387.0,-6.0,-0.015503876
KRW-SXP,2023-09-24T00:00:00,2023-09-24T09:00:00,396.0,435.0,385.0,387.0,1695599998287,43493465264.26207,104919484.94894809,396.0,-9.0,-0.0227272727
KRW-SXP,2023-09-23T00:00:00,2023-09-23T09:00:00,393.0,401.0,383.0,396.0,1695513591555,5415524940.500404,13917400.3200788,393.0,3.0,0.0076335878
KRW-SXP,2023-09-22T00:00:00,2023-09-22T09:00:00,375.0,396.0,372.0,393.0,1695427199850,12059650119.510948,31355342.59558927,375.0,18.0,0.048
KRW-SXP,2023-09-21T00:00:00,2023-09-21T09:00:00,391.0,391.0,368.0,375.0,1695340798416,8005896983.4626,21109933.79635675,391.0,-16.0,-0.0409207161
KRW-SXP,2023-09-20T00:00:00,2023-09-20T09:00:00,365.0,403.0,363.0,391.0,1695254394561,37457248257.84329,96672681.54656272,366.0,25.0,0.0683060109
KRW-SXP,2023-09-19T00:00:00,2023-09-19T09:00:00,363.0,369.0,354.0,366.0,1695167994975,6151280944.097847,16947584.13768056,363.0,3.0,0.0082644628
KRW-SXP,2023-09-18T00:00:00,2023-09-18T09:00:00,364.0,370.0,353.0,363.0,1695081597384,7302410846.805124,20194697.10115935,364.0,-1.0,-0.0027472527
KRW-SXP,2023-09-17T00:00:00,2023-09-17T09:00:00,416.0,416.0,360.0,364.0,1694995189643,22605808171.492462,57963481.37117537,416.0,-52.0,-0.125
KRW-SXP,2023-09-16T00:00:00,2023-09-16T09:00:00,357.0,444.0,357.0,416.0,1694908797019,135595770481.76991,328486082.88026804,356.0,60.0,0.1685393258
KRW-SXP,2023-09-15T00:00:00,2023-09-15T09:00:00,347.0,357.0,342.0,356.0,1694822387806,4342636693.7273035,12507279.62002886,348.0,8.0,0.0229885057
KRW-SXP,2023-09-14T00:00:00,2023-09-14T09:00:00,342.0,351.0,337.0,348.0,1694735999035,3458136952.75945,10053919.20799313,342.0,6.0,0.0175438596
KRW-SXP,2023-09-13T00:00:00,2023-09-13T09:00:00,333.0,346.0,331.0,342.0,1694649589142,2651603949.7961025,7829593.39367739,333.0,9.0,0.027027027
