market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-TFUEL,2023-10-10T00:00:00,2023-10-10T09:00:00,43.8,44.2,43.0,43.7,1696982237263,1551991129.201175,35688795.81723297,43.8,-0.1,-0.002283105
KRW-TFUEL,2023-10-09T00:00:00,2023-10-09T09:00:00,45.7,48.1,43.2,43.8,1696895952489,10217313831.238745,221595731.17135745,45.7,-1.9,-0.0415754923
KRW-TFUEL,2023-10-08T00:00:00,2023-10-08T09:00:00,45.6,46.3,44.7,45.7,1696809582200,1770116331.097551,39035107.83986949,45.6,0.1,0.0021929825
KRW-TFUEL,2023-10-07T00:00:00,2023-10-07T09:00:00,45.3,45.6,44.6,45.6,1696723199581,1009101791.1012721,22286079.30404929,45.3,0.3,0.0066225166
KRW-TFUEL,2023-10-06T00:00:00,2023-10-06T09:00:00,44.3,45.4,44.2,45.3,1696636749607,1675855174.6625445,37432158.20454258,44.3,1.0,0.0225733634
KRW-TFUEL,2023-10-05T00:00:00,2023-10-05T09:00:00,44.9,45.1,44.0,44.3,1696550386683,918416786.2552606,20678709.59681377,44.9,-0.6,-0.013363029
KRW-TFUEL,2023-10-04T00:00:00,2023-10-04T09:00:00,44.7,45.2,43.8,44.9,1696463989895,1215909692.055927,27430825.57867243,44.7,0.2,0.0044742729
KRW-TFUEL,2023-10-03T00:00:00,2023-10-03T09:00:00,45.9,46.5,44.5,44.7,1696377598106,1752735377.2378454,38487800.16506674,46.0,-1.3,-0.0282608696
KRW-TFUEL,2023-10-02T00:00:00,2023-10-02T09:00:00,47.4,47.4,45.8,46.0,1696291184697,2193366016.712751,46940254.14230629,47.4,-1.4,-0.029535865
KRW-TFUEL,2023-10-01T00:00:00,2023-10-01T09:00:00,46.3,47.4,45.7,47.4,1696204790792,2922260483.4232936,62925633.64799276,46.5,0.9,0.0193548387
KRW-TFUEL,2023-09-30T00:00:00,2023-09-30T09:00:00,45.5,48.1,45.5,46.5,1696118398125,11619000013.391224,249706749.9097257,45.5,1.0,0.021978022
KRW-TFUEL,2023-09-29T00:00:00,2023-09-29T09:00:00,45.4,46.2,44.6,45.5,1696031998987,2992049418.668966,65950445.65559466,45.4,0.1,0.0022026432
KRW-TFUEL,2023-09-28T00:00:00,2023-09-28T09:00:00,45.1,45.8,44.6,45.4,1695945597480,2741074070.3992114,60860893.51187126,45.0,0.4,0.0088888889
KRW-TFUEL,2023-09-27T00:00:00,2023-09-27T09:00:00,44.8,45.4,44.5,45.0,1695859162188,1304251862.222113,29038545.24539336,44.9,0.1,0.0022271715
KRW-TFUEL,2023-09-26T00:00:00,2023-09-26T09:00:00,44.8,45.4,44.4,44.9,1695772777533,1153893313.074181,25737408.3951721,44.9,,0.0
KRW-TFUEL,2023-09-25T00:00:00,2023-09-25T09:00:00,44.7,45.2,44.0,44.9,1695686340657,1316666443.1390874,29591700.25652407,44.7,0.2,0.0044742729
KRW-TFUEL,2023-09-24T00:00:00,2023-09-24T09:00:00,47.3,47.3,44.6,44.7,1695599969722,2593079543.405899,56596831.46903382,47.3,-2.6,-0.0549682875
KRW-TFUEL,2023-09-23T00:00:00,2023-09-23T09:00:00,45.6,49.1,45.6,47.3,1695513587763,11901550341.363607,249687389.68876714,45.6,1.7,0.0372807018
KRW-TFUEL,2023-09-22T00:00:00,2023-09-22T09:00:00,44.7,45.7,44.0,45.6,1695427194150,1530965380.6942523,34114435.78493486,44.7,0.9,0.0201342282
KRW-TFUEL,2023-09-21T00:00:00,2023-09-21T09:00:00,45.8,45.9,43.9,44.7,1695340776956,2539343622.9196734,56515622.89567245,45.7,-1.0,-0.0218818381
KRW-TFUEL,2023-09-20T00:00:00,2023-09-20T09:00:00,45.4,46.0,44.3,45.7,1695254375131,4200134939.0946565,93159864.94349054,45.5,0.2,0.0043956044
KRW-TFUEL,2023-09-19T00:00:00,2023-09-19T09:00:00,46.1,46.1,43.8,45.5,1695167996388,6598378990.117159,147251489.0175422,46.1,-0.6,-0.0130151844
KRW-TFUEL,2023-09-18T00:00:00,2023-09-18T09:00:00,44.7,51.9,44.5,46.1,1695081590958,45076740051.53726,949738172.3362582,44.4,1.7,0.0382882883
KRW-TFUEL,2023-09-17T00:00:00,2023-09-17T09:00:00,44.1,46.9,43.2,44.4,1694995171767,7834761624.590532,173468085.72789884,44.1,0.3,0.0068027211
KRW-TFUEL,2023-09-16T00:00:00,2023-09-16T09:00:00,43.8,44.4,43.4,44.1,1694908768395,1164412724.2539306,26453203.30779437,44.0,0.1,0.0022727273
KRW-TFUEL,2023-09-15T00:00:00,2023-09-15T09:00:00,42.8,44.0,42.3,44.0,1694822393553,1089186125.451178,25360160.92679415,42.8,1.2,0.0280373832
KRW-TFUEL,2023-09-14T00:00:00,2023-09-14T09:00:00,41.8,42.9,41.4,42.8,1694735836268,1242689331.3127277,29458886.05015098,41.9,0.9,0.0214797136
KRW-TFUEL,2023-09-13T00:00:00,2023-09-13T09:00:00,41.0,41.9,40.5,41.9,1694649505525,980272708.0017453,23825260.03910197,41.1,0.8,0.0194647202
KRW-TFUEL,2023-09-12T00:00:00,2023-09-12T09:00:00,40.8,41.7,40.5,41.1,1694563197571,950331855.83115,23181044.74191968,40.8,0.3,0.0073529412
KRW-TFUEL,2023-09-11T00:00:00,2023-09-11T09:00:00,42.1,43.6,40.4,40.8,1694476749134,3090458232.5575504,73323625.99071097,42.1,-1.3,-0.0308788599
KRW-TFUEL,2023-09-10T00:00:00,2023-09-10T09:00:00,43.1,43.1,42.0,42.1,1694390387092,478501390.35262036,11284692.32697199,43.2,-1.1,-0.025462963
KRW-TFUEL,2023-09-09T00:00:00,2023-09-09T09:00:00,43.3,43.5,42.8,43.2,1694303927348,298629464.22834945,6921879.97539565,43.4,-0.2,-0.0046082949
KRW-TFUEL,2023-09-08T00:00:00,2023-09-08T09:00:00,43.3,44.1,42.8,43.4,1694217585156,645978720.2023677,14905043.19665973,43.3,0.1,0.0023094688
KRW-TFUEL,2023-09-07T00:00:00,2023-09-07T09:00:00,43.2,43.5,42.5,43.3,1694131198536,542333197.1793214,12641092.37070488,43.2,0.1,0.0023148148
KRW-TFUEL,2023-09-06T00:00:00,2023-09-06T09:00:00,42.6,43.8,42.4,43.2,1694044794297,1301609417.5447953,30146695.94848911,42.5,0.7,0.0164705882
