market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-THETA,2023-10-10T00:00:00,2023-10-10T09:00:00,812.0,814.0,802.0,811.0,1696981999621,659357525.3650407,816085.74093933,812.0,-1.0,-0.0012315271
KRW-THETA,2023-10-09T00:00:00,2023-10-09T09:00:00,838.0,843.0,798.0,812.0,1696895999694,1903076533.1869159,2313280.74456767,837.0,-25.0,-0.0298685783
KRW-THETA,2023-10-08T00:00:00,2023-10-08T09:00:00,840.0,841.0,827.0,837.0,1696809397432,873480999.1821488,1047963.10319587,841.0,-4.0,-0.0047562426
KRW-THETA,2023-10-07T00:00:00,2023-10-07T09:00:00,845.0,850.0,837.0,841.0,1696723010579,893390683.3920566,1059743.9395598,845.0,-4.0,-0.0047337278
KRW-THETA,2023-10-06T00:00:00,2023-10-06T09:00:00,837.0,855.0,835.0,845.0,1696636794650,687363811.0690739,816819.89340801,836.0,9.0,0.0107655502
KRW-THETA,2023-10-05T00:00:00,2023-10-05T09:00:00,840.0,845.0,832.0,836.0,1696550344865,847383985.3109388,1010738.57905353,839.0,-3.0,-0.0035756853
KRW-THETA,2023-10-04T00:00:00,2023-10-04T09:00:00,850.0,851.0,820.0,839.0,1696463890161,1023500221.8889171,1222209.12470861,851.0,-12.0,-0.0141010576
KRW-THETA,2023-10-03T00:00:00,2023-10-03T09:00:00,854.0,866.0,850.0,851.0,1696377462642,1111453528.4197927,1297531.04464793,853.0,-2.0,-0.0023446659
KRW-THETA,2023-10-02T00:00:00,2023-10-02T09:00:00,904.0,910.0,839.0,853.0,1696291199330,2169609653.1661067,2457998.15659071,904.0,-51.0,-0.0564159292
KRW-THETA,2023-10-01T00:00:00,2023-10-01T09:00:00,878.0,910.0,876.0,904.0,1696204793414,2333271298.36896,2606257.5456496,877.0,27.0,0.0307867731
KRW-THETA,2023-09-30T00:00:00,2023-09-30T09:00:00,875.0,884.0,868.0,877.0,1696118386243,1061772216.5617317,1211001.885475,875.0,2.0,0.0022857143
KRW-THETA,2023-09-29T00:00:00,2023-09-29T09:00:00,878.0,878.0,855.0,875.0,1696031999970,1313188124.1062849,1513574.45088758,879.0,-4.0,-0.0045506257
KRW-THETA,2023-09-28T00:00:00,2023-09-28T09:00:00,865.0,881.0,862.0,879.0,1695945574031,1151129592.064898,1323706.23394315,865.0,14.0,0.0161849711
KRW-THETA,2023-09-27T00:00:00,2023-09-27T09:00:00,865.0,873.0,851.0,865.0,1695859179693,2003297391.0709014,2322944.63745228,867.0,-2.0,-0.0023068051
KRW-THETA,2023-09-26T00:00:00,2023-09-26T09:00:00,856.0,895.0,849.0,867.0,1695772799665,4143364017.9806113,4748897.33560703,857.0,10.0,0.0116686114
KRW-THETA,2023-09-25T00:00:00,2023-09-25T09:00:00,844.0,871.0,835.0,857.0,1695686352818,4977334000.120943,5818229.63105293,844.0,13.0,0.0154028436
KRW-THETA,2023-09-24T00:00:00,2023-09-24T09:00:00,870.0,870.0,834.0,844.0,1695599990451,5140419287.035123,6029538.58989761,870.0,-26.0,-0.0298850575
