market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-UPP,2023-10-10T00:00:00,2023-10-10T09:00:00,83.7,83.8,80.8,81.9,1696982399609,1645786047.2090716,20069166.30712676,83.7,-1.8,-0.0215053763
KRW-UPP,2023-10-09T00:00:00,2023-10-09T09:00:00,87.1,89.0,80.1,83.7,1696895994838,5226088173.246034,61469179.147541,87.1,-3.4,-0.0390355913
KRW-UPP,2023-10-08T00:00:00,2023-10-08T09:00:00,88.4,88.7,84.9,87.1,1696809564985,2182179822.9632206,25129577.66737172,88.4,-1.3,-0.0147058824
KRW-UPP,2023-10-07T00:00:00,2023-10-07T09:00:00,88.9,88.9,87.1,88.4,1696723162691,1985852445.997431,22560032.55085642,88.9,-0.5,-0.005624297
KRW-UPP,2023-10-06T00:00:00,2023-10-06T09:00:00,85.8,88.9,84.3,88.9,1696636799432,2930562856.2768183,34051771.82932963,85.9,3.0,0.0349243306
KRW-UPP,2023-10-05T00:00:00,2023-10-05T09:00:00,85.6,88.3,82.8,85.9,1696550392312,6168465063.184658,72450395.7066839,85.7,0.2,0.0023337223
KRW-UPP,2023-10-04T00:00:00,2023-10-04T09:00:00,83.6,86.1,82.2,85.7,1696463997571,2892384032.81943,34551522.77033178,83.4,2.3,0.0275779376
KRW-UPP,2023-10-03T00:00:00,2023-10-03T09:00:00,82.8,85.7,81.5,83.4,1696377588048,4150633774.7803845,49493984.56459277,82.8,0.6,0.0072463768
KRW-UPP,2023-10-02T00:00:00,2023-10-02T09:00:00,85.4,85.5,82.1,82.8,1696291163131,1605492193.205285,19064561.60723574,85.4,-2.6,-0.0304449649
KRW-UPP,2023-10-01T00:00:00,2023-10-01T09:00:00,84.6,85.5,83.5,85.4,1696204775708,1450135492.9871998,17195870.3022512,84.7,0.7,0.0082644628
KRW-UPP,2023-09-30T00:00:00,2023-09-30T09:00:00,85.8,86.1,83.6,84.7,1696118374232,1729001762.2936957,20451015.74901013,85.8,-1.1,-0.0128205128
KRW-UPP,2023-09-29T00:00:00,2023-09-29T09:00:00,86.8,90.5,83.7,85.8,1696031983396,6969636040.05991,79636340.7099631,86.8,-1.0,-0.0115207373
KRW-UPP,2023-09-28T00:00:00,2023-09-28T09:00:00,84.9,87.4,83.4,86.8,1695945580279,4897493341.375646,57491219.57680877,84.7,2.1,0.0247933884
KRW-UPP,2023-09-27T00:00:00,2023-09-27T09:00:00,84.7,86.0,82.1,84.7,1695859199964,3354841596.7932186,39916622.93932353,84.7,,0.0
KRW-UPP,2023-09-26T00:00:00,2023-09-26T09:00:00,82.0,86.1,81.7,84.7,1695772796430,7258019279.865743,86620164.74224214,82.0,2.7,0.0329268293
KRW-UPP,2023-09-25T00:00:00,2023-09-25T09:00:00,82.8,83.8,78.3,82.0,1695686380683,3739689130.5985575,46228167.63214002,82.8,-0.8,-0.0096618357
KRW-UPP,2023-09-24T00:00:00,2023-09-24T09:00:00,90.2,93.0,82.3,82.8,1695599999994,6475872281.021207,75212510.09217072,90.2,-7.4,-0.0820399113
KRW-UPP,2023-09-23T00:00:00,2023-09-23T09:00:00,85.6,95.0,85.3,90.2,1695513599393,28140730495.491837,309995788.7889083,85.3,4.9,0.0574443142
KRW-UPP,2023-09-22T00:00:00,2023-09-22T09:00:00,80.7,89.0,79.0,85.3,1695427195308,12018582332.716818,143011801.40885913,81.3,4.0,0.049200492
KRW-UPP,2023-09-21T00:00:00,2023-09-21T09:00:00,82.9,83.5,76.5,81.3,1695340777424,5113479397.787376,63831116.78926799,83.0,-1.7,-0.0204819277
