market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-VET,2023-10-10T00:00:00,2023-10-10T09:00:00,22.4,23.2,22.4,22.6,1696982363997,1666510328.2948773,73180877.22674379,22.4,0.2,0.0089285714
KRW-VET,2023-10-09T00:00:00,2023-10-09T09:00:00,23.3,23.3,22.1,22.4,1696895994229,1750547803.394448,77319131.71036151,23.3,-0.9,-0.0386266094
KRW-VET,2023-10-08T00:00:00,2023-10-08T09:00:00,23.1,23.3,22.9,23.3,1696809565316,1069889602.5381138,46280985.57887803,23.1,0.2,0.0086580087
KRW-VET,2023-10-07T00:00:00,2023-10-07T09:00:00,22.7,23.2,22.6,23.1,1696723194351,622645682.6932007,27250345.3788056,22.7,0.4,0.0176211454
KRW-VET,2023-10-06T00:00:00,2023-10-06T09:00:00,22.5,23.0,22.5,22.7,1696636708837,1021513445.9485449,45016926.26962273,22.5,0.2,0.0088888889
KRW-VET,2023-10-05T00:00:00,2023-10-05T09:00:00,22.7,22.8,22.4,22.5,1696550361979,1138158049.003707,50385970.17115456,22.7,-0.2,-0.0088105727
KRW-VET,2023-10-04T00:00:00,2023-10-04T09:00:00,22.9,23.0,22.2,22.7,1696463965672,1968428180.1861596,86923868.12618575,22.9,-0.2,-0.0087336245
KRW-VET,2023-10-03T00:00:00,2023-10-03T09:00:00,23.0,23.6,22.8,22.9,1696377503778,2129466835.1012793,91524121.828524,23.0,-0.1,-0.0043478261
KRW-VET,2023-10-02T00:00:00,2023-10-02T09:00:00,23.7,24.1,22.8,23.0,1696291181132,3109089206.9572525,131628428.23930822,23.6,-0.6,-0.0254237288
KRW-VET,2023-10-01T00:00:00,2023-10-01T09:00:00,23.6,23.7,23.2,23.6,1696204788064,1747808703.066823,74298331.3587855,23.6,,0.0
KRW-VET,2023-09-30T00:00:00,2023-09-30T09:00:00,23.1,23.9,23.0,23.6,1696118391353,2043124868.74661,86976519.55213045,23.1,0.5,0.0216450216
KRW-VET,2023-09-29T00:00:00,2023-09-29T09:00:00,23.0,23.1,22.6,23.1,1696031892217,1315028385.1358871,57398843.66336919,23.0,0.1,0.0043478261
KRW-VET,2023-09-28T00:00:00,2023-09-28T09:00:00,22.4,23.0,22.3,23.0,1695945580280,877733583.158595,38762963.2047699,22.4,0.6,0.0267857143
KRW-VET,2023-09-27T00:00:00,2023-09-27T09:00:00,22.5,23.0,22.3,22.4,1695859151751,1442824051.5061698,64006492.3369794,22.5,-0.1,-0.0044444444
KRW-VET,2023-09-26T00:00:00,2023-09-26T09:00:00,22.7,22.7,22.3,22.5,1695772799688,784856583.035987,34855115.03185152,22.7,-0.2,-0.0088105727
KRW-VET,2023-09-25T00:00:00,2023-09-25T09:00:00,22.4,22.8,22.2,22.7,1695686390994,1419321397.1522272,63329539.91249403,22.3,0.4,0.0179372197
KRW-VET,2023-09-24T00:00:00,2023-09-24T09:00:00,23.0,23.1,22.1,22.3,1695599992772,1128418369.4732163,49755068.52886215,23.1,-0.8,-0.0346320346
KRW-VET,2023-09-23T00:00:00,2023-09-23T09:00:00,23.2,23.2,22.8,23.1,1695513561503,1207676191.193845,52525198.20855432,23.1,,0.0
KRW-VET,2023-09-22T00:00:00,2023-09-22T09:00:00,23.2,23.3,23.0,23.1,1695427176813,1486959402.6322644,64335619.19039247,23.2,-0.1,-0.0043103448
KRW-VET,2023-09-21T00:00:00,2023-09-21T09:00:00,23.8,24.3,23.0,23.2,1695340759500,1421468724.838803,60259749.20734844,23.8,-0.6,-0.025210084
KRW-VET,2023-09-20T00:00:00,2023-09-20T09:00:00,23.7,23.9,23.3,23.8,1695254360230,1178382033.9500465,49987996.3404266,23.6,0.2,0.0084745763
KRW-VET,2023-09-19T00:00:00,2023-09-19T09:00:00,23.3,24.0,23.2,23.6,1695167960932,1434591628.22255,60548802.14506379,23.3,0.3,0.0128755365
KRW-VET,2023-09-18T00:00:00,2023-09-18T09:00:00,23.0,24.0,22.9,23.3,1695081585053,1468139786.362231,62695794.10829497,23.0,0.3,0.0130434783
KRW-VET,2023-09-17T00:00:00,2023-09-17T09:00:00,24.0,24.0,22.9,23.0,1694995166310,1650234922.6866772,70547320.41009219,23.9,-0.9,-0.0376569038
KRW-VET,2023-09-16T00:00:00,2023-09-16T09:00:00,24.1,24.9,23.8,23.9,1694908758710,3528967409.061532,144737781.5438159,24.0,-0.1,-0.0041666667
KRW-VET,2023-09-15T00:00:00,2023-09-15T09:00:00,23.1,24.2,22.9,24.0,1694822389374,3060466552.6745687,131244430.66608863,23.0,1.0,0.0434782609
KRW-VET,2023-09-14T00:00:00,2023-09-14T09:00:00,22.4,23.2,21.9,23.0,1694735997573,4059185280.7117333,182257954.36694255,22.5,0.5,0.0222222222
KRW-VET,2023-09-13T00:00:00,2023-09-13T09:00:00,22.4,22.9,21.5,22.5,1694649597796,10462970607.76776,472634440.6143565,22.4,0.1,0.0044642857
KRW-VET,2023-09-12T00:00:00,2023-09-12T09:00:00,20.2,22.6,20.0,22.4,1694563190549,15053552069.469076,698882067.286062,20.2,2.2,0.1089108911
KRW-VET,2023-09-11T00:00:00,2023-09-11T09:00:00,20.7,20.8,20.0,20.2,1694476790580,1462224659.156431,71590610.7495554,20.7,-0.5,-0.0241545894
KRW-VET,2023-09-10T00:00:00,2023-09-10T09:00:00,21.2,21.3,20.6,20.7,1694390355342,1095654189.5243366,52453582.2215432,21.2,-0.5,-0.0235849057
KRW-VET,2023-09-09T00:00:00,2023-09-09T09:00:00,21.3,21.4,21.1,21.2,1694303984121,409831066.81274235,19276755.36996386,21.3,-0.1,-0.0046948357
KRW-VET,2023-09-08T00:00:00,2023-09-08T09:00:00,21.5,21.5,21.1,21.3,1694217509381,901942373.1437039,42347053.88585331,21.5,-0.2,-0.0093023256
KRW-VET,2023-09-07T00:00:00,2023-09-07T09:00:00,21.2,21.5,21.0,21.5,1694131056209,720717547.9029261,34034422.72081206,21.2,0.3,0.0141509434
KRW-VET,2023-09-06T00:00:00,2023-09-06T09:00:00,21.3,21.5,20.9,21.2,1694044708816,1182376926.546277,55737367.52373967,21.3,-0.1,-0.0046948357
KRW-VET,2023-09-05T00:00:00,2023-09-05T09:00:00,20.9,21.4,20.9,21.3,1693958368496,1176730049.4280493,55785293.24558876,20.9,0.4,0.019138756
KRW-VET,2023-09-04T00:00:00,2023-09-04T09:00:00,21.1,21.3,20.8,20.9,1693871991745,837691459.6782858,39762635.50511974,21.0,-0.1,-0.0047619048
KRW-VET,2023-09-03T00:00:00,2023-09-03T09:00:00,21.1,21.5,20.9,21.0,1693785563723,1085942198.4146192,51470281.29785362,21.1,-0.1,-0.0047393365
KRW-VET,2023-09-02T00:00:00,2023-09-02T09:00:00,21.2,21.4,21.0,21.1,1693699079547,490925651.6574698,23195222.21493839,21.2,-0.1,-0.0047169811
KRW-VET,2023-09-01T00:00:00,2023-09-01T09:00:00,21.6,21.7,20.9,21.2,1693612689151,1489863150.0292172,69944846.54406238,21.5,-0.3,-0.0139534884
KRW-VET,2023-08-31T00:00:00,2023-08-31T09:00:00,22.0,22.5,21.3,21.5,1693526259948,1670897336.523973,76328093.42513706,22.1,-0.6,-0.0271493213
KRW-VET,2023-08-30T00:00:00,2023-08-30T09:00:00,22.5,22.6,21.8,22.1,1693439977217,1814304015.4316099,82021254.7804056,22.4,-0.3,-0.0133928571
KRW-VET,2023-08-29T00:00:00,2023-08-29T09:00:00,21.6,22.7,21.1,22.4,1693353525734,2057680109.391195,94349488.6072057,21.6,0.8,0.037037037
KRW-VET,2023-08-28T00:00:00,2023-08-28T09:00:00,21.6,21.9,21.1,21.6,1693267169130,1248381164.6589499,58227486.23758295,21.7,-0.1,-0.0046082949
KRW-VET,2023-08-27T00:00:00,2023-08-27T09:00:00,21.6,21.8,21.5,21.7,1693180787890,756349592.904571,35015648.52639099,21.5,0.2,0.0093023256
KRW-VET,2023-08-26T00:00:00,2023-08-26T09:00:00,21.9,22.0,21.5,21.5,1693094360938,886844216.8006456,40729472.31997858,21.9,-0.4,-0.0182648402
KRW-VET,2023-08-25T00:00:00,2023-08-25T09:00:00,21.7,21.9,21.3,21.9,1693007940900,1553355951.3751938,72118647.37885015,21.6,0.3,0.0138888889
KRW-VET,2023-08-24T00:00:00,2023-08-24T09:00:00,22.2,22.3,21.3,21.6,1692921477014,1398832804.8660414,64358699.81177957,22.1,-0.5,-0.0226244344
KRW-VET,2023-08-23T00:00:00,2023-08-23T09:00:00,21.9,22.5,21.6,22.1,1692835161244,990877589.7242411,45044175.41281696,21.8,0.3,0.0137614679
KRW-VET,2023-08-22T00:00:00,2023-08-22T09:00:00,22.1,22.1,21.3,21.8,1692748483918,1297108182.9640865,59599729.02006601,22.1,-0.3,-0.0135746606
KRW-VET,2023-08-21T00:00:00,2023-08-21T09:00:00,22.4,22.6,21.8,22.1,1692662359316,1714224795.6605911,77729386.40484697,22.4,-0.3,-0.0133928571
KRW-VET,2023-08-20T00:00:00,2023-08-20T09:00:00,22.2,22.6,22.0,22.4,1692575824501,963411245.022238,43361979.03121985,22.2,0.2,0.009009009
KRW-VET,2023-08-19T00:00:00,2023-08-19T09:00:00,22.0,22.3,21.8,22.2,1692489595594,1244085629.2904143,56556525.47747054,22.0,0.2,0.0090909091
KRW-VET,2023-08-18T00:00:00,2023-08-18T09:00:00,21.6,22.3,21.2,22.0,1692403063524,2340732143.4262676,107809280.03313056,21.6,0.4,0.0185185185
KRW-VET,2023-08-17T00:00:00,2023-08-17T09:00:00,22.9,23.3,21.0,21.6,1692316719916,4449334182.7037,201013898.52301377,22.9,-1.3,-0.056768559
KRW-VET,2023-08-16T00:00:00,2023-08-16T09:00:00,23.9,23.9,22.8,22.9,1692230398122,3183676988.1548405,136097797.1574182,23.9,-1.0,-0.0418410042
