market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-XEM,2023-10-10T00:00:00,2023-10-10T09:00:00,33.9,34.6,33.7,34.0,1696982360456,943976229.8395244,27598545.3836296,33.8,0.2,0.0059171598
KRW-XEM,2023-10-09T00:00:00,2023-10-09T09:00:00,34.8,35.2,33.3,33.8,1696895950483,1866579563.8551085,54549040.48310998,34.9,-1.1,-0.0315186246
KRW-XEM,2023-10-08T00:00:00,2023-10-08T09:00:00,34.7,35.1,34.1,34.9,1696809541804,1836444194.4732828,53195068.77474056,34.8,0.1,0.0028735632
KRW-XEM,2023-10-07T00:00:00,2023-10-07T09:00:00,35.3,35.3,34.4,34.8,1696723119202,2778208684.1602836,79852700.92981292,35.3,-0.5,-0.0141643059
KRW-XEM,2023-10-06T00:00:00,2023-10-06T09:00:00,33.9,38.0,33.8,35.3,1696636796250,25532980457.37564,710256174.1910759,33.8,1.5,0.0443786982
KRW-XEM,2023-10-05T00:00:00,2023-10-05T09:00:00,34.4,34.7,33.8,33.8,1696550389516,675843449.3090975,19775439.18147297,34.4,-0.6,-0.0174418605
KRW-XEM,2023-10-04T00:00:00,2023-10-04T09:00:00,35.2,35.2,33.4,34.4,1696463995016,2211412487.184523,64554979.83503826,35.3,-0.9,-0.0254957507
KRW-XEM,2023-10-03T00:00:00,2023-10-03T09:00:00,36.1,36.2,35.1,35.3,1696377552583,2183936754.165363,61278401.9738693,36.1,-0.8,-0.0221606648
KRW-XEM,2023-10-02T00:00:00,2023-10-02T09:00:00,36.7,40.8,35.9,36.1,1696291190979,27342962470.357437,703322118.1192822,36.8,-0.7,-0.0190217391
KRW-XEM,2023-10-01T00:00:00,2023-10-01T09:00:00,35.4,37.2,35.4,36.8,1696204789789,1784820134.9976614,49332180.93664519,35.4,1.4,0.0395480226
KRW-XEM,2023-09-30T00:00:00,2023-09-30T09:00:00,35.7,36.0,35.4,35.4,1696118351536,507042716.2181514,14207658.37853089,35.7,-0.3,-0.0084033613
KRW-XEM,2023-09-29T00:00:00,2023-09-29T09:00:00,35.2,35.8,35.1,35.7,1696031917994,1244533442.335751,35127531.3003196,35.2,0.5,0.0142045455
KRW-XEM,2023-09-28T00:00:00,2023-09-28T09:00:00,34.4,35.2,34.2,35.2,1695945599266,770879938.8686031,22200576.83394514,34.4,0.8,0.023255814
KRW-XEM,2023-09-27T00:00:00,2023-09-27T09:00:00,34.2,34.5,33.8,34.4,1695859189083,986349787.3702822,28811049.49484428,34.2,0.2,0.0058479532
KRW-XEM,2023-09-26T00:00:00,2023-09-26T09:00:00,34.6,34.7,33.7,34.2,1695772754833,948600301.7627149,27745194.97734825,34.7,-0.5,-0.0144092219
KRW-XEM,2023-09-25T00:00:00,2023-09-25T09:00:00,35.4,38.6,32.5,34.7,1695686395513,5125051240.768584,143824156.6401251,35.5,-0.8,-0.0225352113
KRW-XEM,2023-09-24T00:00:00,2023-09-24T09:00:00,35.5,35.9,34.8,35.5,1695599960106,998920154.8997349,28330556.5203799,35.5,,0.0
KRW-XEM,2023-09-23T00:00:00,2023-09-23T09:00:00,34.9,35.8,34.8,35.5,1695513599869,882429709.574855,25118847.55628568,34.9,0.6,0.0171919771
KRW-XEM,2023-09-22T00:00:00,2023-09-22T09:00:00,34.0,34.9,33.6,34.9,1695427197479,512595249.2924796,14938201.87712936,34.2,0.7,0.0204678363
KRW-XEM,2023-09-21T00:00:00,2023-09-21T09:00:00,35.1,35.2,34.0,34.2,1695340759615,676491913.9910228,19546260.86916792,35.1,-0.9,-0.0256410256
KRW-XEM,2023-09-20T00:00:00,2023-09-20T09:00:00,34.7,35.1,34.2,35.1,1695254393106,959647056.5514895,27674645.34447913,34.9,0.2,0.005730659
KRW-XEM,2023-09-19T00:00:00,2023-09-19T09:00:00,34.5,35.0,34.3,34.9,1695167999038,498085739.8868985,14353482.33286797,34.6,0.3,0.0086705202
KRW-XEM,2023-09-18T00:00:00,2023-09-18T09:00:00,33.8,35.0,33.4,34.6,1695080964334,661160332.0911696,19283812.26818386,33.9,0.7,0.0206489676
KRW-XEM,2023-09-17T00:00:00,2023-09-17T09:00:00,35.2,35.4,33.7,33.9,1694995164461,475213816.52076167,13805191.40125527,35.2,-1.3,-0.0369318182
KRW-XEM,2023-09-16T00:00:00,2023-09-16T09:00:00,34.9,35.8,34.5,35.2,1694908509564,797151828.8907458,22634629.06387734,35.0,0.2,0.0057142857
KRW-XEM,2023-09-15T00:00:00,2023-09-15T09:00:00,34.2,35.0,33.6,35.0,1694822398471,688586540.5600115,20043503.01711638,34.2,0.8,0.0233918129
KRW-XEM,2023-09-14T00:00:00,2023-09-14T09:00:00,33.1,34.4,33.0,34.2,1694735978951,453884190.4765959,13500529.24651772,33.1,1.1,0.0332326284
KRW-XEM,2023-09-13T00:00:00,2023-09-13T09:00:00,32.5,33.2,32.4,33.1,1694649599221,431058440.48816746,13139994.72517428,32.4,0.7,0.0216049383
KRW-XEM,2023-09-12T00:00:00,2023-09-12T09:00:00,32.2,33.2,32.0,32.4,1694563151150,424757857.1604242,12985013.27273764,32.2,0.2,0.0062111801
KRW-XEM,2023-09-11T00:00:00,2023-09-11T09:00:00,33.2,33.4,31.7,32.2,1694476191768,858379713.489448,26496776.0826088,33.4,-1.2,-0.0359281437
KRW-XEM,2023-09-10T00:00:00,2023-09-10T09:00:00,33.7,33.8,32.5,33.4,1694390259991,405650434.6973384,12278594.19466444,33.6,-0.2,-0.005952381
KRW-XEM,2023-09-09T00:00:00,2023-09-09T09:00:00,33.8,33.9,33.5,33.6,1694303951062,178505397.28265867,5298433.44599254,33.7,-0.1,-0.0029673591
KRW-XEM,2023-09-08T00:00:00,2023-09-08T09:00:00,34.2,34.6,33.3,33.7,1694217483842,557276638.4361012,16473466.31291691,34.2,-0.5,-0.014619883
KRW-XEM,2023-09-07T00:00:00,2023-09-07T09:00:00,33.8,34.2,33.1,34.2,1694131199016,437586640.8414161,13055049.13708881,33.8,0.4,0.0118343195
KRW-XEM,2023-09-06T00:00:00,2023-09-06T09:00:00,33.4,34.0,33.0,33.8,1694044799135,593290732.4805417,17678559.32634875,33.2,0.6,0.0180722892
KRW-XEM,2023-09-05T00:00:00,2023-09-05T09:00:00,33.1,33.4,32.7,33.2,1693958395901,509476530.5805193,15464978.8730312,33.1,0.1,0.003021148
KRW-XEM,2023-09-04T00:00:00,2023-09-04T09:00:00,33.2,33.4,32.4,33.1,1693871165280,599139332.9907851,18208945.10330525,33.2,-0.1,-0.0030120482
KRW-XEM,2023-09-03T00:00:00,2023-09-03T09:00:00,32.8,33.2,32.7,33.2,1693785578594,288580057.1035479,8759732.27355027,32.9,0.3,0.009118541
KRW-XEM,2023-09-02T00:00:00,2023-09-02T09:00:00,33.1,33.2,32.5,32.9,1693698989200,534253438.4528324,16301163.90480219,33.1,-0.2,-0.0060422961
KRW-XEM,2023-09-01T00:00:00,2023-09-01T09:00:00,33.1,33.5,32.6,33.1,1693612754593,501034463.2056232,15183410.56523373,33.1,,0.0
KRW-XEM,2023-08-31T00:00:00,2023-08-31T09:00:00,34.4,34.4,33.0,33.1,1693526378273,479650021.5944405,14233423.30385898,34.4,-1.3,-0.0377906977
KRW-XEM,2023-08-30T00:00:00,2023-08-30T09:00:00,34.7,35.2,33.8,34.4,1693439999298,1064730948.6017674,30797747.39191408,34.7,-0.3,-0.0086455331
KRW-XEM,2023-08-29T00:00:00,2023-08-29T09:00:00,33.8,34.9,33.0,34.7,1693353599636,865981942.495516,25346637.15279735,33.8,0.9,0.0266272189
KRW-XEM,2023-08-28T00:00:00,2023-08-28T09:00:00,34.0,34.2,32.9,33.8,1693267151911,530483045.7171008,15882278.60007135,34.0,-0.2,-0.0058823529
