market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-XLM,2023-10-10T00:00:00,2023-10-10T09:00:00,145.0,145.0,141.0,142.0,1696982385294,2384452407.812593,16679152.49692037,145.0,-3.0,-0.0206896552
KRW-XLM,2023-10-09T00:00:00,2023-10-09T09:00:00,150.0,151.0,141.0,145.0,1696895963952,6203606759.489445,42610420.02312516,150.0,-5.0,-0.0333333333
KRW-XLM,2023-10-08T00:00:00,2023-10-08T09:00:00,151.0,152.0,149.0,150.0,1696809584891,2299250001.3445687,15286241.63358552,150.0,,0.0
KRW-XLM,2023-10-07T00:00:00,2023-10-07T09:00:00,152.0,152.0,150.0,150.0,1696723164556,1346241315.5704725,8936999.04062999,152.0,-2.0,-0.0131578947
KRW-XLM,2023-10-06T00:00:00,2023-10-06T09:00:00,151.0,152.0,149.0,152.0,1696636778854,3115311692.7715945,20711829.98309311,150.0,2.0,0.0133333333
KRW-XLM,2023-10-05T00:00:00,2023-10-05T09:00:00,152.0,153.0,150.0,150.0,1696550395506,4519346085.802287,29931348.37724668,152.0,-2.0,-0.0131578947
KRW-XLM,2023-10-04T00:00:00,2023-10-04T09:00:00,157.0,157.0,151.0,152.0,1696463999453,12270172838.946901,79700210.09037584,157.0,-5.0,-0.0318471338
KRW-XLM,2023-10-03T00:00:00,2023-10-03T09:00:00,152.0,162.0,150.0,157.0,1696377595167,14136630658.352356,90823961.43912122,152.0,5.0,0.0328947368
KRW-XLM,2023-10-02T00:00:00,2023-10-02T09:00:00,155.0,156.0,151.0,152.0,1696291187026,7723740513.976048,50183051.04135741,155.0,-3.0,-0.0193548387
KRW-XLM,2023-10-01T00:00:00,2023-10-01T09:00:00,152.0,155.0,151.0,155.0,1696204788697,5307289554.15067,34649429.56321334,153.0,2.0,0.0130718954
KRW-XLM,2023-09-30T00:00:00,2023-09-30T09:00:00,153.0,153.0,151.0,153.0,1696118385420,5241872202.716772,34487592.28092697,153.0,,0.0
KRW-XLM,2023-09-29T00:00:00,2023-09-29T09:00:00,154.0,164.0,152.0,153.0,1696031999568,20980234529.07641,132539354.3395852,154.0,-1.0,-0.0064935065
KRW-XLM,2023-09-28T00:00:00,2023-09-28T09:00:00,154.0,155.0,153.0,154.0,1695945569536,2526254240.857774,16380195.15545958,154.0,,0.0
KRW-XLM,2023-09-27T00:00:00,2023-09-27T09:00:00,152.0,156.0,151.0,154.0,1695859195655,4687464235.763664,30519894.42333264,152.0,2.0,0.0131578947
KRW-XLM,2023-09-26T00:00:00,2023-09-26T09:00:00,152.0,153.0,150.0,152.0,1695772794148,2791804011.882591,18408963.56168347,152.0,,0.0
KRW-XLM,2023-09-25T00:00:00,2023-09-25T09:00:00,152.0,153.0,149.0,152.0,1695686369396,3700351404.4942603,24440042.91801682,152.0,,0.0
KRW-XLM,2023-09-24T00:00:00,2023-09-24T09:00:00,155.0,155.0,151.0,152.0,1695599999630,3041845365.060375,19879711.43567949,155.0,-3.0,-0.0193548387
KRW-XLM,2023-09-23T00:00:00,2023-09-23T09:00:00,155.0,156.0,153.0,155.0,1695513577926,2598454185.241664,16796713.96073701,155.0,,0.0
KRW-XLM,2023-09-22T00:00:00,2023-09-22T09:00:00,155.0,157.0,153.0,155.0,1695427199246,4017844730.988247,25919270.37159747,155.0,,0.0
KRW-XLM,2023-09-21T00:00:00,2023-09-21T09:00:00,157.0,158.0,151.0,155.0,1695340769851,8100026266.876807,52285340.14528683,157.0,-2.0,-0.0127388535
KRW-XLM,2023-09-20T00:00:00,2023-09-20T09:00:00,159.0,161.0,157.0,157.0,1695254380547,8623050996.850796,54295710.04248818,159.0,-2.0,-0.0125786164
KRW-XLM,2023-09-19T00:00:00,2023-09-19T09:00:00,158.0,161.0,157.0,159.0,1695167969675,5825473928.001045,36654441.35557889,158.0,1.0,0.0063291139
KRW-XLM,2023-09-18T00:00:00,2023-09-18T09:00:00,157.0,161.0,156.0,158.0,1695081576087,6825352366.60418,43018491.69406068,157.0,1.0,0.0063694268
KRW-XLM,2023-09-17T00:00:00,2023-09-17T09:00:00,161.0,162.0,155.0,157.0,1694995184185,7909739371.104989,50093206.71484548,161.0,-4.0,-0.0248447205
KRW-XLM,2023-09-16T00:00:00,2023-09-16T09:00:00,163.0,164.0,160.0,161.0,1694908783029,6995821800.887058,43286083.36496158,163.0,-2.0,-0.0122699387
KRW-XLM,2023-09-15T00:00:00,2023-09-15T09:00:00,163.0,165.0,160.0,163.0,1694822359145,10340000470.871635,63649272.35357071,163.0,,0.0
KRW-XLM,2023-09-14T00:00:00,2023-09-14T09:00:00,164.0,165.0,159.0,163.0,1694735997290,9817130187.148792,60645384.42491612,164.0,-1.0,-0.006097561
KRW-XLM,2023-09-13T00:00:00,2023-09-13T09:00:00,165.0,166.0,162.0,164.0,1694649564819,14288095286.758797,87374534.3780371,165.0,-1.0,-0.0060606061
KRW-XLM,2023-09-12T00:00:00,2023-09-12T09:00:00,175.0,180.0,163.0,165.0,1694563194293,27975276522.514313,162075538.10032395,175.0,-10.0,-0.0571428571
KRW-XLM,2023-09-11T00:00:00,2023-09-11T09:00:00,182.0,183.0,169.0,175.0,1694476775686,26708869328.774986,153069542.17423284,182.0,-7.0,-0.0384615385
KRW-XLM,2023-09-10T00:00:00,2023-09-10T09:00:00,179.0,184.0,174.0,182.0,1694390389939,17744848179.67263,99142200.2091067,179.0,3.0,0.0167597765
KRW-XLM,2023-09-09T00:00:00,2023-09-09T09:00:00,173.0,182.0,171.0,179.0,1694303993539,16124303130.368748,91092161.07370283,173.0,6.0,0.0346820809
KRW-XLM,2023-09-08T00:00:00,2023-09-08T09:00:00,171.0,173.0,166.0,173.0,1694217599751,9862855111.014212,58141446.4414301,171.0,2.0,0.0116959064
KRW-XLM,2023-09-07T00:00:00,2023-09-07T09:00:00,169.0,172.0,165.0,171.0,1694131200009,8174735294.10951,48790007.05323118,169.0,2.0,0.0118343195
KRW-XLM,2023-09-06T00:00:00,2023-09-06T09:00:00,167.0,169.0,160.0,169.0,1694044783719,12768070131.746056,77659993.07977304,167.0,2.0,0.0119760479
