market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-ZIL,2023-10-10T00:00:00,2023-10-10T09:00:00,21.9,22.1,21.6,21.8,1696982379762,1741119078.092551,79623849.65180579,21.9,-0.1,-0.00456621
KRW-ZIL,2023-10-09T00:00:00,2023-10-09T09:00:00,23.0,23.2,21.6,21.9,1696895959324,4190954347.9409194,187789205.471454,23.0,-1.1,-0.047826087
KRW-ZIL,2023-10-08T00:00:00,2023-10-08T09:00:00,22.9,23.2,22.6,23.0,1696809597361,3500283711.2118626,152560296.84653747,22.9,0.1,0.0043668122
KRW-ZIL,2023-10-07T00:00:00,2023-10-07T09:00:00,23.1,23.1,22.8,22.9,1696723195778,2711757169.9829307,118218381.73807402,23.1,-0.2,-0.0086580087
KRW-ZIL,2023-10-06T00:00:00,2023-10-06T09:00:00,22.5,23.9,22.4,23.1,1696636793954,8473074355.723416,367250677.1176827,22.5,0.6,0.0266666667
KRW-ZIL,2023-10-05T00:00:00,2023-10-05T09:00:00,22.7,22.8,22.4,22.5,1696550398414,1581237031.1006315,70108653.20307711,22.7,-0.2,-0.0088105727
KRW-ZIL,2023-10-04T00:00:00,2023-10-04T09:00:00,22.9,22.9,22.4,22.7,1696463999181,1838436159.0049505,81200829.34385529,23.0,-0.3,-0.0130434783
KRW-ZIL,2023-10-03T00:00:00,2023-10-03T09:00:00,23.4,23.7,22.8,23.0,1696377581250,2484903868.0310273,106913855.49548973,23.4,-0.4,-0.0170940171
KRW-ZIL,2023-10-02T00:00:00,2023-10-02T09:00:00,24.3,24.6,23.3,23.4,1696291173594,4501760880.235984,186516088.7541058,24.3,-0.9,-0.037037037
KRW-ZIL,2023-10-01T00:00:00,2023-10-01T09:00:00,24.1,24.6,23.7,24.3,1696204787834,4021799742.4083548,167153053.34564823,24.1,0.2,0.0082987552
KRW-ZIL,2023-09-30T00:00:00,2023-09-30T09:00:00,23.4,24.5,23.3,24.1,1696118374492,7670890583.193146,319629735.97265464,23.3,0.8,0.0343347639
KRW-ZIL,2023-09-29T00:00:00,2023-09-29T09:00:00,23.1,23.7,23.0,23.3,1696031962813,2725971777.490941,116861737.26740707,23.2,0.1,0.0043103448
KRW-ZIL,2023-09-28T00:00:00,2023-09-28T09:00:00,23.0,23.3,22.8,23.2,1695945573961,1939986536.68459,84206028.37248076,23.0,0.2,0.0086956522
KRW-ZIL,2023-09-27T00:00:00,2023-09-27T09:00:00,23.2,23.3,22.7,23.0,1695859195103,2332150345.781259,101410019.81946424,23.2,-0.2,-0.0086206897
KRW-ZIL,2023-09-26T00:00:00,2023-09-26T09:00:00,22.8,23.4,22.6,23.2,1695772793206,2217539205.889224,96797212.84674715,22.7,0.5,0.0220264317
KRW-ZIL,2023-09-25T00:00:00,2023-09-25T09:00:00,22.9,23.0,22.4,22.7,1695686349218,2623090651.5005007,115485679.92574415,23.0,-0.3,-0.0130434783
KRW-ZIL,2023-09-24T00:00:00,2023-09-24T09:00:00,23.8,23.9,22.8,23.0,1695599998719,2944860051.8901563,126530444.98376974,23.8,-0.8,-0.0336134454
KRW-ZIL,2023-09-23T00:00:00,2023-09-23T09:00:00,24.4,24.4,23.4,23.8,1695513583996,6578923275.212161,275946098.86718684,24.4,-0.6,-0.0245901639
KRW-ZIL,2023-09-22T00:00:00,2023-09-22T09:00:00,22.9,24.6,22.9,24.4,1695427199058,15316981266.194904,639799604.8338789,22.9,1.5,0.0655021834
KRW-ZIL,2023-09-21T00:00:00,2023-09-21T09:00:00,22.4,23.9,22.0,22.9,1695340791949,9331637539.116472,407507767.5524771,22.3,0.6,0.0269058296
KRW-ZIL,2023-09-20T00:00:00,2023-09-20T09:00:00,22.0,22.5,21.6,22.3,1695254381946,2303724714.2760773,104663650.86622491,22.1,0.2,0.0090497738
KRW-ZIL,2023-09-19T00:00:00,2023-09-19T09:00:00,21.6,22.3,21.5,22.1,1695167886462,1941073975.835675,88383672.89457335,21.6,0.5,0.0231481481
KRW-ZIL,2023-09-18T00:00:00,2023-09-18T09:00:00,21.4,22.2,21.2,21.6,1695081560815,1936393844.515829,89028766.03849383,21.3,0.3,0.014084507
KRW-ZIL,2023-09-17T00:00:00,2023-09-17T09:00:00,22.5,22.5,21.3,21.3,1694995192365,1999151793.1349945,91113430.90207975,22.5,-1.2,-0.0533333333
KRW-ZIL,2023-09-16T00:00:00,2023-09-16T09:00:00,22.5,22.7,22.2,22.5,1694908794996,2472932751.711293,109972603.8084904,22.4,0.1,0.0044642857
KRW-ZIL,2023-09-15T00:00:00,2023-09-15T09:00:00,21.9,22.8,21.5,22.4,1694822386078,3065842529.8876543,139394883.60612905,21.9,0.5,0.0228310502
KRW-ZIL,2023-09-14T00:00:00,2023-09-14T09:00:00,21.7,22.1,21.5,21.9,1694735971081,3654877004.6547074,167715426.67280564,21.6,0.3,0.0138888889
KRW-ZIL,2023-09-13T00:00:00,2023-09-13T09:00:00,20.8,22.6,20.6,21.6,1694649588704,11397603013.90078,525619398.7000779,20.6,1.0,0.0485436893
KRW-ZIL,2023-09-12T00:00:00,2023-09-12T09:00:00,20.5,21.4,20.3,20.6,1694563180965,1768100637.8408952,84818921.21461257,20.5,0.1,0.0048780488
KRW-ZIL,2023-09-11T00:00:00,2023-09-11T09:00:00,21.5,21.7,20.0,20.5,1694476276416,2450879057.6094975,117719008.7029098,21.4,-0.9,-0.0420560748
KRW-ZIL,2023-09-10T00:00:00,2023-09-10T09:00:00,22.3,22.4,21.3,21.4,1694390290791,1292562354.6878905,59478814.54934369,22.3,-0.9,-0.0403587444
KRW-ZIL,2023-09-09T00:00:00,2023-09-09T09:00:00,22.5,22.6,22.2,22.3,1694303960968,622428395.7408457,27784577.14717257,22.5,-0.2,-0.0088888889
KRW-ZIL,2023-09-08T00:00:00,2023-09-08T09:00:00,22.5,22.6,22.1,22.5,1694217492577,968866775.0908229,43281959.97634391,22.4,0.1,0.0044642857
KRW-ZIL,2023-09-07T00:00:00,2023-09-07T09:00:00,22.2,22.7,22.0,22.4,1694131159319,637670908.6443143,28551604.80467999,22.2,0.2,0.009009009
KRW-ZIL,2023-09-06T00:00:00,2023-09-06T09:00:00,22.4,22.5,21.9,22.2,1694044692736,723868021.902259,32596595.40954735,22.3,-0.1,-0.0044843049
KRW-ZIL,2023-09-05T00:00:00,2023-09-05T09:00:00,21.8,22.5,21.6,22.3,1693958358434,1065460250.0314558,48625269.61468165,21.8,0.5,0.0229357798
KRW-ZIL,2023-09-04T00:00:00,2023-09-04T09:00:00,21.9,22.3,21.6,21.8,1693871793621,985058122.6135644,45026157.77281615,21.9,-0.1,-0.00456621
KRW-ZIL,2023-09-03T00:00:00,2023-09-03T09:00:00,21.8,22.0,21.6,21.9,1693785422770,790771125.7438209,36253373.08370763,21.8,0.1,0.004587156
KRW-ZIL,2023-09-02T00:00:00,2023-09-02T09:00:00,21.8,22.0,21.6,21.8,1693699106262,812373296.146816,37372322.58722624,21.8,,0.0
KRW-ZIL,2023-09-01T00:00:00,2023-09-01T09:00:00,22.1,22.2,21.5,21.8,1693612774512,1051995514.660132,47996760.99019824,22.1,-0.3,-0.0135746606
KRW-ZIL,2023-08-31T00:00:00,2023-08-31T09:00:00,23.1,23.2,21.9,22.1,1693526308024,1653417830.2699687,73544741.88730764,23.0,-0.9,-0.0391304348
KRW-ZIL,2023-08-30T00:00:00,2023-08-30T09:00:00,23.5,23.6,22.8,23.0,1693439845003,1258294919.1557443,54326006.32789623,23.5,-0.5,-0.0212765957
KRW-ZIL,2023-08-29T00:00:00,2023-08-29T09:00:00,22.6,23.7,22.0,23.5,1693353569560,2076178272.67866,90947807.79956627,22.5,1.0,0.0444444444
KRW-ZIL,2023-08-28T00:00:00,2023-08-28T09:00:00,22.6,22.7,22.0,22.5,1693267174210,978192274.7510898,43861064.48859458,22.6,-0.1,-0.0044247788
KRW-ZIL,2023-08-27T00:00:00,2023-08-27T09:00:00,22.6,22.8,22.4,22.6,1693180754450,870126393.6522622,38564155.57430948,22.6,,0.0
KRW-ZIL,2023-08-26T00:00:00,2023-08-26T09:00:00,22.8,23.1,22.6,22.6,1693094357674,670250985.5724095,29433478.8704015,22.9,-0.3,-0.0131004367
