market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-1INCH,2023-10-01T00:00:00,2023-10-01T09:00:00,366.0,382.0,319.0,322.0,1697076270467,27580378471.668404,78413959.07790999,2023-10-01
KRW-1INCH,2023-09-01T00:00:00,2023-09-01T09:00:00,335.0,386.0,300.0,366.0,1696118346470,94588887945.27216,271728317.31932557,2023-09-01
KRW-1INCH,2023-08-01T00:00:00,2023-08-01T09:00:00,409.0,423.0,316.0,334.0,1693526378386,79081183404.69058,208441756.15659845,2023-08-01
KRW-1INCH,2023-07-01T00:00:00,2023-07-01T09:00:00,422.0,802.0,385.0,409.0,1690847994816,968353688953.8367,1766268008.6170094,2023-07-01
KRW-1INCH,2023-06-01T00:00:00,2023-06-01T09:00:00,509.0,511.0,323.0,422.0,1688169597691,120348615275.96571,283051532.861706,2023-06-01
KRW-1INCH,2023-05-01T00:00:00,2023-05-01T09:00:00,633.0,635.0,504.0,509.0,1685577543418,64628902274.208725,115450598.44142655,2023-05-01
KRW-1INCH,2023-04-01T00:00:00,2023-04-01T09:00:00,741.0,764.0,616.0,635.0,1682899199959,167381704630.40057,240946018.7409946,2023-04-01
KRW-1INCH,2023-03-01T00:00:00,2023-03-01T09:00:00,767.0,812.0,561.0,741.0,1680307199683,405078834281.0807,559132016.1695313,2023-03-01
KRW-1INCH,2023-02-01T00:00:00,2023-02-01T09:00:00,648.0,915.0,617.0,766.0,1677628785088,449907346167.8267,578919397.6897991,2023-02-01
KRW-1INCH,2023-01-01T00:00:00,2023-01-01T09:00:00,489.0,787.0,483.0,648.0,1675209534241,326752749797.8484,517524567.7151526,2023-01-01
KRW-1INCH,2022-12-01T00:00:00,2022-12-01T09:00:00,715.0,715.0,470.0,488.0,1672531101194,76770087212.20296,130601230.28607494,2022-12-01
KRW-1INCH,2022-11-01T00:00:00,2022-11-01T09:00:00,859.0,996.0,651.0,715.0,1669852770430,230333752006.81516,290361060.1507165,2022-11-01
KRW-1INCH,2022-10-01T00:00:00,2022-10-01T09:00:00,830.0,1055.0,772.0,859.0,1667260798091,270291272864.15427,309310135.7695778,2022-10-01
KRW-1INCH,2022-09-01T00:00:00,2022-09-01T09:00:00,913.0,1020.0,769.0,832.0,1664582286292,328799662714.48285,356341320.6240027,2022-09-01
KRW-1INCH,2022-08-01T00:00:00,2022-08-01T09:00:00,1005.0,1210.0,867.0,912.0,1661990396494,195878621095.7975,187085736.62629172,2022-08-01
KRW-1INCH,2022-07-01T00:00:00,2022-07-01T09:00:00,912.0,1115.0,719.0,1010.0,1659311993805,480624587429.7507,529127083.7288253,2022-07-01
KRW-1INCH,2022-06-01T00:00:00,2022-06-01T09:00:00,1220.0,1255.0,697.0,912.0,1656633598864,661945652503.2518,694548357.5136458,2022-06-01
KRW-1INCH,2022-05-01T00:00:00,2022-05-01T09:00:00,1490.0,1825.0,984.0,1220.0,1654041589748,315559346074.0994,226253784.0266931,2022-05-01
KRW-1INCH,2022-04-01T00:00:00,2022-04-01T09:00:00,2150.0,2545.0,1455.0,1490.0,1651363196750,310420948327.3581,152291558.08787662,2022-04-01
KRW-1INCH,2022-03-01T00:00:00,2022-03-01T09:00:00,1820.0,2450.0,1545.0,2155.0,1648771198963,537316677449.0038,275428855.6165822,2022-03-01
KRW-1INCH,2022-02-01T00:00:00,2022-02-01T09:00:00,2075.0,2420.0,1475.0,1820.0,1646092798965,314571554045.16113,157541565.25966322,2022-02-01
KRW-1INCH,2022-01-01T00:00:00,2022-01-01T09:00:00,2935.0,3235.0,1765.0,2075.0,1643673586226,493153094168.48267,189251009.73534822,2022-01-01
KRW-1INCH,2021-12-01T00:00:00,2021-12-01T09:00:00,4410.0,5395.0,2550.0,2935.0,1640995195388,880250844376.1597,237601985.83072302,2021-12-01
KRW-1INCH,2021-11-01T00:00:00,2021-11-01T09:00:00,5390.0,5635.0,4310.0,4410.0,1638316797003,569994657539.854,112015600.7526926,2021-11-01
KRW-1INCH,2021-10-01T00:00:00,2021-10-01T09:00:00,4165.0,23300.0,4165.0,5395.0,1635724799384,3737048012537.905,436667647.6624948,2021-10-01
