market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ADA,2023-10-01T00:00:00,2023-10-01T09:00:00,344.0,365.0,333.0,335.0,1697076187141,50087226890.8957,142745414.49084774,2023-10-01
KRW-ADA,2023-09-01T00:00:00,2023-09-01T09:00:00,350.0,355.0,324.0,344.0,1696118399651,106457749095.14326,314127170.0725158,2023-09-01
KRW-ADA,2023-08-01T00:00:00,2023-08-01T09:00:00,399.0,406.0,340.0,349.0,1693526396460,173464549512.57422,462107241.23565537,2023-08-01
KRW-ADA,2023-07-01T00:00:00,2023-07-01T09:00:00,382.0,497.0,368.0,399.0,1690847987900,791814853427.2686,1893144691.146103,2023-07-01
KRW-ADA,2023-06-01T00:00:00,2023-06-01T09:00:00,500.0,505.0,314.0,382.0,1688169594847,448180144921.16876,1184956393.7466202,2023-06-01
KRW-ADA,2023-05-01T00:00:00,2023-05-01T09:00:00,529.0,534.0,473.0,500.0,1685577596213,184845791231.62506,370096696.18192655,2023-05-01
KRW-ADA,2023-04-01T00:00:00,2023-04-01T09:00:00,525.0,606.0,495.0,531.0,1682899199089,576258252975.2498,1067999533.1628351,2023-04-01
KRW-ADA,2023-03-01T00:00:00,2023-03-01T09:00:00,472.0,540.0,405.0,525.0,1680307198230,612379689232.0647,1304944009.6503747,2023-03-01
KRW-ADA,2023-02-01T00:00:00,2023-02-01T09:00:00,492.0,540.0,450.0,473.0,1677628782474,428482986932.6772,859455034.0027679,2023-02-01
KRW-ADA,2023-01-01T00:00:00,2023-01-01T09:00:00,313.0,506.0,311.0,491.0,1675209600001,611451998423.6871,1446306495.845402,2023-01-01
KRW-ADA,2022-12-01T00:00:00,2022-12-01T09:00:00,431.0,439.0,302.0,313.0,1672531190873,265853839572.7944,703380082.3306689,2022-12-01
KRW-ADA,2022-11-01T00:00:00,2022-11-01T09:00:00,570.0,609.0,417.0,432.0,1669852792770,693387844387.8281,1401970284.6905344,2022-11-01
KRW-ADA,2022-10-01T00:00:00,2022-10-01T09:00:00,626.0,628.0,478.0,569.0,1667260799578,949272895759.327,1696991074.7754781,2022-10-01
KRW-ADA,2022-09-01T00:00:00,2022-09-01T09:00:00,614.0,720.0,607.0,626.0,1664582396860,1827372071865.003,2767188962.958706,2022-09-01
KRW-ADA,2022-08-01T00:00:00,2022-08-01T09:00:00,681.0,805.0,587.0,614.0,1661990398910,1804428832818.5007,2631850286.3968635,2022-08-01
KRW-ADA,2022-07-01T00:00:00,2022-07-01T09:00:00,601.0,730.0,534.0,681.0,1659311999485,2404016128147.5493,3768417363.040622,2022-07-01
KRW-ADA,2022-06-01T00:00:00,2022-06-01T09:00:00,786.0,848.0,573.0,600.0,1656633596134,3261134841666.2515,4874036664.582717,2022-06-01
KRW-ADA,2022-05-01T00:00:00,2022-05-01T09:00:00,996.0,1155.0,569.0,786.0,1654041599549,2158192558987.7407,2786077472.197839,2022-05-01
KRW-ADA,2022-04-01T00:00:00,2022-04-01T09:00:00,1390.0,1530.0,988.0,995.0,1651363199964,1161201996561.5125,911263725.2638013,2022-04-01
KRW-ADA,2022-03-01T00:00:00,2022-03-01T09:00:00,1175.0,1490.0,977.0,1390.0,1648771199441,1470711808273.9417,1203111443.0439007,2022-03-01
KRW-ADA,2022-02-01T00:00:00,2022-02-01T09:00:00,1320.0,1570.0,933.0,1175.0,1646092796006,1692748571848.5796,1353465497.7374396,2022-02-01
KRW-ADA,2022-01-01T00:00:00,2022-01-01T09:00:00,1610.0,1985.0,1205.0,1320.0,1643673599668,2509976764019.498,1608911904.6730413,2022-01-01
KRW-ADA,2021-12-01T00:00:00,2021-12-01T09:00:00,1935.0,2185.0,1485.0,1605.0,1640995196765,1818378044579.8855,1045298431.974272,2021-12-01
KRW-ADA,2021-11-01T00:00:00,2021-11-01T09:00:00,2320.0,2840.0,1855.0,1935.0,1638316799217,2846158155256.458,1223111970.3679214,2021-11-01
KRW-ADA,2021-10-01T00:00:00,2021-10-01T09:00:00,2585.0,2875.0,2300.0,2320.0,1635724799761,2463846557592.5913,935777209.3565437,2021-10-01
KRW-ADA,2021-09-01T00:00:00,2021-09-01T09:00:00,3240.0,3595.0,2420.0,2590.0,1633046393077,8157634458026.326,2745839115.009783,2021-09-01
KRW-ADA,2021-08-01T00:00:00,2021-08-01T09:00:00,1530.0,3475.0,1475.0,3240.0,1630454399802,11511728343706.027,4247001621.9591007,2021-08-01
KRW-ADA,2021-07-01T00:00:00,2021-07-01T09:00:00,1610.0,1730.0,1210.0,1530.0,1627775998684,1418491079584.5266,937349344.4282639,2021-07-01
KRW-ADA,2021-06-01T00:00:00,2021-06-01T09:00:00,2035.0,2180.0,1170.0,1610.0,1625097598708,3666293453672.137,2147447608.957209,2021-06-01
KRW-ADA,2021-05-01T00:00:00,2021-05-01T09:00:00,1595.0,3070.0,1335.0,2030.0,1622505600008,16369194541557.701,7397753718.489642,2021-05-01
KRW-ADA,2021-04-01T00:00:00,2021-04-01T09:00:00,1455.0,1970.0,985.0,1590.0,1619827198225,4422886550894.237,2751360563.561444,2021-04-01
KRW-ADA,2021-03-01T00:00:00,2021-03-01T09:00:00,1505.0,1720.0,1125.0,1455.0,1617235197217,3549873813699.9287,2557748417.8868165,2021-03-01
KRW-ADA,2021-02-01T00:00:00,2021-02-01T09:00:00,380.0,1740.0,371.0,1505.0,1614556800216,8857181989041.111,10040470453.8597,2021-02-01
KRW-ADA,2021-01-01T00:00:00,2021-01-01T09:00:00,201.0,441.0,186.0,379.0,1612137598438,4207283129718.8945,12431998630.653261,2021-01-01
KRW-ADA,2020-12-01T00:00:00,2020-12-01T09:00:00,187.0,222.0,141.0,200.0,1609459199233,1010848747444.3928,5635515081.456562,2020-12-01
KRW-ADA,2020-11-01T00:00:00,2020-11-01T09:00:00,105.0,206.0,100.0,187.0,1606780793340,972236371839.3203,6066043164.63128,2020-11-01
KRW-ADA,2020-10-01T00:00:00,2020-10-01T09:00:00,117.0,131.0,102.0,106.0,1604188698271,155370164143.3204,1331040401.5481417,2020-10-01
KRW-ADA,2020-09-01T00:00:00,2020-09-01T09:00:00,145.0,150.0,88.0,118.0,1601510399407,257192573178.26416,2293386371.9738193,2020-09-01
KRW-ADA,2020-08-01T00:00:00,2020-08-01T09:00:00,165.0,180.0,121.0,144.0,1598918398143,245870016177.36023,1605103843.8333178,2020-08-01
KRW-ADA,2020-07-01T00:00:00,2020-07-01T09:00:00,99.1,182.0,98.6,165.0,1596239953679,429863303708.34766,2940076757.804779,2020-07-01
KRW-ADA,2020-06-01T00:00:00,2020-06-01T09:00:00,89.6,109.0,83.5,99.3,1593561596757,196192426811.7794,2016944666.4192755,2020-06-01
KRW-ADA,2020-05-01T00:00:00,2020-05-01T09:00:00,57.7,103.0,52.4,89.5,1590969599314,184133673307.8212,2528524590.004403,2020-05-01
KRW-ADA,2020-04-01T00:00:00,2020-04-01T09:00:00,37.0,65.6,36.2,57.5,1588291145315,87008548148.89397,1833700942.094564,2020-04-01
KRW-ADA,2020-03-01T00:00:00,2020-03-01T09:00:00,57.5,61.9,26.2,37.1,1585699182134,140655154170.53964,3541094608.5666413,2020-03-01
KRW-ADA,2020-02-01T00:00:00,2020-02-01T09:00:00,61.9,82.9,55.8,57.5,1583020776615,235670240755.36652,3363660431.4740844,2020-02-01
