market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-AHT,2023-10-01T00:00:00,2023-10-01T09:00:00,9.56,9.85,8.66,8.7,1697076261300,33003621083.17657,3509294968.0478683,2023-10-01
KRW-AHT,2023-09-01T00:00:00,2023-09-01T09:00:00,8.54,10.3,8.1,9.55,1696118394985,203953110319.4511,22228812169.10845,2023-09-01
KRW-AHT,2023-08-01T00:00:00,2023-08-01T09:00:00,10.2,11.8,8.43,8.56,1693526398484,247558875853.769,24722102066.49274,2023-08-01
KRW-AHT,2023-07-01T00:00:00,2023-07-01T09:00:00,8.35,12.5,7.9,10.3,1690847993280,677362088773.5509,69887497361.86116,2023-07-01
KRW-AHT,2023-06-01T00:00:00,2023-06-01T09:00:00,8.63,10.2,6.65,8.37,1688169596065,381596684681.15906,44728061641.08498,2023-06-01
KRW-AHT,2023-05-01T00:00:00,2023-05-01T09:00:00,11.3,11.5,8.4,8.63,1685577599807,70601617956.70023,7268783065.704494,2023-05-01
KRW-AHT,2023-04-01T00:00:00,2023-04-01T09:00:00,11.4,13.2,10.8,11.3,1682899185810,133271218113.81786,11055463100.608255,2023-04-01
KRW-AHT,2023-03-01T00:00:00,2023-03-01T09:00:00,12.4,13.3,9.86,11.4,1680307197334,185761882746.94342,15695157458.727499,2023-03-01
KRW-AHT,2023-02-01T00:00:00,2023-02-01T09:00:00,7.91,28.0,7.55,12.4,1677628795664,1049595425581.9254,76929233939.14494,2023-02-01
KRW-AHT,2023-01-01T00:00:00,2023-01-01T09:00:00,5.46,11.2,5.39,7.91,1675209597563,459245999043.73425,57443639662.71641,2023-01-01
KRW-AHT,2022-12-01T00:00:00,2022-12-01T09:00:00,6.83,7.86,5.16,5.46,1672531175172,140939685243.4584,20308251396.192974,2022-12-01
KRW-AHT,2022-11-01T00:00:00,2022-11-01T09:00:00,8.38,9.67,5.12,6.83,1669852790846,432759350908.3912,55740946182.530785,2022-11-01
KRW-AHT,2022-10-01T00:00:00,2022-10-01T09:00:00,8.21,10.1,7.41,8.35,1667260796843,325051548698.51953,38166194153.93876,2022-10-01
KRW-AHT,2022-09-01T00:00:00,2022-09-01T09:00:00,8.35,10.2,7.32,8.21,1664582386749,321338299449.19055,35520432952.076904,2022-09-01
KRW-AHT,2022-08-01T00:00:00,2022-08-01T09:00:00,9.04,10.4,8.02,8.35,1661990376784,145503982736.9375,15587895538.123882,2022-08-01
KRW-AHT,2022-07-01T00:00:00,2022-07-01T09:00:00,7.0,9.8,6.68,9.02,1659311996346,308433167018.32635,37430622642.58418,2022-07-01
KRW-AHT,2022-06-01T00:00:00,2022-06-01T09:00:00,8.92,11.4,5.55,7.0,1656633596884,220705559600.34418,26586242874.322964,2022-06-01
KRW-AHT,2022-05-01T00:00:00,2022-05-01T09:00:00,12.8,13.5,6.83,8.92,1654041591380,119005205438.78934,12600088891.81537,2022-05-01
KRW-AHT,2022-04-01T00:00:00,2022-04-01T09:00:00,16.1,19.6,12.6,12.8,1651363189521,253260608753.63913,15500762346.679495,2022-04-01
KRW-AHT,2022-03-01T00:00:00,2022-03-01T09:00:00,12.6,20.0,11.1,16.1,1648771198675,383532152236.269,24597662613.58483,2022-03-01
KRW-AHT,2022-02-01T00:00:00,2022-02-01T09:00:00,10.8,13.9,9.34,12.5,1646092799046,92681576401.65898,7944305616.028226,2022-02-01
KRW-AHT,2022-01-01T00:00:00,2022-01-01T09:00:00,14.6,17.7,9.0,10.9,1643673596546,102157641497.97124,7608137227.732818,2022-01-01
KRW-AHT,2021-12-01T00:00:00,2021-12-01T09:00:00,23.5,25.0,12.8,14.6,1640995128874,193257842308.03085,10967199441.779877,2021-12-01
KRW-AHT,2021-11-01T00:00:00,2021-11-01T09:00:00,19.5,27.9,18.2,23.6,1638316798611,648435978369.8152,29532006573.605186,2021-11-01
KRW-AHT,2021-10-01T00:00:00,2021-10-01T09:00:00,12.8,41.5,12.5,19.5,1635724799727,2444578332523.9917,102904800438.22424,2021-10-01
KRW-AHT,2021-09-01T00:00:00,2021-09-01T09:00:00,13.6,23.5,10.7,12.6,1633046397589,1027224860056.059,57423607084.04265,2021-09-01
KRW-AHT,2021-08-01T00:00:00,2021-08-01T09:00:00,11.3,15.3,10.1,13.5,1630454399944,294760215291.778,23061519542.878273,2021-08-01
KRW-AHT,2021-07-01T00:00:00,2021-07-01T09:00:00,8.25,13.4,7.12,11.3,1627775995788,581603967844.2837,59523293670.287735,2021-07-01
KRW-AHT,2021-06-01T00:00:00,2021-06-01T09:00:00,12.0,12.8,4.06,8.26,1625097597610,348096389215.0573,39484943959.39352,2021-06-01
KRW-AHT,2021-05-01T00:00:00,2021-05-01T09:00:00,20.6,21.4,7.8,12.0,1622505595517,505120599165.53217,32198941152.819225,2021-05-01
KRW-AHT,2021-04-01T00:00:00,2021-04-01T09:00:00,29.0,46.7,10.4,20.5,1619827196457,1475471989308.512,54644580438.41417,2021-04-01
KRW-AHT,2021-03-01T00:00:00,2021-03-01T09:00:00,7.21,36.9,7.0,29.1,1617235198870,1498977772123.3909,82144252501.98122,2021-03-01
KRW-AHT,2021-02-01T00:00:00,2021-02-01T09:00:00,4.06,11.7,3.9,7.2,1614556798747,453541755031.6786,63091206340.31249,2021-02-01
KRW-AHT,2021-01-01T00:00:00,2021-01-01T09:00:00,4.32,5.11,3.84,4.06,1612137577695,75423258025.6001,16639882646.500412,2021-01-01
KRW-AHT,2020-12-01T00:00:00,2020-12-01T09:00:00,3.44,5.39,3.29,4.32,1609459199444,93377001285.56851,22315263932.50248,2020-12-01
KRW-AHT,2020-11-01T00:00:00,2020-11-01T09:00:00,3.24,4.9,2.94,3.44,1606780596399,27128280660.865425,7354644660.605084,2020-11-01
KRW-AHT,2020-10-01T00:00:00,2020-10-01T09:00:00,4.96,7.63,3.14,3.25,1604188580230,37840842462.65277,7390067759.00854,2020-10-01
KRW-AHT,2020-09-01T00:00:00,2020-09-01T09:00:00,7.39,7.68,4.45,4.96,1601510388657,19937583181.080284,3299277686.652757,2020-09-01
KRW-AHT,2020-08-01T00:00:00,2020-08-01T09:00:00,9.21,13.6,6.53,7.43,1598918356751,126575998864.63374,12265090601.71226,2020-08-01
KRW-AHT,2020-07-01T00:00:00,2020-07-01T09:00:00,2.63,25.3,2.63,9.18,1596239999817,561822560935.443,47275417239.09699,2020-07-01
