market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ALGO,2023-10-01T00:00:00,2023-10-01T09:00:00,141.0,145.0,126.0,128.0,1697076212487,19968623662.67388,146985741.1032451,2023-10-01
KRW-ALGO,2023-09-01T00:00:00,2023-09-01T09:00:00,128.0,143.0,119.0,141.0,1696118384675,68519962470.852554,531047122.9180182,2023-09-01
KRW-ALGO,2023-08-01T00:00:00,2023-08-01T09:00:00,142.0,158.0,125.0,128.0,1693526283626,138233101946.51675,978408028.8627436,2023-08-01
KRW-ALGO,2023-07-01T00:00:00,2023-07-01T09:00:00,163.0,174.0,134.0,142.0,1690847800215,360855651681.57806,2397444739.265552,2023-07-01
KRW-ALGO,2023-06-01T00:00:00,2023-06-01T09:00:00,198.0,202.0,126.0,163.0,1688169537329,153769976026.52985,925947298.5283861,2023-06-01
KRW-ALGO,2023-05-01T00:00:00,2023-05-01T09:00:00,242.0,243.0,195.0,198.0,1685577572640,121380782822.4945,558881654.6372211,2023-05-01
KRW-ALGO,2023-04-01T00:00:00,2023-04-01T09:00:00,297.0,307.0,233.0,242.0,1682899189819,245926368435.89542,902382396.9179466,2023-04-01
KRW-ALGO,2023-03-01T00:00:00,2023-03-01T09:00:00,328.0,336.0,243.0,298.0,1680307185988,345122953139.5942,1175824449.8560076,2023-03-01
KRW-ALGO,2023-02-01T00:00:00,2023-02-01T09:00:00,303.0,380.0,290.0,328.0,1677628789553,266359139157.1291,777288853.4036173,2023-02-01
KRW-ALGO,2023-01-01T00:00:00,2023-01-01T09:00:00,220.0,335.0,218.0,303.0,1675209593913,253128760478.089,874341417.9539149,2023-01-01
KRW-ALGO,2022-12-01T00:00:00,2022-12-01T09:00:00,335.0,336.0,203.0,219.0,1672531135141,145242993654.6486,532508907.1416731,2022-12-01
KRW-ALGO,2022-11-01T00:00:00,2022-11-01T09:00:00,504.0,637.0,315.0,334.0,1669852785449,1713675945432.034,3810050189.949283,2022-11-01
KRW-ALGO,2022-10-01T00:00:00,2022-10-01T09:00:00,509.0,539.0,413.0,504.0,1667260799398,587877065469.6115,1212250094.8434224,2022-10-01
KRW-ALGO,2022-09-01T00:00:00,2022-09-01T09:00:00,397.0,588.0,392.0,508.0,1664582383289,1062914308351.6248,2145857553.264993,2022-09-01
KRW-ALGO,2022-08-01T00:00:00,2022-08-01T09:00:00,444.0,509.0,385.0,397.0,1661990396435,525158555509.34894,1155966185.5411112,2022-08-01
KRW-ALGO,2022-07-01T00:00:00,2022-07-01T09:00:00,410.0,495.0,386.0,444.0,1659311973660,252172440617.79184,577588220.5836645,2022-07-01
KRW-ALGO,2022-06-01T00:00:00,2022-06-01T09:00:00,517.0,549.0,368.0,410.0,1656633599985,367808358807.4315,817472203.1277469,2022-06-01
KRW-ALGO,2022-05-01T00:00:00,2022-05-01T09:00:00,746.0,1035.0,452.0,517.0,1654041591826,1586399287306.0017,2088842622.114374,2022-05-01
KRW-ALGO,2022-04-01T00:00:00,2022-04-01T09:00:00,1140.0,1220.0,733.0,746.0,1651363196633,425387033292.5107,449526409.07446796,2022-04-01
KRW-ALGO,2022-03-01T00:00:00,2022-03-01T09:00:00,1050.0,1265.0,854.0,1140.0,1648771198257,751901729522.7705,748591883.7621334,2022-03-01
KRW-ALGO,2022-02-01T00:00:00,2022-02-01T09:00:00,1170.0,1340.0,859.0,1050.0,1646092798288,485918779176.9741,419809554.5108412,2022-02-01
KRW-ALGO,2022-01-01T00:00:00,2022-01-01T09:00:00,2035.0,2245.0,1005.0,1170.0,1643673600114,634368090497.4967,408221601.11767673,2022-01-01
KRW-ALGO,2021-12-01T00:00:00,2021-12-01T09:00:00,2250.0,2550.0,1570.0,2035.0,1640995196958,736776604434.9042,367477392.5849826,2021-12-01
KRW-ALGO,2021-11-01T00:00:00,2021-11-01T09:00:00,6500.0,12390.0,2025.0,2250.0,1638316799324,2047648271744.0417,683047158.6123666,2021-11-01
