market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ARDR,2023-10-01T00:00:00,2023-10-01T09:00:00,93.2,99.8,87.7,89.5,1697076203846,32913107709.795773,349626298.9259139,2023-10-01
KRW-ARDR,2023-09-01T00:00:00,2023-09-01T09:00:00,82.8,100.0,79.3,93.3,1696118393944,41436879032.41323,462501590.53676796,2023-09-01
KRW-ARDR,2023-08-01T00:00:00,2023-08-01T09:00:00,103.0,119.0,80.2,83.0,1693526374419,59286706177.49665,601467704.3716142,2023-08-01
KRW-ARDR,2023-07-01T00:00:00,2023-07-01T09:00:00,92.9,105.0,88.6,103.0,1690847996536,66634711636.75115,695667765.574073,2023-07-01
KRW-ARDR,2023-06-01T00:00:00,2023-06-01T09:00:00,100.0,108.0,75.4,93.2,1688169576056,111910224542.60263,1171123628.0567734,2023-06-01
KRW-ARDR,2023-05-01T00:00:00,2023-05-01T09:00:00,121.0,121.0,97.7,100.0,1685577513615,26781183620.048943,246108672.36421192,2023-05-01
KRW-ARDR,2023-04-01T00:00:00,2023-04-01T09:00:00,122.0,159.0,115.0,120.0,1682899142975,154888992862.99734,1161992765.3889046,2023-04-01
KRW-ARDR,2023-03-01T00:00:00,2023-03-01T09:00:00,141.0,143.0,101.0,122.0,1680307181368,55584867524.127594,462650873.84893703,2023-03-01
KRW-ARDR,2023-02-01T00:00:00,2023-02-01T09:00:00,109.0,160.0,104.0,140.0,1677628781176,144170633161.93887,1091675838.504123,2023-02-01
KRW-ARDR,2023-01-01T00:00:00,2023-01-01T09:00:00,84.8,125.0,81.2,109.0,1675209535202,135631056774.02927,1343941777.5476885,2023-01-01
KRW-ARDR,2022-12-01T00:00:00,2022-12-01T09:00:00,104.0,134.0,80.0,84.8,1672531194659,212859411292.49673,2175982416.749115,2022-12-01
KRW-ARDR,2022-11-01T00:00:00,2022-11-01T09:00:00,137.0,143.0,79.4,105.0,1669852780863,57982223095.819565,560391381.5155106,2022-11-01
KRW-ARDR,2022-10-01T00:00:00,2022-10-01T09:00:00,140.0,146.0,127.0,136.0,1667260795972,33017150649.504276,240844688.73485267,2022-10-01
KRW-ARDR,2022-09-01T00:00:00,2022-09-01T09:00:00,144.0,169.0,133.0,140.0,1664582385761,78453492527.93968,520722954.245995,2022-09-01
KRW-ARDR,2022-08-01T00:00:00,2022-08-01T09:00:00,148.0,239.0,137.0,145.0,1661990386460,223906894689.9327,1281779518.599673,2022-08-01
KRW-ARDR,2022-07-01T00:00:00,2022-07-01T09:00:00,127.0,162.0,121.0,148.0,1659311999904,88740458145.10864,632884754.9772395,2022-07-01
KRW-ARDR,2022-06-01T00:00:00,2022-06-01T09:00:00,152.0,201.0,102.0,127.0,1656633595431,160282488100.20795,1057613744.5005434,2022-06-01
KRW-ARDR,2022-05-01T00:00:00,2022-05-01T09:00:00,238.0,247.0,111.0,154.0,1654041599933,102320803215.50078,627752451.7894632,2022-05-01
KRW-ARDR,2022-04-01T00:00:00,2022-04-01T09:00:00,312.0,375.0,234.0,238.0,1651363198077,368052265551.01935,1230197825.9152267,2022-04-01
KRW-ARDR,2022-03-01T00:00:00,2022-03-01T09:00:00,249.0,318.0,222.0,311.0,1648771197414,259680558265.63,975520189.4473513,2022-03-01
KRW-ARDR,2022-02-01T00:00:00,2022-02-01T09:00:00,221.0,330.0,193.0,249.0,1646092799562,371499369363.8281,1440634038.516184,2022-02-01
