market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-BAT,2023-10-01T00:00:00,2023-10-01T09:00:00,245.0,254.0,227.0,227.0,1697075933388,21311975289.373886,88986121.85851301,2023-10-01
KRW-BAT,2023-09-01T00:00:00,2023-09-01T09:00:00,232.0,246.0,214.0,245.0,1696118391612,26608912780.50493,114731680.66389982,2023-09-01
KRW-BAT,2023-08-01T00:00:00,2023-08-01T09:00:00,268.0,306.0,217.0,232.0,1693526326444,109922162279.9537,403750115.0400041,2023-08-01
KRW-BAT,2023-07-01T00:00:00,2023-07-01T09:00:00,266.0,290.0,243.0,268.0,1690847999781,92034059879.09753,343773937.2222949,2023-07-01
KRW-BAT,2023-06-01T00:00:00,2023-06-01T09:00:00,285.0,291.0,209.0,265.0,1688169496909,33150560658.295444,133223807.43667936,2023-06-01
KRW-BAT,2023-05-01T00:00:00,2023-05-01T09:00:00,330.0,331.0,275.0,286.0,1685577322311,32268279750.33231,107597999.22556148,2023-05-01
KRW-BAT,2023-04-01T00:00:00,2023-04-01T09:00:00,355.0,427.0,318.0,330.0,1682899175898,312676301683.9251,832859929.952792,2023-04-01
KRW-BAT,2023-03-01T00:00:00,2023-03-01T09:00:00,388.0,413.0,270.0,355.0,1680307162714,204198143369.81656,614781100.8104458,2023-03-01
KRW-BAT,2023-02-01T00:00:00,2023-02-01T09:00:00,318.0,442.0,310.0,388.0,1677628799295,326735633572.74176,850210271.024716,2023-02-01
KRW-BAT,2023-01-01T00:00:00,2023-01-01T09:00:00,212.0,358.0,209.0,318.0,1675209555648,261784278535.47165,859519249.0277097,2023-01-01
KRW-BAT,2022-12-01T00:00:00,2022-12-01T09:00:00,322.0,324.0,203.0,211.0,1672531189309,48036096685.6657,172785740.03537428,2022-12-01
KRW-BAT,2022-11-01T00:00:00,2022-11-01T09:00:00,415.0,497.0,284.0,321.0,1669852796212,240493096586.0964,597700249.7170244,2022-11-01
KRW-BAT,2022-10-01T00:00:00,2022-10-01T09:00:00,436.0,444.0,378.0,415.0,1667260752212,53190221947.30152,128070367.21450979,2022-10-01
KRW-BAT,2022-09-01T00:00:00,2022-09-01T09:00:00,462.0,499.0,409.0,436.0,1664582387266,83124570529.98648,181750560.83278435,2022-09-01
KRW-BAT,2022-08-01T00:00:00,2022-08-01T09:00:00,527.0,643.0,448.0,462.0,1661990378133,334571260471.4899,594055499.489842,2022-08-01
KRW-BAT,2022-07-01T00:00:00,2022-07-01T09:00:00,513.0,603.0,459.0,527.0,1659311992966,471080779416.92957,871292305.3935314,2022-07-01
KRW-BAT,2022-06-01T00:00:00,2022-06-01T09:00:00,506.0,619.0,336.0,513.0,1656633599314,510327185848.94116,1051107075.6380924,2022-06-01
KRW-BAT,2022-05-01T00:00:00,2022-05-01T09:00:00,747.0,852.0,423.0,506.0,1654041546357,271880909760.6312,479842416.883786,2022-05-01
KRW-BAT,2022-04-01T00:00:00,2022-04-01T09:00:00,1080.0,1245.0,741.0,747.0,1651363199097,418271757585.2056,428577113.2274082,2022-04-01
KRW-BAT,2022-03-01T00:00:00,2022-03-01T09:00:00,900.0,1145.0,770.0,1075.0,1648771198837,665000847079.4028,688966068.5237168,2022-03-01
KRW-BAT,2022-02-01T00:00:00,2022-02-01T09:00:00,1050.0,1200.0,708.0,900.0,1646092795991,292433567383.0008,297095149.30403554,2022-02-01
KRW-BAT,2022-01-01T00:00:00,2022-01-01T09:00:00,1480.0,1660.0,807.0,1055.0,1643673597385,697167865325.6658,561172922.7001688,2022-01-01
KRW-BAT,2021-12-01T00:00:00,2021-12-01T09:00:00,1805.0,2065.0,1150.0,1475.0,1640995199980,1624043355705.3516,1049564209.0489398,2021-12-01
KRW-BAT,2021-11-01T00:00:00,2021-11-01T09:00:00,1175.0,2500.0,1110.0,1805.0,1638316799572,3268423064184.8804,1910978523.4005818,2021-11-01
KRW-BAT,2021-10-01T00:00:00,2021-10-01T09:00:00,771.0,1755.0,760.0,1175.0,1635724800260,1374979907225.7578,1140059357.9800344,2021-10-01
KRW-BAT,2021-09-01T00:00:00,2021-09-01T09:00:00,951.0,1150.0,705.0,772.0,1633046399269,239745064270.73364,252858135.88449872,2021-09-01
KRW-BAT,2021-08-01T00:00:00,2021-08-01T09:00:00,756.0,1095.0,725.0,952.0,1630454395596,398630121813.0745,446326800.0921038,2021-08-01
KRW-BAT,2021-07-01T00:00:00,2021-07-01T09:00:00,717.0,800.0,541.0,759.0,1627775999924,186112167295.65137,281463214.8090829,2021-07-01
KRW-BAT,2021-06-01T00:00:00,2021-06-01T09:00:00,900.0,1055.0,500.0,716.0,1625097591753,154306782414.3152,195532721.76485837,2021-06-01
KRW-BAT,2021-05-01T00:00:00,2021-05-01T09:00:00,1490.0,1965.0,580.0,900.0,1622505586136,575675325957.8865,453543605.8434164,2021-05-01
KRW-BAT,2021-04-01T00:00:00,2021-04-01T09:00:00,1405.0,2150.0,969.0,1490.0,1619827200200,658131364335.1619,403069999.9389153,2021-04-01
KRW-BAT,2021-03-01T00:00:00,2021-03-01T09:00:00,608.0,1645.0,592.0,1405.0,1617235198045,689511659625.4017,627661984.9769382,2021-03-01
KRW-BAT,2021-02-01T00:00:00,2021-02-01T09:00:00,334.0,888.0,314.0,608.0,1614556800225,224934182405.53122,398689168.5739263,2021-02-01
KRW-BAT,2021-01-01T00:00:00,2021-01-01T09:00:00,221.0,404.0,219.0,333.0,1612137570767,187016213973.65002,588273040.3178126,2021-01-01
KRW-BAT,2020-12-01T00:00:00,2020-12-01T09:00:00,265.0,358.0,205.0,222.0,1609458827936,40085381416.36494,153944204.18316096,2020-12-01
