market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-BORA,2023-10-01T00:00:00,2023-10-01T09:00:00,154.0,167.0,146.0,149.0,1697076247865,26182421053.04023,167967215.0545706,2023-10-01
KRW-BORA,2023-09-01T00:00:00,2023-09-01T09:00:00,154.0,161.0,140.0,154.0,1696118302324,35255903115.96513,232703042.5209422,2023-09-01
KRW-BORA,2023-08-01T00:00:00,2023-08-01T09:00:00,193.0,197.0,151.0,153.0,1693526399160,48997433088.410255,282000420.2653601,2023-08-01
KRW-BORA,2023-07-01T00:00:00,2023-07-01T09:00:00,181.0,211.0,177.0,193.0,1690847981004,163383004683.35483,840495306.8309084,2023-07-01
KRW-BORA,2023-06-01T00:00:00,2023-06-01T09:00:00,204.0,207.0,157.0,182.0,1688169583779,60421137143.77819,336418489.30211645,2023-06-01
KRW-BORA,2023-05-01T00:00:00,2023-05-01T09:00:00,234.0,235.0,200.0,204.0,1685577595040,75102447009.23265,346968323.2185713,2023-05-01
KRW-BORA,2023-04-01T00:00:00,2023-04-01T09:00:00,237.0,328.0,228.0,234.0,1682899198153,565010873147.0802,2113560289.1292152,2023-04-01
KRW-BORA,2023-03-01T00:00:00,2023-03-01T09:00:00,289.0,301.0,198.0,238.0,1680307170775,236395318194.04337,961525763.0228182,2023-03-01
KRW-BORA,2023-02-01T00:00:00,2023-02-01T09:00:00,232.0,325.0,214.0,289.0,1677628799475,578415096554.664,2136161271.1523285,2023-02-01
KRW-BORA,2023-01-01T00:00:00,2023-01-01T09:00:00,135.0,290.0,132.0,232.0,1675209595386,823829029732.1061,3740900770.232542,2023-01-01
KRW-BORA,2022-12-01T00:00:00,2022-12-01T09:00:00,212.0,218.0,128.0,134.0,1672531167239,118922482313.90701,679562695.5657704,2022-12-01
KRW-BORA,2022-11-01T00:00:00,2022-11-01T09:00:00,304.0,328.0,183.0,212.0,1669852768759,382915977524.4611,1568398829.4146044,2022-11-01
KRW-BORA,2022-10-01T00:00:00,2022-10-01T09:00:00,340.0,342.0,273.0,305.0,1667260799312,308950957197.0647,988693286.6965377,2022-10-01
KRW-BORA,2022-09-01T00:00:00,2022-09-01T09:00:00,426.0,443.0,331.0,341.0,1664582315345,269408141082.40704,709815937.2535526,2022-09-01
KRW-BORA,2022-08-01T00:00:00,2022-08-01T09:00:00,426.0,528.0,382.0,426.0,1661990397293,716244171237.7719,1560628966.0037866,2022-08-01
