market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-CELO,2023-10-01T00:00:00,2023-10-01T09:00:00,613.0,634.0,551.0,553.0,1697076238242,29050500373.666172,48769200.63957761,2023-10-01
KRW-CELO,2023-09-01T00:00:00,2023-09-01T09:00:00,598.0,675.0,532.0,612.0,1696118396780,182498866455.9549,300825843.9745921,2023-09-01
KRW-CELO,2023-08-01T00:00:00,2023-08-01T09:00:00,677.0,746.0,550.0,598.0,1693526357478,221135670598.04642,330288130.4307457,2023-08-01
KRW-CELO,2023-07-01T00:00:00,2023-07-01T09:00:00,604.0,889.0,585.0,678.0,1690847996697,761994519835.3918,1036745849.1954951,2023-07-01
KRW-CELO,2023-06-01T00:00:00,2023-06-01T09:00:00,674.0,755.0,503.0,604.0,1688169594988,158069963377.31314,245302211.16302443,2023-06-01
KRW-CELO,2023-05-01T00:00:00,2023-05-01T09:00:00,796.0,803.0,654.0,675.0,1685577521142,83999953404.60793,114703636.49086215,2023-05-01
KRW-CELO,2023-04-01T00:00:00,2023-04-01T09:00:00,909.0,1010.0,765.0,797.0,1682899180977,361379709797.333,403118659.12998444,2023-04-01
KRW-CELO,2023-03-01T00:00:00,2023-03-01T09:00:00,1000.0,1035.0,675.0,911.0,1680307198761,701741058108.9226,793990634.3132173,2023-03-01
KRW-CELO,2023-02-01T00:00:00,2023-02-01T09:00:00,920.0,1200.0,858.0,1005.0,1677628776625,361971140379.68713,352002785.93469,2023-02-01
KRW-CELO,2023-01-01T00:00:00,2023-01-01T09:00:00,605.0,1040.0,591.0,921.0,1675209596721,567906740043.3323,629900048.6607176,2023-01-01
KRW-CELO,2022-12-01T00:00:00,2022-12-01T09:00:00,826.0,993.0,569.0,605.0,1672531174667,529692411861.7321,649563454.411356,2022-12-01
KRW-CELO,2022-11-01T00:00:00,2022-11-01T09:00:00,1055.0,1115.0,530.0,826.0,1669852799687,579595314954.2565,686100564.0649205,2022-11-01
KRW-CELO,2022-10-01T00:00:00,2022-10-01T09:00:00,1140.0,1240.0,959.0,1055.0,1667260789478,64167335164.733734,60846984.09636727,2022-10-01
KRW-CELO,2022-09-01T00:00:00,2022-09-01T09:00:00,1140.0,1270.0,1035.0,1145.0,1664582399019,44665787569.85001,38988250.20947829,2022-09-01
KRW-CELO,2022-08-01T00:00:00,2022-08-01T09:00:00,1360.0,1580.0,1070.0,1135.0,1661990378611,135317140954.64366,98270117.59302527,2022-08-01
KRW-CELO,2022-07-01T00:00:00,2022-07-01T09:00:00,1130.0,1475.0,1010.0,1360.0,1659311976463,116885494351.53024,94021599.17381261,2022-07-01
KRW-CELO,2022-06-01T00:00:00,2022-06-01T09:00:00,1845.0,1870.0,993.0,1130.0,1656633596309,168417621777.58948,126265281.82719912,2022-06-01
KRW-CELO,2022-05-01T00:00:00,2022-05-01T09:00:00,3090.0,3450.0,1535.0,1845.0,1654041598503,318395558510.72833,160086566.54175332,2022-05-01
KRW-CELO,2022-04-01T00:00:00,2022-04-01T09:00:00,4030.0,6580.0,3000.0,3080.0,1651363157609,1504086538739.8389,303451078.5907787,2022-04-01
KRW-CELO,2022-03-01T00:00:00,2022-03-01T09:00:00,2835.0,5300.0,2835.0,4035.0,1648771198690,904098018267.5391,232994596.25036538,2022-03-01
