market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-CHZ,2023-10-01T00:00:00,2023-10-01T09:00:00,84.1,87.6,74.6,74.9,1697076229572,38642835023.353874,467287455.6966474,2023-10-01
KRW-CHZ,2023-09-01T00:00:00,2023-09-01T09:00:00,82.5,90.5,74.5,84.1,1696118398603,85321344607.50557,1027069549.3093358,2023-09-01
KRW-CHZ,2023-08-01T00:00:00,2023-08-01T09:00:00,100.0,103.0,81.1,82.4,1693526325136,62281392527.230545,660203383.9574287,2023-08-01
KRW-CHZ,2023-07-01T00:00:00,2023-07-01T09:00:00,100.0,109.0,98.0,100.0,1690847998782,163078763930.327,1592517206.805014,2023-07-01
KRW-CHZ,2023-06-01T00:00:00,2023-06-01T09:00:00,132.0,137.0,84.0,100.0,1688169584482,168358101549.69287,1667679199.2051687,2023-06-01
KRW-CHZ,2023-05-01T00:00:00,2023-05-01T09:00:00,169.0,175.0,131.0,132.0,1685577212274,154783676976.5512,1009648517.9634188,2023-05-01
KRW-CHZ,2023-04-01T00:00:00,2023-04-01T09:00:00,159.0,194.0,154.0,169.0,1682899190129,370368603159.3277,2137836677.156947,2023-04-01
KRW-CHZ,2023-03-01T00:00:00,2023-03-01T09:00:00,176.0,192.0,137.0,159.0,1680307192283,283728597910.2426,1760613745.4167097,2023-03-01
KRW-CHZ,2023-02-01T00:00:00,2023-02-01T09:00:00,168.0,228.0,161.0,175.0,1677628772470,595851130939.7457,3167120696.1316104,2023-02-01
KRW-CHZ,2023-01-01T00:00:00,2023-01-01T09:00:00,128.0,194.0,126.0,168.0,1675209580079,604934612006.8264,3773789836.5667663,2023-01-01
KRW-CHZ,2022-12-01T00:00:00,2022-12-01T09:00:00,225.0,234.0,123.0,128.0,1672531188949,439317915612.4218,2411947177.9508753,2022-12-01
KRW-CHZ,2022-11-01T00:00:00,2022-11-01T09:00:00,310.0,415.0,210.0,225.0,1669852797716,5168313639847.121,17203817087.072544,2022-11-01
KRW-CHZ,2022-10-01T00:00:00,2022-10-01T09:00:00,339.0,361.0,237.0,311.0,1667260798738,947336276368.5371,3232302462.9424148,2022-10-01
KRW-CHZ,2022-09-01T00:00:00,2022-09-01T09:00:00,300.0,403.0,251.0,339.0,1664582394106,1477128787515.3425,4619000579.638479,2022-09-01
KRW-CHZ,2022-08-01T00:00:00,2022-08-01T09:00:00,162.0,359.0,160.0,300.0,1661990399474,1986901019684.8555,7502948719.929664,2022-08-01
KRW-CHZ,2022-07-01T00:00:00,2022-07-01T09:00:00,127.0,181.0,123.0,162.0,1659311991383,369353780729.35846,2554716360.1312294,2022-07-01
KRW-CHZ,2022-06-01T00:00:00,2022-06-01T09:00:00,154.0,176.0,110.0,127.0,1656633596580,473337722955.6835,3359180531.588398,2022-06-01
KRW-CHZ,2022-05-01T00:00:00,2022-05-01T09:00:00,225.0,253.0,118.0,153.0,1654041599805,426785504939.4501,2558451687.338837,2022-05-01
KRW-CHZ,2022-04-01T00:00:00,2022-04-01T09:00:00,344.0,357.0,223.0,225.0,1651363183765,523937301021.6584,1738173740.6425843,2022-04-01
KRW-CHZ,2022-03-01T00:00:00,2022-03-01T09:00:00,234.0,410.0,226.0,345.0,1648771199344,1601494456395.4373,5059996449.150845,2022-03-01
KRW-CHZ,2022-02-01T00:00:00,2022-02-01T09:00:00,232.0,299.0,180.0,234.0,1646092796222,394318199828.69434,1613346689.934376,2022-02-01
KRW-CHZ,2022-01-01T00:00:00,2022-01-01T09:00:00,349.0,396.0,196.0,233.0,1643673590053,299225661572.7633,1092741317.0967228,2022-01-01
KRW-CHZ,2021-12-01T00:00:00,2021-12-01T09:00:00,544.0,559.0,311.0,347.0,1640995180043,510385406824.2021,1301463428.3625968,2021-12-01
KRW-CHZ,2021-11-01T00:00:00,2021-11-01T09:00:00,493.0,720.0,479.0,544.0,1638316797472,4295126286279.03,7314130589.502416,2021-11-01
KRW-CHZ,2021-10-01T00:00:00,2021-10-01T09:00:00,319.0,763.0,316.0,492.0,1635724800204,2203714961537.7056,4443443286.955819,2021-10-01
KRW-CHZ,2021-09-01T00:00:00,2021-09-01T09:00:00,429.0,532.0,297.0,319.0,1633046391762,934331695302.6407,2184660656.9884577,2021-09-01
KRW-CHZ,2021-08-01T00:00:00,2021-08-01T09:00:00,308.0,488.0,297.0,430.0,1630454399519,2441288003558.6836,6217484890.1777115,2021-08-01
KRW-CHZ,2021-07-01T00:00:00,2021-07-01T09:00:00,297.0,334.0,236.0,307.0,1627775999969,1551650512203.6223,5233943157.754381,2021-07-01
KRW-CHZ,2021-06-01T00:00:00,2021-06-01T09:00:00,332.0,429.0,210.0,296.0,1625097599936,2298446755667.6724,6755649243.717928,2021-06-01
KRW-CHZ,2021-05-01T00:00:00,2021-05-01T09:00:00,672.0,693.0,207.0,331.0,1622505598909,2799731934701.865,5603131352.670781,2021-05-01
KRW-CHZ,2021-04-01T00:00:00,2021-04-01T09:00:00,614.0,1100.0,340.0,672.0,1619827198482,11756162256264.719,17203123372.86539,2021-04-01
KRW-CHZ,2021-03-01T00:00:00,2021-03-01T09:00:00,58.3,1035.0,57.2,614.0,1617235199456,13714579694738.238,34139133879.99492,2021-03-01
KRW-CHZ,2021-02-01T00:00:00,2021-02-01T09:00:00,23.9,200.0,22.6,58.3,1614556798786,787216139595.351,13710132750.021713,2021-02-01
KRW-CHZ,2021-01-01T00:00:00,2021-01-01T09:00:00,23.5,27.2,17.6,23.8,1612137586084,158567207035.4418,6962857350.405899,2021-01-01
KRW-CHZ,2020-12-01T00:00:00,2020-12-01T09:00:00,13.2,35.8,12.4,23.6,1609459200089,362356847871.56506,15703040940.500048,2020-12-01
KRW-CHZ,2020-11-01T00:00:00,2020-11-01T09:00:00,10.6,15.9,10.2,13.3,1606780783339,8922042624.141441,706465596.3982189,2020-11-01
KRW-CHZ,2020-10-01T00:00:00,2020-10-01T09:00:00,13.6,14.8,10.0,10.5,1604188391223,8331776131.613382,664735952.8565445,2020-10-01
KRW-CHZ,2020-09-01T00:00:00,2020-09-01T09:00:00,17.4,19.1,11.7,13.4,1601510180480,15227856452.463028,1010759142.8650177,2020-09-01
KRW-CHZ,2020-08-01T00:00:00,2020-08-01T09:00:00,16.5,26.1,13.2,17.4,1598918394450,88805672243.58195,4694464471.1515045,2020-08-01
KRW-CHZ,2020-07-01T00:00:00,2020-07-01T09:00:00,13.9,25.0,12.6,16.4,1596239993523,61510285793.666374,3588190973.5138693,2020-07-01
KRW-CHZ,2020-06-01T00:00:00,2020-06-01T09:00:00,12.9,18.8,12.4,13.8,1593561595585,20062623843.266285,1297267749.5295491,2020-06-01
KRW-CHZ,2020-05-01T00:00:00,2020-05-01T09:00:00,8.77,15.0,8.69,13.0,1590969405968,46991283285.94968,4015458537.433877,2020-05-01
KRW-CHZ,2020-04-01T00:00:00,2020-04-01T09:00:00,7.7,10.8,7.47,8.79,1588291120810,26830965657.58699,3133341791.5798945,2020-04-01
