market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-CRO,2023-10-01T00:00:00,2023-10-01T09:00:00,69.2,72.1,66.1,68.3,1697076202983,17534072585.89041,256192110.7024118,2023-10-01
KRW-CRO,2023-09-01T00:00:00,2023-09-01T09:00:00,68.8,74.6,67.3,69.2,1696118399512,48060225885.225395,690801722.4550645,2023-09-01
KRW-CRO,2023-08-01T00:00:00,2023-08-01T09:00:00,76.1,81.7,68.0,68.7,1693526288304,71733466008.69969,959387403.9111001,2023-08-01
KRW-CRO,2023-07-01T00:00:00,2023-07-01T09:00:00,75.0,82.1,73.1,76.2,1690847978590,81728852914.11697,1058059503.3441869,2023-07-01
KRW-CRO,2023-06-01T00:00:00,2023-06-01T09:00:00,79.7,83.5,66.8,75.0,1688169544574,49743850421.9079,652086941.5738914,2023-06-01
KRW-CRO,2023-05-01T00:00:00,2023-05-01T09:00:00,97.5,101.0,79.0,79.7,1685577595473,117764686964.1206,1295302028.4221137,2023-05-01
KRW-CRO,2023-04-01T00:00:00,2023-04-01T09:00:00,91.3,114.0,87.3,97.5,1682899190599,310747191989.30585,3143452445.262193,2023-04-01
KRW-CRO,2023-03-01T00:00:00,2023-03-01T09:00:00,106.0,107.0,81.6,91.3,1680307199826,111639974343.00963,1173167663.4296367,2023-03-01
KRW-CRO,2023-02-01T00:00:00,2023-02-01T09:00:00,99.3,125.0,93.6,105.0,1677628796686,257027936181.53226,2425950446.6616454,2023-02-01
KRW-CRO,2023-01-01T00:00:00,2023-01-01T09:00:00,71.3,108.0,70.9,99.3,1675209503842,255972825928.01395,2684591505.1169453,2023-01-01
KRW-CRO,2022-12-01T00:00:00,2022-12-01T09:00:00,88.6,99.4,70.5,71.2,1672531169993,217245100661.09525,2422161210.408254,2022-12-01
KRW-CRO,2022-11-01T00:00:00,2022-11-01T09:00:00,161.0,180.0,72.3,88.7,1669852791588,665830758583.867,6292422882.148133,2022-11-01
KRW-CRO,2022-10-01T00:00:00,2022-10-01T09:00:00,159.0,167.0,138.0,161.0,1667260792269,120954864595.99373,777682917.0128529,2022-10-01
KRW-CRO,2022-09-01T00:00:00,2022-09-01T09:00:00,167.0,184.0,142.0,159.0,1664582398826,216234942215.24725,1305064383.473503,2022-09-01
KRW-CRO,2022-08-01T00:00:00,2022-08-01T09:00:00,181.0,249.0,161.0,167.0,1661990394623,260073829773.69864,1297906343.5313225,2022-08-01
KRW-CRO,2022-07-01T00:00:00,2022-07-01T09:00:00,150.0,189.0,142.0,181.0,1659311963351,60250559076.22101,365339098.74844366,2022-07-01
KRW-CRO,2022-06-01T00:00:00,2022-06-01T09:00:00,239.0,242.0,132.0,150.0,1656633575995,139629485234.36557,838899945.3437867,2022-06-01
KRW-CRO,2022-05-01T00:00:00,2022-05-01T09:00:00,460.0,462.0,201.0,239.0,1654041557918,157238636006.54675,500983652.69357216,2022-05-01
