market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-CVC,2023-10-01T00:00:00,2023-10-01T09:00:00,107.0,115.0,98.0,98.6,1697075970985,26672739277.86834,250558664.01667878,2023-10-01
KRW-CVC,2023-09-01T00:00:00,2023-09-01T09:00:00,94.5,109.0,88.2,106.0,1696118123244,22802860845.99354,229668361.44589606,2023-09-01
KRW-CVC,2023-08-01T00:00:00,2023-08-01T09:00:00,114.0,118.0,92.3,94.9,1693526365518,34914130464.273674,324862561.60402375,2023-08-01
KRW-CVC,2023-07-01T00:00:00,2023-07-01T09:00:00,110.0,128.0,106.0,114.0,1690847986204,74848739536.88956,651239003.3721176,2023-07-01
KRW-CVC,2023-06-01T00:00:00,2023-06-01T09:00:00,112.0,115.0,88.1,111.0,1688169568746,46755527184.8806,456335026.60242313,2023-06-01
KRW-CVC,2023-05-01T00:00:00,2023-05-01T09:00:00,137.0,154.0,111.0,113.0,1685577412147,82089979742.0538,628199551.8984486,2023-05-01
KRW-CVC,2023-04-01T00:00:00,2023-04-01T09:00:00,142.0,174.0,130.0,138.0,1682899186921,238689751689.812,1576777381.3347273,2023-04-01
KRW-CVC,2023-03-01T00:00:00,2023-03-01T09:00:00,164.0,179.0,114.0,143.0,1680307189551,162771701472.02042,1105521597.734525,2023-03-01
KRW-CVC,2023-02-01T00:00:00,2023-02-01T09:00:00,133.0,193.0,124.0,164.0,1677628790291,337048703287.6432,2085016667.791735,2023-02-01
KRW-CVC,2023-01-01T00:00:00,2023-01-01T09:00:00,95.4,172.0,94.6,132.0,1675209561337,236859086538.95892,1864300390.520401,2023-01-01
KRW-CVC,2022-12-01T00:00:00,2022-12-01T09:00:00,145.0,145.0,88.8,95.5,1672531199351,71519612792.25455,598380216.2513978,2022-12-01
KRW-CVC,2022-11-01T00:00:00,2022-11-01T09:00:00,174.0,198.0,110.0,145.0,1669852792337,146795436400.8979,1007760366.3969941,2022-11-01
KRW-CVC,2022-10-01T00:00:00,2022-10-01T09:00:00,184.0,190.0,157.0,174.0,1667260637027,57042790054.83949,324260389.4077713,2022-10-01
KRW-CVC,2022-09-01T00:00:00,2022-09-01T09:00:00,199.0,243.0,176.0,183.0,1664582361947,149942490676.45026,725092825.1212093,2022-09-01
KRW-CVC,2022-08-01T00:00:00,2022-08-01T09:00:00,200.0,322.0,191.0,200.0,1661990397372,464121248546.69745,1788807852.9238374,2022-08-01
KRW-CVC,2022-07-01T00:00:00,2022-07-01T09:00:00,176.0,218.0,166.0,199.0,1659311987283,94197907394.20576,495210759.6965632,2022-07-01
KRW-CVC,2022-06-01T00:00:00,2022-06-01T09:00:00,221.0,258.0,149.0,176.0,1656633580876,172077949893.7687,841458179.3299495,2022-06-01
KRW-CVC,2022-05-01T00:00:00,2022-05-01T09:00:00,340.0,380.0,149.0,221.0,1654041552285,300169581518.0835,1119802570.2440774,2022-05-01
KRW-CVC,2022-04-01T00:00:00,2022-04-01T09:00:00,439.0,524.0,323.0,339.0,1651363189941,408712708231.3135,1028939942.9342513,2022-04-01
KRW-CVC,2022-03-01T00:00:00,2022-03-01T09:00:00,357.0,498.0,305.0,439.0,1648771199160,425533757184.5677,1071821121.2735542,2022-03-01
KRW-CVC,2022-02-01T00:00:00,2022-02-01T09:00:00,333.0,417.0,259.0,357.0,1646092790800,290248074993.015,831528238.7722101,2022-02-01
KRW-CVC,2022-01-01T00:00:00,2022-01-01T09:00:00,403.0,535.0,235.0,331.0,1643673594809,405698565791.9786,1044474144.1889172,2022-01-01
KRW-CVC,2021-12-01T00:00:00,2021-12-01T09:00:00,666.0,720.0,378.0,402.0,1640995165896,351857813402.1481,722790578.9418592,2021-12-01
KRW-CVC,2021-11-01T00:00:00,2021-11-01T09:00:00,557.0,828.0,522.0,666.0,1638316791364,2037414023424.1375,3052701796.7647405,2021-11-01
KRW-CVC,2021-10-01T00:00:00,2021-10-01T09:00:00,530.0,777.0,488.0,556.0,1635724799726,1275341491019.1338,2029309030.8148804,2021-10-01
KRW-CVC,2021-09-01T00:00:00,2021-09-01T09:00:00,398.0,1210.0,388.0,531.0,1633046394543,4501755803759.395,6396409397.535096,2021-09-01
KRW-CVC,2021-08-01T00:00:00,2021-08-01T09:00:00,332.0,469.0,295.0,398.0,1630454400180,608365026856.9016,1597677272.138247,2021-08-01
KRW-CVC,2021-07-01T00:00:00,2021-07-01T09:00:00,289.0,381.0,204.0,332.0,1627775999890,756560911622.5425,2368312774.310582,2021-07-01
KRW-CVC,2021-06-01T00:00:00,2021-06-01T09:00:00,393.0,470.0,166.0,289.0,1625097591198,157440951045.80182,502876994.5215611,2021-06-01
KRW-CVC,2021-05-01T00:00:00,2021-05-01T09:00:00,625.0,824.0,271.0,392.0,1622505589506,682364855329.098,1185519832.1045814,2021-05-01
KRW-CVC,2021-04-01T00:00:00,2021-04-01T09:00:00,683.0,990.0,402.0,625.0,1619827197391,1232275309284.357,1603250628.379395,2021-04-01
KRW-CVC,2021-03-01T00:00:00,2021-03-01T09:00:00,385.0,692.0,382.0,684.0,1617235200107,735805268069.6902,1405693193.4234087,2021-03-01
KRW-CVC,2021-02-01T00:00:00,2021-02-01T09:00:00,167.0,650.0,161.0,385.0,1614556786640,726336667954.0239,1754268685.9075205,2021-02-01
KRW-CVC,2021-01-01T00:00:00,2021-01-01T09:00:00,93.2,333.0,91.0,168.0,1612137580235,524169703598.0474,3047203497.289036,2021-01-01
KRW-CVC,2020-12-01T00:00:00,2020-12-01T09:00:00,88.4,184.0,85.2,93.4,1609459198231,237021785768.76773,2077395349.9100392,2020-12-01
KRW-CVC,2020-11-01T00:00:00,2020-11-01T09:00:00,28.8,207.0,26.7,88.4,1606780791238,533536114390.69244,5402713125.265757,2020-11-01
KRW-CVC,2020-10-01T00:00:00,2020-10-01T09:00:00,30.7,49.3,26.0,28.9,1604188570733,23054809582.873455,656274476.8305805,2020-10-01
KRW-CVC,2020-09-01T00:00:00,2020-09-01T09:00:00,51.5,51.7,27.3,30.8,1601510399943,13134255185.412342,339774414.19947624,2020-09-01
KRW-CVC,2020-08-01T00:00:00,2020-08-01T09:00:00,35.2,67.5,32.1,51.8,1598918350997,27647600701.67123,576050433.9133672,2020-08-01
KRW-CVC,2020-07-01T00:00:00,2020-07-01T09:00:00,32.2,40.7,30.0,35.1,1596239941388,11661589766.320288,327980239.5359099,2020-07-01
KRW-CVC,2020-06-01T00:00:00,2020-06-01T09:00:00,30.3,42.0,29.3,32.0,1593561575462,22061840701.81605,630659389.1672508,2020-06-01
KRW-CVC,2020-05-01T00:00:00,2020-05-01T09:00:00,25.0,33.5,22.2,30.4,1590969539983,14397252555.9331,503604936.166624,2020-05-01
KRW-CVC,2020-04-01T00:00:00,2020-04-01T09:00:00,23.0,27.8,21.1,24.8,1588291105316,4632747248.101122,191224154.01174366,2020-04-01
KRW-CVC,2020-03-01T00:00:00,2020-03-01T09:00:00,51.0,53.5,13.7,22.9,1585698871179,22963951785.67024,817213541.1971623,2020-03-01
KRW-CVC,2020-02-01T00:00:00,2020-02-01T09:00:00,45.9,106.0,39.0,50.9,1583020759875,38443200140.510826,601745598.6102235,2020-02-01
KRW-CVC,2020-01-01T00:00:00,2020-01-01T09:00:00,30.2,68.9,27.6,45.9,1580515054952,20931283870.60173,438372013.5726295,2020-01-01
KRW-CVC,2019-12-01T00:00:00,2019-12-01T09:00:00,41.8,56.2,29.0,30.0,1577836616148,8201856855.27451,206638586.7472453,2019-12-01
KRW-CVC,2019-11-01T00:00:00,2019-11-01T09:00:00,49.1,56.2,27.6,41.0,1575157811883,6966075990.065421,157998080.14372566,2019-11-01
KRW-CVC,2019-10-01T00:00:00,2019-10-01T09:00:00,43.6,58.3,41.6,49.3,1572566242369,7171863551.679129,143577770.54279938,2019-10-01
KRW-CVC,2019-09-01T00:00:00,2019-09-01T09:00:00,49.5,71.0,39.7,43.6,1569887946981,11115821573.546495,206281957.30628633,2019-09-01
KRW-CVC,2019-08-01T00:00:00,2019-08-01T09:00:00,62.1,75.0,43.1,49.5,1567295801695,12828911256.608833,210797705.71177727,2019-08-01
KRW-CVC,2019-07-01T00:00:00,2019-07-01T09:00:00,88.6,92.9,52.5,62.1,1564617564498,3587513461.3155217,51608836.14229806,2019-07-01
KRW-CVC,2019-06-01T00:00:00,2019-06-01T09:00:00,101.0,120.0,85.0,87.9,1561939164922,18064968266.43384,174443642.63212404,2019-06-01
KRW-CVC,2019-05-01T00:00:00,2019-05-01T09:00:00,81.3,116.0,74.3,102.0,1559347189251,7249318672.701007,74822999.7375595,2019-05-01
KRW-CVC,2019-04-01T00:00:00,2019-04-01T09:00:00,96.8,113.0,75.7,81.3,1556668781288,6234753392.420343,64749349.29701779,2019-04-01
KRW-CVC,2019-03-01T00:00:00,2019-03-01T09:00:00,64.8,135.0,61.0,96.8,1554076783756,45304052979.13381,471878588.80658823,2019-03-01
KRW-CVC,2019-02-01T00:00:00,2019-02-01T09:00:00,52.2,84.0,49.2,64.9,1551398348914,11398060100.374453,179265418.28233775,2019-02-01
KRW-CVC,2019-01-01T00:00:00,2019-01-01T09:00:00,60.0,65.9,51.3,52.2,1548978888589,698480453.0622697,11685859.64348825,2019-01-01
KRW-CVC,2018-12-01T00:00:00,2018-12-01T09:00:00,75.9,92.0,41.2,60.0,1546300769105,1999194241.3726223,28890440.33730602,2018-12-01
KRW-CVC,2018-11-01T00:00:00,2018-11-01T09:00:00,157.0,177.0,58.5,72.2,1543622311814,4027322059.91872,31329473.69260164,2018-11-01
KRW-CVC,2018-10-01T00:00:00,2018-10-01T09:00:00,141.0,205.0,124.0,157.0,1541030321453,7940018764.9453745,52102421.97735448,2018-10-01
KRW-CVC,2018-09-01T00:00:00,2018-09-01T09:00:00,164.0,169.0,114.0,140.0,1538351725244,1995303256.7293751,14460674.44603588,2018-09-01
KRW-CVC,2018-08-01T00:00:00,2018-08-01T09:00:00,180.0,700.0,104.0,164.0,1535759999508,35263024961.95713,121528000.66127315,2018-08-01
