market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-DKA,2023-10-01T00:00:00,2023-10-01T09:00:00,36.2,39.5,34.2,35.2,1697076164215,53146720191.753395,1446580426.599343,2023-10-01
KRW-DKA,2023-09-01T00:00:00,2023-09-01T09:00:00,33.2,36.8,30.5,36.2,1696118391974,42319996389.16472,1254279652.7335935,2023-09-01
KRW-DKA,2023-08-01T00:00:00,2023-08-01T09:00:00,40.7,45.4,32.3,33.1,1693526215520,151565545945.5302,3827548873.412494,2023-08-01
KRW-DKA,2023-07-01T00:00:00,2023-07-01T09:00:00,37.0,44.3,35.6,40.6,1690847999119,144543827588.4407,3609267988.5706353,2023-07-01
KRW-DKA,2023-06-01T00:00:00,2023-06-01T09:00:00,39.8,42.4,31.3,36.9,1688169598558,66416897878.06617,1777671174.7974117,2023-06-01
KRW-DKA,2023-05-01T00:00:00,2023-05-01T09:00:00,48.0,48.4,39.3,39.8,1685577592471,37306881440.737785,843184804.0036969,2023-05-01
KRW-DKA,2023-04-01T00:00:00,2023-04-01T09:00:00,48.7,71.9,45.8,48.0,1682899193448,745211351873.8479,12618048147.906086,2023-04-01
KRW-DKA,2023-03-01T00:00:00,2023-03-01T09:00:00,57.6,58.9,40.3,48.8,1680307192527,164152477904.01437,3290374279.0907598,2023-03-01
KRW-DKA,2023-02-01T00:00:00,2023-02-01T09:00:00,44.6,63.5,42.5,57.6,1677628786145,494032523365.89465,9006138910.13336,2023-02-01
KRW-DKA,2023-01-01T00:00:00,2023-01-01T09:00:00,33.1,56.9,32.6,44.6,1675209598970,515465782903.00183,11463547865.481825,2023-01-01
KRW-DKA,2022-12-01T00:00:00,2022-12-01T09:00:00,43.7,49.3,31.2,33.2,1672531192732,305244335236.5962,7200484447.44142,2022-12-01
