market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ELF,2023-10-01T00:00:00,2023-10-01T09:00:00,493.0,494.0,449.0,454.0,1697076204881,22703596152.875385,48505348.51948954,2023-10-01
KRW-ELF,2023-09-01T00:00:00,2023-09-01T09:00:00,412.0,570.0,403.0,493.0,1696118391105,265023646746.98184,541943856.3865331,2023-09-01
KRW-ELF,2023-08-01T00:00:00,2023-08-01T09:00:00,368.0,459.0,360.0,412.0,1693526397474,155235810667.67096,380567062.8591853,2023-08-01
KRW-ELF,2023-07-01T00:00:00,2023-07-01T09:00:00,369.0,405.0,353.0,368.0,1690847996885,126596610210.38411,334114449.1988125,2023-07-01
KRW-ELF,2023-06-01T00:00:00,2023-06-01T09:00:00,391.0,422.0,325.0,370.0,1688169581184,102169722403.23726,264113703.95012283,2023-06-01
KRW-ELF,2023-05-01T00:00:00,2023-05-01T09:00:00,389.0,411.0,369.0,391.0,1685577563563,40483499256.28134,103701049.60721447,2023-05-01
KRW-ELF,2023-04-01T00:00:00,2023-04-01T09:00:00,424.0,460.0,371.0,388.0,1682899190020,168207198139.23688,405379707.64224917,2023-04-01
KRW-ELF,2023-03-01T00:00:00,2023-03-01T09:00:00,383.0,499.0,358.0,424.0,1680307199369,680222982815.2422,1615738051.7152457,2023-03-01
KRW-ELF,2023-02-01T00:00:00,2023-02-01T09:00:00,223.0,445.0,217.0,383.0,1677628799594,444964575862.4865,1376513234.12769,2023-02-01
KRW-ELF,2023-01-01T00:00:00,2023-01-01T09:00:00,199.0,282.0,194.0,224.0,1675209598626,234987016294.4661,1004788529.0172666,2023-01-01
KRW-ELF,2022-12-01T00:00:00,2022-12-01T09:00:00,169.0,212.0,156.0,199.0,1672531197125,155626350660.003,826470005.5282513,2022-12-01
KRW-ELF,2022-11-01T00:00:00,2022-11-01T09:00:00,185.0,194.0,145.0,168.0,1669852745097,94461598900.47548,565736382.6250491,2022-11-01
KRW-ELF,2022-10-01T00:00:00,2022-10-01T09:00:00,187.0,201.0,171.0,185.0,1667260792454,58015195674.30318,311396426.90631753,2022-10-01
KRW-ELF,2022-09-01T00:00:00,2022-09-01T09:00:00,199.0,229.0,181.0,187.0,1664582397235,168269397005.38785,828453304.2755085,2022-09-01
KRW-ELF,2022-08-01T00:00:00,2022-08-01T09:00:00,227.0,273.0,190.0,198.0,1661990385419,339710803655.9506,1441581521.111418,2022-08-01
KRW-ELF,2022-07-01T00:00:00,2022-07-01T09:00:00,191.0,327.0,180.0,227.0,1659311987018,786739932603.1189,3166744203.4726753,2022-07-01
KRW-ELF,2022-06-01T00:00:00,2022-06-01T09:00:00,206.0,262.0,145.0,190.0,1656633592502,474884810300.35034,2300138756.714343,2022-06-01
KRW-ELF,2022-05-01T00:00:00,2022-05-01T09:00:00,356.0,390.0,154.0,206.0,1654041599654,419744781955.2965,1769932292.8895235,2022-05-01
KRW-ELF,2022-04-01T00:00:00,2022-04-01T09:00:00,509.0,610.0,351.0,356.0,1651363187578,677594989042.5983,1381025128.141764,2022-04-01
KRW-ELF,2022-03-01T00:00:00,2022-03-01T09:00:00,433.0,530.0,374.0,510.0,1648771199233,407521212084.37134,936302845.260617,2022-03-01
KRW-ELF,2022-02-01T00:00:00,2022-02-01T09:00:00,410.0,514.0,325.0,433.0,1646092795209,535902236317.0868,1210502006.798949,2022-02-01
KRW-ELF,2022-01-01T00:00:00,2022-01-01T09:00:00,461.0,738.0,326.0,410.0,1643673592182,1784521343384.5217,3154682455.819421,2022-01-01
KRW-ELF,2021-12-01T00:00:00,2021-12-01T09:00:00,661.0,753.0,399.0,460.0,1640995177513,761872810606.2622,1304427152.2710073,2021-12-01
KRW-ELF,2021-11-01T00:00:00,2021-11-01T09:00:00,694.0,768.0,604.0,661.0,1638316799826,707810527203.1707,1008407796.4790994,2021-11-01
KRW-ELF,2021-10-01T00:00:00,2021-10-01T09:00:00,770.0,945.0,600.0,696.0,1635724794872,1159019637868.2349,1439926900.6422358,2021-10-01
KRW-ELF,2021-09-01T00:00:00,2021-09-01T09:00:00,501.0,1310.0,476.0,769.0,1633046400199,8161673725696.597,8949562600.905752,2021-09-01
KRW-ELF,2021-08-01T00:00:00,2021-08-01T09:00:00,306.0,567.0,280.0,501.0,1630454399533,1174654290171.5198,2893331442.0869155,2021-08-01
KRW-ELF,2021-07-01T00:00:00,2021-07-01T09:00:00,230.0,356.0,182.0,306.0,1627775997504,672692441625.3201,2408389533.537035,2021-07-01
KRW-ELF,2021-06-01T00:00:00,2021-06-01T09:00:00,301.0,341.0,132.0,230.0,1625097593850,140767189292.0461,576913525.1669462,2021-06-01
KRW-ELF,2021-05-01T00:00:00,2021-05-01T09:00:00,542.0,632.0,236.0,301.0,1622505591284,805855772927.8862,1768692980.7043834,2021-05-01
KRW-ELF,2021-04-01T00:00:00,2021-04-01T09:00:00,568.0,929.0,300.0,542.0,1619827191918,1490873941744.7253,2309545556.21152,2021-04-01
KRW-ELF,2021-03-01T00:00:00,2021-03-01T09:00:00,266.0,690.0,257.0,551.0,1617235198838,821406415946.3134,1903585997.1400328,2021-03-01
KRW-ELF,2021-02-01T00:00:00,2021-02-01T09:00:00,149.0,600.0,141.0,264.0,1614556789026,359934861010.4697,1244903896.9668324,2021-02-01
KRW-ELF,2021-01-01T00:00:00,2021-01-01T09:00:00,113.0,250.0,113.0,149.0,1612137540845,155850488567.90775,1010349075.7827092,2021-01-01
KRW-ELF,2020-12-01T00:00:00,2020-12-01T09:00:00,114.0,168.0,94.3,113.0,1609459092704,116940284851.08505,884571635.0455552,2020-12-01
KRW-ELF,2020-11-01T00:00:00,2020-11-01T09:00:00,97.4,164.0,85.9,115.0,1606780787548,58181074835.81264,496117113.2111353,2020-11-01
KRW-ELF,2020-10-01T00:00:00,2020-10-01T09:00:00,119.0,121.0,94.8,97.6,1604188663429,17966595964.520626,165660967.42997885,2020-10-01
KRW-ELF,2020-09-01T00:00:00,2020-09-01T09:00:00,161.0,334.0,99.0,119.0,1601510391346,230384711205.22687,1166618141.8218184,2020-09-01
