market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-EOS,2023-10-01T00:00:00,2023-10-01T09:00:00,791.0,852.0,725.0,730.0,1697076219070,64894837029.34149,82132887.32299651,2023-10-01
KRW-EOS,2023-09-01T00:00:00,2023-09-01T09:00:00,804.0,815.0,722.0,790.0,1696118388651,108240530649.13351,139922179.61276898,2023-09-01
KRW-EOS,2023-08-01T00:00:00,2023-08-01T09:00:00,969.0,987.0,762.0,804.0,1693526382422,150873484397.83102,174452940.56774583,2023-08-01
KRW-EOS,2023-07-01T00:00:00,2023-07-01T09:00:00,1000.0,1080.0,927.0,969.0,1690847993847,400543127216.6879,405060193.9620151,2023-07-01
KRW-EOS,2023-06-01T00:00:00,2023-06-01T09:00:00,1190.0,1225.0,795.0,1005.0,1688169598827,744341206093.4438,798408755.3693463,2023-06-01
KRW-EOS,2023-05-01T00:00:00,2023-05-01T09:00:00,1370.0,1385.0,1105.0,1190.0,1685577572653,181343792070.86874,149264119.36259827,2023-05-01
KRW-EOS,2023-04-01T00:00:00,2023-04-01T09:00:00,1580.0,1695.0,1325.0,1365.0,1682899193337,270224392350.2548,174187307.97484645,2023-04-01
KRW-EOS,2023-03-01T00:00:00,2023-03-01T09:00:00,1530.0,1785.0,1280.0,1580.0,1680307191236,506690735709.432,330563661.0134645,2023-03-01
KRW-EOS,2023-02-01T00:00:00,2023-02-01T09:00:00,1340.0,1690.0,1275.0,1535.0,1677628795941,408605084678.7819,278440484.6454102,2023-02-01
KRW-EOS,2023-01-01T00:00:00,2023-01-01T09:00:00,1095.0,1430.0,1090.0,1340.0,1675209586279,325503094303.1403,251618707.64256743,2023-01-01
KRW-EOS,2022-12-01T00:00:00,2022-12-01T09:00:00,1285.0,1420.0,1070.0,1105.0,1672531026402,179804204549.7078,142849566.4790883,2022-12-01
KRW-EOS,2022-11-01T00:00:00,2022-11-01T09:00:00,1610.0,1695.0,1140.0,1290.0,1669852791860,259785490329.80725,190971936.27281886,2022-11-01
KRW-EOS,2022-10-01T00:00:00,2022-10-01T09:00:00,1705.0,1780.0,1360.0,1610.0,1667260779971,282055671049.1456,180060494.0801893,2022-10-01
KRW-EOS,2022-09-01T00:00:00,2022-09-01T09:00:00,1890.0,2565.0,1595.0,1700.0,1664582385054,1144935773840.9717,554756168.8487697,2022-09-01
