market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-FCT2,2023-10-01T00:00:00,2023-10-01T09:00:00,77.0,81.3,70.8,72.4,1697076251357,96063290708.5696,1257790934.2345688,2023-10-01
KRW-FCT2,2023-09-01T00:00:00,2023-09-01T09:00:00,64.3,97.4,58.6,77.2,1696118399946,429707545521.95416,5397014829.517375,2023-09-01
KRW-FCT2,2023-08-01T00:00:00,2023-08-01T09:00:00,75.0,89.4,64.0,64.2,1693526396427,460946990808.5641,5820681644.05933,2023-08-01
KRW-FCT2,2023-07-01T00:00:00,2023-07-01T09:00:00,62.9,99.7,61.0,75.3,1690847988987,1382773954706.2092,16800047473.2359,2023-07-01
KRW-FCT2,2023-06-01T00:00:00,2023-06-01T09:00:00,66.6,70.7,49.9,63.0,1688169596913,81752015213.65169,1354203747.2397683,2023-06-01
KRW-FCT2,2023-05-01T00:00:00,2023-05-01T09:00:00,84.7,84.8,65.5,66.7,1685577576794,58705188545.14405,768952199.936641,2023-05-01
KRW-FCT2,2023-04-01T00:00:00,2023-04-01T09:00:00,90.6,101.0,80.9,84.7,1682899093839,211635221614.15045,2317099763.4610662,2023-04-01
KRW-FCT2,2023-03-01T00:00:00,2023-03-01T09:00:00,93.6,108.0,70.6,90.8,1680307183590,701212572596.0103,7673795200.990675,2023-03-01
KRW-FCT2,2023-02-01T00:00:00,2023-02-01T09:00:00,69.6,136.0,65.5,93.7,1677628798398,1292385354848.6428,13675788315.298866,2023-02-01
KRW-FCT2,2023-01-01T00:00:00,2023-01-01T09:00:00,45.2,99.6,44.6,69.6,1675209575760,902537509834.7523,13451127608.24755,2023-01-01
KRW-FCT2,2022-12-01T00:00:00,2022-12-01T09:00:00,53.9,63.1,42.0,45.2,1672531181386,202187673780.70975,3731275897.8286624,2022-12-01
KRW-FCT2,2022-11-01T00:00:00,2022-11-01T09:00:00,73.9,75.4,42.6,53.7,1669852774272,213674001675.61816,3597014372.266212,2022-11-01
KRW-FCT2,2022-10-01T00:00:00,2022-10-01T09:00:00,80.2,81.3,67.8,74.0,1667260780683,79990176076.5216,1059321451.4931184,2022-10-01
KRW-FCT2,2022-09-01T00:00:00,2022-09-01T09:00:00,85.8,94.5,75.2,80.2,1664582392155,204023769982.44922,2372507580.8511076,2022-09-01
KRW-FCT2,2022-08-01T00:00:00,2022-08-01T09:00:00,85.4,103.0,76.5,85.8,1661990396327,533027836851.721,5797149738.120807,2022-08-01
KRW-FCT2,2022-07-01T00:00:00,2022-07-01T09:00:00,71.2,98.0,68.4,85.4,1659311999544,389580178942.678,4594737221.887717,2022-07-01
KRW-FCT2,2022-06-01T00:00:00,2022-06-01T09:00:00,95.8,115.0,60.2,71.2,1656633592070,221702397242.03177,2595314921.38124,2022-06-01
KRW-FCT2,2022-05-01T00:00:00,2022-05-01T09:00:00,140.0,163.0,67.9,95.8,1654041599148,231252924852.50394,2151728856.088507,2022-05-01
KRW-FCT2,2022-04-01T00:00:00,2022-04-01T09:00:00,256.0,292.0,138.0,140.0,1651363196359,946447343546.199,4463094062.717412,2022-04-01
KRW-FCT2,2022-03-01T00:00:00,2022-03-01T09:00:00,132.0,275.0,113.0,256.0,1648771199610,674014265029.3121,3370119175.697548,2022-03-01
KRW-FCT2,2022-02-01T00:00:00,2022-02-01T09:00:00,127.0,159.0,100.0,131.0,1646092798300,154702647727.13943,1173164214.2496126,2022-02-01
KRW-FCT2,2022-01-01T00:00:00,2022-01-01T09:00:00,161.0,193.0,105.0,127.0,1643673595395,171031204247.38858,1216478307.2252133,2022-01-01
KRW-FCT2,2021-12-01T00:00:00,2021-12-01T09:00:00,261.0,272.0,139.0,161.0,1640995196204,290410948714.0909,1565560624.476534,2021-12-01
KRW-FCT2,2021-11-01T00:00:00,2021-11-01T09:00:00,230.0,283.0,198.0,260.0,1638316798146,777554982453.6167,3274255157.5891643,2021-11-01
KRW-FCT2,2021-10-01T00:00:00,2021-10-01T09:00:00,164.0,320.0,164.0,230.0,1635724799321,1479665849905.2417,6240984472.346246,2021-10-01
KRW-FCT2,2021-09-01T00:00:00,2021-09-01T09:00:00,162.0,320.0,140.0,165.0,1633046394681,1909804601474.3562,8259528585.670988,2021-09-01
KRW-FCT2,2021-08-01T00:00:00,2021-08-01T09:00:00,135.0,241.0,122.0,162.0,1630454399972,1227075350800.961,7307777344.338609,2021-08-01
KRW-FCT2,2021-07-01T00:00:00,2021-07-01T09:00:00,84.9,193.0,79.5,135.0,1627775999975,1107917179203.0874,9419871310.66915,2021-07-01
KRW-FCT2,2021-06-01T00:00:00,2021-06-01T09:00:00,135.0,153.0,40.9,84.7,1625097597110,393177497327.1833,4510679381.7385435,2021-06-01
KRW-FCT2,2021-05-01T00:00:00,2021-05-01T09:00:00,220.0,250.0,92.0,135.0,1622505598681,956275865426.5074,5355947426.27259,2021-05-01
KRW-FCT2,2021-04-01T00:00:00,2021-04-01T09:00:00,325.0,519.0,104.0,220.0,1619827199974,1257021432907.6133,4388430445.292749,2021-04-01
KRW-FCT2,2021-03-01T00:00:00,2021-03-01T09:00:00,80.2,381.0,77.1,325.0,1617235198884,1310332176474.6514,6611449255.301764,2021-03-01
KRW-FCT2,2021-02-01T00:00:00,2021-02-01T09:00:00,52.3,115.0,49.4,80.2,1614556798296,431159325250.2178,5334538259.604036,2021-02-01
KRW-FCT2,2021-01-01T00:00:00,2021-01-01T09:00:00,55.7,78.4,46.0,52.6,1612137567159,212266151123.89883,3510699765.365904,2021-01-01
KRW-FCT2,2020-12-01T00:00:00,2020-12-01T09:00:00,72.7,135.0,41.3,55.5,1609459197911,313910993349.2399,4770586421.648759,2020-12-01
