market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-FLOW,2023-10-01T00:00:00,2023-10-01T09:00:00,621.0,644.0,560.0,562.0,1697076276493,67081952923.135475,112226114.43763605,2023-10-01
KRW-FLOW,2023-09-01T00:00:00,2023-09-01T09:00:00,600.0,670.0,535.0,622.0,1696118397395,240425983041.08612,399016133.3923384,2023-09-01
KRW-FLOW,2023-08-01T00:00:00,2023-08-01T09:00:00,754.0,778.0,593.0,600.0,1693526382530,200683097064.4762,293307278.72405326,2023-08-01
KRW-FLOW,2023-07-01T00:00:00,2023-07-01T09:00:00,722.0,1040.0,708.0,754.0,1690847983830,1719065007978.9636,2000761180.741623,2023-07-01
KRW-FLOW,2023-06-01T00:00:00,2023-06-01T09:00:00,969.0,985.0,577.0,723.0,1688169598402,750254824204.2418,1026346446.9747388,2023-06-01
KRW-FLOW,2023-05-01T00:00:00,2023-05-01T09:00:00,1190.0,1205.0,963.0,969.0,1685577541171,177830436763.1151,168033033.3286567,2023-05-01
KRW-FLOW,2023-04-01T00:00:00,2023-04-01T09:00:00,1320.0,1405.0,1140.0,1195.0,1682899197002,353530422916.26917,274664705.29918927,2023-04-01
KRW-FLOW,2023-03-01T00:00:00,2023-03-01T09:00:00,1560.0,1605.0,1110.0,1315.0,1680307197716,564461056588.892,416354932.40094805,2023-03-01
KRW-FLOW,2023-02-01T00:00:00,2023-02-01T09:00:00,1350.0,1870.0,1280.0,1555.0,1677628787463,848166415300.8754,537796469.3620011,2023-02-01
KRW-FLOW,2023-01-01T00:00:00,2023-01-01T09:00:00,834.0,1645.0,820.0,1355.0,1675209575925,1003513582013.0956,829953492.004286,2023-01-01
KRW-FLOW,2022-12-01T00:00:00,2022-12-01T09:00:00,1535.0,1555.0,807.0,834.0,1672531199995,350800529853.92535,306891470.3531239,2022-12-01
KRW-FLOW,2022-11-01T00:00:00,2022-11-01T09:00:00,2350.0,2870.0,1475.0,1540.0,1669852794513,583846468241.7139,286543813.5562073,2022-11-01
KRW-FLOW,2022-10-01T00:00:00,2022-10-01T09:00:00,2430.0,2615.0,2005.0,2350.0,1667260766108,328452556018.31213,142632316.94040754,2022-10-01
KRW-FLOW,2022-09-01T00:00:00,2022-09-01T09:00:00,2840.0,3165.0,2245.0,2430.0,1664582393977,636267093330.131,242726992.3422961,2022-09-01
KRW-FLOW,2022-08-01T00:00:00,2022-08-01T09:00:00,2545.0,4290.0,2370.0,2840.0,1661990399403,3212482302925.4297,916882454.8029748,2022-08-01
KRW-FLOW,2022-07-01T00:00:00,2022-07-01T09:00:00,1975.0,2790.0,1835.0,2545.0,1659311987717,543934839255.83344,233322657.26469415,2022-07-01
KRW-FLOW,2022-06-01T00:00:00,2022-06-01T09:00:00,3420.0,3435.0,1705.0,1975.0,1656633599384,600660525655.2496,258489838.71359977,2022-06-01
KRW-FLOW,2022-05-01T00:00:00,2022-05-01T09:00:00,5900.0,6645.0,2975.0,3425.0,1654041599806,1336410619711.6702,315139562.53334713,2022-05-01
KRW-FLOW,2022-04-01T00:00:00,2022-04-01T09:00:00,8410.0,9950.0,5835.0,5900.0,1651363197884,1312063623394.424,162467768.09346092,2022-04-01
KRW-FLOW,2022-03-01T00:00:00,2022-03-01T09:00:00,7665.0,9330.0,6415.0,8360.0,1648771199121,1966746431991.252,258839550.6932915,2022-03-01
KRW-FLOW,2022-02-01T00:00:00,2022-02-01T09:00:00,8340.0,10300.0,5780.0,7660.0,1646092799188,2579393448671.451,307969877.80085135,2022-02-01
KRW-FLOW,2022-01-01T00:00:00,2022-01-01T09:00:00,10840.0,11530.0,5360.0,8345.0,1643673599111,1645945608543.2588,203669479.95155331,2022-01-01
KRW-FLOW,2021-12-01T00:00:00,2021-12-01T09:00:00,15410.0,15750.0,9960.0,10850.0,1640995196710,1154727853828.2468,97850348.83777612,2021-12-01
KRW-FLOW,2021-11-01T00:00:00,2021-11-01T09:00:00,16600.0,18800.0,14150.0,15410.0,1638316798807,3732251543992.184,225894543.27423224,2021-11-01
KRW-FLOW,2021-10-01T00:00:00,2021-10-01T09:00:00,19500.0,27330.0,13850.0,16590.0,1635724800059,4844628759732.31,255570939.21927816,2021-10-01
KRW-FLOW,2021-09-01T00:00:00,2021-09-01T09:00:00,29100.0,31500.0,18210.0,19500.0,1633046394588,2749139005255.7603,106955422.19182105,2021-09-01
KRW-FLOW,2021-08-01T00:00:00,2021-08-01T09:00:00,28400.0,34790.0,23840.0,29080.0,1630454400069,5958538138894.683,215748581.56658176,2021-08-01
KRW-FLOW,2021-07-01T00:00:00,2021-07-01T09:00:00,11200.0,35000.0,10280.0,28400.0,1627776000279,7874850420351.382,353779484.5592804,2021-07-01
KRW-FLOW,2021-06-01T00:00:00,2021-06-01T09:00:00,16400.0,19970.0,7000.0,11140.0,1625097583117,331391171028.04114,24509018.46456788,2021-06-01
KRW-FLOW,2021-05-01T00:00:00,2021-05-01T09:00:00,39130.0,48300.0,13390.0,16400.0,1622505599912,1531630534674.3743,56766955.13932466,2021-05-01
KRW-FLOW,2021-04-01T00:00:00,2021-04-01T09:00:00,74990.0,93980.0,9000.0,39140.0,1619827196948,2644418766406.4004,52382339.04647723,2021-04-01
